"施設名称","施設郵便番号","施設所在地","施設方書","許可日","許可番号","施設種別"
"ＨＩＬＬＳ　ＳＰＡ　ＳＥＮＧＯＫＵＹＡＭＡ（ヒルズスパセンゴクヤマ）","106-0032","東京都港区六本木一丁目9番10号",,"2012/7/30","24港み生環き第33号","その他の公衆浴場２号（スポーツ施設）"
"Ｌａｎｉ　Ｏｌａ　Ｔｏｋｙｏ（ラニオラ東京）","106-0032","東京都港区六本木三丁目11番6号","野沢ビル7階","2021/12/23","3港み生環き第192号","その他の公衆浴場２号（その他）"
"ＲＩＺＡＰ　六本木店","106-0032","東京都港区六本木三丁目17番10号","デュープレックスタワー地下1階","2021/11/5","3港み生環き第144号","その他の公衆浴場２号（スポーツ施設）"
"ｈｅａｌｉｎｇ　ｆｏｒｃｅ　Ｎ（ヒーリングフォース　エヌ）","106-0032","東京都港区六本木四丁目3番38号","パークマンション六本木303","2015/1/15","26港み生環き第167号","その他の公衆浴場２号（その他）"
"発酵温浴ｎｉｆｕ　六本木店","106-0032","東京都港区六本木四丁目5番6号","南蛮ビル2階","2023/8/1","5港み生環き第69号","その他の公衆浴場２号（その他）"
"ティップネス六本木","106-0032","東京都港区六本木六丁目6番9号","ピラミデビル 地下1階","1994/7/7","6港麻総衛環き第5号","その他の公衆浴場２号（スポーツ施設）"
"グランドハイアット東京ナゴミスパアンドフィットネス","106-0032","東京都港区六本木六丁目10番3号","グランドハイアット東京 4階","2003/4/25","14港み生環き第146号","その他の公衆浴場２号（スポーツ施設）"
"ＲＯＰＰＯＮＧＩ　ＨＩＬＬＳ　ＳＰＡ　（六本木ヒルズスパ）","106-0032","東京都港区六本木六丁目12番3号","六本木ヒルズレジデンスC棟3階","2003/4/22","14港み生環き第97号","その他の公衆浴場２号（スポーツ施設）"
"ｖｉｖａｎｔｙ六本木","106-0032","東京都港区六本木七丁目12番15号","ベルビー六本木2階","2022/11/18","4港み生環き第129号","その他の公衆浴場２号（その他）"
"ＫＵＤＯＣＨＩ　ｓａｕｎａ","106-0032","東京都港区六本木七丁目14番1号","宝祥六本木ソシアルビル1階地下1階","2023/4/25","4港み生環き第244号","その他の公衆浴場２号（サウナを主とする施設）"
"ＡＭＲＴＡ六本木（アムリタ）","106-0032","東京都港区六本木七丁目17番19号","FLEG六本木second 地下1階","2012/6/28","24港み生環き第30号","その他の公衆浴場２号（その他）"
"アムリタ","106-0032","東京都港区六本木七丁目17番19号","FLEG六本木second 地下1階","2007/3/28","18港み生環き第171号","その他の公衆浴場２号（その他）"
"オールドルーキーサウナ　六本木通り店","106-0032","東京都港区六本木七丁目18番8号","第3大栄ビル3階","2022/2/3","3港み生環き第209号","その他の公衆浴場２号（サウナを主とする施設）"
"Ｐｒｉｖａｔｅ　Ｌｏｕｎｇｅ　Ｓａｕｎａ　ｔｈｅ　Ｓ","106-0032","東京都港区六本木七丁目21番24号","モジュール六本木1階 104","2022/3/29","3港み生環き第203号","その他の公衆浴場２号（サウナを主とする施設）"

"公衆浴場一覧(令和6年3月31日現在)","Ver202403",,,,,
