区市町村別完了地区一覧,,,,,,,,,,,,,,,,,,,,,,,
区市町村,施行者,地 　 区　  名,施行地区　,"面積
（ha）","総事業費
（億円）","都市計画
決定告示
年月日","施行
認可告示
年月日","換地処分
公告年月日",終了または解散認可年月日,整理前公共用地,,,,整理後公共用地,,,,保留地,合算減歩率,公共減歩率,保留地減歩率,国土調査法第19条第5項承認,備考
国立,組合,国立市四軒在家,国立市大字谷保字栗原、字上ノ下の各一部,6.1,14.5,―,H12.4.28,H16.11.12,H17.3.9,,,,,,,,,,33.9,21.8,12.1,○,
国立,組合,国立市城山南,国立市大字谷保字出井崎、字岨ノ下、字寺ノ下の各一部,6.4,21.6,―,H21.4.22,H26.6.20,H26.12.17,"12,398.88","5,282.43",-,"7,116.45","19,125.79","12,765.17","1,909.39","4,451.23","8,852.39",30.4,13.1,17.3,,
国立,組合,国立市下新田,国立市大字谷保字下新田の一部,1.6,4.9,―,H22.4.28,H26.10.24,H27.5.12,"2,738.33",925.35,355,"1,427.98","4,428.73","3,227.52",470.12,731.09,"2,238.79",30.7,13.2,17.5,,
国立,都市機構,国立,東京都国立市,92.8,3.9,S34.8.27,S38.2.15,S40.10.28,,,,,,,,,,,20.5,13.9,6.6,,
狛江,個人,狛江市東野川四丁目,調布市入間町二丁目、三丁目、狛江市東野川三丁目、四丁目の各一部,2.4,4.1,―,H12.12.8,H14.12.20,H15.2.24,,,,,,,,,　,38,38,―,○,
狛江,組合,猪方,狛江町猪方字大河原の一部（狛江市猪方四丁目、駒井町三丁目の各一部）,5.4,0.3,―,S31.2.11,S37.12.1,S39.4.14,,,,,,,,,,34,21.6,12.4,,
狛江,組合,供養塚,狛江町駒井字供養塚の一部（狛江市駒井町三丁目の一部）,2.9,0.4,―,S33.12.18,S42.1.17,S45.3.4,,,,,,,,,,21.4,6.8,14.7,,
狛江,組合,狛江市駒井町上村中,狛江市駒井町一丁目の一部,2,5.9,―,H9.12.26,H13.2.26,H13.4.27,,,,,,,,,,28,19.4,8.6,,
東久留米,個人,東久留米駅東口,東久留米市新川町一丁目、東本町の各一部,0.6,6.3,―,H4.7.29,H9.8.6,H9.12.8,,,,,,,,,,27.9,23.4,4.6,,
東久留米,個人,東久留米市上の原,東久留米市上の原二丁目の一部,7.7,12.7,－,H28.9.9,H30.12.10,H31.3.14,-,-,-,-,"14,624.00","11,895.00","2,729.00",-,"6,999.00",28.2,19.1,9.1,,
東久留米,都市機構,久留米,東京都東久留米市、小平市,155.8,18.2,S38.10.31,S41.11.30,S44.9.2,,,,,,,,,,,28.9,15.5,13.4,,
多摩,個人,多摩市聖蹟桜ヶ丘駅北,多摩市関戸一丁目、二丁目、一ノ宮二丁目の各一部,2.6,9.6,―,H29.3.8,R2.9.3,R3.2.19,"4,251.77","2,596.22","1,495.55",160,"7,867.24","5,345.65","2,521.59",-,-,16.7,16.7,―,,
多摩,組合,桜ヶ丘駅南第一,多摩市大字関戸字古茂川、字入江、大字東寺方字３号の各一部,2.8,4.8,―,S59.9.20,S62.3.31,S62.9.22,,,,,,,,,,23.5,19.2,4.3,,
多摩,組合,多摩市連光寺本村,多摩市連光寺二丁目の一部,7.5,27.2,―,H4.11.24,H13.11.16,H14.3.19,,,,,,,,,,27.3,18.9,8.4,〇,
多摩,組合,多摩市東寺方坂下耕地,多摩市大字東寺方字一号、字二号、大字一の宮字下向田の各一部,4.8,17.4,―,H5.9.13,H12.2.25,H12.10.24,"7,309.41","3,605.78",-,"3,703.63","15,400.62","10,847.92","2,860.00","1,692.70","3,057.05",27.2,19.7,7.5,〇,
多摩,組合,多摩市和田久保下,多摩市大字和田字３号、字９号、字１０号、字１２号の各一部,9.2,30,―,H6.4.8,H15.1.17,H15.5.16,"10,741.43","3,147.39",-,"7,594.04","25,817.16","17,277.97","1,426.80","7,112.39","8,924.52",29.6,18.6,11,〇,
多摩,組合,多摩市上和田,多摩市大字和田字七号、字八号、字九合の各一部,5.1,13,―,H7.12.25,H14.12.13,H15.3.18,"3,235.72","3,016.62",-,219.1,"13,749.31","10,671.29","3,078.02",-,"3,919.54",30.1,21.9,8.2,〇,
多摩,組合,多摩市関戸古茂川,多摩市関戸二丁目、四丁目の各一部,2.4,9.2,―,H8.12.26,H17.4.15,H17.9.13,,,,,,,,,,29,21.1,7.9,〇,
稲城,個人,稲城長沼駅東,稲城市大字東長沼字四号の一部,0.5,1.8,―,R2.7.28,R3.6.17,R3.9.24,596.2,596.2,-,-,"1,216.38",981.62,85.72,149.04,774.1,31.9,14.2,-,,
稲城,組合,京王よみうりランド駅前,稲城市字根方及び字小沢峰の各一部（稲城市矢野口の一部）,3,4.2,―,S50.10.1,S55.3.31,S56.10.8,,,,,,,,,,34,28.7,5.3,,
稲城,組合,稲城市平尾,稲城市大字平尾字3号、字7号、字8号、字9号の各一部,22.5,28.1,―,S50.12.1,S56.11.28,S57.5.31,,,,,,,,,,31.5,17.3,14.3,,
稲城,組合,稲城市稲城第一,稲城市百村字1号、字1号、字2号、字11号、字16号、東長沼字7号、字8号の各一部,21,58.1,S52.6.4,S50.12.1,H2.12.1,H3.3.26,,,,,,,,,,34.2,28.6,5.6,,
稲城,組合,稲城大丸北,稲城市大丸字4号、字25号、字26号及び東長沼字17号の各一部,5.2,10.3,―,H3.12.12,H7.10.23,H8.3.29,,,,,,,,,,34.2,28.6,5.6,,
稲城,組合,稲城竪台,稲城市大字百村字三号及び字八号の各一部,7.1,41.2,H1.7.3,H4.8.3,H10.9.30,H11.4.22,,,,,,,,,,32,20.1,11.9,○,
稲城,組合,稲城大丸南,稲城市大字大丸字一号、字二号、字五号、字六号の各一部,10.1,27.7,―,H7.5.29,H18.3.3,H18.10.17,,,,,,,,,,26.6,17.3,9.2,○,
稲城,組合,稲城平尾南,稲城市平尾二丁目の一部,3.4,18.2,―,H10.3.27,H15.3.20,H15.9.24,,,,,,,,,,55,29.6,25.4,○,
稲城,組合,稲城押立第一,稲城市大字押立字上関の一部,1.3,3.1,―,H25.12.3,H27.7.10,H27.12.14,915.57,204.23,-,711.34,"3,614.57","2,560.35",790.05,264.17,"1,570.97",35.1,22.2,12.9,,
稲城,組合,稲城上平尾,稲城市大字平尾字六号、字十号、字十一号、字十二号、字十三号の各一部並びに大字坂浜字十七号、字十八号の各一部,25.1,89.1,H9.8.1,H22.7.29,H31.3.1,R4.3.3,"18,338.10","17,559.40",-,778.7,"95,639.00","59,903.60","13,511.70","22,223.70","36,387.60",48.8,33.2,15.6,,
稲城,都市機構,稲城堂ヶ谷戸,稲城市大字坂浜の一部,1.2,11,H1.7.3,H5.1.4,H9.7.15,,,,,,,,,,,32,16.2,15.8,,
稲城,個人,稲城市立稲城第一小学校南,稲城市大字東長沼字三号及び字五号の一部,0.2,0.3,―,R4.10.7,R5.10.18,R6.1.29,196.9,-,-,196.9,480.57,304.44,-,176.13,-,14.9,14.9,-,,
あきる野,組合,森山下,あきる野市草花字森山下タ、字下ﾓ川原の各一部,4.6,16.3,―,S59.9.20,H4.1.20,H4.3.19,,,,,,,,,,39.7,34.8,4.9,,
あきる野,組合,あきる野市雨間,秋川市大字雨間字一丁目、字秋留野、字上野原、字塚の下、字萩野、字北郷、大字野辺字日室塚、字七辻、字横吹、大字二宮字余田の各一部,26.8,73.3,H2.3.9,H2.7.11,H14.10.31,H17.3.31,"13,532.16","13,532.16",-,-,"76,860.04","64,860.00","12,000.04",-,"6,351.31",27.4,24.9,2.5,〇,H7.9.27秋川市雨間から名称変更
あきる野,組合,あきる野市原小宮,秋川市原小宮字代田前、字海老内、字石神、字原小宮前、字下モ小宮、字代田、平沢字塚場、字石神戸、字原小宮前、字芝際、字滝ノ上、字森ノ根、瀬戸岡字唐杉の各一部,16.8,54.3,―,H6.6.21,H20.3.19,H21.3.12,"12,743.47","12,743.47",-,-,"52,145.44","46,157.47","5,103.99",883.98,"4,183.44",27.8,25.1,2.7,〇,H7秋川市原小宮から名称変更
あきる野,組合,あきる野市初雁,あきる野市牛沼字初雁の一部,2.9,2.4,―,H28.6.1,H29.7.3,H29.9.29,74,74,-,-,"1,157.33",292.14,865.19,-,"5,300.01",22.2,3.8,18.5,,
西東京,個人,西東京市新町六丁目,西東京市新町六丁目の一部,1.6,2.6,―,H14.7.1,H15.9.24,H16.2.13,,,,,,,,,,31,23.4,7.6,○,
西東京,個人,西東京市向台町二丁目,西東京市向台町二丁目の一部,0.6,1.5,―,H17.9.2,H18.11.2,H19.3.22,,,,,,,,,,35.6,25.6,10,○,
西東京,個人,西東京市向台町五丁目,西東京市向台町五丁目の一部,0.7,1.1,―,H25.2.7,H25.12.3,H26.2.25,-,-,-,-,"1,568.10","1,348.03",220.07,-,519.91,28.6,21.5,7.1,,
西東京,個人,西東京市向台町六丁目,西東京市向台町六丁目の一部,0.4,0.8,―,H26.11.17,H27.9.1,H27.12.2,-,-,-,-,663.02,552.91,-,110.11,460.15,31.1,18.4,12.8,,
日の出,組合,三吉野桜木,西多摩郡日の出町大字平井字三吉野桜木の一部,28.9,31.5,H16.6.24,H18.4.7,H21.6.5,H21.11.30,"13,759.00","13,037.00",-,722,"51,870.34","38,866.08","8,704.81","4,299.45","43,697.75",29.7,13.9,15.9,○,
,,,※（　）は現在の地名,,,,,,,,,,,,,,,,,,,,
