項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
2,6,9,4,1,宿泊料,1725,0.5,576,0.2,679,0.2,-,-,986,0.3,206,0,2269,0.5,4821,1.6,2035,0.7,1180,0.4
2,6,9,4,2,パック旅行費,4757,1.4,10945,3.6,108,0,1132,0.4,657,0.2,320,0.1,6054,1.3,3837,1.3,7162,2.4,3187,1.1
2,6,9,4,3,月謝類,3521,1,2062,0.7,9537,3.2,7839,2.5,6338,1.6,3817,0.8,2163,0.5,2819,0.9,1657,0.5,1210,0.4
2,6,9,4,4,他の教養娯楽サービス,12052,3.5,7261,2.4,9191,3.1,13927,4.5,10720,2.7,12282,2.5,16840,3.6,11869,3.9,12182,4,7943,2.7
2,4,10,0,0,その他の消費支出,65559,19.2,43861,14.4,41794,14.1,36295,11.7,48074,12.2,82287,17,56955,12.3,69038,22.6,79848,26.3,77307,26.2
2,5,10,1,0,諸雑費,30434,8.9,22719,7.4,23045,7.8,20996,6.8,24135,6.1,50431,10.4,20870,4.5,23373,7.7,35480,11.7,47869,16.2
2,6,10,1,1,理美容サービス,3425,1,1205,0.4,2686,0.9,3534,1.1,3477,0.9,5633,1.2,3523,0.8,3453,1.1,3333,1.1,3201,1.1
2,6,10,1,2,理美容用品,4402,1.3,3756,1.2,4086,1.4,4186,1.4,5239,1.3,7795,1.6,4478,1,4719,1.5,3574,1.2,3327,1.1
2,6,10,1,3,身の回り用品,6386,1.9,4488,1.5,4336,1.5,1539,0.5,2299,0.6,2176,0.4,2597,0.6,2296,0.8,11634,3.8,22749,7.7
2,6,10,1,4,たばこ,899,0.3,856,0.3,681,0.2,1429,0.5,717,0.2,1216,0.3,1769,0.4,1380,0.5,507,0.2,486,0.2
2,6,10,1,5,他の諸雑費,15322,4.5,12414,4.1,11256,3.8,10307,3.3,12403,3.1,33611,6.9,8504,1.8,11526,3.8,16433,5.4,18105,6.1
2,5,10,2,0,こづかい,9349,2.7,9099,3,7502,2.5,6049,2,11449,2.9,14624,3,13832,3,16165,5.3,6166,2,4607,1.6
2,5,10,3,0,交際費,16898,4.9,12042,3.9,11180,3.8,7861,2.5,10174,2.6,12985,2.7,14030,3,20571,6.7,22440,7.4,23089,7.8
2,6,10,3,1,食料,4930,1.4,2713,0.9,1779,0.6,2485,0.8,2082,0.5,3603,0.7,4016,0.9,5153,1.7,7318,2.4,6759,2.3
2,6,10,3,2,家具・家事用品,233,0.1,216,0.1,300,0.1,29,0,426,0.1,15,0,217,0,113,0,305,0.1,81,0
2,6,10,3,3,被服及び履物,570,0.2,400,0.1,174,0.1,238,0.1,521,0.1,886,0.2,687,0.1,805,0.3,586,0.2,249,0.1
2,6,10,3,4,教養娯楽,1731,0.5,592,0.2,678,0.2,1043,0.3,416,0.1,2796,0.6,255,0.1,5162,1.7,1695,0.6,2342,0.8
2,6,10,3,5,他の物品サービス,354,0.1,554,0.2,275,0.1,181,0.1,283,0.1,799,0.2,575,0.1,207,0.1,287,0.1,288,0.1
2,6,10,3,6,贈与金,6072,1.8,4373,1.4,5337,1.8,1079,0.3,1339,0.3,1148,0.2,5489,1.2,5556,1.8,9910,3.3,10186,3.4
2,6,10,3,7,他の交際費,3009,0.9,3195,1,2637,0.9,2806,0.9,5105,1.3,3739,0.8,2789,0.6,3574,1.2,2338,0.8,3184,1.1
2,5,10,4,0,仕送り金,8878,2.6,-,-,67,0,1390,0.4,2316,0.6,4247,0.9,8223,1.8,8928,2.9,15762,5.2,1743,0.6
2,3,0,0,0,土地家屋購入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,3,0,0,0,（再掲）教育関係費,22982,6.7,4315,1.4,22925,7.7,44795,14.5,81617,20.7,73680,15.2,15330,3.3,10443,3.4,1353,0.4,1263,0.4
2,3,0,0,0,（再掲）教養娯楽関係費,40032,11.7,34059,11.1,39348,13.3,37928,12.2,40884,10.4,36304,7.5,46946,10.1,44462,14.6,39660,13.1,27760,9.4
2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,14950,4.4,4373,1.4,5404,1.8,2469,0.8,3656,0.9,5395,1.1,13712,2.9,14484,4.7,25672,8.5,11929,4
2,3,0,0,0,（再掲）経常消費支出,224996,65.8,236022,77.3,248964,83.9,238373,76.9,260407,66.1,285523,59,243693,52.4,236124,77.4,189307,62.3,169595,57.4
2,3,0,0,0,（再掲）情報通信関係費,16821,4.9,15317,5,17343,5.8,19526,6.3,21630,5.5,24612,5.1,18570,4,19811,6.5,12510,4.1,9514,3.2
2,3,0,0,0,（再掲）消費支出（除く住居等）　1）,282777,82.7,237891,77.9,253368,85.4,288565,93.1,365609,92.8,399867,82.6,324088,69.7,278141,91.2,241630,79.5,226732,76.8
3,2,0,0,0,現物総額,6089,100,15801,100,4882,100,3869,100,5961,100,5468,100,3186,100,3792,100,6564,100,6195,100
3,3,0,0,0,食料,4401,72.3,8447,53.5,2570,52.6,2584,66.8,3669,61.6,5069,92.7,2614,82,3350,88.3,5076,77.3,4826,77.9
3,3,0,0,0,住居,88,1.4,-,-,1443,29.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,3,0,0,0,光熱・水道,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,3,0,0,0,家具・家事用品,129,2.1,152,1,483,9.9,58,1.5,254,4.3,6,0.1,147,4.6,26,0.7,109,1.7,192,3.1
3,3,0,0,0,被服及び履物,258,4.2,1052,6.7,298,6.1,732,18.9,78,1.3,244,4.5,80,2.5,74,2,154,2.3,76,1.2
3,3,0,0,0,保健医療,15,0.2,130,0.8,-,-,18,0.5,-,-,26,0.5,-,-,-,-,8,0.1,4,0.1
3,3,0,0,0,交通・通信,255,4.2,238,1.5,64,1.3,-,-,1911,32.1,-,-,-,-,-,-,129,2,70,1.1
3,3,0,0,0,教育,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,3,0,0,0,教養娯楽,798,13.1,5131,32.5,-,-,425,11,49,0.8,123,2.2,338,10.6,206,5.4,891,13.6,769,12.4
3,3,0,0,0,その他の消費支出,144,2.4,651,4.1,24,0.5,52,1.3,-,-,-,-,6,0.2,137,3.6,197,3,259,4.2
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成28年10月,,,,,,,,,,,,,,,,,,,,,,,,,
第７表　世帯主年齢階層別１世帯当たり１か月間の用途別生計支出　―全世帯―,,,,,,,,,,,,,,,,,,,,,,,,,
注１）「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　2：生計支出　3：現物総額）,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
