日付,種別,区分,販売方法,種類1,種類2,卸売頭数
2021-04-19,豚,搬入枝肉,せり,並,,
2021-04-19,豚,搬入枝肉,せり,等外,,
2021-04-19,豚,搬入枝肉,相対,極上,,
2021-04-19,豚,搬入枝肉,相対,上,,
2021-04-19,豚,搬入枝肉,相対,中,,
2021-04-19,豚,搬入枝肉,相対,並,,
2021-04-19,豚,搬入枝肉,相対,等外,,1
2021-04-20,牛,生体,,和牛,おす,
2021-04-20,牛,生体,,和牛,めす,39
2021-04-20,牛,生体,,和牛,去勢,183
2021-04-20,牛,生体,,交雑,おす,
2021-04-20,牛,生体,,交雑,めす,45
2021-04-20,牛,生体,,交雑,去勢,65
2021-04-20,牛,生体,,乳牛用,おす,
2021-04-20,牛,生体,,乳牛用,めす,
2021-04-20,牛,生体,,乳牛用,去勢,
2021-04-20,牛,搬入枝肉,,和牛,おす,
2021-04-20,牛,搬入枝肉,,和牛,めす,40
2021-04-20,牛,搬入枝肉,,和牛,去勢,10
2021-04-20,牛,搬入枝肉,,交雑,おす,
2021-04-20,牛,搬入枝肉,,交雑,めす,
2021-04-20,牛,搬入枝肉,,交雑,去勢,3
2021-04-20,牛,搬入枝肉,,乳牛用,おす,
2021-04-20,牛,搬入枝肉,,乳牛用,めす,14
2021-04-20,牛,搬入枝肉,,乳牛用,去勢,2
2021-04-20,豚,生体,せり,極上,,2
2021-04-20,豚,生体,せり,上,,254
2021-04-20,豚,生体,せり,中,,373
2021-04-20,豚,生体,せり,並,,226
2021-04-20,豚,生体,せり,等外,,85
2021-04-20,豚,生体,相対,極上,,
2021-04-20,豚,生体,相対,上,,
2021-04-20,豚,生体,相対,中,,
2021-04-20,豚,生体,相対,並,,
2021-04-20,豚,生体,相対,等外,,
2021-04-20,豚,搬入枝肉,せり,極上,,
2021-04-20,豚,搬入枝肉,せり,上,,
2021-04-20,豚,搬入枝肉,せり,中,,
2021-04-20,豚,搬入枝肉,せり,並,,
2021-04-20,豚,搬入枝肉,せり,等外,,
2021-04-20,豚,搬入枝肉,相対,極上,,
2021-04-20,豚,搬入枝肉,相対,上,,
2021-04-20,豚,搬入枝肉,相対,中,,
2021-04-20,豚,搬入枝肉,相対,並,,
2021-04-20,豚,搬入枝肉,相対,等外,,
2021-04-21,牛,生体,,和牛,おす,
2021-04-21,牛,生体,,和牛,めす,104
2021-04-21,牛,生体,,和牛,去勢,118
2021-04-21,牛,生体,,交雑,おす,
2021-04-21,牛,生体,,交雑,めす,25
2021-04-21,牛,生体,,交雑,去勢,21
2021-04-21,牛,生体,,乳牛用,おす,
2021-04-21,牛,生体,,乳牛用,めす,
2021-04-21,牛,生体,,乳牛用,去勢,
2021-04-21,牛,搬入枝肉,,和牛,おす,
2021-04-21,牛,搬入枝肉,,和牛,めす,40
2021-04-21,牛,搬入枝肉,,和牛,去勢,20
2021-04-21,牛,搬入枝肉,,交雑,おす,
2021-04-21,牛,搬入枝肉,,交雑,めす,46
2021-04-21,牛,搬入枝肉,,交雑,去勢,70
2021-04-21,牛,搬入枝肉,,乳牛用,おす,
2021-04-21,牛,搬入枝肉,,乳牛用,めす,14
2021-04-21,牛,搬入枝肉,,乳牛用,去勢,4
2021-04-21,豚,生体,せり,極上,,3
2021-04-21,豚,生体,せり,上,,151
2021-04-21,豚,生体,せり,中,,293
2021-04-21,豚,生体,せり,並,,158
2021-04-21,豚,生体,せり,等外,,55
2021-04-21,豚,生体,相対,極上,,
2021-04-21,豚,生体,相対,上,,
2021-04-21,豚,生体,相対,中,,
2021-04-21,豚,生体,相対,並,,
2021-04-21,豚,生体,相対,等外,,
2021-04-21,豚,搬入枝肉,せり,極上,,
2021-04-21,豚,搬入枝肉,せり,上,,
2021-04-21,豚,搬入枝肉,せり,中,,
2021-04-21,豚,搬入枝肉,せり,並,,
2021-04-21,豚,搬入枝肉,せり,等外,,
2021-04-21,豚,搬入枝肉,相対,極上,,
2021-04-21,豚,搬入枝肉,相対,上,,
2021-04-21,豚,搬入枝肉,相対,中,,
