項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）
2,3,0,0,0,他の保険料,18071,-,9808,-,16131,-,16773,-,21823,-,21938,-,28778,-,12379,-,13771,-
2,2,0,0,0,有価証券購入,674,-,815,-,374,-,808,-,579,-,2110,-,-,-,-,-,-,-
2,2,0,0,0,土地家屋借金返済,34543,-,18072,-,33266,-,50023,-,57305,-,37330,-,32632,-,19237,-,10149,-
2,2,0,0,0,他の借金返済,978,-,1182,-,164,-,-,-,210,-,3270,-,2166,-,292,-,-,-
2,2,0,0,0,分割払購入借入金返済,2498,-,3206,-,478,-,3391,-,940,-,2840,-,4134,-,2772,-,2118,-
2,2,0,0,0,一括払購入借入金返済,44005,-,22467,-,32231,-,53390,-,57075,-,50003,-,67488,-,37892,-,14820,-
2,2,0,0,0,実支出以外の支払のその他,427,-,16,-,638,-,138,-,898,-,358,-,500,-,376,-,487,-
2,1,0,0,0,繰越金,56838,-,37675,-,52041,-,42387,-,75963,-,53451,-,74269,-,66837,-,49685,-
3,0,0,0,0,現物総額,4416,100,4503,100,1695,100,4884,100,4929,100,2869,100,7017,100,4999,100,4683,100
3,1,0,0,0,勤め先収入,352,8,1149,25.5,-,-,130,2.7,392,8,-,-,-,-,1134,22.7,139,3
3,1,0,0,0,その他,4064,92,3354,74.5,1695,100,4753,97.3,4537,92,2869,100,7017,100,3865,77.3,4544,97
3,0,0,0,0,現物総額,4416,100,4503,100,1695,100,4884,100,4929,100,2869,100,7017,100,4999,100,4683,100
3,1,0,0,0,食料,3288,74.5,2154,47.8,1604,94.6,3141,64.3,3294,66.8,2826,98.5,6670,95.1,2638,52.8,4411,94.2
3,1,0,0,0,住居,203,4.6,1149,25.5,-,-,130,2.7,392,8,-,-,-,-,-,-,-,-
3,1,0,0,0,光熱・水道,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,1,0,0,0,家具・家事用品,127,2.9,-,-,6,0.4,49,1,697,14.1,1,0,-,-,115,2.3,30,0.6
3,1,0,0,0,被服及び履物,126,2.9,730,16.2,60,3.5,174,3.6,-,-,24,0.8,-,-,75,1.5,-,-
3,1,0,0,0,保健医療,44,1,288,6.4,-,-,-,-,-,-,-,-,-,-,105,2.1,-,-
3,1,0,0,0,交通・通信,137,3.1,-,-,-,-,-,-,-,-,-,-,9,0.1,1032,20.6,139,3
3,1,0,0,0,教育,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,1,0,0,0,教養娯楽,91,2.1,143,3.2,-,-,-,-,412,8.4,17,0.6,-,-,45,0.9,78,1.7
3,1,0,0,0,その他の消費支出,398,9,38,0.8,25,1.5,1390,28.5,135,2.7,-,-,338,4.8,989,19.8,24,0.5
3,0,0,0,0,可処分所得,362518,-,336733,-,344603,-,432367,-,412014,-,398213,-,436227,-,260189,-,194540,-
3,0,0,0,0,黒字,38333,-,61560,-,91656,-,144374,-,-5900,-,61578,-,20968,-,-63709,-,-46317,-
3,1,0,0,0,金融資産純増,28534,-,92870,-,70102,-,126594,-,-70593,-,52178,-,6269,-,-34598,-,-34431,-
3,3,0,0,0,貯蓄純増,27860,-,92056,-,69728,-,125785,-,-71172,-,50068,-,6269,-,-34598,-,-34431,-
3,4,0,0,0,預貯金純増,5533,-,80701,-,54766,-,106359,-,-87772,-,20382,-,-28117,-,-68780,-,-49276,-
3,4,0,0,0,保険純増,22327,-,11355,-,14962,-,19426,-,16599,-,29686,-,34386,-,34182,-,14845,-
3,3,0,0,0,有価証券純購入,674,-,815,-,374,-,808,-,579,-,2110,-,-,-,-,-,-,-
3,1,0,0,0,土地家屋借金純減,34543,-,18072,-,33266,-,50023,-,57305,-,37330,-,32632,-,19237,-,10149,-
3,1,0,0,0,他の借金純減,978,-,1182,-,164,-,-,-,210,-,3270,-,2166,-,292,-,-,-
3,1,0,0,0,分割払購入借入金純減,594,-,2328,-,478,-,-5081,-,940,-,1481,-,2451,-,1839,-,2118,-
3,1,0,0,0,一括払購入借入金純減,-13899,-,-14883,-,-18208,-,-9448,-,-7411,-,-16836,-,-3591,-,-18844,-,-27003,-
3,1,0,0,0,土地家屋純増,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,1,0,0,0,その他の純増,158,-,-624,-,638,-,-81,-,251,-,22,-,500,-,230,-,487,-
3,1,0,0,0,繰越純増,-12575,-,-37386,-,5217,-,-17634,-,13398,-,-15869,-,-19459,-,-31864,-,2362,-
,,,,,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成27年9月,,,,,,,,,,,,,,,,,,,,,,,
第８表　世帯主年齢階層別１世帯当たり１か月間の収入と用途別生計支出　―勤労者世帯―,,,,,,,,,,,,,,,,,,,,,,,
注１）「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：受取　2：支払　3：現物総額・可処分所得・黒字）,,,,,,,,,,,,,,,,,,,,,,,
