全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,種別,町字ID,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_-地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,子供預かり料金種別,子供預かり料金,子供預かり料金備考,子供預かり開所時間,子供預かり閉所時間,病児保育の有無,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考,入園案内ホームページ,所在地
132292,132292KSLT000033,西東京市,アスクひばりヶ丘保育園,,,認可保育所,,東京都,西東京市,住吉町,4丁目6-12,,35.74728433,139.5500548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市住吉町4-6-12
132292,132292KSLT000034,西東京市,ポポラー東京ひばりが丘園,,,認可保育所,,東京都,西東京市,ひばりが丘,3丁目4-2,,35.74464862,139.5342124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市ひばりが丘3-4-2
132292,132292KSLT000035,西東京市,みらいく保谷園,,,認可保育所,,東京都,西東京市,下保谷,4丁目13-24,2階,35.74889865,139.5670919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市下保谷4-13-24・2F
132292,132292KSLT000036,西東京市,西東京新町雲母保育園,,,認可保育所,,東京都,西東京市,新町,3丁目11-6,,35.71515656,139.5374259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市新町3-11-6
132292,132292KSLT000037,西東京市,アスク保谷保育園,,,認可保育所,,東京都,西東京市,泉町,3丁目13-24,,35.74002324,139.5554836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市泉町3-13-24
132292,132292KSLT000038,西東京市,ぽけっとランド西東京保育園,,,認可保育所,,東京都,西東京市,谷戸町,2丁目3-7,3階,35.74479412,139.5424127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市谷戸町2-3-7・3F
132292,132292KSLT000039,西東京市,ポピンズナーサリースクール西東京,,,認可保育所,,東京都,西東京市,田無町,6丁目5-28,,35.7303463,139.5344023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市田無町6-5-28
132292,132292KSLT000040,西東京市,谷戸のびのび保育園分園,,,認可保育所,,東京都,西東京市,谷戸町,3丁目11-3,,35.74592834,139.5432806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市谷戸町3-11-3
132292,132292KSLT000041,西東京市,しもほうや保育園,,,認可保育所,,東京都,西東京市,下保谷,3丁目8-15,,35.75483125,139.5665792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市下保谷3-8-15
132292,132292KSLT000042,西東京市,西東京ユーカリ保育園,,,認可保育所,,東京都,西東京市,下保谷,5丁目13-15,,35.74941619,139.5645856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市下保谷5-13-15
132292,132292KSLT000043,西東京市,グローバルキッズ東伏見園,,,認可保育所,,東京都,西東京市,中町,4丁目8-23,,35.73729157,139.5663644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市中町4-8-23
132292,132292KSLT000005,西東京市,西東京みどり保育園,,,認可保育所,,東京都,西東京市,緑町,2丁目15-12,,35.74210846,139.5358991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市緑町2-15-12
132292,132292KSLT000044,西東京市,たけのこ保育室,,,,,東京都,西東京市,芝久保町,1丁目16-2,,35.7246182,139.5260455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市芝久保町1-16-2
132292,132292KSLT000045,西東京市,Pocapoca 保育室,,,,,東京都,西東京市,田無町,3丁目7-5,レインボーヒル101,35.72961887,139.5446438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市田無町3-7-5・101
132292,132292KSLT000046,西東京市,Manamana 保育室,,,,,東京都,西東京市,南町,5丁目2-10,ハイテラスかやま201,35.72686045,139.5375635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市南町5-2-10・201
132292,132292KSLT000047,西東京市,たけのこ保育園,,,,,東京都,西東京市,西原町,5丁目1-17,サンロイヤル西原2階,35.73725559,139.5352731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市西原町5-1-17・2F
132292,132292KSLT000048,西東京市,すまいる保育室,,,,,東京都,西東京市,保谷町,3丁目12-5,ラポール柳沢1階,35.72956214,139.55271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市保谷町3-12-5・1F
132292,132292KSLT000049,西東京市,小規模保育ひまわりのおうち,,,,,東京都,西東京市,田無町,4丁目11-2,,35.7266951,139.5325117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市田無町4-11-2
132292,132292KSLT000050,西東京市,たんぽぽ保育園柳沢駅前園,,,,,東京都,西東京市,柳沢,1丁目15-3,,35.72783393,139.5531959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市柳沢1-15-3
132292,132292KSLT000051,西東京市,保育室わんわん,,,,,東京都,西東京市,ひばりが丘北,4丁目3-8,,35.75345449,139.5445981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市ひばりが丘北4-3-8
132292,132292KSLT000052,西東京市,わかば保育園,,,,,東京都,西東京市,富士町,4丁目15-4,第二竹内ビル1階,35.73030468,139.5655829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市富士町4-15-4・1F
132292,132292KSLT000053,西東京市,ひばりが丘みさと保育園,,,,,東京都,西東京市,谷戸町,2丁目13-3,ビューパレス1階,35.74847944,139.5425313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市谷戸町2-13-3・1F
132292,132292KSLT000054,西東京市,Manamana 新町保育室,,,,,東京都,西東京市,新町,1丁目14-6,ラフォーレ新町1階,35.71452545,139.5443901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市新町1-14-6・1F
132292,132292KSLT000055,西東京市,南町Pocapoca 保育室,,,,,東京都,西東京市,南町,3丁目6-9,河合ビル1階,35.72702024,139.5439281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市南町3-6-9・1F
132292,132292KSLT000056,西東京市,保育室わんわん２ nd,,,,,東京都,西東京市,ひばりが丘北,3丁目7-8,1階,35.75284478,139.5471038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市ひばりが丘北3-7-8・1F
132292,132292KSLT000058,西東京市,アルタベビー田無園,,,,,東京都,西東京市,田無町,2丁目12-14,,35.7287135,139.5423062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市田無町2-12-14
132292,132292KSLT000059,西東京市,HOPPA田無しょこら保育園,,,,,東京都,西東京市,芝久保町,2丁目13-32,,35.72653086,139.5282023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市芝久保町2-13-32
132292,132292KSLT000060,西東京市,HOPPA田無まかろん保育園,,,,,東京都,西東京市,芝久保町,2丁目13-32,,35.72653086,139.5282023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市芝久保町2-13-32
132292,132292KSLT000061,西東京市,もりのなかま保育園保谷園,,,,,東京都,西東京市,東町,2丁目16-25,ヴィタノーバ1階,35.74559932,139.5617559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市東町2-16-25・1F
132292,132292KSLT000062,西東京市,ドリームキッズ中町保育園,,,,,東京都,西東京市,中町,2丁目4-9,,35.74390108,139.5610464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市中町2-4-9
132292,132292KSLT000063,西東京市,CO- 春（ こはる） 保育園,,,,,東京都,西東京市,北町,5丁目14-32,,35.75601284,139.5662537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市北町5-14-32
132292,132292KSLT000064,西東京市,ナーサリーこひつじ園,,,,,東京都,西東京市,ひばりが丘,1丁目15-8,,35.75203462,139.5427257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市ひばりが丘1-15-8
132292,132292KSLT000065,西東京市,生活クラブ保育園ぽむ,,,,,東京都,西東京市,泉町,3丁目12-25,パスレル保谷1階,35.74208472,139.5579197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市泉町3-12-25・1F
132292,132292KSLT000066,西東京市,Manamana下保谷保育室,,,,,東京都,西東京市,下保谷,5丁目7-9,セイワハイツ1階,35.75231924,139.5626042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市下保谷5丁目7-9・1F
132292,132292KSLT000067,西東京市,みらいひばりがおか保育園,,,,,東京都,西東京市,谷戸町,3丁目12-25,レジオンひばり101,35.74940283,139.5433151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市谷戸町3丁目12-25・101
