団体名（税目）,１普通税,(1)法定普通税,ア市町村民税,(ｱ)個人均等割,(ｲ)所得割,うち退職所得分,(ｳ)法人均等割,(ｴ)法人税割,イ固定資産税,(ｱ)純固定資産税,①土地,②家屋,③債却資産,(ｲ)交付金,ウ軽自動車税,エ市町村たばこ税,オ鉱産税,カ特別土地保有税,(ｱ)保有分,(ｲ)取得分,(2)法定外普通税,２目的税,(1)法定目的税,ア入湯税,イ事業所税,ウ都市計画税,(ｱ)土地,(ｲ)家屋,エ水利地益税,オ共同施設税,カ宅地開発税,(2)法定外目的税,３旧法による税,合計,国民健康保険税,国民健康保険料
清瀬市（収入済額)（千円）,8489458 ,8489458 ,4524515 ,119440 ,4146269 ,37573 ,110252 ,148554 ,3507121 ,3247880 ,1625334 ,1331610 ,290936 ,259241 ,49591 ,408231 ,0 ,0 ,0 ,0 ,0 ,694894 ,694894 ,0 ,0 ,694894 ,446149 ,248745 ,0 ,0 ,0 ,0 ,0 ,9184352 ,1698014 ,0 
清瀬市（収入歩合)（%）,96.6 ,96.6 ,95.2 ,97.3 ,94.8 ,100.0 ,99.3 ,99.3 ,98.3 ,98.1 ,98.1 ,98.1 ,98.1 ,100.0 ,93.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,98.0 ,98.0 ,0.0 ,0.0 ,98.0 ,98.0 ,98.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,96.7 ,75.7 ,0.0 
東久留米市（調定済額)（千円）,15648594 ,15648594 ,8358006 ,200501 ,7469741 ,66820 ,254671 ,433093 ,6573045 ,6365952 ,3512208 ,2337625 ,516119 ,207093 ,77413 ,640130 ,0 ,0 ,0 ,0 ,0 ,1453612 ,1453612 ,0 ,0 ,1453612 ,982981 ,470631 ,0 ,0 ,0 ,0 ,0 ,17102206 ,3222357 ,0 
東久留米市（収入済額)（千円）,15267583 ,15267583 ,8083409 ,193484 ,7208270 ,66820 ,252410 ,429245 ,6469977 ,6262884 ,3455344 ,2299778 ,507762 ,207093 ,74067 ,640130 ,0 ,0 ,0 ,0 ,0 ,1430068 ,1430068 ,0 ,0 ,1430068 ,967060 ,463008 ,0 ,0 ,0 ,0 ,0 ,16697651 ,2829550 ,0 
東久留米市（収入歩合)（%）,97.6 ,97.6 ,96.7 ,96.5 ,96.5 ,100.0 ,99.1 ,99.1 ,98.4 ,98.4 ,98.4 ,98.4 ,98.4 ,100.0 ,95.7 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,98.4 ,98.4 ,0.0 ,0.0 ,98.4 ,98.4 ,98.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.6 ,87.8 ,0.0 
武蔵村山市（調定済額)（千円）,9709625 ,9709625 ,4404090 ,119586 ,3727032 ,33427 ,207620 ,349852 ,4652741 ,4310104 ,2307112 ,1612492 ,390500 ,342637 ,115941 ,536853 ,0 ,0 ,0 ,0 ,0 ,845803 ,845803 ,5 ,0 ,845798 ,549279 ,296519 ,0 ,0 ,0 ,0 ,0 ,10555428 ,2315311 ,0 
武蔵村山市（収入済額)（千円）,9280057 ,9280057 ,4104681 ,110614 ,3447431 ,33427 ,203584 ,343052 ,4533865 ,4191228 ,2243480 ,1568019 ,379729 ,342637 ,104658 ,536853 ,0 ,0 ,0 ,0 ,0 ,822443 ,822443 ,5 ,0 ,822438 ,534109 ,288329 ,0 ,0 ,0 ,0 ,0 ,10102500 ,1752687 ,0 
武蔵村山市（収入歩合)（%）,95.6 ,95.6 ,93.2 ,92.5 ,92.5 ,100.0 ,98.1 ,98.1 ,97.4 ,97.2 ,97.2 ,97.2 ,97.2 ,100.0 ,90.3 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.2 ,97.2 ,100.0 ,0.0 ,97.2 ,97.2 ,97.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,95.7 ,75.7 ,0.0 
多摩市（調定済額)（千円）,27629450 ,27629450 ,13307030 ,262379 ,10610906 ,121900 ,414142 ,2019603 ,13344780 ,13133696 ,4441404 ,5854886 ,2837406 ,211084 ,87192 ,890448 ,0 ,0 ,0 ,0 ,0 ,1741955 ,1741955 ,0 ,0 ,1741955 ,875394 ,866561 ,0 ,0 ,0 ,0 ,0 ,29371405 ,4305610 ,0 
多摩市（収入済額)（千円）,27009488 ,27009488 ,12881526 ,252532 ,10212671 ,121900 ,411178 ,2005145 ,13154517 ,12943433 ,4359943 ,5747500 ,2835990 ,211084 ,82997 ,890448 ,0 ,0 ,0 ,0 ,0 ,1707069 ,1707069 ,0 ,0 ,1707069 ,857863 ,849206 ,0 ,0 ,0 ,0 ,0 ,28716557 ,3150572 ,0 
多摩市（収入歩合)（%）,97.8 ,97.8 ,96.8 ,96.2 ,96.2 ,100.0 ,99.3 ,99.3 ,98.6 ,98.6 ,98.2 ,98.2 ,100.0 ,100.0 ,95.2 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,98.0 ,98.0 ,0.0 ,0.0 ,98.0 ,98.0 ,98.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.8 ,73.2 ,0.0 
稲城市（調定済額)（千円）,13658928 ,13658928 ,7307706 ,150175 ,6609703 ,66549 ,173900 ,373928 ,5832891 ,5748032 ,2842726 ,2308423 ,596883 ,84859 ,51387 ,466944 ,0 ,0 ,0 ,0 ,0 ,1188159 ,1188159 ,0 ,0 ,1188159 ,721780 ,466379 ,0 ,0 ,0 ,0 ,0 ,14847087 ,2109222 ,0 
稲城市（収入済額)（千円）,13305505 ,13305505 ,7097878 ,145675 ,6411570 ,66549 ,171617 ,369016 ,5691218 ,5606359 ,2764806 ,2245152 ,596401 ,84859 ,49465 ,466944 ,0 ,0 ,0 ,0 ,0 ,1155590 ,1155590 ,0 ,0 ,1155590 ,701996 ,453594 ,0 ,0 ,0 ,0 ,0 ,14461095 ,1734836 ,0 
稲城市（収入歩合)（%）,97.4 ,97.4 ,97.1 ,97.0 ,97.0 ,100.0 ,98.7 ,98.7 ,97.6 ,97.5 ,97.3 ,97.3 ,99.9 ,100.0 ,96.3 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.3 ,97.3 ,0.0 ,0.0 ,97.3 ,97.3 ,97.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.4 ,82.3 ,0.0 
羽村市（調定済額)（千円）,10536047 ,10536047 ,5136471 ,102859 ,3548032 ,17263 ,146770 ,1338810 ,4826626 ,4741360 ,2309653 ,1587499 ,844208 ,85266 ,73768 ,499182 ,0 ,0 ,0 ,0 ,0 ,831048 ,831048 ,0 ,0 ,831048 ,538627 ,292421 ,0 ,0 ,0 ,0 ,0 ,11367095 ,1657716 ,0 
羽村市（収入済額)（千円）,10244310 ,10244310 ,4926591 ,97382 ,3363485 ,17263 ,144808 ,1320916 ,4751226 ,4665960 ,2272769 ,1562147 ,831044 ,85266 ,67311 ,499182 ,0 ,0 ,0 ,0 ,0 ,818848 ,818848 ,0 ,0 ,818848 ,530720 ,288128 ,0 ,0 ,0 ,0 ,0 ,11063158 ,1248489 ,0 
羽村市（収入歩合)（%）,97.2 ,97.2 ,95.9 ,94.7 ,94.8 ,100.0 ,98.7 ,98.7 ,98.4 ,98.4 ,98.4 ,98.4 ,98.4 ,100.0 ,91.2 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,98.5 ,98.5 ,0.0 ,0.0 ,98.5 ,98.5 ,98.5 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.3 ,75.3 ,0.0 
あきる野市（調定済額)（千円）,10038389 ,10038389 ,4951637 ,140052 ,4413617 ,34108 ,150082 ,247886 ,4485526 ,4483860 ,2319193 ,1746342 ,418325 ,1666 ,149152 ,452074 ,0 ,0 ,0 ,0 ,0 ,846557 ,846557 ,12682 ,0 ,833875 ,548931 ,284944 ,0 ,0 ,0 ,0 ,0 ,10884946 ,2365825 ,0 
あきる野市（収入済額)（千円）,9812524 ,9812524 ,4801866 ,135534 ,4272327 ,34108 ,145970 ,248035 ,4415884 ,4414218 ,2283172 ,1719219 ,411827 ,1666 ,142700 ,452074 ,0 ,0 ,0 ,0 ,0 ,832398 ,832398 ,12682 ,0 ,819716 ,539760 ,279956 ,0 ,0 ,0 ,0 ,0 ,10644922 ,2066805 ,0 
あきる野市（収入歩合)（%）,97.7 ,97.7 ,97.0 ,96.8 ,96.8 ,100.0 ,97.3 ,100.1 ,98.4 ,98.4 ,98.4 ,98.4 ,98.4 ,100.0 ,95.7 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,98.3 ,98.3 ,100.0 ,0.0 ,98.3 ,98.3 ,98.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.8 ,87.4 ,0.0 
西東京市（調定済額)（千円）,29480085 ,29480085 ,16844450 ,356448 ,14748381 ,150995 ,419463 ,1320158 ,11512595 ,11105298 ,5678759 ,4506809 ,919730 ,407297 ,88762 ,1034278 ,0 ,0 ,0 ,0 ,0 ,2621142 ,2621142 ,0 ,0 ,2621142 ,1695985 ,925157 ,0 ,0 ,0 ,0 ,0 ,32101227 ,7471 ,5621952 
西東京市（収入済額)（千円）,28541184 ,28541184 ,16122616 ,327813 ,14077452 ,150995 ,398326 ,1319025 ,11301336 ,10894039 ,5556561 ,4418867 ,918611 ,407297 ,82954 ,1034278 ,0 ,0 ,0 ,0 ,0 ,2565331 ,2565331 ,0 ,0 ,2565331 ,1658401 ,906930 ,0 ,0 ,0 ,0 ,0 ,31106515 ,1169 ,4391349 
西東京市（収入歩合)（%）,96.8 ,96.8 ,95.7 ,92.0 ,95.5 ,100.0 ,95.0 ,99.9 ,98.2 ,98.1 ,97.8 ,98.0 ,99.9 ,100.0 ,93.5 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.9 ,97.9 ,0.0 ,0.0 ,97.9 ,97.8 ,98.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,96.9 ,15.6 ,78.1 
瑞穂町（調定済額)（千円）,6447041 ,6447041 ,2607553 ,60251 ,1863881 ,5714 ,153105 ,530316 ,3322536 ,3248247 ,1628074 ,1120516 ,499657 ,74289 ,73490 ,443462 ,0 ,0 ,0 ,0 ,0 ,563353 ,563353 ,0 ,0 ,563353 ,353693 ,209660 ,0 ,0 ,0 ,0 ,0 ,7010394 ,1072608 ,0 
瑞穂町（収入済額)（千円）,6151287 ,6151287 ,2444621 ,55500 ,1716917 ,5714 ,150592 ,521612 ,3196347 ,3122058 ,1564826 ,1076985 ,480247 ,74289 ,66857 ,443462 ,0 ,0 ,0 ,0 ,0 ,542118 ,542118 ,0 ,0 ,542118 ,340361 ,201757 ,0 ,0 ,0 ,0 ,0 ,6693405 ,782751 ,0 
瑞穂町（収入歩合)（%）,95.4 ,95.4 ,93.8 ,92.1 ,92.1 ,100.0 ,98.4 ,98.4 ,96.2 ,96.1 ,96.1 ,96.1 ,96.1 ,100.0 ,91.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,96.2 ,96.2 ,0.0 ,0.0 ,96.2 ,96.2 ,96.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,95.5 ,73.0 ,0.0 
日の出町（調定済額)（千円）,2749947 ,2749947 ,1299245 ,29626 ,830689 ,7968 ,72873 ,366057 ,1297588 ,1297585 ,577238 ,554919 ,165428 ,3 ,32074 ,121040 ,0 ,0 ,0 ,0 ,0 ,205283 ,205283 ,43 ,0 ,205240 ,113201 ,92039 ,0 ,0 ,0 ,0 ,0 ,2955230 ,467878 ,0 
日の出町（収入済額)（千円）,2657005 ,2657005 ,1251195 ,28093 ,787691 ,7968 ,69403 ,366008 ,1254305 ,1254302 ,548973 ,540163 ,165166 ,3 ,30465 ,121040 ,0 ,0 ,0 ,0 ,0 ,195537 ,195537 ,43 ,0 ,195494 ,106582 ,88912 ,0 ,0 ,0 ,0 ,0 ,2852542 ,388119 ,0 
日の出町（収入歩合)（%）,96.6 ,96.6 ,96.3 ,94.8 ,94.8 ,100.0 ,95.2 ,100.0 ,96.7 ,96.7 ,95.1 ,97.3 ,99.8 ,100.0 ,95.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,95.3 ,95.3 ,100.0 ,0.0 ,95.3 ,94.2 ,96.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,96.5 ,83.0 ,0.0 
檜原村（調定済額)（千円）,211437 ,211437 ,92239 ,3406 ,78669 ,1179 ,4730 ,5434 ,109469 ,109469 ,47310 ,37234 ,24925 ,0 ,5660 ,4069 ,0 ,0 ,0 ,0 ,0 ,2043 ,2043 ,2043 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,213480 ,56126 ,0 
檜原村（収入済額)（千円）,206784 ,206784 ,90402 ,3333 ,76990 ,1179 ,4729 ,5350 ,106653 ,106653 ,46154 ,35574 ,24925 ,0 ,5660 ,4069 ,0 ,0 ,0 ,0 ,0 ,2043 ,2043 ,2043 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,208827 ,50586 ,0 
檜原村（収入歩合)（%）,97.8 ,97.8 ,98.0 ,97.9 ,97.9 ,100.0 ,100.0 ,98.5 ,97.4 ,97.4 ,97.6 ,95.5 ,100.0 ,0.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.8 ,90.1 ,0.0 
奥多摩町（調定済額)（千円）,774453 ,774453 ,258933 ,9496 ,219619 ,2039 ,14756 ,15062 ,474167 ,328696 ,96978 ,90906 ,140812 ,145471 ,11825 ,24782 ,4746 ,0 ,0 ,0 ,0 ,5869 ,5869 ,5869 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,780322 ,120950 ,0 
奥多摩町（収入済額)（千円）,759407 ,759407 ,253857 ,9393 ,214646 ,2039 ,14756 ,15062 ,464197 ,318726 ,91804 ,86110 ,140812 ,145471 ,11825 ,24782 ,4746 ,0 ,0 ,0 ,0 ,5869 ,5869 ,5869 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,765276 ,112766 ,0 
奥多摩町（収入歩合)（%）,98.1 ,98.1 ,98.0 ,98.9 ,97.7 ,100.0 ,100.0 ,100.0 ,97.9 ,97.0 ,94.7 ,94.7 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,98.1 ,93.2 ,0.0 
大島町（調定済額)（千円）,1017549 ,1017549 ,443393 ,14507 ,377511 ,1168 ,19732 ,31643 ,462295 ,394459 ,145950 ,138061 ,110448 ,67836 ,32077 ,79784 ,0 ,0 ,0 ,0 ,0 ,3370 ,3370 ,3370 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1020919 ,322711 ,0 
大島町（収入済額)（千円）,936774 ,936774 ,425600 ,13847 ,360378 ,1168 ,19732 ,31643 ,399987 ,332151 ,122896 ,116252 ,93003 ,67836 ,31403 ,79784 ,0 ,0 ,0 ,0 ,0 ,3370 ,3370 ,3370 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,940144 ,255203 ,0 
大島町（収入歩合)（%）,92.1 ,92.1 ,96.0 ,95.5 ,95.5 ,100.0 ,100.0 ,100.0 ,86.5 ,84.2 ,84.2 ,84.2 ,84.2 ,100.0 ,97.9 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,92.1 ,79.1 ,0.0 
利島村（調定済額)（千円）,43978 ,43978 ,21600 ,623 ,18964 ,366 ,1980 ,33 ,17928 ,15836 ,729 ,4550 ,10557 ,2092 ,1164 ,3286 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,43978 ,7595 ,0 
利島村（収入済額)（千円）,43867 ,43867 ,21554 ,623 ,18918 ,366 ,1980 ,33 ,17863 ,15771 ,716 ,4498 ,10557 ,2092 ,1164 ,3286 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,43867 ,7506 ,0 
利島村（収入歩合)（%）,99.7 ,99.7 ,99.8 ,100.0 ,99.8 ,100.0 ,100.0 ,100.0 ,99.6 ,99.6 ,98.2 ,98.9 ,100.0 ,100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,99.7 ,98.8 ,0.0 
新島村（調定済額)（千円）,378366 ,378366 ,140126 ,4757 ,126548 ,1369 ,6671 ,2150 ,197492 ,184382 ,20849 ,88284 ,75249 ,13110 ,13122 ,27626 ,0 ,0 ,0 ,0 ,0 ,459 ,459 ,459 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,378825 ,91050 ,0 
新島村（収入済額)（千円）,324853 ,324853 ,131625 ,4504 ,119412 ,1369 ,5736 ,1973 ,154888 ,141778 ,16035 ,67877 ,57866 ,13110 ,10714 ,27626 ,0 ,0 ,0 ,0 ,0 ,459 ,459 ,459 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,325312 ,73294 ,0 
新島村（収入歩合)（%）,85.9 ,85.9 ,93.9 ,94.7 ,94.4 ,100.0 ,86.0 ,91.8 ,78.4 ,76.9 ,76.9 ,76.9 ,76.9 ,100.0 ,81.6 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,85.9 ,80.5 ,0.0 
神津島村（調定済額)（千円）,238149 ,238149 ,109705 ,3410 ,95116 ,2132 ,4776 ,6403 ,103070 ,79371 ,5452 ,39488 ,34431 ,23699 ,6733 ,18641 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,238149 ,92461 ,0 
神津島村（収入済額)（千円）,229394 ,229394 ,105038 ,3210 ,91039 ,2132 ,4386 ,6403 ,99039 ,75340 ,5176 ,37482 ,32682 ,23699 ,6676 ,18641 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,229394 ,82314 ,0 
神津島村（収入歩合)（%）,96.3 ,96.3 ,95.7 ,94.1 ,95.7 ,100.0 ,91.8 ,100.0 ,96.1 ,94.9 ,94.9 ,94.9 ,94.9 ,100.0 ,99.2 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,96.3 ,89.0 ,0.0 
三宅村（調定済額)（千円）,392140 ,392140 ,176526 ,5116 ,159896 ,304 ,8069 ,3445 ,165027 ,143698 ,28751 ,48296 ,66651 ,21329 ,15240 ,35347 ,0 ,0 ,0 ,0 ,0 ,3336 ,3336 ,3336 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,395476 ,132273 ,0 
三宅村（収入済額)（千円）,329799 ,329799 ,155976 ,4494 ,140484 ,304 ,7553 ,3445 ,129831 ,108502 ,21701 ,36456 ,50345 ,21329 ,8645 ,35347 ,0 ,0 ,0 ,0 ,0 ,3336 ,3336 ,3336 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,333135 ,48215 ,0 
三宅村（収入歩合)（%）,84.1 ,84.1 ,88.4 ,87.8 ,87.9 ,100.0 ,93.6 ,100.0 ,78.7 ,75.5 ,75.5 ,75.5 ,75.5 ,100.0 ,56.7 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,84.2 ,36.5 ,0.0 
御蔵島村（調定済額)（千円）,47477 ,47477 ,21600 ,684 ,19323 ,237 ,1487 ,106 ,22172 ,21675 ,597 ,3856 ,17222 ,497 ,819 ,2886 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,47477 ,8250 ,0 
御蔵島村（収入済額)（千円）,46573 ,46573 ,20721 ,672 ,18456 ,237 ,1487 ,106 ,22172 ,21675 ,597 ,3856 ,17222 ,497 ,794 ,2886 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,46573 ,8021 ,0 
御蔵島村（収入歩合)（%）,98.1 ,98.1 ,95.9 ,98.2 ,95.5 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,96.9 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,98.1 ,97.2 ,0.0 
八丈町（調定済額)（千円）,1047616 ,1047616 ,442595 ,13942 ,379696 ,3754 ,20346 ,28611 ,488843 ,426174 ,143927 ,175589 ,106658 ,62669 ,28523 ,87655 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1047616 ,389986 ,0 
八丈町（収入済額)（千円）,954217 ,954217 ,404577 ,10762 ,347982 ,3754 ,18792 ,27041 ,436053 ,373384 ,123216 ,156821 ,93347 ,62669 ,25932 ,87655 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,954217 ,297084 ,0 
八丈町（収入歩合)（%）,91.1 ,91.1 ,91.4 ,77.2 ,91.6 ,100.0 ,92.4 ,94.5 ,89.2 ,87.6 ,85.6 ,89.3 ,87.5 ,100.0 ,90.9 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,91.1 ,76.2 ,0.0 
青ケ島村（調定済額)（千円）,34979 ,34979 ,17747 ,375 ,15616 ,392 ,1171 ,585 ,13300 ,12702 ,885 ,2640 ,9177 ,598 ,649 ,3283 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,34979 ,5272 ,0 
青ケ島村（収入済額)（千円）,34736 ,34736 ,17548 ,367 ,15425 ,392 ,1171 ,585 ,13256 ,12658 ,883 ,2633 ,9142 ,598 ,649 ,3283 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,34736 ,5240 ,0 
青ケ島村（収入歩合)（%）,99.3 ,99.3 ,98.9 ,97.9 ,98.8 ,100.0 ,100.0 ,100.0 ,99.7 ,99.7 ,99.8 ,99.7 ,99.6 ,100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,99.3 ,99.4 ,0.0 
小笠原村（調定済額)（千円）,472925 ,472925 ,283267 ,6078 ,257211 ,1815 ,10260 ,9718 ,158069 ,128374 ,23484 ,35930 ,68960 ,29695 ,6059 ,25530 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,472925 ,82187 ,0 
小笠原村（収入済額)（千円）,467569 ,467569 ,279897 ,6002 ,253955 ,1815 ,10222 ,9718 ,156096 ,126401 ,23123 ,35378 ,67900 ,29695 ,6046 ,25530 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,467569 ,79179 ,0 
小笠原村（収入歩合)（%）,98.9 ,98.9 ,98.8 ,98.7 ,98.7 ,100.0 ,99.6 ,100.0 ,98.8 ,98.5 ,98.5 ,98.5 ,98.5 ,100.0 ,99.8 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,98.9 ,96.3 ,0.0 
