X（m）,Y（m）,経度（度）,緯度（度）,津波高（最大）（m）
-63295,-194795,139.14619185,34.24208480,3.5196
-63285,-194795,139.14630041,34.24208540,3.5266
-63255,-194795,139.14662607,34.24208723,3.5292
-64065,-194805,139.13783388,34.24194751,4.1724
-64025,-194805,139.13826810,34.24194997,3.9190
-63985,-194805,139.13870232,34.24195244,4.1841
-63975,-194805,139.13881087,34.24195305,4.2737
-63295,-194805,139.14619259,34.24199464,3.5882
-63285,-194805,139.14630114,34.24199525,3.5764
-64065,-194815,139.13783462,34.24185736,4.0833
-64015,-194815,139.13837739,34.24186044,4.1472
-64005,-194815,139.13848595,34.24186105,4.1611
-63995,-194815,139.13859450,34.24186167,4.2344
-63985,-194815,139.13870306,34.24186228,4.4237
-63285,-194815,139.14630187,34.24190510,3.6988
-63275,-194815,139.14641043,34.24190571,3.6665
-64175,-194825,139.13664127,34.24176043,4.0653
-64165,-194825,139.13674982,34.24176105,4.0969
-64015,-194825,139.13837814,34.24177029,4.1991
-64005,-194825,139.13848669,34.24177090,4.3049
-63995,-194825,139.13859524,34.24177152,4.4776
-63285,-194825,139.14630261,34.24181495,3.7682
-63275,-194825,139.14641116,34.24181556,3.7169
-64185,-194835,139.13653346,34.24166966,4.0359
-64175,-194835,139.13664201,34.24167028,4.0925
-64165,-194835,139.13675056,34.24167089,4.1249
-64155,-194835,139.13685912,34.24167151,4.1498
-64145,-194835,139.13696767,34.24167213,3.8558
-64135,-194835,139.13707623,34.24167274,3.8716
-64075,-194835,139.13772755,34.24167644,3.9323
-64015,-194835,139.13837888,34.24168013,4.2851
-64005,-194835,139.13848743,34.24168075,4.2728
-63285,-194835,139.14630334,34.24172480,3.7931
-63275,-194835,139.14641189,34.24172540,3.7355
-64175,-194845,139.13664275,34.24158012,4.0792
-64165,-194845,139.13675131,34.24158074,4.1642
-64155,-194845,139.13685986,34.24158136,4.3551
-64095,-194845,139.13751118,34.24158506,3.9439
-64085,-194845,139.13761974,34.24158567,3.9434
-64075,-194845,139.13772829,34.24158629,4.0065
-64065,-194845,139.13783685,34.24158690,4.2394
-63285,-194845,139.14630407,34.24163464,3.7700
-63275,-194845,139.14641263,34.24163525,3.7209
-64175,-194855,139.13664350,34.24148997,4.0256
-64165,-194855,139.13675205,34.24149059,4.1227
-64135,-194855,139.13707771,34.24149244,4.2622
-64105,-194855,139.13740337,34.24149429,3.9830
-64095,-194855,139.13751193,34.24149490,3.9802
-64075,-194855,139.13772903,34.24149614,4.1998
-64065,-194855,139.13783759,34.24149675,4.2698
-63285,-194855,139.14630480,34.24154449,3.7579
-63275,-194855,139.14641336,34.24154510,3.7100
-63105,-194855,139.14825878,34.24155543,3.5208
-64185,-194865,139.13653568,34.24139920,4.0350
-64175,-194865,139.13664424,34.24139982,4.0709
-64135,-194865,139.13707845,34.24140229,4.3005
-64105,-194865,139.13740411,34.24140414,4.0469
-64095,-194865,139.13751267,34.24140475,4.0417
-64075,-194865,139.13772978,34.24140598,4.2248
-64065,-194865,139.13783833,34.24140660,4.2639
-63275,-194865,139.14641409,34.24145495,3.7258
-63195,-194865,139.14728252,34.24145981,3.6695
-64185,-194875,139.13653643,34.24130905,4.0645
-64175,-194875,139.13664498,34.24130967,4.1795
-64115,-194875,139.13729630,34.24131337,4.1059
-64105,-194875,139.13740486,34.24131398,4.1094
-64095,-194875,139.13751341,34.24131460,4.1081
-63275,-194875,139.14641482,34.24136480,3.7435
-63265,-194875,139.14652338,34.24136540,3.7285
-63105,-194875,139.14826024,34.24137512,3.5508
-64185,-194885,139.13653717,34.24121890,4.0718
-64125,-194885,139.13718849,34.24122260,4.1919
-64115,-194885,139.13729705,34.24122322,4.1455
-64105,-194885,139.13740560,34.24122383,4.1579
-63265,-194885,139.14652411,34.24127525,3.7350
-63255,-194885,139.14663266,34.24127586,3.7283
-64185,-194895,139.13653791,34.24112875,4.0458
-64125,-194895,139.13718923,34.24113245,4.2202
-64115,-194895,139.13729779,34.24113306,4.2093
-64105,-194895,139.13740634,34.24113368,4.1967
-63255,-194895,139.14663339,34.24118571,3.7309
-63245,-194895,139.14674195,34.24118632,3.7318
-63235,-194895,139.14685050,34.24118692,3.7282
-63125,-194895,139.14804459,34.24119360,3.6098
-64205,-194905,139.13632155,34.24103736,3.9746
-64195,-194905,139.13643010,34.24103798,4.0198
-64185,-194905,139.13653866,34.24103860,4.1305
-64115,-194905,139.13729853,34.24104291,4.2711
-63245,-194905,139.14674268,34.24109616,3.7414
-63235,-194905,139.14685123,34.24109677,3.7671
-63225,-194905,139.14695979,34.24109738,3.7716
-63125,-194905,139.14804532,34.24110345,3.6079
-64215,-194915,139.13621374,34.24094659,3.8936
-64205,-194915,139.13632229,34.24094721,3.9390
-64145,-194915,139.13697361,34.24095091,4.7153
-64115,-194915,139.13729927,34.24095276,4.3412
-63235,-194915,139.14685197,34.24100662,3.8611
-63225,-194915,139.14696052,34.24100723,3.8339
-63215,-194915,139.14706907,34.24100783,3.7974
-63205,-194915,139.14717763,34.24100844,3.7675
-63085,-194915,139.14848027,34.24101573,3.5593
-64215,-194925,139.13621448,34.24085644,3.8967
-64205,-194925,139.13632304,34.24085706,3.9487
-64125,-194925,139.13719146,34.24086199,4.2784
-63225,-194925,139.14696125,34.24091707,3.8739
-63215,-194925,139.14706980,34.24091768,3.8389
-63205,-194925,139.14717836,34.24091829,3.8225
-63085,-194925,139.14848100,34.24092557,3.6286
-64215,-194935,139.13621523,34.24076629,4.0434
-63215,-194935,139.14707054,34.24082753,3.9531
-63205,-194935,139.14717909,34.24082814,3.8906
-63195,-194935,139.14728764,34.24082875,3.8407
-63185,-194935,139.14739620,34.24082935,3.7987
-63175,-194935,139.14750475,34.24082996,3.7592
-63135,-194935,139.14793896,34.24083239,3.6677
-63085,-194935,139.14848173,34.24083542,3.6897
-63205,-194945,139.14717982,34.24073799,3.9405
-63195,-194945,139.14728837,34.24073859,3.8567
-63185,-194945,139.14739693,34.24073920,3.8173
-63175,-194945,139.14750548,34.24073981,3.7816
-63165,-194945,139.14761403,34.24074041,3.7431
-63155,-194945,139.14772259,34.24074102,3.7130
-63135,-194945,139.14793969,34.24074224,3.6955
-63125,-194945,139.14804825,34.24074284,3.7188
-63095,-194945,139.14837391,34.24074466,3.7618
-63195,-194955,139.14728911,34.24064844,3.8671
-63185,-194955,139.14739766,34.24064905,3.8156
-63175,-194955,139.14750621,34.24064966,3.7979
-63165,-194955,139.14761476,34.24065026,3.7645
-63155,-194955,139.14772332,34.24065087,3.7178
-63145,-194955,139.14783187,34.24065148,3.6803
-63135,-194955,139.14794042,34.24065208,3.7158
-63125,-194955,139.14804898,34.24065269,3.7430
-64205,-194965,139.13632601,34.24049645,4.4875
-64195,-194965,139.13643456,34.24049707,4.8044
-63155,-194965,139.14772405,34.24056072,3.7138
-63145,-194965,139.14783260,34.24056132,3.7409
-63135,-194965,139.14794115,34.24056193,3.7652
-63125,-194965,139.14804971,34.24056254,3.7708
-64185,-194975,139.13654386,34.24040753,4.6893
-63145,-194975,139.14783333,34.24047117,3.8813
-63135,-194975,139.14794189,34.24047178,3.8193
-63125,-194975,139.14805044,34.24047239,3.8069
-64175,-194985,139.13665315,34.24031800,4.8040
-63135,-194985,139.14794262,34.24038163,3.8941
-63125,-194985,139.14805117,34.24038223,3.8553
-63115,-194985,139.14815972,34.24038284,3.9011
-63115,-194995,139.14816045,34.24029269,4.0015
-64125,-195005,139.13719740,34.24014078,5.0697
-63115,-195005,139.14816118,34.24020254,4.0813
-63105,-195005,139.14826973,34.24020314,4.0025
-64195,-195015,139.13643828,34.24004631,4.5521
