年次,Year,産業（大分類） Industry (Division),男女及び産業 (大分類),Gender and industry (Division),項番 Item number,産業（中分類） ,Industry (Major groups),総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of employees 1),1～4人 1-4 Persons／事業所数 Number of establishments,1～4人 1-4 Persons／従業者数 Number of employees 1),5～9人 5-9 Persons／事業所数 Number of establishments,5～9人 5-9 Persons／従業者数 Number of employees 1),10～19人 10-19 Persons／事業所数 Number of establishments,10～19人 10-19 Persons／従業者数 Number of employees 1),20～29人 20-29 Persons／事業所数 Number of establishments,20～29人 20-29 Persons／従業者数 Number of employees 1),30～49人 30-49 Persons／事業所数 Number of establishments,30～49人 30-49 Persons／従業者数 Number of employees 1),50～99人 50-99 Persons／事業所数 Number of establishments,50～99人 50-99 Persons／従業者数 Number of employees 1),100～199人 100-199 Persons／事業所数 Number of establishments,100～199人 100-199 Persons／従業者数 Number of employees 1),200～299人 200-299 Persons／事業所数 Number of establishments,200～299人 200-299 Persons／従業者数 Number of employees 1) ,300人以上 300 Persons and over／事業所数 Number of establishments,300人以上 300 Persons and over／従業者数 Number of employees 1) ,500人以上 500 Persons and over／事業所数 Number of establishments,500人以上 500 Persons and over／従業者数 Number of employees 1) ,出向・派遣従業者のみの事業所数 Number of establishments where all workers are on loan or dispatched from other places
平成24,2012,Ｐ,医療，福祉,Medical， health care and welfare,1,医療業,Medical and other health services,29754,381143,14256,34528,9779,64257,3807,48555,657,15509,421,15636,307,21220,217,30690,116,28011,160,122737,…,…,34
平成24,2012,Ｐ,医療，福祉,Medical， health care and welfare,2,保健衛生,Public health and hygiene,312,9942,119,253,46,290,44,612,16,390,33,1230,34,2336,15,2002,-,-,3,2829,…,…,2
平成24,2012,Ｐ,医療，福祉,Medical， health care and welfare,3,社会保険・社会福祉・介護事業,Social insurance， social welfare and care services,9592,253107,1289,3577,1946,13317,2390,33273,1254,30185,1419,54029,881,60111,301,38879,23,5650,26,14086,…,…,63
平成24,2012,Ｐ,医療，福祉,Medical， health care and welfare,PZ,医療，福祉内格付不能,Unable to classify within the Medical， Health Care and Welfare,43,540,11,28,17,130,9,123,1,21,3,113,2,125,-,-,-,-,-,-,…,…,-
平成24,2012,Ｑ,複合サービス事業,Compound services,,,,1773,19966,173,441,1130,7849,322,3834,27,641,59,2384,47,2790,3,367,-,-,2,1660,…,…,10
平成24,2012,Ｑ,複合サービス事業,Compound services,1,郵便局,Postal services,1525,17092,68,231,1090,7601,272,3130,10,231,41,1694,41,2420,1,125,-,-,2,1660,…,…,-
平成24,2012,Ｑ,複合サービス事業,Compound services,2,協同組合(他に分類されないもの),Cooperative associations， n.e.c.,248,2874,105,210,40,248,50,704,17,410,18,690,6,370,2,242,-,-,-,-,…,…,10
平成24,2012,Ｒ,サービス業(他に分類されないもの),Services， n.e.c.,,,,37527,900885,18313,40827,7181,47076,4670,62951,1883,44920,1754,66798,1466,102108,964,133327,294,71926,486,330952,…,…,516
平成24,2012,Ｒ,サービス業(他に分類されないもの),Services， n.e.c.,1,廃棄物処理業,Waste disposal business,1149,21839,334,834,249,1663,239,3193,120,2864,94,3645,89,6066,13,1591,2,484,3,1499,…,…,6
平成24,2012,Ｒ,サービス業(他に分類されないもの),Services， n.e.c.,2,自動車整備業,Automobile maintenance services,2802,17338,1792,4233,648,4184,240,3095,58,1371,36,1295,17,1082,3,406,1,222,4,1450,…,…,3
平成24,2012,Ｒ,サービス業(他に分類されないもの),Services， n.e.c.,3,機械等修理業(別掲を除く),Machine， etc. repair services， except otherwise classified,2922,47866,1528,3163,516,3440,415,5655,136,3228,120,4547,107,7662,52,7183,11,2565,21,10423,…,…,16
平成24,2012,Ｒ,サービス業(他に分類されないもの),Services， n.e.c.,4,職業紹介・労働者派遣業,Employment and worker dispatching services,2801,215038,782,1940,455,3020,393,5476,185,4459,254,9694,242,17078,232,32593,77,18930,164,121848,…,…,17
平成24,2012,Ｒ,サービス業(他に分類されないもの),Services， n.e.c.,5,その他の事業サービス業,Miscellaneous business services,13969,485081,5218,11708,2622,17468,2190,29677,1001,23906,950,36260,844,58898,567,78354,183,44869,275,183941,…,…,119
平成24,2012,Ｒ,サービス業(他に分類されないもの),Services， n.e.c.,6,政治・経済・文化団体　,Political， business and cultural organizations,7050,62328,4010,8514,1353,8798,745,10002,253,5965,194,7276,106,7170,65,9014,12,2911,6,2678,…,…,306
平成24,2012,Ｒ,サービス業(他に分類されないもの),Services， n.e.c.,7,宗教,Religion,5112,26437,3812,8454,926,5746,209,2670,54,1288,40,1583,25,1648,9,1144,2,546,4,3358,…,…,31
平成24,2012,Ｒ,サービス業(他に分類されないもの),Services， n.e.c.,8,その他のサービス業　,Miscellaneous services,374,5627,113,279,109,742,92,1168,19,457,18,661,14,1033,3,358,-,-,1,929,…,…,5
平成24,2012,Ｒ,サービス業(他に分類されないもの),Services， n.e.c.,R1,サービス業（政治・経済・文化団体，宗教）内格付不能,Unable to classify within the Services， n.e.c. (Political， business and cultural organizations),72,415,41,92,12,79,10,141,3,73,1,30,-,-,-,-,-,-,-,-,…,…,5
平成24,2012,Ｒ,サービス業(他に分類されないもの),Services， n.e.c.,R2,サービス業（政治・経済・文化団体，宗教を除く）内格付不能,Unable to classify within the Services， n.e.c. (Except Political， business and cultural organizations),1276,18916,683,1610,291,1936,137,1874,54,1309,47,1807,22,1471,20,2684,6,1399,8,4826,…,…,8
平成24,2012,Ｓ,公務(他に分類されるものを除く),Government， except elsewhere classified,,,,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
平成24,2012,Ｓ,公務(他に分類されるものを除く),Government， except elsewhere classified,1,国家公務,National government,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
平成24,2012,Ｓ,公務(他に分類されるものを除く),Government， except elsewhere classified,2,地方公務,Local government,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　8 事業所 8  ESTABLISHMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-2  産業 (中分類)， 従業者規模別事業所数及び男女別従業者数 (平成21年，24年) 8-2  ESTABLISHMENTS AND EMPLOYEES BY ESTABLISHMENT EMPLOYMENT SIZE BY GENDER AND INDUSTRY ( MAJOR GROUP ) ( 2009 and 2012 ) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 「従業者数」の「総数」には，男女別が不詳の者が含まれるため，男性と女性の合計が総数に一致しない場合がある。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) 平成21年は経済センサス基礎調査の公務を含む全業種の数値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) The combined number of men and women may not equal the total figure because the total figure includes workers whose gender is unknown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Figures for 2009 are for all industries including government， from the Economic Census for Business Frame. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：総務省統計局 「平成21年経済センサス-基礎調査」，「平成24年経済センサス-活動調査」 Source: Ministry of Internal Affairs and Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
