地域階層,地区コード,項番 Item number,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く) Lumber and wood products， except furniture,事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 Non-ferrous metals and products,事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 General-purpose machinery,事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,事業所数 Establishments／電気機械器具 Electrical machinery， equipment and supplies,事業所数 Establishments／情報通信機械器具 Information and communications equipment,事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) Lumber and wood products， except furniture,従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 Non-ferrous metals and products,従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 General-purpose machinery,従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,従業者数 Persons engaged／電気機械器具 Electrical machinery， equipment and supplies,従業者数 Persons engaged／情報通信機械器具 Information and communications equipment,従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) Lumber and wood products， except furniture,製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品 Plastic products， except otherwise classified,製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 Non-ferrous metals and products,製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 General-purpose machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 Electrical machinery， equipment and supplies,製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 Information and communications equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
2,13218,16,福生市,Fussa-shi,89,1595,577968,1679318,3263012,1517443,6,2,3,-,6,-,8,2,-,3,-,-,2,-,1,13,1,9,7,6,7,-,8,5,391,46,13,-,23,-,497,7,-,15,-,-,66,-,5,70,8,86,71,15,93,-,167,22,407937,x,10916,-,16095,-,1752346,x,-,9374,-,-,x,-,x,143109,x,96054,125333,11093,157776,-,286966,10848
2,13219,17,狛江市,Komae-shi,76,683,278463,1499683,2169982,657508,6,-,5,-,5,3,8,1,-,5,-,-,1,-,1,10,2,5,5,4,7,2,1,5,33,-,8,-,19,86,112,52,-,13,-,-,8,-,20,75,29,75,46,18,45,19,2,23,26675,-,2184,-,27373,223230,125076,x,-,8174,-,-,x,-,x,89059,x,241447,124969,20952,97735,x,x,77061
2,13220,18,東大和市,Higashiyamato-shi,102,1811,752423,5015537,8710661,3548477,8,-,2,-,8,2,10,-,-,3,-,2,2,-,1,9,2,11,6,11,12,3,4,6,769,-,5,-,38,15,78,-,-,38,-,12,6,-,8,109,44,128,115,69,269,41,52,15,7072757,-,x,-,41332,x,85636,-,-,21962,-,x,x,-,x,102162,x,207632,378284,50982,553114,63472,38683,15810
2,13221,19,清瀬市,Kiyose-shi,49,1155,792500,766784,2618770,1776641,4,1,5,-,5,3,5,3,-,2,-,-,-,-,-,6,-,2,1,1,2,2,2,5,33,10,10,-,11,73,14,218,-,14,-,-,-,-,-,24,-,8,9,2,40,3,674,12,18737,x,2564,-,8608,406267,7810,626169,-,x,-,-,-,-,-,20591,-,x,x,x,x,x,x,4779
2,13222,20,東久留米市,Higashikurume-shi,108,3233,1460650,9511971,16568886,6820044,9,2,1,-,13,2,13,1,-,1,-,1,5,-,1,8,5,13,6,6,12,1,1,7,1605,168,2,-,40,7,63,2,-,2,-,3,23,-,2,75,30,129,40,71,136,8,5,822,6017425,x,x,-,38957,x,107148,x,-,x,-,x,141373,-,x,72850,56452,358970,40083,108299,216589,x,x,3231610
2,13223,21,武蔵村山市,Musashimurayama-shi,239,4199,1499183,3972053,7598318,3548046,17,1,6,1,12,2,17,2,-,13,1,-,2,2,5,38,5,45,16,11,24,3,8,8,1468,2,40,1,58,12,117,8,-,196,4,-,26,22,13,409,52,920,237,93,207,5,292,17,2814548,x,13155,x,78713,x,125430,x,-,212349,x,-,x,x,14806,524292,100463,2336982,278303,120303,270235,4311,519944,6372
2,13224,22,多摩市,Tama-shi,62,866,418068,1108118,2154379,1029497,6,-,2,-,2,-,6,1,-,3,-,-,-,-,1,6,4,5,5,7,4,3,-,7,116,-,17,-,6,-,181,5,-,45,-,-,-,-,1,36,13,78,204,50,36,53,-,25,102058,-,x,-,x,-,305395,x,-,101060,-,-,-,-,x,29814,23286,182983,944418,232171,x,120795,-,12782
2,13225,23,稲城市,Inagi-shi,155,1987,948529,1382526,2895064,1485934,8,1,2,-,5,-,2,1,-,11,-,1,4,1,8,23,4,14,11,15,18,9,7,10,275,118,4,-,10,-,7,9,-,127,-,2,71,1,18,527,28,127,103,253,106,142,20,39,412911,x,x,-,4407,-,x,x,-,133303,-,x,244524,x,4365,856281,36193,244208,95671,287790,96518,225376,10859,34367
2,13227,24,羽村市,Hamura-shi,122,8659,3889550,37909261,54304215,16360131,2,-,2,-,4,1,9,2,-,2,-,-,1,4,3,18,6,16,6,6,10,6,11,13,16,-,4,-,20,91,153,114,-,8,-,-,15,289,70,100,689,207,68,187,163,627,5282,556,x,-,x,-,43813,x,443127,x,-,x,-,-,x,2396215,93910,150220,1509297,375758,73001,272602,416647,1040859,45212864,1088829
2,13228,25,あきる野市,Akiruno-shi,201,2439,831171,1846055,3601492,1699888,9,2,4,8,9,4,7,2,-,12,-,-,6,1,4,26,4,37,14,9,19,5,9,10,150,24,12,47,27,56,26,15,-,133,-,-,46,2,153,164,36,302,236,61,556,70,155,168,111398,x,4677,50930,27409,63650,17903,x,-,159595,-,-,98394,x,543598,162563,49608,365444,334075,28778,919985,96308,290496,238729
2,13229,26,西東京市,Nishitokyo-shi,127,2747,1578844,9725785,11056767,1626934,19,-,8,-,5,3,13,2,-,4,-,3,-,-,-,12,2,12,10,5,10,3,2,14,208,-,20,-,16,21,122,18,-,14,-,10,-,-,-,78,22,54,538,39,46,76,4,1461,237155,-,11877,-,16058,43249,211352,x,-,12723,-,4753,-,-,-,86597,x,60884,1824555,29066,90628,117760,x,8249441
1,13300,,郡部,All gun,477,6890,2705787,9964196,17474402,7328088,27,8,3,16,18,5,11,4,3,29,1,-,14,6,8,82,13,65,24,24,26,5,43,42,975,37,21,84,77,128,297,221,20,351,5,-,386,112,125,599,151,716,620,316,443,191,606,409,3434216,44640,8093,102310,x,x,769222,x,x,626753,x,-,2001577,434330,259309,522923,232421,1433826,2740314,358792,1212209,304188,x,629384
1,13350,,島部,All islands,95,479,98573,192386,446032,231020,53,12,3,-,1,-,3,9,-,-,-,-,10,-,-,-,-,-,-,-,-,-,4,-,240,53,14,-,1,-,5,86,-,-,-,-,73,-,-,-,-,-,-,-,-,-,7,-,124237,69848,7062,-,x,-,2582,72893,-,-,-,-,164924,-,-,-,-,-,-,-,-,-,x,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 11   工業 11  MANUFACTURING INDUSTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-1  地域， 産業別事業所数， 従業者数及び製造品出荷額等 (平成23年) 11-1  ESTABLISHMENTS，EMPLOYEES，AND SHIPMENTS BY DISTRICT AND INDUSTRY ( 2011 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
この表は， 平成24年経済センサス-活動調査から工業統計の範囲、定義を合わせた形で、東京都が集計した結果である。調査時点は平成24年2月1日現在であるが、事業所数、従事者数以外の項目については平成23年1年間のもの（１月から12月の合計）となっている。なお， 全事業所についての数値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For this table， the TMG adjusted data from the Economic Census for Business Activity conducted on February 1， 2012， so that they are comparable to data from the Census of Manufactures. Data other than the numbers of establishments and employees are for th.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部産業統計課 「2011東京の工業（平成24年経済センサス-活動調査　工業統計相当集計結果）」 Source: Bureau of General Affairs， TMG ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位　金額　万円) (Value in ten thousands of yen) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
