年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of  employees 1),総数 Total／従業者数 Number of  employees 1) ／男 Male,総数 Total／従業者数 Number of  employees 1) ／女 Female,Ａ農業，林業・Ｂ漁業 Agriculture And Forestry And Fisheries Explanatory Notes／事業所数 Number of establishments　,Ａ農業，林業・Ｂ漁業 Agriculture And Forestry And Fisheries Explanatory Notes／従業者数 Number of employees 1),Ａ農業，林業・Ｂ漁業 Agriculture And Forestry And Fisheries Explanatory Notes／従業者数 Number of employees 1)／男 Male,Ａ農業，林業・Ｂ漁業 Agriculture And Forestry And Fisheries Explanatory Notes／従業者数 Number of employees 1)／女 Female,Ｃ鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／事業所数 Number of establishments,Ｃ鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／従業者数 Number of employees 1),Ｃ鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／従業者数 Number of employees 1)／男 Male,Ｃ鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／従業者数 Number of employees 1)／女 Female,Ｄ建設業 Construction／事業所数 Number of establishments,Ｄ建設業 Construction／従業者数 Number of employees 1),Ｄ建設業 Construction／従業者数 Number of employees 1)／男 Male,Ｄ建設業 Construction／従業者数 Number of employees 1)／女 Female,Ｅ製造業 Manufacturing／事業所数 Number of establishments,Ｅ製造業 Manufacturing／従業者数 Number of employees 1),Ｅ製造業 Manufacturing／従業者数 Number of employees 1)／男 Male,Ｅ製造業 Manufacturing／従業者数 Number of employees 1)／女 Female,Ｆ電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／事業所数 Number of establishments,Ｆ電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of employees 1),Ｆ電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of employees 1)／男 Male,Ｆ電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of employees 1)／女 Female,Ｇ情報通信業 Information and communications／事業所数 Number of establishments,Ｇ情報通信業 Information and communications／従業者数 Number of employees 1) ,Ｇ情報通信業 Information and communications／従業者数 Number of employees 1)／男 Male,Ｇ情報通信業 Information and communications／従業者数 Number of employees 1)／女 Female,Ｈ運輸業、郵便業 Transport and postal activities／事業所数 Number of establishments,Ｈ運輸業、郵便業 Transport and postal activities／従業者数 Number of employees 1),Ｈ運輸業、郵便業 Transport and postal activities／従業者数 Number of employees 1)／男 Male,Ｈ運輸業、郵便業 Transport and postal activities／従業者数 Number of employees 1)／女 Female,Ｉ卸売業，小売業 Wholesale and retail trade／事業所数 Number of establishments,Ｉ卸売業，小売業 Wholesale and retail trade／従業者数 Number of employees 1),Ｉ卸売業，小売業 Wholesale and retail trade／従業者数 Number of employees 1)／男 Male,Ｉ卸売業，小売業 Wholesale and retail trade／従業者数 Number of employees 1)／女 Female,Ｊ金融業，保険業 Finance and insurance／事業所数 Number of establishments,Ｊ金融業，保険業 Finance and insurance／従業者数 Number of employees 1),Ｊ金融業，保険業 Finance and insurance／従業者数 Number of employees 1)／男 Male,Ｊ金融業，保険業 Finance and insurance／従業者数 Number of employees 1)／女 Female,Ｋ不動産業，物品賃貸業 Real estate and goods rental and leasing／事業所数 Number of establishments,Ｋ不動産業，物品賃貸業 Real estate and goods rental and leasing／従業者数 Number of employees 1),Ｋ不動産業，物品賃貸業 Real estate and goods rental and leasing／従業者数 Number of employees 1)／男 Male,Ｋ不動産業，物品賃貸業 Real estate and goods rental and leasing／従業者数 Number of employees 1)／女 Female,Ｌ学術研究，専門・技術サービス業 Scientific research，professional and technical services／事業所数 Number of establishments,Ｌ学術研究，専門・技術サービス業 Scientific research，professional and technical services／従業者数 Number of employees 1),Ｌ学術研究，専門・技術サービス業 Scientific research，professional and technical services／従業者数 Number of employees 1)／男 Male,Ｌ学術研究，専門・技術サービス業 Scientific research，professional and technical services／従業者数 Number of employees 1)／女 Female,Ｍ宿泊業，飲食サービス業 Accommodations， eating and drinking services／事業所数 Number of establishments,Ｍ宿泊業，飲食サービス業 Accommodations， eating and drinking services／従業者数 Number of employees 1),Ｍ宿泊業，飲食サービス業 Accommodations， eating and drinking services／従業者数 Number of employees 1)／男 Male,Ｍ宿泊業，飲食サービス業 Accommodations， eating and drinking services／従業者数 Number of employees 1)／女 Female,Ｎ生活関連サービス業，娯楽業 Living-related and personal services and amusement services／事業所数 Number of establishments,Ｎ生活関連サービス業，娯楽業 Living-related and personal services and amusement services／従業者数 Number of employees 1),Ｎ生活関連サービス業，娯楽業 Living-related and personal services and amusement services／従業者数 Number of employees 1)／男 Male,Ｎ生活関連サービス業，娯楽業 Living-related and personal services and amusement services／従業者数 Number of employees 1)／女 Female,Ｏ教育，学習支援業 Education，learning support／事業所数 Number of establishments,Ｏ教育，学習支援業 Education，learning support／従業者数 Number of employees 1),Ｏ教育，学習支援業 Education，learning support／従業者数 Number of employees 1)／男 Male,Ｏ教育，学習支援業 Education，learning support／従業者数 Number of employees 1)／女 Female,Ｐ医療，福祉 Medical， health care and welfare／事業所数 Number of establishments,Ｐ医療，福祉 Medical， health care and welfare／従業者数 Number of employees 1),Ｐ医療，福祉 Medical， health care and welfare／従業者数 Number of employees 1)／男 Male,Ｐ医療，福祉 Medical， health care and welfare／従業者数 Number of employees 1)／女 Female,Ｑ複合サービス事業 Compound services／事業所数 Number of establishments,Ｑ複合サービス事業 Compound services／従業者数 Number of employees 1),Ｑ複合サービス事業 Compound services／従業者数 Number of employees 1)／男 Male,Ｑ複合サービス事業 Compound services／従業者数 Number of employees 1)／女 Female,Ｒサービス業 (他に分類されないもの) Services， n.e.c.／事業所数 Number of establishments,Ｒサービス業 (他に分類されないもの) Services， n.e.c.／従業者数 Number of employees 1),Ｒサービス業 (他に分類されないもの) Services， n.e.c.／従業者数 Number of employees 1)／男 Male (Female),Ｒサービス業 (他に分類されないもの) Services， n.e.c.／従業者数 Number of employees 1)／女 Female,Ｓ公務（他に分類されるものを除く） Government， except elsewhere classified ／事業所数 Number of establishments,Ｓ公務（他に分類されるものを除く） Government， except elsewhere classified ／従業者数 Number of employees 1),Ｓ公務（他に分類されるものを除く） Government， except elsewhere classified ／従業者数 Number of employees 1)／男 Male,Ｓ公務（他に分類されるものを除く） Government， except elsewhere classified ／従業者数 Number of employees 1)／女 Female
平成24,2012,3,13206,6,府中市,Fuchu-shi,7417,103810,61870,41097,13,71,32,…,-,-,-,…,800,7046,5848,…,361,16855,13560,…,5,173,166,…,157,8468,6728,…,129,4982,4029,…,1720,17937,9410,…,101,2078,893,…,805,2659,1547,…,302,3182,2270,…,1037,10591,4215,…,669,5758,1927,…,274,4343,2271,…,602,10203,2945,…,25,237,113,…,417,9227,5916,…,…,…,…,…
平成24,2012,3,13207,7,昭島市,Akishima-shi,3649,46075,27154,18751,4,28,21,…,1,-,-,…,343,2125,1723,…,294,14137,11091,…,2,84,76,…,39,389,318,…,81,2366,1958,…,937,9391,4654,…,44,535,213,…,257,937,542,…,126,642,393,…,553,4571,1801,…,368,1999,845,…,147,1075,458,…,273,5034,1231,…,14,194,112,…,166,2568,1718,…,…,…,…,…
平成24,2012,3,13208,8,調布市,Chofu-shi,6554,72564,36736,35231,10,50,39,…,-,-,-,…,573,4075,3323,…,305,3576,2471,…,3,136,104,…,153,2576,1818,…,112,3262,2827,…,1591,16543,7057,…,75,4419,1865,…,606,2559,1506,…,319,2619,1847,…,968,8785,3873,…,616,3866,1847,…,282,5602,2685,…,600,8992,2437,…,22,191,81,…,319,5313,2956,…,…,…,…,…
平成24,2012,3,13209,9,町田市,Machida-shi,11985,127476,61880,64049,27,174,146,…,1,2,1,…,1197,7515,5788,…,493,8738,5598,…,4,192,124,…,195,2304,1370,…,168,4843,3932,…,3057,29756,12972,…,207,3339,1160,…,983,5744,3200,…,651,3024,1889,…,1500,17104,7171,…,1164,6940,2872,…,602,10140,5201,…,1079,19122,5334,…,36,379,179,…,621,8160,4943,…,…,…,…,…
平成24,2012,3,13210,10,小金井市,Koganei-shi,2845,28232,14466,13564,2,16,13,…,-,-,-,…,202,1357,1067,…,85,1056,809,…,1,16,15,…,54,512,316,…,28,955,872,…,689,6403,2930,…,38,489,232,…,292,945,512,…,160,1104,776,…,408,3505,1551,…,288,1450,686,…,137,4786,3075,…,319,4706,1124,…,12,191,105,…,130,741,383,…,…,…,…,…
平成24,2012,3,13211,11,小平市,Kodaira-shi,4491,48394,26840,21228,12,130,95,…,-,-,-,…,500,3795,3092,…,209,7408,6246,…,1,12,12,…,58,557,384,…,65,2146,1909,…,1105,9426,4522,…,63,661,266,…,362,1216,677,…,182,1037,689,…,613,5086,1903,…,449,2384,956,…,232,4675,2511,…,421,7297,1903,…,20,208,100,…,199,2356,1575,…,…,…,…,…
平成24,2012,3,13212,12,日野市,Hino-shi,4420,54656,33567,20892,6,24,16,…,-,-,-,…,377,2562,2129,…,207,13586,11696,…,2,9,9,…,80,734,585,…,84,3019,2701,…,863,8431,4084,…,65,717,243,…,502,1315,742,…,260,2918,2154,…,549,4800,1947,…,398,1589,670,…,255,3652,2045,…,483,7615,2075,…,19,249,125,…,270,3436,2346,…,…,…,…,…
平成24,2012,3,13213,13,東村山市,Higashimurayama-shi,3677,35355,16632,18534,8,40,30,…,-,-,-,…,394,2240,1787,…,233,3914,2502,…,2,119,68,…,34,475,234,…,75,2053,1669,…,868,7425,3208,…,50,919,294,…,274,946,491,…,139,752,471,…,554,4217,1505,…,400,2006,923,…,134,1240,553,…,350,7513,1936,…,19,271,153,…,143,1225,808,…,…,…,…,…
平成24,2012,3,13214,14,国分寺市,Kokubunji-shi,3490,34949,18684,16061,8,69,49,…,-,-,-,…,266,1850,1501,…,93,1333,970,…,3,30,25,…,96,1338,1005,…,30,1080,903,…,819,7065,3228,…,42,610,173,…,319,1476,889,…,190,2947,2346,…,592,5578,2391,…,303,1817,1011,…,179,2282,1165,…,370,4170,1067,…,12,149,80,…,168,3155,1881,…,…,…,…,…
平成24,2012,3,13215,15,国立市,Kunitachi-shi,2640,26022,13532,12265,2,4,2,…,-,-,-,…,173,1108,898,…,70,877,624,…,1,4,3,…,59,446,247,…,52,2160,1785,…,639,6274,2993,…,20,410,167,…,308,957,508,…,147,1097,699,…,352,3002,1187,…,243,1192,516,…,150,3547,1699,…,264,3187,930,…,12,138,74,…,148,1619,1200,…,…,…,…,…
平成24,2012,3,13218,16,福生市,Fussa-shi,2083,17336,8524,8654,3,17,11,…,1,1,1,…,184,1029,865,…,112,1746,1055,…,1,50,38,…,13,218,156,…,28,565,486,…,540,3799,1789,…,32,419,122,…,128,521,284,…,81,350,216,…,407,2576,967,…,222,970,368,…,77,505,225,…,157,3175,799,…,6,42,22,…,91,1353,1120,…,…,…,…,…
平成24,2012,3,13219,17,狛江市,Komae-shi,2078,17712,9384,8258,5,23,21,…,-,-,-,…,280,1784,1405,…,112,950,679,…,-,-,-,…,40,213,134,…,22,624,567,…,457,3927,2070,…,25,231,87,…,283,813,440,…,82,607,456,…,243,1578,709,…,191,927,322,…,72,645,263,…,170,3207,782,…,7,80,39,…,89,2103,1410,…,…,…,…,…
平成24,2012,3,13220,18,東大和市,Higashiyamato-shi,2559,22722,11465,11041,1,10,8,…,-,-,-,…,362,1795,1410,…,140,2191,1616,…,1,50,44,…,31,347,252,…,55,1317,1121,…,615,5522,2529,…,36,490,163,…,171,766,505,…,93,522,344,…,351,2778,1009,…,250,1463,651,…,107,617,263,…,215,3891,1041,…,9,88,32,…,122,875,477,…,…,…,…,…
平成24,2012,3,13221,19,清瀬市,Kiyose-shi,1840,18072,7797,10123,3,11,9,…,-,-,-,…,200,1135,902,…,61,1259,892,…,1,4,4,…,15,49,30,…,27,607,515,…,452,2985,1164,…,26,263,77,…,141,464,267,…,76,398,265,…,251,1778,656,…,212,1082,469,…,80,995,415,…,202,6342,1739,…,8,124,65,…,85,576,328,…,…,…,…,…
平成24,2012,3,13222,20,東久留米市,Higashikurume-shi,2900,26894,13642,13062,11,80,58,…,-,-,-,…,376,1963,1572,…,155,3722,2634,…,-,-,-,…,41,522,245,…,48,1608,1410,…,726,6753,3220,…,32,438,148,…,256,794,452,…,105,469,302,…,307,2658,998,…,259,1224,468,…,129,1125,465,…,282,4201,924,…,17,252,140,…,156,1085,606,…,…,…,…,…
平成24,2012,3,13223,21,武蔵村山市,Musashimurayama-shi,2468,25781,13840,11812,4,50,42,…,-,-,-,…,426,2356,1918,…,321,5327,3271,…,1,10,6,…,8,26,18,…,103,2920,2232,…,676,6098,2833,…,15,207,72,…,112,449,252,…,59,192,102,…,261,2427,930,…,172,1241,551,…,59,389,137,…,119,3064,747,…,8,116,68,…,124,909,661,…,…,…,…,…
平成24,2012,3,13224,22,多摩市,Tama-shi,3551,59324,29382,29586,4,40,30,…,-,-,-,…,212,2086,1507,…,103,1542,990,…,4,56,52,…,104,4515,2596,…,48,5279,4542,…,960,13412,6850,…,72,1631,437,…,324,1856,1129,…,200,1643,845,…,468,6194,2662,…,343,3702,1500,…,133,3722,1697,…,317,7749,1861,…,16,182,92,…,243,5715,2592,…,…,…,…,…
平成24,2012,3,13225,23,稲城市,Inagi-shi,2133,21714,11909,9661,11,102,86,…,1,6,6,…,279,1782,1442,…,214,3647,2732,…,2,21,21,…,41,849,598,…,38,925,857,…,386,4444,2107,…,24,197,75,…,278,698,401,…,94,448,318,…,220,1665,627,…,165,1238,526,…,89,1092,430,…,161,3190,731,…,8,95,40,…,122,1315,912,…,…,…,…,…
平成24,2012,3,13227,24,羽村市,Hamura-shi,1988,25039,16385,8505,1,23,18,…,-,-,-,…,174,1044,829,…,150,9002,7952,…,3,63,57,…,19,315,203,…,43,1027,855,…,437,3895,1908,…,19,230,88,…,139,497,251,…,65,1554,1250,…,395,2523,957,…,193,701,256,…,89,607,244,…,142,2024,538,…,6,104,56,…,113,1430,923,…,…,…,…,…
平成24,2012,3,13228,25,あきる野市,Akiruno-shi,2469,20870,10815,9844,8,55,46,…,-,-,-,…,405,1932,1554,…,243,3016,2175,…,2,38,38,…,21,212,168,…,35,945,744,…,618,4491,1936,…,36,473,191,…,97,328,188,…,98,372,233,…,272,2182,862,…,226,1504,648,…,81,639,297,…,179,3690,1050,…,12,122,73,…,136,871,612,…,…,…,…,…
平成24,2012,3,13229,26,西東京市,Nishitokyo-shi,5103,48271,23482,24533,5,20,14,…,-,-,-,…,507,3895,3119,…,180,2965,2177,…,2,21,16,…,90,995,696,…,50,2197,2004,…,1252,10359,4374,…,73,1076,336,…,460,1918,1168,…,209,792,487,…,723,5453,2335,…,579,3531,1586,…,236,3157,1478,…,534,8021,2089,…,22,215,110,…,181,3656,1493,…,…,…,…,…
平成24,2012,1,13300,,郡部,All gun,2668,28821,16467,12267,17,138,113,…,3,48,46,…,368,1855,1492,…,588,7881,5495,…,-,-,-,…,6,22,15,…,103,2989,2205,…,678,6047,2880,…,25,277,143,…,84,326,203,…,51,268,170,…,249,2115,734,…,154,1335,603,…,34,172,52,…,139,4003,1373,…,11,66,32,…,158,1279,911,…,…,…,…,…
平成24,2012,3,13303,1,瑞穂町,Mizuho-machi,1556,17290,10397,6845,4,13,9,…,-,-,-,…,196,984,769,…,447,5616,3904,…,-,-,-,…,5,20,14,…,77,2398,1697,…,381,3733,1995,…,11,176,92,…,60,260,161,…,29,120,68,…,101,902,296,…,76,798,373,…,17,113,35,…,60,1324,370,…,3,19,8,…,89,814,606,…,…,…,…,…
平成24,2012,3,13305,2,日の出町,Hinode-machi,688,8602,4397,4166,6,58,44,…,1,3,3,…,94,510,431,…,96,1765,1264,…,-,-,-,…,1,2,1,…,13,461,391,…,200,1941,696,…,11,76,39,…,20,60,37,…,17,135,92,…,56,779,260,…,54,390,157,…,14,40,11,…,59,2021,728,…,2,11,5,…,44,350,238,…,…,…,…,…
平成24,2012,3,13307,3,檜原村,Hinohara-mura,143,842,459,383,1,8,7,…,1,17,16,…,30,114,94,…,18,129,82,…,-,-,-,…,-,-,-,…,2,35,31,…,34,91,46,…,1,8,3,…,2,3,2,…,2,3,2,…,27,133,68,…,7,42,17,…,1,1,-,…,6,203,75,…,1,5,2,…,10,50,14,…,…,…,…,…
平成24,2012,3,13308,4,奥多摩町,Okutama-machi,281,2087,1214,873,6,59,53,…,1,28,27,…,48,247,198,…,27,371,245,…,-,-,-,…,-,-,-,…,11,95,86,…,63,282,143,…,2,17,9,…,2,3,3,…,3,10,8,…,65,301,110,…,17,105,56,…,2,18,6,…,14,455,200,…,5,31,17,…,15,65,53,…,…,…,…,…
平成24,2012,1,13350,,島部,All islands,2138,10913,6176,4735,8,116,42,…,1,1,1,…,244,2270,1945,…,112,572,294,…,16,125,98,…,2,10,3,…,93,679,503,…,451,1942,869,…,20,191,112,…,48,94,61,…,37,134,86,…,665,2203,850,…,199,519,297,…,31,98,53,…,64,1055,336,…,40,270,189,…,107,634,437,…,…,…,…,…
平成24,2012,2,13360,,大島支庁,Oshima-shicho,1089,5298,2933,2365,2,5,3,…,1,1,1,…,129,1002,841,…,56,310,161,…,7,56,44,…,-,-,-,…,40,288,213,…,279,1031,469,…,13,126,72,…,10,26,17,…,14,25,18,…,326,1076,412,…,90,245,147,…,14,52,30,…,33,642,224,…,18,85,56,…,57,328,225,…,…,…,…,…
平成24,2012,3,13361,1,大島町,Oshima-machi,595,3158,1683,1475,1,4,2,…,1,1,1,…,72,550,452,…,25,156,77,…,2,24,18,…,-,-,-,…,15,141,104,…,171,607,259,…,10,105,60,…,9,23,15,…,10,20,14,…,154,591,221,…,47,148,88,…,11,45,27,…,25,502,180,…,8,34,24,…,34,207,141,…,…,…,…,…
平成24,2012,3,13362,2,利島村,Toshima-mura,42,161,107,54,1,1,1,…,-,-,-,…,6,32,29,…,3,26,21,…,1,5,5,…,-,-,-,…,2,14,9,…,8,10,5,…,-,-,-,…,-,-,-,…,-,-,-,…,11,21,6,…,3,5,4,…,-,-,-,…,1,8,3,…,2,8,4,…,4,31,20,…,…,…,…,…
平成24,2012,3,13363,3,新島村,Niijima-mura,259,1196,681,515,-,-,-,…,-,-,-,…,29,263,233,…,18,84,38,…,2,15,12,…,-,-,-,…,15,83,62,…,57,231,97,…,2,13,7,…,1,3,2,…,2,2,2,…,94,300,121,…,15,28,16,…,1,1,1,…,3,78,22,…,6,31,20,…,14,64,48,…,…,…,…,…
平成24,2012,3,13364,4,神津島村,Kozushima-mura,193,783,462,321,-,-,-,…,-,-,-,…,22,157,127,…,10,44,25,…,2,12,9,…,-,-,-,…,8,50,38,…,43,183,108,…,1,8,5,…,-,-,-,…,2,3,2,…,67,164,64,…,25,64,39,…,2,6,2,…,4,54,19,…,2,12,8,…,5,26,16,…,…,…,…,…
平成24,2012,2,13380,,三宅支庁,Miyake-shicho,184,1015,676,339,1,16,14,…,-,-,-,…,28,316,265,…,7,21,9,…,2,19,16,…,-,-,-,…,12,68,51,…,32,137,61,…,1,12,8,…,2,6,6,…,1,3,2,…,52,166,69,…,23,44,31,…,1,3,2,…,1,17,6,…,9,58,43,…,12,129,93,…,…,…,…,…
平成24,2012,3,13381,1,三宅村,Miyake-mura,151,849,564,285,1,16,14,…,-,-,-,…,24,258,214,…,7,21,9,…,2,19,16,…,-,-,-,…,7,47,36,…,27,106,48,…,1,12,8,…,2,6,6,…,1,3,2,…,43,135,56,…,15,34,25,…,1,3,2,…,1,17,6,…,7,43,29,…,12,129,93,…,…,…,…,…
平成24,2012,3,13382,2,御蔵島村,Mikurajima-mura,33,166,112,54,-,-,-,…,-,-,-,…,4,58,51,…,-,-,-,…,-,-,-,…,-,-,-,…,5,21,15,…,5,31,13,…,-,-,-,…,-,-,-,…,-,-,-,…,9,31,13,…,8,10,6,…,-,-,-,…,-,-,-,…,2,15,14,…,-,-,-,…,…,…,…,…
平成24,2012,2,13400,,八丈支庁,Hachijo-shicho,596,3157,1792,1363,2,9,4,…,-,-,-,…,59,690,618,…,35,210,108,…,4,27,20,…,2,10,3,…,28,230,180,…,111,606,256,…,5,47,29,…,21,40,25,…,12,34,24,…,183,630,237,…,62,162,85,…,13,24,12,…,21,266,73,…,9,52,34,…,29,120,84,…,…,…,…,…
平成24,2012,3,13401,1,八丈町,Hachijo-machi,575,3058,1720,1336,2,9,4,…,-,-,-,…,54,644,576,…,34,200,102,…,3,27,20,…,2,10,3,…,26,223,177,…,108,597,251,…,5,47,29,…,21,40,25,…,12,34,24,…,176,610,227,…,62,162,85,…,13,24,12,…,21,266,73,…,8,48,31,…,28,117,81,…,…,…,…,…
平成24,2012,3,13402,2,青ヶ島村,Aogashima-mura,21,99,72,27,-,-,-,…,-,-,-,…,5,46,42,…,1,10,6,…,1,-,-,…,-,-,-,…,2,7,3,…,3,9,5,…,-,-,-,…,-,-,-,…,-,-,-,…,7,20,10,…,-,-,-,…,-,-,-,…,-,-,-,…,1,4,3,…,1,3,3,…,…,…,…,…
平成24,2012,2,13420,,小笠原支庁,Ogasawara-shicho,269,1443,775,668,3,86,21,…,-,-,-,…,28,262,221,…,14,31,16,…,3,23,18,…,-,-,-,…,13,93,59,…,29,168,83,…,1,6,3,…,15,22,13,…,10,72,42,…,104,331,132,…,24,68,34,…,3,19,9,…,9,130,33,…,4,75,56,…,9,57,35,…,…,…,…,…
平成24,2012,3,13421,1,小笠原村,Ogasawara-mura,269,1443,775,668,3,86,21,…,-,-,-,…,28,262,221,…,14,31,16,…,3,23,18,…,-,-,-,…,13,93,59,…,29,168,83,…,1,6,3,…,15,22,13,…,10,72,42,…,104,331,132,…,24,68,34,…,3,19,9,…,9,130,33,…,4,75,56,…,9,57,35,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　8 事業所 8  ESTABLISHMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-1  地域， 産業 （大分類） 別事業所数及び男女別従業者数 （平成21年，平成24年） 8-1 ESTABLISHMENTS， EMPLOYEES， EMPLOYEES BY GENDER， BY INDUSTRY (DIVISIONS) AND  DISTRICT  (2009 and 2012)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調査時点は，「経済センサス‐基礎調査」は平成21年7月１日，「経済センサス‐活動調査」は平成24年2月1日，「事業所・企業統計調査」は各年10月1日である。「経済センサス」は農林漁業に属する個人経営の事業所，家事サービス業，外国公務を除く全ての事業所及び企業を対象とし，「経済センサス‐基礎調査」と「経済センサス‐活動調査」の２調査を実施している。「経済センサス‐基礎調査」では民営事業所に対する調査（以下「甲調査」という。）及び国・地方公共団体に属する事業所に対する調査（以下「乙調査」という。）を実施し，「経済センサス‐活動調査」では甲調査のみを実施し乙調査は実施していない。なお、「経済センサス」と「事業所・企業統計調査」は調査方法が異なることから比較はできない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data are based on the Economic Census for Business Frame conducted on July 1， 2009， the Economic Census for Business Activity on February 1， 2012， and the Establishment and Enterprise Census on October 1 of each year. The Economic Censuses cover all establishments and enterprises excluding: individual proprietorships in agriculture， forestry and fisheries; domestic services; and foreign governments and international agencies. While the Economic Census for Business Frame covers private and public establishments， the Economic Census for Business Activity only covers private establishments. Data from the Economic Censuses are not comparable to those from the Establishment and Enterprise Census， because they are conducted by different methods.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 男女別が不詳の従業者が含まれるため，男性と女性の合計が総数に一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) 平成21年数値は経済センサス-基礎調査の数値であり，上段は公営を含む全産業，下段は公営を除いた産業の数値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) The combined number of men and women may not equal the total figure because the total figure includes workers whose gender is unknown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Figures for 2009 are from the Economic Census for Business Frame. The figures in the upper row are for all industries including government， and those in the lower row exclude government bodies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：総務省統計局 「平成21年経済センサス-基礎調査」，「平成24年経済センサス-活動調査」 Source: Ministry of Internal Affairs and Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:各支庁　3:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
