テナントID,所在地,特定テナント等事業者名称（会社名）,特定テナント等事業所名称（支店名等）,特定テナントが入居する事業所名称,総合評価
2142-03,港区芝浦三丁目１番２１号,エイ・エイ・ピー・シー・ジャパン株式会社,プルマン東京田町,ムスブ田町,A評価
2142-06,港区芝浦三丁目１番２１号,三菱自動車工業株式会社,三菱自動車工業株式会社,ムスブ田町,AAA評価
2147-01,千代田区大手町二丁目３番１号,エヌ・ティ・ティ・コミュニケーションズ株式会社,エヌ・ティ・ティ・コミュニケーションズ株式会社,大手町プレイス,S評価
2147-02,千代田区大手町二丁目３番１号,住友商事株式会社,東京本社,大手町プレイス,AAA評価
2149-01,千代田区丸の内三丁目2番3号,デロイト トーマツ コーポレート ソリューション合同会社,丸の内二重橋ビルディング,丸の内二重橋ビルディング・東京商工会議所ビル・東京會舘ビル,AAA評価
2149-02,千代田区丸の内三丁目2番3号,三菱マテリアル株式会社,本社,丸の内二重橋ビルディング・東京商工会議所ビル・東京會舘ビル,AAA評価
2149-03,千代田区丸の内三丁目2番3号,三菱重工業株式会社,本社,丸の内二重橋ビルディング・東京商工会議所ビル・東京會舘ビル,AA評価
2149-04,千代田区丸の内三丁目2番3号,有限責任監査法人トーマツ,丸の内二重橋ビルディング,丸の内二重橋ビルディング・東京商工会議所ビル・東京會舘ビル,AA評価
2151-01,千代田区内幸町二丁目1番6号,株式会社エヌ・ティ・ティ・データ,第一公共事業本部 パブリックサービスデザイン事業部,日比谷パークフロント,A評価
2151-02,千代田区内幸町二丁目1番6号,WeWork Japan合同会社,WeWork日比谷パークフロント,日比谷パークフロント,AA評価
2151-03,千代田区内幸町二丁目1番6号,ソニー銀行株式会社,ソニー銀行株式会社本社,日比谷パークフロント,AA評価
2154-01,品川区西品川一丁目1番1号,株式会社富士通エフサス,大崎ｶﾞｰﾃﾞﾝﾀﾜｰ,住友不動産大崎ガーデンタワー,AAA評価
2154-03,品川区西品川一丁目1番1号,株式会社日本アクセス,本社,住友不動産大崎ガーデンタワー,AA評価
2154-04,品川区西品川一丁目1番1号,セガサミーホールディングス株式会社,本社,住友不動産大崎ガーデンタワー,AA評価
2156-01,港区芝浦四丁目14番22号,日本電気株式会社,日本電気株式会社,大東田町ビルディング,AAA評価
2157-01,品川区東品川四丁目12番2号,三菱総研ＤＣＳ株式会社,三菱総研ＤＣＳ株式会社,品川シーサイドウエストタワー,A評価
2159-01,中央区日本橋二丁目５番１号,株式会社ＪＥＲＡ,本社,太陽生命日本橋ビルおよび日本橋?島屋三井ビルディング,A評価
2159-02,中央区日本橋二丁目５番１号,ＳＭＢＣ日興証券株式会社,ＳＭＢＣ日興証券株式会社 本店 日本橋?島屋三井ビルディング分室,太陽生命日本橋ビルおよび日本橋?島屋三井ビルディング,AA評価
2159-03,中央区日本橋二丁目５番１号,東海東京フィナンシャル・ホールディングス株式会社,東海東京フィナンシャル・ホールディングス株式会社,太陽生命日本橋ビルおよび日本橋?島屋三井ビルディング,AAA評価
2159-04,中央区日本橋二丁目５番１号,ＴＤＫ株式会社,ＴＤＫ株式会社 本社,太陽生命日本橋ビルおよび日本橋?島屋三井ビルディング,AAA評価
2159-05,中央区日本橋二丁目５番１号,株式会社イトーキ,日本橋?島屋三井ビルディング,太陽生命日本橋ビルおよび日本橋?島屋三井ビルディング,AA評価
2159-06,中央区日本橋二丁目５番１号,東神開発株式会社,日本橋?島屋ショッピングセンター,太陽生命日本橋ビルおよび日本橋?島屋三井ビルディング,A評価
2159-07,中央区日本橋二丁目１１番２号,日本証券業協会,日本証券業協会,太陽生命日本橋ビルおよび日本橋?島屋三井ビルディング,A評価
2160-01,品川区上大崎三丁目1番,株式会社USEN-NEXT HOLDINGS,株式会社USEN-NEXT HOLDINGS,目黒セントラルスクエア,AA評価
2160-02,品川区上大崎三丁目1番,アマゾンジャパン合同会社,アマゾンジャパン合同会社,目黒セントラルスクエア,S評価
2160-03,品川区上大崎三丁目1番,カルチュア・エンタテインメント株式会社,カルチュア・エンタテインメント株式会社,目黒セントラルスクエア,A評価
2161-01,千代田区有楽町一丁目1番2号,旭化成株式会社,旭化成株式会社,東京ミッドタウン日比谷,AA評価
2161-02,千代田区有楽町一丁目1番2号,EY Japan株式会社,本店,東京ミッドタウン日比谷,AA評価
2161-03,千代田区有楽町一丁目1番2号,ＴＯＨＯシネマズ株式会社,ＴＯＨＯシネマズ日比谷,東京ミッドタウン日比谷,AA評価
2162-01,渋谷区渋谷三丁目21番3号,㈱関東東急ホテルズ,渋谷ストリームエクセルホテル東急,渋谷ストリーム,A評価
2162-02,渋谷区渋谷三丁目21番3号,グーグル合同会社,グーグル合同会社,渋谷ストリーム,AA評価
2167-01,港区浜松町二丁目３番１号,資生堂ジャパン株式会社,資生堂ジャパン株式会社,日本生命浜松町クレアタワー,AA評価
2172-01,中央区日本橋室町三丁目2番1号,ＮＥＣネッツエスアイ株式会社,日本橋室町三井タワー,日本橋室町三井タワー,A評価
2172-03,中央区日本橋室町三丁目2番1号,ボストン・コンサルティング・グループ合同会社,日本橋室町三井タワー,日本橋室町三井タワー,AA評価
2173-04,渋谷区渋谷二丁目24番12号,レバレジーズ株式会社,本社,渋谷スクランブルスクエア,A評価
7011-01,大田区城南島五丁目1番1号,株式会社テトラ城南,株式会社テトラ城南 城南島工場,協同組合 東京大井コールドプラザ,AAA評価
7011-03,大田区城南島五丁目1番1号,五十嵐冷蔵株式会社,五十嵐冷蔵株式会社 城南島物流センター,協同組合 東京大井コールドプラザ,A評価
7011-04,大田区城南島五丁目1番1号,兼松食品株式会社,兼松食品株式会社 冷蔵物流部 城南島冷蔵庫,協同組合 東京大井コールドプラザ,A評価
7016-01,中央区日本橋兜町２番１号,株式会社東京証券取引所,東京証券取引所ビル,東京証券取引所ビル,A評価
7019-01,渋谷区宇田川町２１番１号,株式会社 ロフト,渋谷ロフト,ＳＫビル（西武渋谷店・三井住友銀行渋谷支店）,AAA評価
