,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
クロロホルム（Chloroform）,12月,0.14,0.14,0.13,0.12,0.12,0.11,0.11,0.12,0.13,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.11,0.1,0.11,0.13,0.12,0.13
クロロホルム（Chloroform）,1月,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.1,0.1,0.11,0.11,0.12,0.14,0.12,0.12
クロロホルム（Chloroform）,2月,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.11,0.12,0.11
クロロホルム（Chloroform）,3月,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.09,0.09,0.1,0.09,0.09,0.1,0.11,0.1,0.11,0.12,0.11
クロロホルム（Chloroform）,平均,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.11,0.12,0.12,0.12,0.12
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
"1,2－ジクロロエタン（1,2-Dichloroethane）",4月,0.098,0.096,0.089,0.089,0.09,0.086,0.087,0.085,0.088,0.081,0.09,0.085,0.096,0.093,0.1,0.095,0.098,0.093,0.092,0.09,0.099,0.097,0.091,0.1
"1,2－ジクロロエタン（1,2-Dichloroethane）",5月,0.17,0.17,0.19,0.15,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.15,0.13,0.14,0.15,0.16,0.16,0.14,0.15,0.14,0.13,0.14
"1,2－ジクロロエタン（1,2-Dichloroethane）",6月,0.19,0.22,0.2,0.16,0.18,0.2,0.2,0.18,0.17,0.17,0.16,0.16,0.18,0.18,0.18,0.17,0.16,0.15,0.15,0.15,0.16,0.16,0.16,0.18
"1,2－ジクロロエタン（1,2-Dichloroethane）",7月,0.063,0.068,0.071,0.07,0.069,0.076,0.075,0.078,0.082,0.079,0.087,0.085,0.097,0.1,0.096,0.088,0.093,0.091,0.084,0.081,0.083,0.089,0.088,0.075
"1,2－ジクロロエタン（1,2-Dichloroethane）",8月,0.096,0.097,0.085,0.089,0.071,0.077,0.088,0.087,0.081,0.084,0.072,0.075,0.069,0.067,0.074,0.09,0.086,0.082,0.079,0.074,0.079,0.086,0.11,0.091
"1,2－ジクロロエタン（1,2-Dichloroethane）",9月,0.079,0.085,0.091,0.093,0.079,0.074,0.068,0.065,0.067,0.066,0.068,0.075,0.074,0.077,0.074,0.091,0.082,0.088,0.084,0.074,0.081,0.069,0.065,0.077
"1,2－ジクロロエタン（1,2-Dichloroethane）",10月,0.075,0.074,0.071,0.068,0.072,0.069,0.065,0.068,0.07,0.072,0.069,0.067,0.07,0.068,0.075,0.076,0.09,0.084,0.089,0.11,0.12,0.093,0.079,0.082
"1,2－ジクロロエタン（1,2-Dichloroethane）",11月,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.099,0.1,0.097,0.1,0.098,0.1,0.1,0.093,0.11,0.1,0.098,0.099,0.1
"1,2－ジクロロエタン（1,2-Dichloroethane）",12月,0.081,0.078,0.075,0.08,0.079,0.079,0.078,0.078,0.084,0.082,0.082,0.078,0.079,0.079,0.081,0.076,0.077,0.079,0.083,0.087,0.091,0.096,0.079,0.081
"1,2－ジクロロエタン（1,2-Dichloroethane）",1月,0.082,0.08,0.081,0.082,0.08,0.079,0.083,0.079,0.076,0.077,0.076,0.082,0.083,0.087,0.083,0.082,0.085,0.082,0.079,0.085,0.083,0.081,0.086,0.089
"1,2－ジクロロエタン（1,2-Dichloroethane）",2月,0.081,0.082,0.087,0.091,0.084,0.083,0.09,0.085,0.087,0.089,0.089,0.087,0.091,0.09,0.086,0.09,0.092,0.084,0.091,0.091,0.096,0.09,0.09,0.086
"1,2－ジクロロエタン（1,2-Dichloroethane）",3月,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.12,1.6,0.12,0.12,0.11,0.12,0.13,0.12,0.13
"1,2－ジクロロエタン（1,2-Dichloroethane）",平均,0.1,0.11,0.11,0.099,0.095,0.096,0.097,0.095,0.096,0.094,0.093,0.094,0.099,0.1,0.1,0.1,0.23,0.1,0.1,0.1,0.11,0.1,0.099,0.1
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
トルエン（Toluene）,4月,2.2,2.6,2.9,3.1,3,3.2,3.5,2.9,2.4,2.6,2.8,2.7,2.2,2,2,2,2.2,2.1,2.2,1.9,1.7,1.8,1.9,1.9
トルエン（Toluene）,5月,2.1,2.3,2.4,2.6,3.1,3.4,3.5,3.5,3,3.4,3.4,3.2,2.4,2,2.8,2.3,2.3,2.4,2.1,1.8,1.8,1.8,1.9,1.9
トルエン（Toluene）,6月,2.5,3,3.1,3.2,3.1,3.3,3.4,3.2,3.2,3.6,4.1,4.7,3.9,3.1,3.2,2.8,2.9,2.9,2.6,2.4,2.3,2.3,1.9,2
トルエン（Toluene）,7月,1.7,2.4,2.5,2.2,1.9,2.2,2.2,2.4,2.3,2.7,2.5,2.8,2.7,2.7,3,2.7,3,2.9,2.7,2.4,2.2,2.3,2.1,2
トルエン（Toluene）,8月,1.5,1.9,2,1.7,2.2,2.2,2.3,2.2,1.8,2,1.8,1.7,1.5,2,1.7,1.4,1.6,1.8,1.9,1.7,1.4,2,1.7,1.4
トルエン（Toluene）,9月,1.8,2.1,2.6,2.6,2.5,2.6,2.4,2.2,2.1,2.2,2.4,2.8,2.4,1.9,2,2.3,2.5,2.3,2.1,1.8,1.5,1.5,1.6,1.7
トルエン（Toluene）,10月,3.6,4.2,4.3,4.2,4.6,4.3,4.7,4.7,4.6,5,5.1,5,4.6,3.4,4.2,4.7,5,5.2,5.4,4.3,3.6,3.5,3.5,3.2
トルエン（Toluene）,11月,8.2,7.7,7.7,7.6,7.2,5.9,6,6.2,5.9,7.2,6.6,6.2,5.9,5.4,4.8,5.4,6.6,5.7,6.5,8,6.9,8.1,8.9,8
トルエン（Toluene）,12月,8.2,8.5,9,8.6,9.1,8.2,7.9,7.9,7.2,7.7,7.3,7.4,6.3,5,5.1,4.4,4.9,5.4,5.2,5,6.8,7.1,6.1,7.7
トルエン（Toluene）,1月,5.3,5.3,5.7,5.5,5.3,5.6,4.9,4.7,5,5,5.5,4.8,4.7,3.8,3.9,3.7,4.4,5.3,6.1,5.7,5,5.1,5.7,5.4
トルエン（Toluene）,2月,3.1,2.9,3.4,4.4,4.9,4.6,4.3,4.4,4.1,4.9,6,4.4,3.9,3.3,3.3,2.4,2.5,2.9,2.6,2.3,2.5,2.7,2.9,3.2
トルエン（Toluene）,3月,2.9,2.8,3.4,3.6,3.9,4.4,4.3,4,3.6,4.2,4,3.6,2.8,2.1,2.4,2,2.4,2.3,2,2,1.8,1.7,2.2,2.4
トルエン（Toluene）,平均,3.6,3.8,4.1,4.1,4.2,4.2,4.1,4,3.8,4.2,4.3,4.1,3.6,3.1,3.2,3,3.4,3.4,3.4,3.2,3.1,3.3,3.4,3.4
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
m＋ｐ-キシレン（m+p-Xylene）,4月,0.46,0.47,0.47,0.47,0.46,0.45,0.48,0.43,0.39,0.45,0.51,0.52,0.41,0.4,0.48,0.42,0.45,0.41,0.46,0.41,0.43,0.4,0.4,0.44
m＋ｐ-キシレン（m+p-Xylene）,5月,0.57,0.57,0.55,0.59,0.66,0.73,0.67,0.66,0.64,0.7,0.72,0.8,0.65,0.53,0.61,0.76,0.77,0.81,0.72,0.61,0.56,0.6,0.57,0.52
m＋ｐ-キシレン（m+p-Xylene）,6月,0.73,0.79,0.69,0.69,0.67,0.75,0.72,0.68,0.78,0.84,0.87,1.1,0.87,0.73,0.79,0.75,0.88,0.97,0.86,0.78,0.74,0.69,0.66,0.65
m＋ｐ-キシレン（m+p-Xylene）,7月,0.54,0.53,0.56,0.56,0.59,0.61,0.66,0.61,0.73,0.78,0.77,0.84,0.68,0.81,0.89,0.83,0.97,0.81,0.8,0.7,0.67,0.67,0.64,0.58
m＋ｐ-キシレン（m+p-Xylene）,8月,0.54,0.6,0.63,0.52,0.64,0.68,0.62,0.58,0.54,0.55,0.46,0.44,0.32,0.37,0.48,0.47,0.54,0.63,0.62,0.6,0.5,0.47,0.56,0.53
m＋ｐ-キシレン（m+p-Xylene）,9月,0.4,0.41,0.45,0.41,0.42,0.41,0.45,0.48,0.5,0.51,0.53,0.56,0.44,0.4,0.51,0.63,0.66,0.59,0.57,0.46,0.45,0.42,0.42,0.42
m＋ｐ-キシレン（m+p-Xylene）,10月,0.61,0.66,0.66,0.67,0.67,0.64,0.66,0.66,0.61,0.74,0.78,0.72,0.67,0.51,0.61,0.68,0.85,0.82,0.91,0.8,0.78,0.78,0.67,0.61
m＋ｐ-キシレン（m+p-Xylene）,11月,1.2,1.2,1,0.96,0.87,0.77,0.82,0.86,0.86,1.2,1.1,1.1,0.99,0.95,0.89,0.94,1.2,1.1,1.3,1.5,1.5,1.5,1.7,1.4
m＋ｐ-キシレン（m+p-Xylene）,12月,1.4,1.5,1.4,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1,0.97,0.78,0.89,0.85,1,1.3,1.2,1.1,1.3,1.5,1.3,1.4
m＋ｐ-キシレン（m+p-Xylene）,1月,0.92,0.87,0.83,0.78,0.67,0.65,0.64,0.73,0.84,0.77,0.84,0.75,0.7,0.65,0.66,0.67,0.68,0.84,1,0.99,0.93,0.99,0.95,0.93
m＋ｐ-キシレン（m+p-Xylene）,2月,0.55,0.51,0.54,0.53,0.54,0.53,0.56,0.65,0.63,0.71,0.89,0.73,0.69,0.79,0.79,0.58,0.62,0.64,0.54,0.48,0.52,0.54,0.6,0.61
m＋ｐ-キシレン（m+p-Xylene）,3月,0.46,0.46,0.55,0.51,0.47,0.48,0.52,0.46,0.49,0.53,0.55,0.63,0.44,0.46,0.46,0.45,0.5,0.42,0.43,0.41,0.36,0.36,0.4,0.42
m＋ｐ-キシレン（m+p-Xylene）,平均,0.7,0.71,0.69,0.66,0.65,0.65,0.66,0.66,0.68,0.74,0.76,0.77,0.65,0.62,0.67,0.67,0.76,0.78,0.8,0.74,0.73,0.74,0.74,0.7
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
o-キシレン（o-Xylene）,4月,0.17,0.17,0.18,0.18,0.17,0.17,0.18,0.17,0.15,0.17,0.2,0.2,0.16,0.15,0.18,0.15,0.17,0.16,0.17,0.16,0.16,0.15,0.15,0.17
o-キシレン（o-Xylene）,5月,0.24,0.24,0.23,0.24,0.27,0.3,0.27,0.27,0.27,0.29,0.3,0.32,0.26,0.23,0.25,0.3,0.31,0.33,0.29,0.26,0.24,0.26,0.24,0.22
o-キシレン（o-Xylene）,6月,0.31,0.33,0.29,0.3,0.28,0.31,0.31,0.29,0.33,0.35,0.37,0.47,0.37,0.33,0.34,0.33,0.37,0.4,0.36,0.35,0.33,0.31,0.29,0.28
o-キシレン（o-Xylene）,7月,0.25,0.24,0.26,0.25,0.25,0.27,0.28,0.26,0.31,0.35,0.31,0.33,0.28,0.32,0.35,0.32,0.37,0.33,0.33,0.31,0.32,0.31,0.28,0.25
o-キシレン（o-Xylene）,8月,0.24,0.25,0.28,0.23,0.27,0.29,0.27,0.26,0.24,0.23,0.21,0.2,0.17,0.15,0.19,0.2,0.23,0.26,0.26,0.26,0.23,0.21,0.23,0.23
o-キシレン（o-Xylene）,9月,0.17,0.17,0.19,0.17,0.18,0.17,0.18,0.2,0.2,0.2,0.21,0.22,0.18,0.17,0.2,0.23,0.25,0.22,0.22,0.19,0.18,0.17,0.18,0.17
o-キシレン（o-Xylene）,10月,0.26,0.28,0.26,0.26,0.25,0.25,0.25,0.26,0.24,0.28,0.29,0.27,0.25,0.21,0.24,0.25,0.31,0.3,0.33,0.29,0.29,0.28,0.25,0.23
o-キシレン（o-Xylene）,11月,0.44,0.41,0.38,0.35,0.32,0.29,0.31,0.32,0.33,0.42,0.38,0.38,0.36,0.35,0.34,0.35,0.44,0.41,0.45,0.53,0.5,0.53,0.58,0.48
o-キシレン（o-Xylene）,12月,0.52,0.53,0.49,0.44,0.42,0.39,0.39,0.42,0.43,0.43,0.42,0.39,0.36,0.3,0.33,0.32,0.37,0.46,0.44,0.41,0.48,0.53,0.48,0.5
o-キシレン（o-Xylene）,1月,0.34,0.33,0.31,0.29,0.25,0.25,0.25,0.28,0.32,0.3,0.32,0.29,0.27,0.25,0.25,0.26,0.26,0.32,0.39,0.38,0.35,0.36,0.35,0.35
o-キシレン（o-Xylene）,2月,0.21,0.2,0.2,0.2,0.21,0.21,0.22,0.26,0.25,0.27,0.33,0.28,0.26,0.28,0.28,0.22,0.23,0.24,0.21,0.19,0.2,0.21,0.23,0.23
o-キシレン（o-Xylene）,3月,0.18,0.18,0.2,0.2,0.18,0.19,0.2,0.19,0.2,0.21,0.21,0.23,0.17,0.18,0.19,0.18,0.19,0.16,0.17,0.16,0.14,0.15,0.16,0.17
o-キシレン（o-Xylene）,平均,0.28,0.28,0.27,0.26,0.25,0.26,0.26,0.27,0.27,0.29,0.3,0.3,0.26,0.24,0.26,0.26,0.29,0.3,0.3,0.29,0.29,0.29,0.29,0.27
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
総キシレン（total-Xylen）,4月,0.63,0.64,0.66,0.65,0.64,0.62,0.67,0.59,0.54,0.62,0.7,0.71,0.57,0.55,0.65,0.57,0.62,0.56,0.63,0.57,0.6,0.56,0.56,0.6
総キシレン（total-Xylen）,5月,0.8,0.81,0.78,0.83,0.93,1,0.94,0.93,0.91,0.99,1,1.1,0.91,0.76,0.86,1.1,1.1,1.1,1,0.87,0.8,0.86,0.81,0.74
総キシレン（total-Xylen）,6月,1,1.1,0.98,0.99,0.95,1.1,1,0.97,1.1,1.2,1.3,1.6,1.2,1.1,1.1,1.1,1.3,1.4,1.2,1.1,1.1,0.99,0.94,0.93
総キシレン（total-Xylen）,7月,0.79,0.77,0.82,0.82,0.84,0.88,0.94,0.87,1,1.1,1.1,1.2,0.96,1.1,1.2,1.2,1.3,1.1,1.1,1,0.99,0.98,0.92,0.83
総キシレン（total-Xylen）,8月,0.77,0.86,0.91,0.75,0.91,0.97,0.89,0.83,0.78,0.78,0.68,0.64,0.5,0.52,0.67,0.67,0.78,0.9,0.88,0.86,0.73,0.68,0.78,0.76
総キシレン（total-Xylen）,9月,0.56,0.59,0.64,0.59,0.6,0.58,0.63,0.68,0.7,0.71,0.74,0.79,0.63,0.57,0.71,0.87,0.92,0.81,0.79,0.65,0.63,0.59,0.59,0.59
総キシレン（total-Xylen）,10月,0.88,0.94,0.92,0.93,0.92,0.89,0.92,0.92,0.86,1,1.1,0.99,0.92,0.71,0.85,0.93,1.2,1.1,1.2,1.1,1.1,1.1,0.92,0.84
総キシレン（total-Xylen）,11月,1.7,1.6,1.4,1.3,1.2,1.1,1.1,1.2,1.2,1.6,1.4,1.4,1.4,1.3,1.2,1.3,1.7,1.5,1.7,2,2,2,2.2,1.8
総キシレン（total-Xylen）,12月,2,2,1.9,1.7,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.4,1.3,1.1,1.2,1.2,1.4,1.8,1.7,1.5,1.8,2,1.8,1.9
総キシレン（total-Xylen）,1月,1.3,1.2,1.1,1.1,0.93,0.9,0.89,1,1.2,1.1,1.2,1,0.97,0.91,0.92,0.92,0.94,1.2,1.4,1.4,1.3,1.3,1.3,1.3
総キシレン（total-Xylen）,2月,0.76,0.71,0.74,0.73,0.74,0.74,0.78,0.91,0.88,0.98,1.2,1,0.94,1.1,1.1,0.8,0.84,0.88,0.75,0.67,0.72,0.75,0.82,0.84
総キシレン（total-Xylen）,3月,0.65,0.64,0.75,0.72,0.66,0.66,0.72,0.65,0.69,0.74,0.77,0.86,0.61,0.64,0.65,0.63,0.69,0.58,0.6,0.58,0.5,0.51,0.56,0.58
総キシレン（total-Xylen）,平均,0.98,0.99,0.97,0.92,0.91,0.9,0.92,0.93,0.95,1,1.1,1.1,0.91,0.86,0.93,0.93,1.1,1.1,1.1,1,1,1,1,0.98
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
エチルベンゼン（Ethylbenzene）,4月,0.61,0.61,0.61,0.61,0.59,0.58,0.62,0.53,0.47,0.6,0.75,0.81,0.64,0.64,0.78,0.61,0.65,0.54,0.61,0.5,0.53,0.48,0.49,0.55
エチルベンゼン（Ethylbenzene）,5月,0.6,0.62,0.59,0.65,0.73,0.82,0.78,0.74,0.76,0.98,1,1.2,1,0.8,0.88,1,1.1,1,0.9,0.68,0.59,0.63,0.59,0.56
エチルベンゼン（Ethylbenzene）,6月,0.85,1,0.82,0.84,0.75,0.9,0.83,0.75,0.93,1.2,1.3,1.6,1.5,1.2,1.3,1.1,1.3,1.4,1.1,0.84,0.79,0.72,0.76,0.7
エチルベンゼン（Ethylbenzene）,7月,0.52,0.52,0.56,0.55,0.58,0.62,0.68,0.58,0.81,0.98,0.97,1.1,0.94,1.1,1.4,1.2,1.4,1.1,0.94,0.73,0.72,0.69,0.65,0.58
エチルベンゼン（Ethylbenzene）,8月,0.51,0.53,0.58,0.49,0.6,0.7,0.64,0.66,0.71,0.87,0.72,0.69,0.48,0.57,0.69,0.61,0.71,0.75,0.65,0.56,0.43,0.42,0.59,0.53
エチルベンゼン（Ethylbenzene）,9月,0.4,0.45,0.48,0.43,0.43,0.43,0.46,0.5,0.54,0.64,0.73,0.87,0.69,0.62,0.75,1.1,0.94,0.74,0.64,0.49,0.48,0.41,0.41,0.41
エチルベンゼン（Ethylbenzene）,10月,0.72,0.8,0.81,0.81,0.81,0.77,0.77,0.77,0.7,0.94,1.1,1.1,1,0.78,0.94,1,1.3,1.2,1.2,0.98,0.96,0.95,0.8,0.69
エチルベンゼン（Ethylbenzene）,11月,1.5,1.4,1.3,1.2,1.1,0.94,0.97,0.98,0.99,1.5,1.4,1.5,1.4,1.3,1.3,1.3,1.7,1.3,1.6,1.9,1.8,1.9,2.1,1.7
エチルベンゼン（Ethylbenzene）,12月,1.7,1.8,1.7,1.5,1.5,1.3,1.3,1.3,1.2,1.3,1.4,1.4,1.4,1.1,1.3,1.2,1.4,1.8,1.4,1.3,1.6,1.7,1.5,1.6
エチルベンゼン（Ethylbenzene）,1月,1.1,1.1,1.1,0.97,0.86,0.81,0.76,0.78,0.85,0.89,1.1,1.1,1,0.96,0.97,1,1,1.2,1.4,1.2,1.1,1.2,1.2,1.2
エチルベンゼン（Ethylbenzene）,2月,0.69,0.63,0.67,0.67,0.69,0.71,0.71,0.76,0.72,0.86,1.2,1.1,1.1,1.3,1.3,0.91,0.91,0.79,0.64,0.59,0.62,0.66,0.73,0.77
エチルベンゼン（Ethylbenzene）,3月,0.6,0.59,0.72,0.7,0.65,0.63,0.65,0.56,0.6,0.71,0.77,1,0.69,0.73,0.75,0.7,0.73,0.59,0.56,0.54,0.45,0.44,0.5,0.52
エチルベンゼン（Ethylbenzene）,平均,0.82,0.83,0.82,0.78,0.77,0.77,0.76,0.74,0.78,0.96,1,1.1,0.98,0.93,1,0.98,1.1,1,1,0.86,0.84,0.85,0.86,0.82
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
スチレン（Styrene）,4月,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.16,0.15,0.16,0.19,0.19,0.17,0.17,0.18,0.18,0.19,0.17,0.19,0.17,0.17,0.17,0.17,0.18
スチレン（Styrene）,5月,0.34,0.32,0.27,0.29,0.29,0.32,0.27,0.27,0.26,0.26,0.24,0.27,0.24,0.22,0.23,0.28,0.3,0.31,0.31,0.27,0.26,0.3,0.28,0.25
スチレン（Styrene）,6月,0.33,0.34,0.29,0.29,0.27,0.29,0.3,0.25,0.29,0.26,0.26,0.31,0.27,0.24,0.28,0.3,0.29,0.31,0.3,0.32,0.38,0.27,0.26,0.28
スチレン（Styrene）,7月,0.21,0.2,0.21,0.21,0.22,0.22,0.22,0.2,0.22,0.22,0.2,0.21,0.2,0.22,0.22,0.21,0.22,0.22,0.24,0.24,0.25,0.26,0.3,0.37
スチレン（Styrene）,8月,0.17,0.17,0.2,0.18,0.21,0.26,0.21,0.17,0.13,0.12,0.11,0.12,0.09,0.08,0.09,0.09,0.12,0.14,0.17,0.2,0.15,0.14,0.16,0.16
スチレン（Styrene）,9月,0.16,0.14,0.16,0.15,0.15,0.14,0.14,0.13,0.13,0.11,0.12,0.12,0.11,0.09,0.11,0.14,0.16,0.14,0.15,0.14,0.13,0.12,0.13,0.14
スチレン（Styrene）,10月,0.13,0.14,0.15,0.18,0.18,0.17,0.17,0.17,0.15,0.15,0.16,0.16,0.18,0.14,0.16,0.17,0.19,0.2,0.22,0.21,0.17,0.16,0.13,0.12
スチレン（Styrene）,11月,0.27,0.26,0.22,0.22,0.2,0.18,0.19,0.22,0.18,0.19,0.2,0.18,0.19,0.17,0.18,0.18,0.28,0.31,0.26,0.29,0.32,0.31,0.33,0.3
スチレン（Styrene）,12月,0.38,0.39,0.37,0.34,0.32,0.31,0.3,0.32,0.29,0.27,0.25,0.23,0.2,0.17,0.18,0.19,0.21,0.27,0.28,0.27,0.32,0.39,0.32,0.35
スチレン（Styrene）,1月,0.35,0.32,0.32,0.28,0.25,0.26,0.24,0.25,0.26,0.23,0.24,0.28,0.25,0.23,0.21,0.23,0.39,0.38,0.42,0.35,0.33,0.33,0.33,0.33
スチレン（Styrene）,2月,0.19,0.18,0.17,0.18,0.18,0.21,0.24,0.27,0.23,0.24,0.26,0.23,0.21,0.27,0.26,0.19,0.2,0.2,0.17,0.15,0.18,0.21,0.21,0.22
スチレン（Styrene）,3月,0.19,0.17,0.18,0.18,0.16,0.18,0.18,0.17,0.17,0.17,0.19,0.2,0.15,0.15,0.15,0.16,0.17,0.15,0.16,0.16,0.14,0.15,0.17,0.18
スチレン（Styrene）,平均,0.24,0.24,0.23,0.22,0.22,0.23,0.22,0.22,0.21,0.2,0.2,0.21,0.19,0.18,0.19,0.19,0.23,0.23,0.2,0.23,0.23,0.23,0.23,0.24
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
"1,1－ジクロロエタン（1,1-Dichloroethane）",4月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",5月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",6月,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",7月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
