事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,令和４,2022,6月,154.6,163.1,168.1,143.9,183.2,174.9,152.1,145.7,172.2,174.1,155.4,137.5,132.4,185.4,125.9,188.8,136.2
５人以上,令和４,2022,7月,111.9,87,116.7,118.8,80,98.8,108.7,135.2,77,126.1,104.2,146.3,109.3,114.5,106.6,81.2,101.9
５人以上,令和４,2022,8月,82.6,71.3,81.5,75.4,72.4,77.9,89.1,82.2,69.3,86.4,90,122.1,94.8,82.9,83.8,70.6,86.1
５人以上,令和４,2022,9月,84.7,71.7,81.9,75.9,75.1,80.9,91.6,89,72.7,86.2,86.6,124.5,90.2,84.5,83.7,69.4,86.6
５人以上,令和４,2022,10月,82.7,71,83.6,74.9,74.9,79.1,89.3,81.8,68.9,88.4,85.7,123.8,97.9,87.1,85.6,75.3,84.6
５人以上,令和４,2022,11月,84.1,98.6,88,83.9,71.5,79.1,90.6,84.4,70.5,88.8,80.1,124.3,98.1,84.8,88.1,76.9,84.8
５人以上,令和４,2022,12月,176.8,192.2,197.3,171.8,177.8,180.6,185.8,189.9,162.2,216.6,156.2,160.5,146.8,217.6,164,201.3,147.9
５人以上,平成30,2018,年平均（前年比（％））,-0.8,－,1,-4.1,8.2,1.8,-3.5,8.7,-1,-1.5,0.5,-1.5,2.6,-5.1,-2.8,9.9,-2.2
５人以上,平成31・令和元,2019,年平均（前年比（％））,-0.6,－,6.5,0,3.3,2.2,3.1,-6.7,-0.1,-3,3.3,-7.7,2.2,-5.1,-3.3,-8,6.3
５人以上,令和２,2020,年平均（前年比（％））,-1.3,－,-3.6,-2,-2.9,-0.8,-16,-0.5,0.8,-0.8,-4.8,-9,5.4,1.1,4.1,-3,-2
５人以上,令和３,2021,年平均（前年比（％））,1.2,－,-2.5,-0.4,5.9,1.2,-1.2,2.1,-8.6,7.8,-3.2,9.3,2.4,-1.3,5.2,2.9,3.9
５人以上,令和４,2022,年平均（前年比（％））,-0.1,－,5.9,-3.4,-12.6,-1.9,7.1,1,-0.9,3.8,4.2,19.8,2.2,10.2,-7.6,-6.9,-5.8
５人以上,令和４,2022,1月（前年同月比（％））,0.6,－,-1,-0.8,-6.8,-3.2,6.8,0.5,-2.8,18.2,6,24.9,-1,6.8,-6.1,-10.2,-2.6
５人以上,令和４,2022,2月（前年同月比（％））,0.7,－,7.2,-1.6,-6.5,-1.6,2.9,1.5,2.1,6.6,3.2,20.3,1.1,5.4,-6.7,-6.7,-2.5
５人以上,令和４,2022,3月（前年同月比（％））,1.7,－,20.3,-9.7,-8,2.3,17.4,1.8,-7.5,3.6,15.8,21.7,-4.1,10.7,-9.3,-5,-3.3
５人以上,令和４,2022,4月（前年同月比（％））,-1.5,－,5.6,-10.1,-17.9,-2.7,1.5,-1.9,5.6,2.4,0.3,16,4.1,16.7,-11.6,-7.9,-5.4
５人以上,令和４,2022,5月（前年同月比（％））,-0.5,－,1,-2.2,-18.9,-3.1,4.6,0.1,-5.2,2.6,11.4,22.6,0.4,6.1,-8.8,-4.9,-1.5
５人以上,令和４,2022,6月（前年同月比（％））,0.8,－,7.9,3.2,-17.7,3.4,14.4,-1.1,-0.8,4.9,-1.6,22.2,11.7,17,-15,-0.7,-4.4
５人以上,令和４,2022,7月（前年同月比（％））,0.7,－,10.9,-4.4,-7.4,-2.3,-0.7,4.2,1,0.6,3.5,20.1,-6.3,26.5,-2.3,-18.6,-10.2
５人以上,令和４,2022,8月（前年同月比（％））,-1.8,－,5.7,-4.3,-12.2,-9.8,3.6,-1,-1.8,-0.6,14.6,15.2,-5.5,4.9,-5.1,-5.1,-6.3
