通番号,年度,番号,名称,位置,用途,敷地面積(m2),建築面積(m2),延べ面積(m2),駐車場等面積(m2),高さ(m),階数,公開空地(m2),有効公開空地(m2),用途地域,許可年月日,52条,55条,56道路,56隣地,58条,種別,人口,戸数,備考
149,1989,20,新永ビル,江東区亀戸2-35-1外,事・共,1486.85,1007.42,9752.15,1468.72,40,10,494.8,566.01,商業,1989/9/27,●,,●,,,市,775,1,
150,1989,21,新川共同ビル(92の増築),中央区新川1-102-4,事・診・共,1250.79,790.02,10323.15,477.54,57.59,14,344.15,432.3,商業,1989/9/27,●,,●,●,,,,,
151,1989,22,芝浦四丁目ビル,港区芝浦4-4-26,事・共,3353.22,1590,19596.06,2753.66,53.1,12,1345.98,1503.29,準工,1989/10/3,●,,,●,,市,1100,33,
152,1989,23,四谷曙橋計画,新宿区荒木町21-1外,共同住宅,1602.74,369.24,10903.48,2173.31,96.4,23,892.05,1115.12,近商・住居,1989/10/3,●,,,●,,市,140,37,
153,1989,24,高田馬場1丁目ビル,新宿区高田馬場1-310,事務所,1557.16,888.04,10551.62,1081.36,51.9,12,930.87,923.82,商業,1989/10/5,●,,,,,,1050,,
154,1989,25,住友不動産猿楽町ビル,千代田区猿楽町2-8-2,事・共,3425.73,1326.31,26133.85,3834.77,76.2,17,1445.59,1770.17,商業,1989/10/16,●,,,●,,市,1500,43,
155,1989,26,三菱天王洲B東京ＭＩＢ,品川区東品川2-2-1外,事・店,13551.14,6575.52,94973.11,10941.87,117.5,27,8327.43,8202.02,商業,1989/10/19,●,,,●,,,3400,,モノレール・地冷・中水
156,1989,27,松本繊商ビル,中央区日本橋大伝馬町,事務所,890.34,609.8,6315.08,974.65,35.35,10,268.55,331.39,商業,1989/10/27,,,●,●,,,,,
157,1989,28,日産サニー芝ビル,港区芝2-37-1外,事・共,2240.85,1250,14650,1650,45.25,11,813.78,981.03,商業・近商,1989/10/27,●,,,,,,1030,17,
158,1989,29,東上野ビル,台東区東上野5-33-10,事・共,839.48,441.36,7910.04,1199,58.45,14,509.61,510.07,商業,1989/12/4,●,,,●,,市,657,4,変電所
159,1989,30,都営浮間1丁目第4団地,北区浮間1-15,共同住宅,6337.67,1366.06,18375.84,371.4,71.35,20,3958,4835.3,住居,1989/12/6,●,,,,,市,,219,防災倉庫
160,1989,31,亀大小Ｅ－42街区,江戸川区小松川2,共同住宅,8224.63,2607.2,38325.31,6283.47,98.13,30,2787.59,2304.25,住居,1989/12/12,,,,●,,,1171,357,
161,1989,32,大川端RC21西(58の増築),中央区佃2-50-9外,共・ス・商,31554.75,14448.13,187750,37560,129.8,40,9368,9886,住居,1990/1/17,●,,,,,,,,
162,1989,33,三共生興㈱東京支社,中央区日本橋富沢町5,事・共,1407.92,831.47,9618.84,457.96,45.33,10,473.13,567.44,商業,1990/1/17,●,,●,●,,市,250,3,
163,1989,34,三正富士見町ビル,千代田区富士見町1-12,事・共,1707.15,743,9720.21,1319.07,48.52,11,808.59,972.8,商業・住居,1990/1/18,●,,●,●,,市,470,8,
164,1989,35,大正海上・テプコ共同ビル,中央区京橋1-6-1外,事・店,2241.02,1490.89,22648.44,2277.14,51.5,11,886.01,1006.83,商業,1990/1/19,●,,●,,,,2300,,変電所
165,1989,36,中野四丁目東再開発,中野区中野4-1-1外,事・店・共,8152.06,3900,63760,10780,96,26,2713.65,2932.8,商業,1990/1/19,,,●,●,,,13400,164,
166,1989,37,ホテル東京海洋会館,新宿区百人町2-27-7,ホ・館,6204,3300,39180,4480,90,22,2167,2348,商業,1990/1/19,●,,,●,,,3000,,
167,1989,38,国際自動車ＫＫ,中央区八重洲1-201,事・店,1938.18,961.58,17023.29,1518.24,62.5,14,715.77,854.61,商業,1990/2/1,,,●,●,,,2494,,
168,1989,39,東亜火災海上(104の増築),千代田区神田駿河台3,事・共,1214.7,743.48,9234.7,1233.6,53.2,12,541.74,596.62,商業,1990/2/5,●,,●,●,,,,,
169,1989,40,三好印刷ＫＫ,中央区新川1-202外,事・共,896.79,543.92,6254.02,549.12,50.75,12,372.43,432.46,商業,1990/2/5,●,,●,●,,市,777,3,
170,1989,41,西台マンション,板橋区徳丸町1606外,共同住宅,3633.36,1427.02,12491.12,1270.6,36.3,11,1887.15,2347.63,二専・住居,1990/2/5,●,,,,,市,,141,
171,1989,42,ＫＫシンワート,港区海岸2-4-2,事・共,1582.66,787.4,9105.36,809.5,48.1,11,660,813.7,準工,1990/2/6,●,,,●,,市,546,21,
172,1989,43,トーア工業ＫＫ,港区芝1-120,事・共,2796.57,1416.25,14017.25,651.9,44.5,9,842.41,1117.48,商業,1990/2/22,●,,●,,,市,1300,12,
173,1989,44,アーバン新橋ビル,港区新橋4-5,事・店・共,1406.07,627.45,8859.31,424.17,56,14,365.88,403.79,商業,1990/2/28,●,,●,●,,市,955,9,
174,1989,45,鍋横本町4丁目共同ビル,中野区本町4-31外,店・共,1293.14,654.43,5912.97,437.91,46.3,14,358.32,456.14,近商・二専,1990/2/28,●,,,●,,市,200,71,
175,1989,46,一ツ橋尚学ビル,千代田区一ツ橋2-5-2,事・店,2432.25,1165.34,16719.33,2129,55.6,13,731.38,863.38,商業,1990/3/2,,,,●,,,780,,
176,1989,47,麹町4再開発(101の再増築),千代田区麹町4-8,事・店・共,3837.8,1991.1,22154.9,1117.7,64.05,17,2314.7,1918.1,商業,1990/3/2,●,,●,●,,,2165,,地下鉄通路
177,1989,48,安東ビル(98の増築),港区赤坂4-812外,事務所,710.71,424.95,6086.8,597.09,57,13,211.56,254.45,商業,1990/3/31,●,,,,,,,,
178,1990,1,新川2丁目開発(36の増築),中央区新川2-128-1外,事・共,23532.31,8007.16,153794.05,22919,117,35,12646.23,12379.82,商業,1990/4/3,●,,,,,市,4400,503,JR出入口
179,1990,2,海岸三丁目都民住宅,港区海岸三丁目9-42,ホ・共,5186.87,2061.51,29869.9,3057.14,64.5,20,2365.78,2773.73,準工,1990/4/6,●,,,,,市,933,155,
180,1990,3,石間ビル,江東区冬木28-7,事務所,3306.96,1157.43,14182.48,1350,74.7,18,2089.05,2359.56,準工,1990/4/12,●,,,●,,,1100,,
181,1990,4,グリーンパーク赤坂,港区赤坂5-214,事・共,13852.55,5764,98310.19,14224.45,141.5,30,8903.42,9822.43,商業・住居,1990/4/25,●,,,,,市,3700,100,中水・防災倉庫
182,1990,5,中野種金ビル,中野区本町3-62-1外,事・共,1336.57,628.12,6118.44,676.1,42,10,568.3,676.53,商業・二専,1990/4/26,●,,,●,,市,569,18,
183,1990,6,飯倉ビル,港区六本木1-378-1,事・共,1610.91,801.32,9726.91,1929.23,51.45,12,538.6,635.98,住居,1990/5/1,●,,,●,,市,540,8,
184,1990,7,駒込ペアシティ(IV),北区西が原1-30-1外,共・店,2148.79,724.97,10888.65,1342.3,47.7,14,1141.12,1419.65,近商・二専,1990/5/1,●,,●,,,市,280,71,
185,1990,8,六本木一丁目東開発,港区六本木1-113-1外,事・共・展,11250.16,4065.34,70329.9,10904.98,89.13,20,7140.13,7333.12,住居,1990/5/2,●,,●,●,,市,2000,292,中水
186,1990,9,青葉会館,港区六本木3-117-6外,事・店・共,3450.33,2175.86,21004.36,2161.66,51.4,11,1352.58,1450.09,商業・住居,1990/5/2,●,,●,●,,市,1300,12,
187,1990,10,ジュールＡ(114の増築),港区麻布十番1-10,店・ス,1158.19,880.96,9831.09,1794.24,54.8,11,952.11,695.08,商業,1990/5/2,●,,●,●,,,,,地下鉄入口
188,1990,11,法華クラブ池之端店,台東区池之端2-1,ホテル,1310.2,777.2,9798.4,781.42,110.2,26,528.8,612.8,商業,1990/5/2,●,,●,,,,,,
189,1990,12,東京ガス新宿超高層ビル,新宿区西新宿3-7-20,事・ホ,26537.65,13338.92,301153.47,37738.03,235,52,13272.3,13828.4,商業,1990/5/24,●,,●,,,,10460,,地冷・中水・防災倉庫
190,1990,13,シナネン東品川ビル,品川区東品川1-296-1,事務所,9654.31,3651.38,44359.41,5748.96,50.24,11,6740.98,7428.86,準工,1990/5/30,●,,,,,,2500,,中水
191,1990,14,東京都健康プラザ,新宿区歌舞伎町2-461,病・事,10185.31,6249.32,83834.29,12524.69,81.5,18,3855.55,4235.64,商業,1990/5/31,●,,,,,,20000,,地冷・中水・備蓄倉庫
192,1990,15,スリーアップ2ビル,世田谷区若林1-96,事・店,3533.32,1204.19,15409,2909.01,49.8,12,2034.13,2173.02,商業・近商,1990/6/1,●,,,,●,,500,,
193,1990,16,中村屋笹塚ビル,渋谷区笹塚1-51外,事・店,5445.22,2090.9,28814.33,4759.53,80.9,18,3051.75,3584.22,準工,1990/6/11,●,,,,,,1500,,中水
194,1990,17,赤坂八丁目計画,港区赤坂8-184,事・店・共,4460.76,2231.29,26308.17,4309.98,44.85,10,1409.76,1702.05,商業・住居,1990/6/26,●,,●,●,,市,1500,6,
195,1990,18,東日暮里ホリイビル,荒川区東日暮里5-7-11,事務所,3060.38,1858.67,12735.89,759.99,32.4,7,1146.84,1365.76,準工・商業,1990/6/27,●,,,,,,800,,
196,1990,19,南千住計画(94の増築),荒川区南千住6-122-1,車・輪,41216.56,22973.55,115580.54,22830.06,47.93,14,22886.83,26459.97,準工,1990/7/2,●,,,,,,2441,,
197,1990,20,天王洲・ＭＩＢ(155の増築),品川区東品川2-2-1外,駐車場,13551.14,6575.52,95348.11,11316.87,117.5,28,8312.6,8202.06,商業,1990/7/24,●,,●,,,,3400,,地冷・中水
198,1990,21,東京建物新渋谷ビル,渋谷区東1-34-1外,事務所,2591.84,1168.25,15789.6,3113.56,59.1,14,1097.32,1326.8,商業・住居,1990/8/2,●,,,,,,800,,
199,1990,22,神谷町プロジェクト,港区虎ノ門4-101-1,事・店・共,5943.88,2575.79,45921.18,8316.49,90.63,20,2345.6,2687,商業,1990/8/21,●,,●,●,,市,2000,36,中水・地下鉄
200,1990,23,東京銀行協会ビル,千代田区丸の内1-8-23,事務所,4310.87,3593,50628.23,7320.3,90,20,628.94,674.5,商業,1990/8/31,●,,,●,,,3500,,中水
201,1990,24,中野本町3.30再開発Ｂ,中野区本町3-60,事・店・共,1279.29,640.96,6750.81,1180.13,43.8,11,512.76,536.6,商業・二専,1990/8/31,●,,,●,,市,90,59,
202,1990,25,西早稲田地区再開発,新宿区西早稲田1-21-5,事・店・共,5657.15,3900,39988,5535,110,31,2250.78,2210.36,商業,1990/9/11,●,,,,,,530,270,コミュニテーセンター
203,1990,26,上荻一丁目ビル,杉並区上荻1-153-1,事務所,3253.77,1540.41,26942.3,2234.81,77.61,18,2245.52,2454.78,商業,1990/9/18,●,,,,,,,,
204,1990,27,山本ビル,江東区冬木4-1外,事務所,3311.03,1337.6,16753.24,1593.02,58.7,12,2109.55,2466.79,準工,1990/10/2,●,,,,,,1000,,
205,1990,28,日本新聞インキ本社ビル,港区港南1-6-9,事・店・共,3060.48,1489.33,22648.34,2025.86,63.9,14,791.26,921.23,商業,1990/10/2,●,,,●,,市,1300,16,
206,1990,29,オリックス立川ビル,立川市曙町2-265-1,事務所,4815.98,2223.59,31596.11,3697.14,63,14,2843.39,3171.76,商業,1990/10/24,●,,●,,,,2110,,中水
207,1990,30,紙パルプ会館,中央区銀座3-204-6,事務所,1034.75,673,8901,1661,46.95,11,268.36,329.3,商業,1990/10/24,,,●,●,,,,,中水
208,1990,31,芝浦ハイツ(120の増築),港区芝浦3-18-3,駐車場,2836.82,927.67,18731.35,1903.51,8.18,1,1764,2050,準工,1990/10/24,●,,●,,,,,,
209,1990,32,大森ＮＭビル,大田区大森北2-1-1,事務所,2127.91,1271.1,12533.14,662.36,43.2,10,944.66,1127.81,商業・準工,1990/10/24,●,,,,,,1050,,
210,1990,33,ＯＫＫ平川ビル,千代田区平川町2-29-1,事務所,1238.96,847,8044,611,40.7,9,470.78,519.91,商業,1990/11/29,,,●,●,,,700,,
211,1990,34,読売箱崎ビル,中央区日本橋箱崎町36,事・共,7118.47,2850,55200,7270,99.85,20,4924.12,5344.29,商業,1990/11/30,●,,,,,市,2500,78,地冷・中水・防災倉庫
212,1990,35,都営横川5丁目アパート(仮称),墨田区横川5-1-3,共・保,21627.84,6623,54806,703,100.1,33,6343.65,7570.46,住居,1990/12/3,,,●,●,●,,,553,
213,1990,36,三田Ｊビル,港区三田1-205-1,事・共,1449.74,948.78,7336.15,728.06,40.7,9,424.8,468.58,近商,1990/12/26,●,,,,,市,400,8,
214,1990,37,錦糸町北口地区再開発,墨田区錦糸1-6-2,事・店,3755.01,2034,35261.58,3344,92.6,19,1440.15,1729.14,商業,1990/12/26,,,,●,,,4300,,高度利用地区
215,1990,38,ＹＳ勝鬨6丁目ビル,中央区勝鬨6-101,事・共,2740.14,1380.8,14485.58,802.16,47.85,10,1029.42,1271.64,準工,1990/12/27,●,,●,,,市,760,22,
216,1990,39,山口ビル7,台東区台東4-121-4,事・共,1844.17,1021.15,11969.2,1360,45,13,618.8,744.38,商業,1990/12/27,●,,●,●,,市,1400,12,
217,1990,40,海岸2丁目ビル,港区海岸2-8-1,事・共,1669.6,834,9605,1184,53.5,12,608.99,756.02,準工,1990/12/27,●,,,,,市,450,12,
218,1990,41,中銀東上野534,台東区東上野5-34-16,事務所,1318.02,856.69,10128.33,1188.45,49.4,11,513.41,542.82,商業,1990/12/27,●,,●,●,,,871,,
219,1990,42,船堀駅前計画(132の増築),江戸川区船堀6-600,駐車場,4681,2426.4,29540.59,1554,89.9,27,1718.7,2105.4,商業,1991/1/25,●,,,●,,,,,
220,1990,43,リバーサイド隅田計画,墨田区堤通1-37,事・共・寮,23124.71,9519.67,103615.93,17515.53,134.32,33,11546,13569.3,準工,1991/1/30,●,,,,●,市,4000,186,ギャラリ－
221,1990,44,目白台二丁目Ｍ,文京区目白台2-77,事・共,1850.4,870,9845,1490,64.2,17,703.33,811.62,商業・二専,1991/2/4,●,,,,,,120,38,
222,1990,45,中銀東上野513,台東区東上野5-13-1,共住,1120.68,441.14,7714.28,928.26,62.24,20,473.98,539.53,商業,1991/2/7,,,●,,,,130,35,
223,1990,46,中川特殊鋼天王洲ビル,品川区東品川2-2-5,事務所,6311.1,3372,46622,5600,126.8,26,3605.97,4214.7,商業,1991/3/5,●,,,●,,再,2100,,地区計画
224,1990,47,中野種金ビル(184の増築),中野区本町3-62-1,事・共,1336.57,610.8,6758.4,648.13,45.5,11,568.3,676.53,商業・二専,1991/3/5,●,,,●,,,,1,
225,1990,48,台東ビル,台東区台東3-77-1,事・共・店,906.03,501.15,7268.55,1401.31,40,13,366.59,461.67,商業,1991/3/28,●,,●,,,市,355,42,
226,1991,1,芝浦グループ港南ビル,港区港南1-5-3外,事・共,3168.69,1702.7,26568.6,2962.3,85.4,20,1422.1,1429.3,商業,1991/4/2,●,,,,,市,1700,25,
227,1991,2,ゼクセル本社ビル,渋谷区渋谷3-6-9外,事務所,1360.62,630.28,12602.43,1037.16,78.28,18,522.48,657.57,商業,1991/4/3,●,,●,,,,500,,
228,1991,3,Ｓビール恵比寿工場跡地,目黒区三田247-2外,事・店・共,82366.13,33000,478430,84430,167,40,34238.87,37805.19,商業・住居,1991/4/5,●,,,,,市,15000,"1,020",地冷・中水
229,1991,4,前川ビル,港区芝浦3-2-38,事・共,1391.93,695.33,7864.45,744.18,45.85,11,531.26,655.91,準工,1991/5/2,●,,,,,市,300,15,
230,1991,5,大星岡村新川ビル,中央区新川1-204-3,事・住,1008.77,576.77,5475.63,449.94,38.83,9,297.58,356.02,商業,1991/5/7,,,●,,,,340,1,
231,1991,6,青葉台三丁目ビル,目黒区青葉台3-365-1,事・共,1538.59,904.57,11205.83,1177.96,65.06,14,692.82,796.74,商業・住居,1991/5/13,●,,,,,市,414,12,
232,1991,7,秀和月島ビル,中央区月島4-1609,事・共,4723.05,2358.72,21051.35,2037.95,48.2,10,2031.16,2523.52,準工,1991/5/31,,,●,●,,市,1309,36,
233,1991,8,住友上野ビル4号館,台東区北上野1-64-1,事・共,2259.48,1291.2,18278.5,2680.9,52.5,12,703.9,908.1,商業,1991/6/28,●,,,●,,市,957,20,
234,1991,9,シナネン東品川第2ビル,品川区東品川3-8-9,事務所,10723.12,3522.57,50107.56,7167.72,91.2,22,6899.19,8266.02,準工,1991/7/1,●,,,,●,大,2500,,中水
235,1991,10,大崎新5丁目ビル,品川区大崎5-50-1外,事・共,4272.03,1825.35,28945.77,4520.03,65.64,14,2475.93,2833.93,商業・準工,1991/7/8,●,,●,,,市,1200,76,中水
236,1991,11,リバーサイド隅田(221の増築),墨田区堤通1-37-37外,駐車場,23124.71,0,1233.12,1233.12,134.32,33,11575.9,13605.2,準工,1991/7/24,●,,,,●,,,,
237,1991,12,芝二丁目ビル,港区芝2-108-2外,事・共,1931,1128,15678.92,1615.98,60,14,486.9,600,商業,1991/7/30,●,,●,●,,市,800,20,
238,1991,13,Ｋ－3共同ビル,港区海岸3-1-9外,事・共,4070.77,1734.1,28490.44,5695.08,72.6,16,2104.45,2616.95,準工,1991/7/30,●,,,,,市,1680,50,
239,1991,14,神田錦町2丁目共同ビル,千代田区神田錦町2-9,事・住,926.17,584,6026,472,37,9,234.25,300.67,商業,1991/8/8,,,●,●,,,350,,
240,1991,15,高栄芝浦ビル,港区港南4-5-2外,事・共,5800.51,2745,35058.43,3332.61,58.15,16,3098,3471,住居,1991/9/2,●,,,,,市,2000,56,
241,1991,16,大島一丁目計画,江東区大島1-59外,店・共,12736.6,2985.99,78275,15596,125.3,39,8657,10472,準工,1991/9/2,●,,,●,●,市,,418,公共空地
242,1991,17,大曲ビル,新宿区新小川町108-1,事・共,6061.02,3348.52,31422.26,4350.01,44,14,1654.18,1950.77,商業・住居,1991/9/6,●,,,●,,市,1335,60,変電所
243,1991,18,ベルザ上野ビル,台東区北上野1-61-1外,事・共,756.33,451.31,6304.11,958.72,51.87,12,231.7,284,商業,1991/9/30,●,,●,●,,市,349,6,
244,1991,19,新川一丁目第2ビル,中央区新川1-8-5,事務所,858.5,496.77,5643.21,400.09,43.2,10,237.58,289.35,商業,1991/10/1,,,●,●,,,446,,
245,1991,20,ＭＫＤ8東京光が丘,練馬区高松5-4440外,事・ホ・ス,16287.07,6479.84,66442.4,13082.78,100.72,24,6252.12,7571.24,住居・準工,1991/10/7,●,,,,●,,3333,,中水
246,1991,21,日倉勝鬨3(124の増築,中央区勝鬨3-1201外,事・共,12476.51,3827.86,55464.86,5438.33,76.85,18,7744.43,9527.77,準工,1991/10/7,●,,,,,,176,16,
247,1991,22,東品川ビル,品川区東品川4-50-2外,事・寮,8369.7,3942.6,33058.9,6051.9,78.2,17,2107.52,2560.23,準工,1991/10/11,●,,,,●,,1730,5,公共空地
248,1991,23,塩浜ビル,江東区塩浜2-8,事務所,6527.16,3198.52,25232.16,2383.04,39.7,8,2677.14,3281.2,準工,1991/10/28,●,,,,,,1000,,
249,1991,24,ＮＹＫ天王洲ビル,品川区東品川2-3-21,事務所,8248.09,4344.06,62775.47,9866.08,120.7,25,4984.59,4997.63,商業,1991/10/30,●,,,●,,再,4500,,中水・派出所
250,1991,25,北品川5丁目共同ビル,品川区北品川5-746-1,事務所,14565.52,4392.85,60994.25,6065.42,93.25,22,10427.92,11910.65,準工,1991/10/30,●,,●,,,大,3500,,中水
251,1991,26,新川一丁目ビル,中央区新川1-6-6外,事・店・共,2133.4,1312,18379.91,1318.91,65.46,14,610.42,717.49,商業,1991/11/1,●,,●,●,,市,1185,16,
252,1991,27,恵比寿ＲＣビル,渋谷区恵比寿4-65-6外,事・共,5018.71,2036.19,38540,5980,84.95,18,3412.45,3757.05,商業,1991/11/6,●,,●,●,,大,1300,12,中水
253,1991,28,消防庁消防学校男子寮,渋谷区西原2-52-1,寮,6934.56,2940,15099.95,0,30.15,6,2719.6,3295.8,二専,1991/11/26,●,,,,,,1000,78,
254,1991,29,ＯＡＫビル,新宿区荒木町5-7外,事・共,1823.68,1063.31,8986.31,948.94,56,13,564.46,606.49,商業,1991/11/28,●,,,,●,市,600,12,
255,1991,30,正興天王洲ビル,品川区東品川2-6-1外,事・共,11050.24,4592.68,85202.54,8648.81,115.9,34,6442.71,6301.93,商業,1991/11/29,●,,,,,市,4500,403,地冷・中水
256,1991,31,横浜倉庫ベイサイド計画,港区海岸3-9-1,事・共,8058.69,3503.16,49824,5164.7,94.6,23,3929.05,4798.07,商業,1991/12/2,●,,,,,市,2100,84,防災倉庫・中水
257,1991,32,ヒューマックス道玄坂ビル,渋谷区道玄坂1-24-1外,事務所,1255.22,795.24,8954.47,867.94,46.81,9,446.05,529.65,商業,1991/12/10,●,,,,,,518,,
258,1991,33,朝日羽工府中ビル,府中市府中町1-14-1,事務所,1794.4,869.77,10793.16,1088.13,53.31,12,754.22,850.83,商業,1991/12/24,●,,,,,,700,,
259,1991,34,亀戸一丁目ビル,江東区亀戸1-42-5外,事務所,1437.56,810.23,12104.56,693.18,61.6,14,656.55,636.72,商業,1992/1/7,●,,,●,,,895,,
260,1991,35,安田生命高田馬場ビル,豊島区高田3-735-1外,事務所,1935.95,1091.57,9092.17,1270.93,37,8,750.54,939.36,準工,1992/1/7,●,,,,,,900,,
261,1991,38,三共㈱日本橋ビル,中央区日本橋本町3-1,事務所,1536.85,1017,11852,1095,47.6,10,375.44,480.41,商業,1992/1/8,,,●,●,,,800,,
262,1991,37,中央病院跡地開発ビル,渋谷区代々木2-1-7,事・店,11500.52,3662.99,102695,11558.51,161.1,34,7021.9,8476.8,商業,1992/1/8,●,,,●,,大,5800,,地冷・中水
263,1991,38,ＷＷ21計画,港区港南2-7-27外,事・共,1652.91,988.5,11534.7,888,50.5,12,424.59,495.93,商業,1992/1/29,●,,,●,,市,634,12,
264,1991,39,西新橋二丁目再開発Ｂ,港区西新橋2-303-1外,事・共,2445.33,1141.9,21500,2205,72.6,16,850.02,1072,商業,1992/1/29,●,,●,,,市,1000,18,
265,1991,40,西新宿三丁目ビル,新宿区西新宿3-148-7,事・共,1210.87,738,11833,1007,67.35,14,404.45,508.4,商業,1992/1/29,●,,,●,,,650,4,
266,1991,41,ＮＤビルディング,江東区亀戸1-5-1外,事務所,7418.12,1940,30551,2871,84,18,3560.14,4339.19,準工・商業,1992/2/3,●,,,,●,,1700,,集会所
267,1991,42,ニチレイ浜離宮ビル,中央区築地5-2-9,事・店,6145.16,1879.2,39738.9,5056.02,94,18,3615.75,4111.49,商業,1992/2/3,●,,,●,,,3400,,中水・防災倉庫
268,1991,43,八丁堀三丁目共同ビル,中央区八丁堀3-102-2,事・共,947.78,627.78,6708.77,549.67,46.6,10,250.42,322.48,商業,1992/2/3,●,,●,●,,市,940,3,
269,1991,44,芝興産メッツタワー,港区芝2-303-2外,事・共,1308.63,710.87,10703.56,617.79,65.35,15,442.07,517.57,商業,1992/2/3,●,,●,●,,市,1330,9,
270,1991,45,芝ＫＤビル計画,港区芝2-303-2外,事・共,1140.7,1413.4,20055.22,513,57.2,14,1391,1522.5,商業・近商,1992/2/27,●,,●,,,市,980,26,
271,1991,46,舟堀ＥＧＧＴＯＷＥＲ,江戸川区舟堀3-612-1,事務所,2521.06,992.56,15770.74,1491.47,62.5,14,1163.29,1438.33,商業,1992/2/27,●,,,,,,1239,,
272,1991,47,中川天王洲B(223の増築,品川区東品川2-2-5外,事務所,6311.1,2372,47063.29,6041.29,126.5,26,3605.97,4214.7,商業,1992/2/28,●,,,●,,再,2100,,
273,1991,48,東五反田3丁目共同ビル,品川区東五反田3-446,事務所,5161.92,1767.79,24067.08,3672.03,84.83,20,2771.63,3382.11,商業・住居,1992/3/30,●,,,●,●,,1350,,
274,1992,1,南青山ビル,港区南青山2-552外,事・共,2975.2,1160.89,17963.48,1568.78,76.36,19,1684.3,1885.57,住居,1992/4/19,●,,,●,,市,1500,28,
275,1992,2,後楽1丁目ビル,文京区後楽1-7-3外,事・共,4753.69,1850,21116.88,2550,50,12,2417,2469,住居,1992/5/26,●,,,●,,市,1000,24,
276,1992,3,グリーンパーク赤坂,港区赤坂5-214,事・共,14412.7,5764,98536.42,13589.29,141,30,9552.06,10600.41,商業・住居,1992/5/26,●,,,,,市,3850,90,
277,1992,4,住友新川1丁目ビル,中央区新川1-201-1外,事・共,1715.69,1090.4,11851.2,1485.2,48.69,10,519.07,674.79,商業,1992/5/30,●,,,,,市,590,13,
278,1992,5,ＪＰＢ新富町ビル,中央区新富1-13-1外,事・共,944.93,549.29,6632.21,549.99,37,9,248.79,323.43,商業,1992/5/30,●,,●,,,市,500,3,
279,1992,6,和泉ビル,杉並区和泉1-22外,事務所,4369.99,1999.9,22989.3,2960.5,68.2,15,2588.64,2999.86,近商,1992/6/25,●,,,,●,大,2000,,
280,1992,7,千代田生命建替計画,"渋谷区広尾1-48-2,5",事・店・共,13057.83,4792,69754,12619,110.25,22,6763,7623,住居,1992/7/7,●,,,●,●,市,2000,62,中水・地冷
281,1992,8,芝浦ホテル,港区芝浦3-2-42,ホ・共,2604.54,1379.07,15452.22,2924.67,59.9,14,782.8,927.6,準工,1992/7/31,●,,,,,市,750,15,
282,1992,9,浜松町プロジェクト,港区浜松町1-7-13外,ホ・共,1021.8,570.48,6627.01,565.97,37.9,11,287.83,342.65,商業,1992/7/31,●,,●,●,,市,240,14,(旅館業法)
283,1992,10,ミゾタビル,新宿区西新宿7-27-2外,事・共・ス,1540.87,719.69,14055.51,2059.4,70.4,16,635.65,656.37,商業,1992/8/31,●,,,●,,市,800,15,
284,1992,11,住友田町ビル,港区芝3-2-147外,事務所,1141.08,741.64,6289.64,920.86,38.4,8,328.9,405.87,商業,1992/10/1,,,●,●,,,390,,
285,1992,12,秀和新川第一ビル,中央区新川1-103-1外,事・店・共,4639.8,2306.36,46321.13,5714.54,99.9,21,1900.96,2356.28,商業,1992/10/1,●,,,●,,市,2885,116,86条認定
286,1992,13,西新橋Ｊビル,港区西新橋3-98-1外,事・共,1341.26,730.5,10612.78,638.8,57,14,413.63,496.02,商業,1992/10/1,●,,●,●,,市,530,15,
287,1992,14,飯田町都民住宅,千代田区飯田橋3-22,事・共,5494.45,3207,41878.01,7542.78,103.7,25,1525.23,1873.71,商業,1992/11/26,●,,,,,市,1200,95,
288,1992,15,アートホテルズ大森,品川区南大井6-11-2外,ホ・共,1775.56,911.31,12161.81,960.17,62.3,18,745.82,818.46,商業,1992/11/26,●,,,●,,市,880,24,
289,1992,16,亀大小E-42(160の再増築),江戸川区小松川2,共・幼,8224.63,2548.74,36637.53,5745.03,98.13,30,3238.56,2624.44,住居,1992/11/26,,,,●,,,1096,332,NO160の取直し
290,1992,17,真福寺ビル,港区愛宕1-8,事・共・寺,3176.72,1627.37,21338.29,1358.02,73.55,16,796,1004.66,商業・近商,1992/11/30,●,,,●,,市,1170,18,
291,1992,18,JICST四番町共同ビル,千代田区四番町5-3,事・店・共,5313.6,2125,25257,1681,45.3,12,3045,3140,住居,1993/1/7,●,,●,●,,市,1000,53,
292,1992,19,小豆沢団地立替計画,板橋区小豆沢1-9-3,共・住,6792.74,2408.24,24877.17,4833.27,44.7,14,3336.78,3774.26,準工,1993/1/8,●,,,,,市,949,271,公園・防災倉庫
293,1992,20,青戸東パークホームズ,葛飾区高砂1-25-1外,共・住,4550.78,1110.65,15850.55,2298.3,47.67,15,1838.75,1877.58,準工,1993/1/8,●,,,,,市,449,195,
294,1992,21,銀座P.銀座アイタワー,中央区銀座2-5-19外,事・共,1407.08,869.35,13666.38,2100.86,56.1,17,449.1,468.2,商業,1993/3/4,●,,●,●,,複,870,10,地冷・(区借上)
295,1992,22,渋谷桜丘共同ビル計画,渋谷区桜丘町27外,事・学・共,5617.09,1856.55,39999,7420,102,21,3005.87,3691.87,商業,1993/3/8,●,,,,,大,2400,3,
296,1993,1,新宿駅貨物跡地計画,渋谷区千駄ケ谷5-24,店舗,19281.5,12779.1,174780.9,26907.6,81.4,14,9399.7,8192,商業,1993/4/1,●,,,,,大,,,
