"設備_全国地方公共団体コード","施設_ID","設備_ID","設備_区分","設備_種類","設備_名称","設備_名称（カナ）","設備_名称（英字）","設備_説明","設備_状態","住所_全国地方公共団体コード","住所_町字ID","住所_都道府県","住所_市区町村（郡）","住所_町字","住所_番地以下","住所_建物名等(方書)","住所_連結表記","住所_緯度","住所_経度","住所_座標参照系","住所_座標参照系コード","住所_国名","住所_国コード","住所_郡","住所_市区町村","住所_政令市区","住所_大字・町","住所_小字","住所_住居表示フラグ","住所_街区符号","住所_住居番号","住所_地番","住所_建物名","住所_フロア名","住所_部屋番号","設備_サービス曜日","設備_開始時刻","設備_終了時刻","設備_日時備考","設備_URL","設備_備考","連絡先_名称","連絡先_電話番号","連絡先_内線番号","連絡先_メールアドレス","連絡先_FormURL","連絡先_備考（その他、SNSなど）","連絡先_郵便番号","連絡先_住所"
"132136","132136M00056","132136M00056","","","","","","","","132136","","東京都","東村山市","秋津町3丁目","","","東京都東村山市秋津町3丁目","35.776050","139.479239","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890001",""
"132136","132136M00057","132136M00057","","","","","","","","132136","","東京都","東村山市","秋津町4丁目","25-18","","東京都東村山市秋津町4-25-18","35.779108","139.485117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890001",""
"132136","132136M00058","132136M00058","","","","","","","","132136","","東京都","東村山市","恩多町2丁目","仲よし広場","","東京都東村山市恩多町2丁目仲よし広場","35.750561","139.484778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890011",""
"132136","132136M00059","132136M00059","","","","","","","","132136","","東京都","東村山市","青葉町1丁目","第2仲よし広場","","東京都東村山市青葉町1丁目第2仲よし広場","35.759161","139.490084","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890002",""
"132136","132136M00060","132136M00060","","","","","","","","132136","","東京都","東村山市","青葉町1丁目","第5仲よし広場","","東京都東村山市青葉町1丁目第5仲よし広場","35.759103","139.495631","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890002",""
"132136","132136M00061","132136M00061","","","","","","","","132136","","東京都","東村山市","青葉町3丁目","21-16","","東京都東村山市青葉町3-21-16","35.769242","139.493776","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890002",""
"132136","132136M00062","132136M00062","","","","","","","","132136","","東京都","東村山市","青葉町3丁目","46-15","","東京都東村山市青葉町3丁目46-15","35.771762","139.498543","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890002",""
"132136","132136M00063","132136M00063","","","","","","","","132136","","東京都","東村山市","秋津町5丁目","11-15","","東京都東村山市秋津町5-11-15","35.775517","139.494339","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890001",""
"132136","132136M00064","132136M00064","","","","","","","","132136","","東京都","東村山市","秋津町4丁目","第1仲よし広場","","東京都東村山市秋津町4丁目第1仲よし広場","35.774474","139.484362","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890001",""
"132136","132136M00065","132136M00065","","","","","","","","132136","","東京都","東村山市","秋津町5丁目","都営住宅公園","","東京都東村山市秋津町5丁目都営住宅公園","35.777062","139.491019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890001",""
