"名称","種別","総合支所","町丁目","公園面積[平方メートル]","調査区域面積[平方メートル]","樹木被覆地[平方メートル]","草地[平方メートル]","屋上緑地[平方メートル]","緑被地[平方メートル]","裸地[平方メートル]","水面[平方メートル]","緑被率[％]","樹木被覆率[％]","草地率[％]","屋上緑地率[％]","裸地率[％]","水面率[％]"
"白金六丁目緑地","区立緑地","高輪地区","白金六丁目","213 ","242 ","121 ","0 ","0 ","121 ","0 ","0 ","50.13 ","50.13 ","0.00 ","0.00 ","0.00 ","0.00 "
"芝浦四丁目緑地","区立緑地","芝浦・港南地区","芝浦四丁目","296 ","297 ","120 ","11 ","0 ","131 ","0 ","0 ","44.19 ","40.47 ","3.72 ","0.00 ","0.00 ","0.00 "
"トリニティ芝浦緑地","区立緑地","芝浦・港南地区","芝浦四丁目","1,652 ","1,610 ","540 ","0 ","0 ","540 ","0 ","0 ","33.52 ","33.52 ","0.00 ","0.00 ","0.00 ","0.00 "
"芝浦運河沿緑地","区立緑地","芝浦・港南地区","芝浦四丁目","11,281 ","11,190 ","2,911 ","238 ","0 ","3,149 ","0 ","157 ","28.14 ","26.01 ","2.13 ","0.00 ","0.00 ","1.40 "
"新芝北運河沿緑地","区立緑地","芝浦・港南地区","芝浦三丁目","1,203 ","1,232 ","151 ","315 ","0 ","465 ","0 ","0 ","37.79 ","12.22 ","25.56 ","0.00 ","0.00 ","0.00 "
"新芝運河沿緑地","区立緑地","芝浦・港南地区","芝浦四丁目","15,810 ","16,352 ","4,771 ","633 ","0 ","5,404 ","0 ","102 ","33.05 ","29.18 ","3.87 ","0.00 ","0.00 ","0.62 "
"新芝南運河沿緑地","区立緑地","芝浦・港南地区","芝浦四丁目","900 ","859 ","125 ","0 ","0 ","125 ","0 ","0 ","14.57 ","14.57 ","0.00 ","0.00 ","0.00 ","0.00 "
"芝浦西運河沿緑地","区立緑地","芝浦・港南地区","芝浦四丁目","7,347 ","7,054 ","1,568 ","484 ","0 ","2,052 ","0 ","3 ","29.08 ","22.23 ","6.86 ","0.00 ","0.00 ","0.04 "
"高浜西運河沿緑地","区立緑地","芝浦・港南地区","芝浦四丁目","575 ","564 ","127 ","16 ","0 ","143 ","0 ","0 ","25.31 ","22.45 ","2.86 ","0.00 ","0.00 ","0.00 "
"高浜運河沿緑地","区立緑地","芝浦・港南地区","港南四丁目","27,565 ","28,166 ","6,398 ","1,402 ","0 ","7,800 ","0 ","265 ","27.69 ","22.72 ","4.98 ","0.00 ","0.00 ","0.94 "
"京浜運河沿緑地","区立緑地","芝浦・港南地区","港南四丁目","952 ","987 ","1 ","7 ","0 ","7 ","0 ","0 ","0.76 ","0.06 ","0.70 ","0.00 ","0.00 ","0.00 "
"港南四丁目緑地","区立緑地","芝浦・港南地区","港南四丁目","778 ","781 ","216 ","268 ","0 ","484 ","0 ","0 ","62.00 ","27.65 ","34.35 ","0.00 ","0.00 ","0.00 "
"浜松町二丁目遊び場","区立遊び場","芝地区","浜松町二丁目","1,827 ","1,784 ","859 ","0 ","0 ","859 ","0 ","0 ","48.17 ","48.17 ","0.00 ","0.00 ","0.00 ","0.00 "
"久国神社境内遊び場","区立遊び場","麻布地区","六本木二丁目","341 ","311 ","128 ","0 ","0 ","128 ","0 ","0 ","41.27 ","41.27 ","0.00 ","0.00 ","0.00 ","0.00 "
"永坂上遊び場","区立遊び場","麻布地区","麻布台三丁目","98 ","101 ","98 ","0 ","0 ","98 ","0 ","0 ","96.08 ","96.08 ","0.00 ","0.00 ","0.00 ","0.00 "
"氷川神社境内遊び場","区立遊び場","赤坂地区","赤坂六丁目","284 ","283 ","277 ","0 ","0 ","277 ","0 ","0 ","97.82 ","97.82 ","0.00 ","0.00 ","0.00 ","0.00 "
"承教寺前遊び場","区立遊び場","高輪地区","高輪二丁目","40 ","40 ","5 ","0 ","0 ","5 ","0 ","0 ","13.07 ","13.07 ","0.00 ","0.00 ","0.00 ","0.00 "
"高輪台遊び場","区立遊び場","高輪地区","高輪三丁目","527 ","509 ","38 ","0 ","0 ","38 ","0 ","0 ","7.48 ","7.48 ","0.00 ","0.00 ","0.00 ","0.00 "
"瑞聖寺前遊び場","区立遊び場","高輪地区","白金台三丁目","82 ","79 ","39 ","0 ","0 ","39 ","0 ","0 ","49.32 ","49.32 ","0.00 ","0.00 ","0.00 ","0.00 "
"白金台緑の遊び場","区立遊び場","高輪地区","白金台三丁目","878 ","837 ","824 ","0 ","0 ","824 ","0 ","0 ","98.35 ","98.34 ","0.00 ","0.00 ","0.00 ","0.00 "
"白金台三丁目遊び場","区立遊び場","高輪地区","白金台三丁目","1,416 ","1,482 ","656 ","0 ","0 ","656 ","0 ","0 ","44.30 ","44.30 ","0.00 ","0.00 ","0.00 ","0.00 "
"日東坂下遊び場","区立遊び場","高輪地区","白金台五丁目","236 ","236 ","83 ","0 ","0 ","83 ","0 ","0 ","35.09 ","35.09 ","0.00 ","0.00 ","0.00 ","0.00 "
"夕凪橋際遊び場","区立遊び場","芝浦・港南地区","芝浦四丁目","1,361 ","1,377 ","278 ","0 ","0 ","278 ","0 ","0 ","20.16 ","20.16 ","0.00 ","0.00 ","0.00 ","0.00 "
"港南三丁目遊び場","区立遊び場","芝浦・港南地区","港南三丁目","3,002 ","2,908 ","1,642 ","111 ","0 ","1,753 ","1,100 ","0 ","60.28 ","56.47 ","3.81 ","0.00 ","37.82 ","0.00 "
"都立旧芝離宮恩賜庭園","都立公園","芝地区","海岸一丁目","43,175 ","42,262 ","22,777 ","6,443 ","0 ","29,219 ","2,401 ","8,903 ","69.14 ","53.89 ","15.24 ","0.00 ","5.68 ","21.07 "
"都立台場公園","都立公園","芝浦・港南地区","台場一丁目","29,963 ","29,241 ","12,469 ","16,060 ","0 ","28,529 ","0 ","6 ","97.56 ","42.64 ","54.92 ","0.00 ","0.00 ","0.02 "
"都立青山公園","都立公園","麻布地区","南青山一丁目","40,018 ","41,261 ","20,712 ","13,695 ","0 ","34,406 ","4,265 ","0 ","83.39 ","50.20 ","33.19 ","0.00 ","10.34 ","0.00 "
"都立芝公園","都立公園","芝地区","芝公園四丁目","122,501 ","116,704 ","84,872 ","5,347 ","0 ","90,219 ","12,637 ","0 ","77.31 ","72.72 ","4.58 ","0.00 ","10.83 ","0.00 "
"品川北ふ頭公園","都立海上公園","芝浦・港南地区","港南五丁目","5,950 ","5,855 ","2,098 ","2,136 ","0 ","4,234 ","1,528 ","0 ","72.32 ","35.83 ","36.49 ","0.00 ","26.09 ","0.00 "
"芝浦南ふ頭公園","都立海上公園","芝浦・港南地区","海岸三丁目","9,926 ","9,494 ","1,179 ","623 ","0 ","1,802 ","4,056 ","0 ","18.98 ","12.42 ","6.56 ","0.00 ","42.72 ","0.00 "
"シンボルプロムナード
公園","都立海上公園","芝浦・港南地区","台場二丁目","14,433 ","9,190 ","1,057 ","94 ","0 ","1,151 ","0 ","0 ","12.52 ","11.50 ","1.02 ","0.00 ","0.00 ","0.00 "
"お台場海浜公園","都立海上公園","芝浦・港南地区","台場一丁目","75,415 ","133,944 ","64,972 ","7,927 ","0 ","72,899 ","22,656 ","0 ","54.43 ","48.51 ","5.92 ","0.00 ","16.91 ","0.00 "
"科学博物館附属自然教育園","国立公園","高輪地区","白金台五丁目","198,644 ","181,117 ","178,298 ","1 ","0 ","178,299 ","2 ","599 ","98.44 ","98.44 ","0.00 ","0.00 ","0.00 ","0.33 "
"明治神宮外苑","国立公園","赤坂地区","北青山一丁目","69,902 ","69,307 ","40,451 ","1,175 ","0 ","41,626 ","9,879 ","0 ","60.06 ","58.36 ","1.70 ","0.00 ","14.25 ","0.00 "

"※平成28年6月18日現在のデータである",,,,,,,,,,,,,,,,,
"※面積は小数第1位を四捨五入により集計値が合わない場合がある",,,,,,,,,,,,,,,,,
"※高速道路下は実際に緑地があっても緑被判読はできていない",,,,,,,,,,,,,,,,,

"港区みどりの実態調査（第９次）公園緑地緑被状況一覧","Ver201606",,,,,,,,,,,,,,,,
