地域階層,地区コード,項番,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く)  a),事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) b),事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 c),事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 d),事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 e),事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 f),事業所数 Establishments／電気機械器具 g),事業所数 Establishments／情報通信機械器具 h),事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) a),従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) b),従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 c),従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 d),従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 e),従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 f),従業者数 Persons engaged／電気機械器具 g),従業者数 Persons engaged／情報通信機械器具 h),従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) a),製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品(別掲を除く) b),製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 c),製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 d),製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 e),製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 f),製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 g),製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 h),製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
2,13222,20,東久留米市,Higashikurume-shi,49,3501,1763082,8957502,14217733,4953471,10,1,-,-,3,-,3,-,-,1,-,-,2,-,-,6,2,3,4,3,4,2,1,4,1708,185,-,-,19,-,50,-,-,6,-,-,17,-,-,75,22,146,40,31,81,51,7,1063,4809297,x,-,-,26042,-,104431,-,-,x,-,-,x,-,-,93874,x,363851,41525,26131,135888,x,x,4662040
2,13223,21,武蔵村山市,Musashimurayama-shi,123,4659,1710858,5482557,9895201,4194357,14,-,1,-,5,2,8,-,-,5,-,-,2,-,-,22,3,27,6,5,14,-,6,3,1891,-,88,-,166,22,131,-,-,42,-,-,29,-,-,436,80,912,62,83,347,-,352,18,3379379,-,x,-,1216566,x,167148,-,-,35428,-,-,x,-,-,572653,159874,2568894,69129,77778,583131,-,811828,9359
2,13224,22,多摩市,Tama-shi,21,884,410411,1255829,2457919,1158451,4,-,-,-,-,-,3,-,-,1,-,-,-,-,-,1,-,2,3,2,2,1,-,2,111,-,-,-,-,-,340,-,-,26,-,-,-,-,-,5,-,22,234,72,32,17,-,25,155639,-,-,-,-,-,698950,-,-,x,-,-,-,-,-,x,-,x,1035411,x,x,x,-,x
2,13225,23,稲城市,Inagi-shi,62,1703,856450,1434051,2947620,1414490,3,1,-,-,1,-,-,1,-,2,-,-,3,-,-,8,1,8,9,13,6,5,-,1,420,121,-,-,10,-,-,9,-,77,-,-,72,-,-,415,5,92,115,220,55,79,-,13,433345,x,-,-,x,-,-,x,-,x,-,-,191439,-,-,1011577,x,103070,182467,227883,80528,82427,-,x
2,13227,24,羽村市,Hamura-shi,70,8417,3965619,43048194,70909000,25954198,-,-,-,-,1,1,5,2,-,1,-,-,1,2,2,12,4,9,3,5,5,1,12,4,-,-,-,-,7,94,92,140,-,10,-,-,15,249,65,131,695,413,61,254,236,10,5558,387,-,-,-,-,x,x,558555,x,-,x,-,-,x,x,x,367032,1602995,1085154,54336,1313025,503419,x,61025180,1011122
2,13228,25,あきる野市,Akiruno-shi,79,2096,1000145,2618892,4642687,1897765,5,1,-,3,2,2,1,-,-,7,-,-,5,-,2,7,1,14,5,5,5,2,7,5,151,18,-,35,10,60,4,-,-,103,-,-,48,-,154,113,144,244,134,49,323,19,331,156,88874,x,-,38132,x,x,x,-,-,156202,-,-,106603,-,x,136928,x,396915,377434,43588,943141,x,1168315,282570
2,13229,26,西東京市,Nishitokyo-shi,29,964,518643,1424265,2926578,1479569,6,-,-,-,-,1,4,1,-,1,-,-,-,-,-,2,2,3,3,2,1,2,-,1,87,-,-,-,-,7,96,9,-,7,-,-,-,-,-,32,363,23,169,19,14,40,-,98,58661,-,-,-,-,x,280837,x,-,x,-,-,-,-,-,x,x,34126,275487,x,x,x,-,x
1,13300,,郡部,All gun,268,8599,3913330,24985800,63218447,35551589,18,1,3,6,4,6,7,3,3,19,-,-,11,7,3,40,9,32,22,11,15,3,25,20,921,9,32,44,65,120,322,232,35,329,-,-,289,115,88,427,122,535,724,239,538,196,2874,343,2436475,x,x,39086,228846,198011,651866,714445,454040,559169,-,-,1730054,367299,171876,x,192229,998121,1287701,295245,1895678,379436,49576835,514810
1,13350,,島部,All islands,40,321,70286,127287,277210,125004,24,4,1,-,-,-,-,5,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,172,33,10,-,-,-,-,56,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,95410,x,x,-,-,-,-,33410,-,-,-,-,93814,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 11   工業 11  MANUFACTURING INDUSTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-1  地域， 産業別事業所数， 従業者数及び製造品出荷額等 (平成29年) 11-1  ESTABLISHMENTS，EMPLOYEES，AND SHIPMENTS BY DISTRICT AND INDUSTRY ( 2017 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
この表は，工業統計調査によるもので，東京都が集計した結果である。調査の時点は平成30年6月１日であるが，事業所数，従業者数以外の項目については，平成29年１年間のもの（1月から12月の合計）となっている。なお，従業者４人以上の事業所についての数値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is based on the Manufacturing Industry Survey taken on June 1， 2018， with the results tabulated by the TMG. Survey is as of June 1， 2018， but items other than the number of establishments and employees are for the one year of 2017 (total from Jan. through Dec.). Figures are for establishments with 4 or more employees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Lumber and wood products， except furniture b) Plastic products， except otherwise classified c) Tanned leather， leather products and fur skins d) Non-ferrous metals and products e) General-purpose machinery f) Electronic parts， devices and electronic circuits g) Electrical machinery， equipment and supplies h) Information and communications equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部産業統計課 「2018東京の工業　平成30年工業統計調査報告（平成29年実績）」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位　金額　万円) (Value in ten thousands of yen) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
