区市町村名：用途　/　昭和・平成　年,53年,54年,55年,56年,57年,58年,59年,60年,61年,62年,63年,64年,2年,3年,4年,5年,6年,7年,8年,9年,10年,11年,12年,13年,14年,15年,16年,17年,19年,20年,21年,22年,23年,24年,25年,26年,27年,28年,29年,30年
八王子市：全用途平均(林地を含む。）,3.9,9,17.7,13.8,6.8,4.4,3.5,1.8,2.8,12.4,89.3,-3.5,-0.6,0.1,-3,-10.8,-7.4,-5.1,-3.9,-3.2,-3.8,-10.4,-11.1,-9.6,-10.3,-10.1,-7.6,-4.3,3.2,6.5,-3.7,-6.9,-2.7,-1.5,-0.6,0.3,0.5,0.2,0.1,0.2
立川市：住宅地,5.6,11.1,20.3,15.3,7.1,4.7,3.6,2.8,2.8,18.9,99.6,-8.2,-0.9,0.1,-6.6,-19.7,-5.8,-1.1,-2.1,-1.9,-1.3,-4.4,-5,-4.7,-5.7,-5.9,-5.8,-4.5,6.4,11.3,-4.4,-7.2,-2.3,-0.5,0.2,2.8,1.1,0.6,0.9,2
立川市：商業地,2.3,4.1,9.3,10.7,6.8,9.7,4.8,4.2,6.1,55,80.2,-2.8,0.3,1.9,-4.4,-28.4,-28.4,-16.5,-15.2,-11.2,-5.9,-5.5,-5.8,-4.6,-3.2,-6.2,-5.8,-2.4,8,13.7,-4.3,-6.7,-2.5,-1.1,0.1,2.7,4.1,4.8,5.6,5.5
立川市：全用途平均(林地を含む。）,4.9,9.7,18.1,14.5,7.4,5.2,3.8,3,3.3,22.2,98.7,-7.8,-0.7,0.3,-6.3,-20.8,-10.1,-3.4,-4.4,-3.5,-2.1,-4.7,-5.3,-4.7,-5.4,-6.1,-5.9,-4.2,6.6,11.3,-4.4,-7.1,-2.4,-0.7,0.1,2.8,1.8,1.6,1.8,2.8
武蔵野市：住宅地,3.9,11.6,21.5,14.7,5.9,3.1,2.6,3,7.4,119.9,37.9,-11.1,-2.1,-1.6,-13.4,-20.8,-19,-6.5,-3.1,-1.4,-1,-5.7,-4.6,-3.1,-2.5,-1.7,-0.9,0.1,8,15,-9,-5.4,-0.9,-0.1,0.3,2.6,3.1,3.3,3.3,3.1
武蔵野市：商業地,1.6,6.5,12.9,12,8.3,5.9,7.1,9.1,15,108.1,43,-1.1,-0.9,0,-8,-18.3,-23.7,-17,-12.5,-8.2,-5.3,-11,-7.3,-3.4,-2.8,-1.8,-1.6,0.2,7,11.9,-6.2,-5.2,-1.3,-0.5,0,3,3.4,4.5,5.3,5.5
武蔵野市：全用途平均(林地を含む。）,3.3,10,19.4,14.1,6.3,3.6,3.5,4.3,9,116.7,38.9,-9.2,-1.9,-1.3,-12.3,-20.3,-20.1,-9.6,-5.9,-3.4,-2.3,-7.2,-5.3,-3.2,-2.6,-1.7,-1.1,0.1,7.7,13.9,-8.1,-5.4,-1,-0.2,0.2,2.8,3.2,3.8,4,4
三鷹市：住宅地,3.7,11.5,21.6,14.8,6.3,3.3,2.5,2.6,5.7,89.8,43.4,-11.7,-2.6,-1.4,-11.8,-18.7,-12.4,-4.2,-3.7,-1.3,-1.3,-7.3,-5.2,-3.1,-2.7,-2.5,-2.2,-0.9,6.2,12,-8.9,-4.8,-1.2,-0.3,0,1.4,1.7,2.6,2.6,2.7
三鷹市：商業地,2,5.8,14,10.5,7.6,4.7,4.3,6.4,12,120.1,63.9,-3.7,0.2,-0.4,-4.6,-17.2,-18.2,-11.5,-9.2,-7,-4.6,-9.9,-7,-4.1,-3.2,-2.3,-2.3,-1.1,6.4,10.5,-7.4,-5.9,-1.8,-0.8,0,1.4,1.6,2.6,2.5,2.5
三鷹市：全用途平均(林地を含む。）,3.3,10.6,20.6,14.4,6.5,3.4,2.6,2.9,6.2,92,45,-11.2,-2.4,-1.3,-11.3,-18.6,-13.7,-6,-5,-2.7,-2.2,-8,-5.7,-3.4,-2.9,-2.5,-2.3,-1,6.3,11.6,-8.5,-5.1,-1.4,-0.4,0,1.4,1.7,2.6,2.6,2.7
青梅市：住宅地,3.5,8.6,20.5,15.2,6.6,3.5,1.5,1.6,1.3,9.2,92.5,-3.1,0.4,0.1,-2.9,-7.9,-4.4,-1.9,-2.7,-2.3,-3,-11.5,-9.2,-8.1,-9.9,-7.8,-8,-6.6,1.9,6,-4.7,-6,-2.4,-1.8,-1.2,0,-0.3,-0.6,-0.9,-0.8
青梅市：商業地,2.7,4.4,11.6,11.7,5.6,　　―,1.6,1.8,1.5,25.4,108.5,3.7,0,0,-4,-16.8,-17.2,-10.5,-18,-9.6,-5.8,-12.1,-10.9,-9,-8.4,-8.3,-7.3,-5.3,1.7,11.1,-5.3,-7.7,-2.9,-2,-1.4,0.2,1,0.5,0.1,0.2
青梅市：全用途平均(林地を含む。）,2.8,7,16.8,13.7,5.8,3.7,1.8,1.8,1.9,10.5,89.5,-0.3,0.5,0.5,-2.5,-7.5,-5.6,-2.8,-4.4,-3.1,-3.3,-11.2,-9.3,-8.1,-9.6,-7.9,-8.3,-7.8,0.7,5.9,-4.8,-6.1,-2.8,-2.2,-1.5,0.1,-0.1,-0.5,-0.8,-0.8
府中市：住宅地,4.2,12.3,20.5,15.9,5.6,4.3,2.8,2.5,4.4,34.3,81,-5.7,2.1,0,-11.2,-17.2,-12.3,-4.5,-4.8,-2.5,-2.1,-4.4,-3.7,-3,-3.8,-3.9,-3.4,-1,8.2,10.5,-5,-5.4,-0.9,-0.6,-0.1,1.1,0.9,0.9,1.1,1.1
府中市：商業地,0.9,6.6,10.1,11.4,7.4,4.4,3.2,3.4,12.8,72.6,67.7,0,4.3,0.9,-2.5,-15.7,-20.6,-8.8,-10.4,-9.4,-5.6,-7.1,-7.4,-6,-5.5,-5.1,-3.9,-1.5,6.1,11,-5.5,-5.7,-2.3,-0.6,-0.4,1.5,1.5,1.8,2,2.1
府中市：全用途平均(林地を含む。）,3.6,11.1,19.1,15.3,5.9,4.3,2.8,2.6,4.9,37.6,80.3,-5.2,2.3,0.1,-10.3,-17.1,-13.3,-5,-5.5,-3.3,-2.6,-4.8,-4.1,-3.4,-4.1,-4.2,-3.5,-1.1,7.8,10.6,-5.1,-5.4,-1.1,-0.6,-0.2,1.2,1.1,1.1,1.2,1.2
昭島市：住宅地,4.4,10,20.3,15.3,7.1,5,3.3,2.1,2.4,8.2,99,-7.1,0.5,0.1,-5.8,-14.2,-6.3,-1.1,-1.8,-0.6,-0.9,-5.4,-6.4,-4.9,-6.5,-7.4,-7.2,-6.9,5.8,10.4,-4.6,-6.6,-1.6,-0.4,0.3,2.8,1.4,0.5,0.9,1.3
昭島市：商業地,1.8,7.7,14.2,9.3,5.9,4,3.3,3.8,4.5,　　―,62.2,0,0,1.4,-2,-17.2,-20.4,-9.5,-10.9,-6.2,-4.4,-9,-8.2,-6.7,-7,-9.4,-8.2,-5.2,5.4,8.3,-4.4,-6.7,-2.8,-1.4,-1,1.5,1,2,1.6,1.8
昭島市：全用途平均(林地を含む。）,3.8,9,19,14.3,7,4.7,3.4,2.3,2.6,8.2,96,-6.7,0.4,0.1,-5.5,-14.5,-7.7,-2.1,-2.7,-1.2,-1.4,-5.7,-6.5,-5.3,-6.5,-7.7,-7.6,-6.6,5.6,9.8,-4.6,-6.5,-1.8,-0.5,0.1,2.6,1.3,0.7,1,1.4
調布市：住宅地,4.8,12.2,20.3,15.9,5.4,3.6,2.9,2.6,5.4,53.2,89.4,-9.5,-2.1,-0.3,-11.7,-18.9,-14.5,-4.9,-5.1,-2.7,-2.6,-4,-4.2,-2.9,-4,-4.4,-3.6,-0.8,8.1,10.4,-7.3,-5,-1,-0.7,-0.1,1.1,1.1,1.1,1,1.1
調布市：商業地,2.2,6.1,12.8,12.9,6.8,5.2,4.5,4.4,13.6,75.7,101.7,3.5,5.5,3.1,-1.4,-18.2,-22.8,-13.9,-13.2,-9.3,-9.4,-9.1,-8.6,-6.8,-6.1,-5.4,-4.4,-2,7.2,10.7,-6.1,-5.5,-1.6,-0.7,-0.1,2.3,2.5,2.9,3.5,3.2
調布市：全用途平均(林地を含む。）,4.2,11.3,19,15.4,5.7,3.8,3.1,2.8,6.1,55.2,90.3,-8.5,-1.6,0,-11,-18.8,-15.1,-5.7,-5.7,-3.2,-3.2,-4.5,-4.7,-3.3,-4.3,-4.5,-3.6,-0.9,7.9,10.4,-7.1,-5.1,-1.1,-0.7,-0.1,1.3,1.3,1.4,1.4,1.4
町田市：住宅地,4.5,9.1,20.2,14.6,6.6,4.1,2.5,2.4,2.2,13.2,120.1,-7.9,-0.8,0.1,-6.3,-12.2,-7.5,-4.9,-5.1,-4.8,-3.5,-6.5,-10.4,-10.1,-9.8,-8.5,-4.7,-3.1,4,6.7,-3,-3.7,-1.5,-0.7,-0.1,0.6,0.2,0,0,0
町田市：商業地,1.8,5.3,12.2,11.8,6.3,5.9,5.2,9,11.9,48.9,75,1,0.6,0,-6.1,-16.5,-19.7,-20.6,-19.2,-17.1,-9.3,-10.2,-11.2,-8.9,-8.4,-7.3,-4.4,-2.3,4.5,10.2,-3.1,-3.9,-1.7,-0.8,-0.2,1.4,1,1.4,1.5,1.3
町田市：全用途平均(林地を含む。）,4,8.2,18.4,13.9,6.5,4.3,2.8,3,3.2,14.8,114.4,-6.5,-0.6,0.8,-5.7,-12.1,-8.6,-6.4,-6.4,-5.9,-4.1,-7.1,-10.6,-10.1,-9.9,-8.6,-4.9,-3.3,3.7,6.9,-3.1,-3.8,-1.5,-0.7,-0.2,0.7,0.4,0.2,0.2,0.2
小金井市：住宅地,3.1,11.4,21.6,14.6,6.4,3.3,2.7,2.2,3.8,48.1,59.5,-4,-2.2,-0.7,-9,-17.9,-11.7,-2.9,-3.6,-2.3,-0.8,-4.5,-4,-2.8,-4,-3.7,-3.3,-1.6,5.3,10,-5.6,-7.4,-1.8,-0.7,-0.1,1.3,1.2,1.4,1.3,1.6
小金井市：商業地,0.5,7,9.8,8,7.4,5.2,4.1,4.7,8.3,108.3,53.3,0,0,-0.9,-7.9,-15,-20.5,-16.4,-12.6,-8,-4.8,-7.7,-6.3,-4.2,-3.8,-4.7,-3.4,-3,6.3,11.7,-5.1,-5.9,-2,-0.5,-0.1,1.1,1.2,1.7,1.5,1.8
小金井市：全用途平均(林地を含む。）,2.7,11,19.7,14.1,6.5,3.5,2.7,2.3,4.1,51.9,59.2,-3.8,-2,-0.7,-9,-17.7,-12.5,-4.9,-4.8,-3.1,-1.3,-5,-4.3,-2.9,-4,-3.8,-3.3,-1.9,5.5,10.4,-5.5,-7.1,-1.8,-0.6,-0.1,1.3,1.2,1.4,1.4,1.6
小平市：住宅地,4.8,12,21,13.3,6.4,3.1,2.2,1.3,2.1,32,98.6,-8.5,-5.1,0,-11.1,-20.8,-7,-0.3,-4,-2,-3.3,-8.7,-7.8,-4.2,-4.4,-3.6,-2.9,-1.4,5.9,6.8,-5.3,-5.7,-2.1,-1.7,-0.4,1.4,0.8,0.8,1.2,1.2
小平市：商業地,2.2,6.3,15.6,6.3,4.4,3,3.4,3.5,4.6,78.7,58.3,-3.1,-1.4,0,-2.7,-23.8,-16,-10,-14.3,-8.7,-6.2,-13,-11.2,-6.8,-6.3,-4.8,-3.9,-2.9,6,6.5,-5.6,-6.1,-3.1,-2.1,-0.5,1.3,0.6,0.7,1.1,1.1
小平市：全用途平均(林地を含む。）,4.4,11.1,20.12,12.7,6.3,3.1,2.3,1.5,2.2,35.3,97.5,-7.9,-4.9,0,-10.8,-21,-7.9,-1.3,-5,-2.6,-3.6,-9.2,-8.2,-4.4,-4.6,-3.8,-3,-1.6,5.9,6.8,-5.3,-5.8,-2.3,-1.7,-0.4,1.4,0.8,0.8,1.2,1.2
日野市：住宅地,3.6,9.3,20.2,14.4,7.5,4.7,3.6,2.7,2.8,11,106.6,-8.7,-2.1,0.1,-5.4,-15,-5.9,-0.8,-2.4,-2.4,-1.4,-6.3,-7.4,-6.7,-7.3,-7.6,-7.4,-6.3,5,9.3,-4.3,-7.2,-2.1,-0.7,-0.1,2.1,1.2,0.6,0.5,0.7
日野市：商業地,1.7,4.1,8.1,7.8,5.5,3.1,5.1,4.3,7.3,　　―,29.1,-10.1,0,0,-4.5,-26.7,-21,-10.7,-9.2,-11,-5.5,-6.3,-7.2,-6,-7.1,-7.6,-7.1,-4.4,7,8.8,-4.9,-7.9,-2.8,-0.6,-0.2,1.6,1.8,2,2.1,2.3
日野市：全用途平均(林地を含む。）,3.3,8.5,18.6,13.8,7.5,4.5,3.7,2.8,3,10.8,102.8,-8.8,-2,0.1,-5.3,-15.4,-7.3,-1.6,-3,-2.9,-1.7,-6.1,-7.3,-6.5,-7.3,-7.6,-7.4,-6.1,5,9,-4.5,-7.3,-2.3,-0.8,-0.2,2,1.2,0.9,0.8,0.9
東村山市：住宅地,3.3,10,21.8,14.6,6.6,3.9,2.6,2.3,2.5,34.7,88.2,-9.4,-2.3,-0.2,-6.8,-18.3,-6.9,-0.4,-3.8,-2.6,-2.6,-7.8,-13.7,-3.9,-3.7,-4.7,-4,-2.8,4,6.8,-5.1,-4.8,-2.2,-0.8,-0.2,1.7,0.5,0.7,1.2,1
東村山市：商業地,1.2,5.5,12.2,8.1,4.7,　　―,1.7,2.1,3,45.8,66.5,-2.6,0,0,-6.8,-25.1,-18.4,-7.4,-16.6,-10.9,-9,-15,-12.6,-6.1,-5.2,-8,-6,-3.1,5.2,10.4,-5.1,-5.3,-1.9,-1,-0.2,1.2,0.5,0.9,1,1.1
東村山市：全用途平均(林地を含む。）,3,9.3,20,13.7,6.3,3.9,2.6,2.3,2.6,35.1,86.5,-8.9,-2,-0.1,-6.8,-18.9,-8.4,-1.4,-5.3,-3.6,-3.3,-8.8,-13.6,-4.2,-3.9,-5.1,-4.3,-2.9,4,7.1,-5.1,-4.9,-2.2,-0.9,-0.2,1.5,0.5,0.7,1.1,1
国分寺市：住宅地,3.4,10.9,21.9,15.9,6.33,3.3,3,1.7,4.6,45.1,76.1,-12,1,0.3,-6.8,-17.8,-8,-2.4,-3.3,-1.8,-0.4,-5.4,-5.4,-3.9,-3,-4.1,-3.4,-2.1,3.4,9.2,-5.2,-8.9,-1.8,-0.8,-0.3,1.8,0.9,0.3,0.7,1.6
国分寺市：商業地,0.4,5,8.4,9.9,6.1,5.1,5,5.1,6.7,95.5,57.3,0,1.8,1.4,-2.1,-20.4,-15.4,-14.5,-13.4,-8.4,-5.4,-8.6,-7,-5.3,-4.8,-3.8,-3.8,-2.8,4.3,8.8,-5.8,-6.4,-2.4,-0.6,-0.5,1.4,1.3,1.2,1.4,2.3
国分寺市：全用途平均(林地を含む。）,2.9,9.8,19.5,14.8,6.3,3.5,3.3,2.1,4.8,51,73.9,-10.5,1.1,0.3,-6.2,-18.1,-10,-5.6,-6,-3.7,-1.8,-6.2,-5.8,-4.3,-3.5,-4,-3.5,-2.3,3.7,9.1,-5.4,-8.3,-2,-0.7,-0.3,1.7,1,0.6,1,1.8
国立市：住宅地,3.4,11.6,22,15.8,6.8,3.2,3.1,3.2,6.1,89.5,58.6,-12.8,1.4,0.2,-9.5,-21.2,-12,-3.4,-3.5,-2.5,-1.2,-5.2,-5.2,-3.9,-3.6,-3.8,-3.5,-1.9,4.1,5.9,-5.8,-8.6,-1.5,-0.8,0.4,2.3,1.1,0.9,1,2.4
国立市：商業地,0.6,6,9.9,11.5,6.5,5,6,5.6,13.8,147.7,44.5,-0.8,3.9,0,-1.3,-23.1,-20.7,-14,-13.7,-6.5,-3.4,-9.2,-7.4,-4.6,-3.5,-4.6,-3.8,-1.3,6.3,7.7,-4.8,-7,-1.9,-0.8,-0.4,0.8,0.4,0.4,1.4,1.7
国立市：全用途平均(林地を含む。）,2.9,10.2,19.3,14.9,6.8,3.4,3.3,3.4,7,94.8,57.4,-11.8,1.6,0.2,-8.8,-21.4,-13.6,-5.6,-5.5,-3.3,-1.6,-6.3,-5.9,-4.1,-4,-4.4,-3.8,-1.9,4.6,6.2,-5.6,-8.1,-1.6,-0.8,0.4,2,1,0.8,1,2.1
福生市：住宅地,3.8,9,20.3,14.6,6,4,2.6,1.5,1.5,9.6,88.6,-1.1,0,0.2,-4.1,-10.1,-4.8,-1.3,-3.5,-1.8,-2.7,-7.8,-7,-4.8,-3.7,-4.3,-7.2,-6.9,3.1,8.4,-5.3,-5.8,-2.2,-1.6,-0.6,1,1.9,1.7,1,0.7
福生市：商業地,3.6,5.1,10.2,10.1,4.6,2.4,1.8,1.9,　　―,51.7,129.7,0,0,4.3,-3.7,-20,-12.3,-7,-18.4,-8.7,-9,-13.9,-8.2,-4.8,-3.9,-3.4,-9.8,-6.6,1.3,8.3,-3.9,-8.1,-3.5,-2.2,-1.4,0.9,1.6,1.5,1.2,1
福生市：全用途平均(林地を含む。）,3.6,7.9,17.8,13.7,5.8,3.7,2.4,1.6,1.5,13.8,92.7,-1,0,0.6,-4.1,-11.1,-5.9,-1.7,-5.3,-2.7,-3.5,-8.6,-7.2,-4.8,-3.8,-4.1,-7.9,-6.9,2.6,8.4,-4.9,-6.5,-2.6,-1.8,-0.9,1,1.8,1.6,1,0.8
狛江市：住宅地,5,10.1,21.9,14.8,5.3,3.7,2.4,2.6,5.9,58.3,82.4,-8.8,-2.8,-0.2,-11.7,-19.2,-14.5,-4.1,-5.1,-2.2,-2.6,-4.6,-5.2,-3.8,-4.3,-4.3,-3.7,-1.1,6.6,8.5,-7.3,-5.1,-0.7,-0.8,-0.5,0.1,0.8,0.5,0.8,0.8
狛江市：商業地,3.7,11.2,17.9,14.8,　　―,4.8,3.4,3,13.7,67.8,90.3,0,5.1,2,-3.2,-17.1,-22.1,-13,-13.7,-8,-6.8,-8.8,-8.8,-6.7,-7,-8.5,-6.4,-1.8,6.3,9.6,-5.7,-5.8,-1.7,-0.9,-0.6,0,0.7,0.4,0.5,0.4
狛江市：全用途平均(林地を含む。）,4.8,10.3,21.2,14.8,5.3,3.8,2.5,2.6,6.7,59.2,83.2,-8.1,-2.2,0,-11,-19,-15.4,-5,-5.9,-2.7,-3,-5,-5.5,-4.1,-4.6,-4.6,-3.9,-1.2,6.6,8.6,-7.1,-5.2,-0.8,-0.8,-0.5,0.1,0.7,0.5,0.7,0.7
東大和市：住宅地,5.2,12.3,21,15,6.7,3.1,2.2,1.2,2,17.8,78.5,-7.1,-0.2,0.6,-6.6,-13.6,-4,0,-2,-0.6,-2.7,-10.8,-8.1,-6.1,-5.4,-4.6,-4.1,-3,5,6.6,-5.3,-5.2,-2.6,-1.8,-0.6,1.1,0.7,0.6,0.7,0.8
東大和市：商業地,3.1,6.6,17.5,　　―,5.3,　　―,3,2.1,4.5,47.9,69.7,-3.1,-1.6,0,-5.7,-20,-9.9,-4.7,-6.5,-4.4,-5.5,-15.5,-10,-6.9,-6.5,-5.3,-5.3,-3.3,4.3,5.3,-5.7,-5.6,-3.4,-2.1,-0.6,0.7,0.5,0.6,0.7,0.8
東大和市：全用途平均(林地を含む。）,4.9,11.4,20.2,15,6.6,3.1,2.2,1.3,2.2,19.8,77.9,-6.9,-0.3,0.6,-6.5,-13.9,-4.8,-0.8,-2.9,-1.3,-3.1,-11.4,-8.4,-6.2,-5.6,-4.7,-4.3,-3,4.9,6.4,-5.4,-5.3,-2.6,-1.8,-0.6,1,0.6,0.6,0.7,0.8
清瀬市：住宅地,3.1,9.9,21.7,15.3,6.4,3.9,2.3,2.1,2.3,24.9,91.4,-11.1,-0.8,-0.3,-7.5,-16.9,-5.2,-0.3,-3.4,-2.1,-2.7,-9,-10.7,-4.6,-4.5,-4.4,-4,-3,3.8,5.8,-5.2,-5.1,-2.3,-0.9,-0.3,1.3,0.9,0.6,1,1.1
清瀬市：商業地,0.9,6.1,13.7,7.8,　　―,　　―,1.6,1.8,2.1,　　―,81.6,0,0,0,-4.9,-21.3,-20,-8.8,-18.5,-18.2,-13.3,-19.9,-11.5,-7.8,-7.3,-7.2,-5.1,-4,5.7,7.1,-5.7,-6,-3,-1.1,0,1.6,0.9,1.1,1.1,1.1
清瀬市：全用途平均(林地を含む。）,2.9,9.4,20.9,14.6,6.4,3.9,2.3,2.1,2.3,24.8,90.7,-10.3,-0.7,-0.3,-7.3,-17.2,-6.1,-0.7,-4,-2.7,-3.2,-9.5,-10.8,-4.8,-4.7,-4.6,-4.2,-3.1,3.9,5.8,-5.2,-5.1,-2.4,-0.9,-0.3,1.3,0.9,0.7,0.9,1.1
東久留米市：住宅地,3.2,9.8,21.5,14.2,6.2,3.9,2.5,2.2,2.8,34.2,80.2,-12,-1.7,0.2,-8.5,-18.3,-6.6,-0.1,-4.4,-3.2,-2.7,-8.5,-12.8,-4.2,-4.1,-4.4,-3.8,-2.2,4.6,7.9,-5.6,-4.6,-1.9,-0.9,-0.2,1.8,1,0.7,0.9,1.1
東久留米市：商業地,2.7,7.1,12.1,10,4.4,　　―,2.8,5.2,4.5,105,67.6,-0.4,0,0,-5.2,-19.1,-16.4,-8.2,-14,-11.2,-8.4,-7.9,-14.9,-6,-6.3,-6,-4.6,-3.6,4.7,8.8,-5.5,-4.6,-2.4,-0.8,-0.2,1.2,0.5,0.8,1,1.2
東久留米市：全用途平均(林地を含む。）,3.1,9.2,20.5,13.9,6,3.9,2.5,2.4,2.9,38.4,79.4,-11.3,-1.5,0.2,-8.2,-18.3,-7.3,-0.7,-4.8,-3.6,-3.1,-8.6,-12.9,-4.4,-4.3,-4.6,-4,-2.5,4.4,7.8,-5.6,-4.7,-2,-0.9,-0.2,1.7,0.9,0.7,0.9,1.1
武蔵村山市：住宅地,4.5,12.2,21.9,15.1,6.5,3,1.9,0.8,1,10.7,69.5,-3.8,0,1,-2.1,-7.8,-2,0,-0.1,0,-2.3,-10.7,-8.8,-7.9,-8.1,-9.1,-7.1,-4.3,4.5,5.8,-5.8,-5.3,-2.1,-1.9,-0.9,0.1,0.9,0.8,0.2,0.2
武蔵村山市：商業地,2.5,3.6,19.3,13.3,　　―,3.8,　　―,1.9,2.2,14.9,44,-3.9,0,0,-2.9,-13.6,-6.4,-2.2,-2.1,-1.5,-4.3,-15.1,-10.9,-8,-8.3,-11.8,-6.5,-4,4.4,5.5,-6.1,-5.6,-2.3,-2,-1.4,0,0.7,1.1,0.3,0.3
武蔵村山市：全用途平均(林地を含む。）,4,11.4,21.4,14.7,6.7,2.9,1.8,0.9,1.1,10.9,68.3,-3.6,0,1.1,-2,-8.1,-2.5,-0.2,-0.4,-0.2,-2.5,-11.5,-9.2,-8.2,-8.5,-9.6,-7.4,-4.4,4.5,5.9,-5.8,-5.3,-2.1,-1.9,-1,0.1,0.9,0.9,0.2,0.4
多摩市：住宅地,3.2,9.4,19.4,16.1,5.8,3.8,3.3,2.7,3.6,19.5,145.5,-9.9,-4.4,-0.6,-11.1,-16.1,-13.1,-4.9,-4.4,-3.8,-3.2,-7.4,-9.9,-7.5,-6.9,-7.6,-5.2,-3.2,2.2,5,-2.9,-4.4,-1.5,-0.7,-0.3,0.7,0.5,0.2,0,0
多摩市：商業地,0,1.5,16.1,12.3,6,4.8,7.7,6.8,12.7,74.2,150,0,0,0,-11.1,-25,-23.7,-15.3,-15.6,-11.5,-6.3,-9.5,-11.5,-10.6,-8.5,-9.6,-5.9,-4.7,4.6,6.4,-3.9,-5,-2.4,-0.5,-0.1,0.8,0.1,0.2,0.2,0.4
多摩市：全用途平均(林地を含む。）,2.9,8.7,19.1,15.9,5.8,3.9,3.6,2.9,4,22.1,145.7,-9.5,-4.2,-0.5,-11.1,-16.5,-14.4,-6.3,-5.8,-4.8,-3.7,-7.7,-10.1,-7.9,-7.2,-7.8,-5.3,-3.4,2.6,5.2,-3.1,-4.5,-1.6,-0.7,-0.3,0.7,0.4,0.2,0,0.1
稲城市：住宅地,4.8,9.1,19.6,16.2,5.3,4.5,2.8,2.2,3.7,15.8,89,-5.1,-0.1,0,-6.7,-11.4,-8.7,-2.5,-2.9,-2.1,-1.9,-4.7,-4.3,-4.4,-6.8,-6.7,-6.6,-3.4,2.1,4.4,-2.7,-3.4,-0.6,-0.5,0,1.3,1.6,1.8,2,1.9
稲城市：商業地,1.9,3.8,18.3,14,　　―,4.3,2.5,2,5.1,27.1,118.9,0,0,0,-2.3,-10.1,-15.8,-5.9,-6.6,-8.6,-4.2,-6,-5.7,-6,-7.6,-11.1,-9.7,-4.9,2.7,6.7,-4.3,-3.7,-1.5,-0.4,0,0.9,1.6,1.6,2.1,2.2
稲城市：全用途平均(林地を含む。）,4.3,7.9,18.5,15.4,5.3,4.5,2.7,2.2,3.7,16.4,89.3,-4.9,-0.1,0,-6.5,-11.1,-9,-2.6,-3.1,-2.4,-2.1,-4.8,-4.4,-4.5,-6.8,-7,-6.8,-3.5,2.2,4.5,-2.8,-3.5,-0.7,-0.4,0,1.2,1.6,1.7,2,1.9
羽村市：住宅地,3.7,8,21.6,15.1,6.4,3.4,1.5,1.6,1.5,12.5,82.4,-0.8,0.9,0.6,-1.6,-9.5,-4,-1,-2.4,-0.9,-2.2,-7.9,-7.3,-7.4,-6,-6.4,-7.2,-5.1,4,8.1,-5.1,-5,-1.7,-1.4,-0.8,0.6,1.4,0.9,0.4,0
羽村市：商業地,1.9,3.7,19.8,10.5,　　―,3.3,1,0.9,1.2,32.3,86,0,0,0,　　―,-10.4,-11.6,-9.1,-18.4,-7.7,-5.4,-10.5,-5.7,-6.2,-7.8,-5.3,-6.9,-2.6,3,10.8,-4.8,-7.1,-2.2,-1.7,-1.7,1.2,0.6,1.1,1.1,0
羽村市：全用途平均(林地を含む。）,3.2,7,20.2,13.5,6.1,3.3,1.4,1.5,1.5,15,82.9,-0.7,0.8,0.5,-1.6,-9.7,-5.4,-2.3,-4.7,-1.9,-2.6,-8.3,-7.1,-7.2,-6.3,-6.2,-7.1,-4.7,3.9,8.5,-5,-5.3,-1.7,-1.5,-0.9,0.6,1.3,1,0.6,0.3
あきる野市：住宅地,3.7,8,21.6,15.1,6.4,3.7,1.7,1,1.1,3.7,64,0.7,0.5,1.8,-0.1,-3.3,-2.7,-0.3,-2,-1.3,-2.3,-8.9,-9.8,-5.8,-7.2,-8,-9.7,-5.3,2.9,9.1,-3.5,-8,-1.9,-1.4,-1.1,0.2,0.5,0.5,0,-0.1
あきる野市：商業地,1.9,3.7,19.8,10.5,―,4.6,4.4,6.3,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,-3.9,-2,-8,-4.5,-3.2,-11.2,-9.6,-8.3,-9.4,-7.8,-11.2,-5.1,1.9,10.3,-3.6,-7.8,-2.7,-2,-1.8,0.7,0.7,0.7,0,0
あきる野市：全用途平均(林地を含む。）,3.2,7,20.2,13.5,6.1,4.1,1.9,1.5,1.2,3.6,59.4,2.6,1.1,2.5,-0.1,-3.1,-3.1,-0.6,-3.1,-2,-3.1,-10,-10.7,-6.8,-8.4,-8.8,-10.3,-6,1.9,8.3,-3.5,-7.5,-2.2,-1.6,-1.3,0.2,0.5,0.5,0,-0.1
西東京市：住宅地,0,0,0,0,0,3.5,2.4,1.9,2.7,42.5,86.8,-11,-2.6,-0.1,-9.5,-20.6,-6.9,-0.4,-3.7,-3.5,-3.1,-7.7,-8,-3.5,-3.5,-4.2,-3.2,-1.4,6.2,8.2,-5.7,-4.6,-1.4,-0.5,0,1.7,1.1,1.4,1.3,1.7
西東京市：商業地,0,0,0,0,0,3.6,3.6,3,4.6,63.9,68.2,-0.5,0,0,-2.9,-21.6,-18.8,-9.2,-14.7,-9,-9,-13,-11,-6.3,-7.4,-6.2,-5.2,-2.3,6,10.1,-5.8,-4.9,-2.1,-0.7,0,1.3,1.3,1.6,2.1,2.7
