区市町村名：用途　/　昭和・平成　年,58年,59年,60年,61年,62年,63年,64年,2年,3年,4年,5年,6年,7年,8年,9年,10年,11年,12年,13年,14年,15年,16年,18年,19年,20年,21年,22年,23年,24年,25年,26年,27年,28年,29年
府中市：住宅地,3.9,2.9,2.6,14.1,117.3,-0.4,-3.6,2.1,-3.1,-13.5,-16.2,-9.1,-3.2,-3.9,-1.6,-3.4,-5.4,-2.9,-3.6,-3.9,-3.6,-2.4,2.5,12,3.6,-8.8,-2.2,-1.2,-0.5,0.4,1.6,0.9,0.8,1
府中市：商業地,5.6,3.5,3.8,31.6,145,-0.2,-0.4,1.8,-0.2,-7.9,-21.5,-19.9,-9.5,-10,-8.2,-7.4,-8.4,-6.6,-5.5,-6.8,-3,-2.8,2.5,10.1,4.4,-9.5,-3.6,-1.3,-0.3,0.6,2.4,1.3,1.6,1.9
府中市：全用途平均,4.4,3.1,2.8,18.3,122.8,-0.4,-2.9,2,-2.4,-12.2,-17.5,-11.4,-4.6,-5.2,-3.2,-4.4,-6.2,-3.8,-4.1,-4.7,-3.4,-2.6,2.4,11.4,3.7,-9,-2.6,-1.2,-0.4,0.5,1.8,1,1,1.2
昭島市：住宅地,3.8,2.8,1.8,2.7,61.8,12.1,-0.3,1.9,-3.1,-10.7,-11.7,-3.1,-0.7,-2.1,-0.7,-2.4,-5.2,-5.5,-5.8,-8.6,-8.7,-7.2,1.9,8.9,4.2,-8.3,-3.9,-0.7,0,2.1,1.9,0.7,0.2,0.8
昭島市：商業地,3.9,4,3.8,10,101.4,6.4,0,1.9,-1.7,-7.3,-23.3,-19.5,-5.2,-10.5,-6,-5.4,-8.2,-8.2,-6.1,-9.8,-9.9,-7,1.6,9.3,3.4,-9.6,-4.1,-2.6,-0.8,0.7,1.3,1.2,1.9,1.8
昭島市：全用途平均,3.7,3,2.3,4.1,67.5,11,-0.3,1.9,-2.8,-10,-14.3,-6.7,-1.5,-4.1,-2,-3.4,-5.9,-6.3,-6,-8.8,-9,-7.2,1.7,8.6,3.8,-8.9,-4.2,-1.2,-0.3,1.6,1.7,0.8,0.7,1
調布市：住宅地,3.2,2.8,2.7,17.6,150.1,-1.3,-6.4,1.6,-4.4,-14.6,-17.7,-10.9,-4.4,-4.6,-2.3,-3.1,-5,-3.7,-3.6,-3.6,-4.5,-1.8,4.4,12.2,2.9,-11.4,-3.5,-0.8,-0.4,0.4,1.4,1.2,0.9,1.1
調布市：商業地,3.9,5.1,4.7,31.8,150,0.5,2.3,4.3,-0.5,-11.4,-22.5,-20.7,-14.2,-11.8,-7.8,-10.7,-8.2,-8.9,-7.1,-5.1,-5.7,-3,3.2,9.9,4.3,-9.1,-3.4,-1,-0.5,0.9,2.6,2,2.1,3.4
調布市：全用途平均,3.4,3.3,3.2,20.8,150.1,-0.1,-4.2,2.3,-3.3,-13.8,-19,-13.3,-6.1,-6.3,-3.8,-5.3,-5.6,-4.8,-4.4,-4.1,-4.9,-2.1,4.1,11.5,3.3,-10.9,-3.4,-0.8,-0.5,0.5,1.7,1.4,1.2,1.6
町田市：住宅地,3.3,2.1,2.1,2.2,79,30.9,-5.7,0.9,-0.6,-8.9,-10.7,-6.2,-4,-5.1,-2.9,-4.5,-9.1,-9.6,-8.8,-9.9,-7.5,-3.9,0.4,7.1,2.9,-5.4,-2.4,-1.1,-0.4,0.4,0.4,0.3,0,0.1
町田市：商業地,4.4,6.1,8.7,26.7,145.5,6.4,0.4,0.4,0,-9,-18.3,-22.8,-18.4,-21.6,-12.3,-8.7,-12.4,-10.5,-9.3,-10.7,-8.1,-4,1.1,9.6,5.4,-5.2,-2,-1.2,-0.1,0.8,1.3,1,0.9,1.1
町田市：全用途平均,3.4,2.6,2.8,5.3,80.6,29.3,-4.6,0.9,-0.5,-8.1,-11.3,-7.9,-5.7,-7,-4.2,-5.4,-10.2,-10.1,-9.4,-10.4,-8,-4,0.2,7,3.1,-5.4,-2.4,-1.2,-0.4,0.5,0.6,0.4,0.2,0.3
小金井市：住宅地,3.1,2.3,2.5,18.4,141,-6.9,-6.2,-0.2,-1.9,-18.5,-14.6,-6.3,-1.4,-6.9,-1.3,-2.8,-4.7,-3.7,-3,-4.2,-4.2,-3.5,0.5,10.2,3.2,-9.7,-2.8,-1.1,-0.3,0.8,1.4,0.9,1.9,1.3
小金井市：商業地,4.2,3.7,4.8,36.3,154.3,-4.8,-3.9,0,-2.8,-16.2,-18,-18.2,-13.5,-12.8,-7,-7.2,-9.6,-6.6,-5,-5,-4.4,-3.5,0.8,15.8,4.4,-7.2,-1.3,-1.6,-0.1,0.5,1.9,1.4,2.7,3
小金井市：全用途平均,2.7,2.2,2.1,21.3,143.4,-6.6,-5.8,-0.2,-2,-18.1,-15.1,-8.1,-3.2,-7.8,-2.2,-3.4,-5.1,-3.9,-3.3,-4.4,-4.2,-3.5,0.5,11.2,3.4,-9.2,-2.5,-1.2,-0.3,0.8,1.5,1,2,1.6
小平市：住宅地,2.5,1.9,1.8,8.8,119.8,-2.5,-4.2,1.9,-3.9,-14.9,-16.4,-5.6,-2.6,-3,-1.2,-4.3,-9.3,-5.6,-4.2,-4.4,-2.8,-1.9,3.1,7.8,0.5,-6.6,-4.4,-1.6,-0.9,0.4,1.3,0.8,1,1.4
小平市：商業地,3.5,3.1,3.3,13.5,124.7,0.2,-1.9,0,-1.4,-8.6,-23.8,-13.8,-8.9,-11.2,-5,-8.8,-11.2,-8.7,-5.8,-7.4,-4.3,-3.8,2.3,6.9,-0.2,-6.8,-4.5,-2.7,-1.2,0.2,1,0.6,0.8,1.3
小平市：全用途平均,2.7,2.2,2.1,9.7,120.8,-2,-3.7,1.5,-3.5,-13.6,-17.9,-7.2,-3.9,-4.6,-1.9,-5.2,-9.6,-6.1,-4.4,-4.9,-3,-2.1,2.9,7.7,0.4,-6.6,-4.4,-1.8,-1,0.4,1.2,0.8,1,1.4
日野市：住宅地,3.6,2.7,2.6,3.1,67.2,13.5,-7.9,2.4,-3.3,-11,-12.3,-1.7,-0.2,-3.5,-1.9,-3,-8.2,-7.7,-7.9,-7.6,-7.4,-6.1,2,8.8,3.5,-8.6,-4.8,-1,0,1.8,1.9,0.9,0.7,0.9
日野市：商業地,3.4,3.7,3.6,6,83.4,10.6,0,3.3,0,-8.2,-12.3,-8.9,-9.1,-11.3,-6.5,-5.6,-10.2,-6.9,-6.7,-5.2,-6.7,-5.7,2.5,6.1,1.8,-10.5,-4.8,-2.4,-0.8,1,1.4,0.9,1,1.5
日野市：全用途平均,3.5,2.8,2.7,3.3,66.4,13.5,-6.3,2.5,-3,-11,-12.3,-2.3,-1,-4.2,-2.2,-3.2,-8.2,-7.6,-7.7,-7.3,-7.3,-6,2,8.5,3.2,-8.9,-4.8,-1.1,-0.1,1.7,1.8,0.9,0.7,1
東村山市：住宅地,3.1,2.4,2,3.8,123.4,3.5,-6.2,0.1,-2.4,-12.2,-16.1,-3.2,-1.8,-4.8,-2.5,-3.2,-13.9,-8.7,-2.9,-5.1,-3.6,-3.9,0.5,8.1,2.3,-8.6,-3.6,-1.7,-0.2,0.8,1.5,0.8,0.9,0.8
東村山市：商業地,2.7,2,2.5,5.7,114.5,4.4,1.6,1.5,-0.3,-8.9,-25,-13.6,-7.3,-10.9,-9.7,-8.2,-14.1,-7.2,-5.6,-6.3,-6,-4.2,1.1,12,2.8,-9.9,-2.8,-1.2,-0.3,0.3,1.1,0.9,1.2,0.9
東村山市：全用途平均,3,2.3,2.1,4.2,121.4,3.7,-4.7,0.4,-2.1,-11.6,-17.8,-5,-2.8,-5.8,-3.8,-4.3,-13.9,-8.5,-3.3,-5.3,-4,-4,0.6,8.9,2.4,-8.8,-3.4,-1.6,-0.2,0.7,1.4,0.8,0.9,0.8
国分寺市：住宅地,2.5,2.8,2.9,16.5,150.6,-9.6,-10.5,2.7,-0.9,-15.7,-13.8,-3.9,-1,-3.2,-1.6,-1.9,-6.5,-5.3,-3.8,-3.3,-3.9,-2.7,0.3,7.1,2.3,-11.4,-2.5,-1.7,-0.3,0.4,0.6,0.5,0.3,0.7
国分寺市：商業地,1.7,4,4.6,33.1,154.2,-3.2,0.5,2.7,0,-9.9,-21.7,-24.1,-15.5,-11.9,-8.8,-7.5,-9.6,-4.8,-3.4,-2.6,-2.9,-2.9,0.5,8.9,0.4,-3.7,-2.1,-1.8,0,3.3,2.6,2.7,2.7,2.6
国分寺市：全用途平均,2.4,2.9,3.2,19.3,151.3,-8.4,-8.7,2.7,-0.7,-14.8,-15,-5.6,-3.2,-4.6,-2.7,-2.7,-7,-5.2,-3.7,-3.2,-3.7,-2.8,0.3,7.5,1.9,-10,-2.4,-1.7,-0.2,0.7,1,0.9,0.8,1
国立市：住宅地,2.9,3.1,3,27.7,151.2,-2.3,-7.5,1.1,-3.4,-19.4,-15.9,-11.3,-3.6,-4.8,-1.6,-2.3,-6.1,-4,-3.3,-3.3,-2.7,-2.4,3.8,5.4,-0.3,-13.7,-3.2,-2,-0.1,1.8,1.8,1.1,0.7,0.6
国立市：商業地,3.1,4.7,4.1,23.2,165,-5.2,0,4.5,0,-20.3,-21.7,-23.3,-11.8,-11.6,-4.1,-5.9,-9.4,-7,-4.8,-5,-6.2,-5.2,0,6.9,4.5,-10,-3,-1.3,-0.5,-0.3,0,0,0,0
国立市：全用途平均,2.9,3.5,3.2,26.7,154.3,-3,-5.6,1.8,-2.8,-19.6,-17.2,-13.7,-5.3,-6.1,-2.1,-3,-6.6,-4.4,-3.5,-3.5,-3.2,-2.9,3.2,5.6,0.4,-13.2,-3.1,-1.9,-0.1,1.5,1.6,0.9,0.6,0.5
福生市：住宅地,3.5,1.9,1.8,1.9,33.5,52.3,-0.6,2.3,-0.8,-9.1,-7.9,-3.5,-1.1,-3.9,-1.3,-5.1,-10.8,-6.2,-5.8,-2.3,-5.5,-9.4,1.7,8.4,1.1,-6.4,-5.7,-1.3,-1.3,0.4,1.7,1.8,1,0.5
福生市：商業地,1.6,1.6,1.6,4.7,125.6,26.5,0,0,0,-5.2,-13.6,-9.8,-13.9,-10.1,-4.8,-8,-15,-9.9,-6,-1.9,-10.5,-11.1,0.3,5.4,2.3,-7.4,-6.1,-2.1,-1.3,0,1.3,1.6,1.2,0.8
福生市：全用途平均,2.8,1.8,1.7,2.5,59.8,47.4,-0.4,1.7,-0.5,-7.6,-9.5,-5.4,-5.8,-5.9,-2.6,-6.3,-12.6,-7.2,-5.8,-2.1,-7.4,-10,1.2,7.3,1.6,-6.8,-5.9,-1.6,-1.3,0.2,1.5,1.7,1.1,0.6
狛江市：住宅地,2.9,2.5,2.6,19.1,118.7,-0.7,-2.8,2.9,-3.6,-13.4,-18.6,-9.3,-3,-4.2,-2.2,-3.7,-5.4,-4.9,-5,-2.7,-4.5,-2.6,2.3,9.8,3,-11.4,-1.3,-1.1,-0.7,-0.1,0.9,0.7,0.7,0.9
狛江市：商業地,2.1,2.9,3.4,33.5,150.7,0,3.5,5,-1.1,-10.2,-24,-20.5,-9.9,-12.6,-4.4,-8.6,-7.6,-7.2,-6.9,-6.3,-9.6,-5.1,0,6,3.9,-10.2,-5.1,-1.2,-0.7,-0.3,―,0.3,0.3,0.2
狛江市：全用途平均,2.7,2.5,2.7,21.1,123.2,-0.6,-1.9,3.1,-3.3,-13,-19.2,-10.7,-3.9,-5.3,-2.5,-4.4,-5.8,-5.3,-5.3,-3.3,-5.3,-3,1.9,9.2,3.2,-11.2,-2,-1.1,-0.7,-0.1,0.7,0.6,0.6,0.8
東大和市：住宅地,2.7,2,1.5,5.9,80.2,-3.1,-0.7,2.4,-1.4,-6.4,-13.4,-1,-0.9,-2.3,-0.8,-4,-12.7,-7,-4.9,-4.9,-4.2,-3.7,2.2,7.5,-0.4,-6.5,-3.8,-2,-1.3,0.2,1.1,0.1,0.8,0.5
東大和市：商業地,2.2,2.7,3.4,8.2,94.2,-1.1,0,0,-0.9,-5.9,-17.6,-8.1,-5.2,-6.3,-5.2,-6.7,-15.2,-7.9,-5,-5.7,-5.2,-4.5,1.3,6.8,-1,-6.7,-3.8,-2.9,-1.1,0,1.1,0.5,0.6,0.8
東大和市：全用途平均,2.6,2.2,1.9,6.3,83,-2.7,-0.5,2,-1.3,-6.3,-14.1,-2,-1.5,-2.9,-1.4,-4.4,-13.1,-7.1,-4.9,-5,-4.3,-3.8,2.1,7.4,-0.5,-6.5,-3.8,-2.2,-1.2,0.1,1.1,0.2,0.8,0.5
清瀬市：住宅地,3,1.7,1.8,3.7,96.7,0.4,-3,2,-2.5,-9.6,-12.4,-1.5,-1.1,-2.4,-2,-4.6,-12.9,-6.6,-3.9,-3.9,-3.8,-3.5,0.7,6.8,1.8,-8.7,-3.5,-1.4,-0.2,0.7,1,0.6,0.9,0.8
清瀬市：商業地,2.9,1.6,2.1,11,158.6,1,-0.83,0,0,-8.6,-25.5,-14.8,-12.8,-17.5,-13.3,-14.1,-20.1,-6.9,-8.3,-7.4,-6.5,-4.1,2.7,9.6,4.6,-9.4,-4.5,-1.2,0,1.3,1.2,1.1,1.6,1.2
清瀬市：全用途平均,3,1.6,1.8,4.6,101.1,0.6,-2.7,1.6,-2,-9.4,-15,-3.9,-3.3,-5.2,-4,-6.3,-13.3,-6.8,-4.7,-4.5,-4.2,-3.7,0.9,7,2.2,-8.9,-3.8,-1.3,-0.2,0.8,1,0.7,1,0.8
東久留米市：住宅地,3.1,1.8,1.8,3.8,105.9,0.4,-6.1,2.4,-2.1,-11.3,-14.1,-1.8,-1.1,-3.9,-1.9,-4.3,-13.2,-6.9,-3.7,-5.3,-5.1,-4.4,0,7.9,2.6,-8.3,-2.7,-1.3,-0.3,0.9,1.1,1.1,0.8,1
東久留米市：商業地,3.2,1.7,2,7.2,129.1,-1.9,0,1,0,-10.2,-21.56,-9.9,-6.3,-11.7,-9.9,-9.5,-14.6,-7.6,-8.4,-7.2,-6.4,-4.9,1.1,9.5,3.5,-9,-4.3,-1,-0.2,0.9,0.5,1,0.7,1.3
東久留米市：全用途平均,3.1,1.8,1.8,4.3,109.2,0.1,-5.3,2.2,-1.8,-11.2,-15.1,-3.1,-1.8,-5,-2.9,-5,-13.4,-7,-4.4,-5.4,-5.2,-4.5,0.1,7.9,2.7,-8.4,-3.1,-1.3,-0.3,0.9,1,1.1,0.7,1.1
武蔵村山市：住宅地,2.7,2.1,1.6,1.5,67.8,-2.1,-0.2,1.1,0.3,-2.5,-8.2,-0.3,-0.4,-0.5,-0.4,-4.5,-12,-9,-7.4,-8.8,-8.6,-4.6,1.1,6.8,-0.1,-6.8,-4.1,-2.1,-1.5,-0.1,0.9,0.9,0.2,0.2
武蔵村山市：商業地,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,-1.4,-2.2,-2,-3.5,-8.1,-16.7,-11.8,-8.4,-10.7,-8.2,-5.3,1.3,7.6,0,-7.1,-3.8,-2,-1.3,0,1.4,1.1,0.4,0.4
武蔵村山市：全用途平均,2.6,2.1,1.6,1.4,67.8,-1.8,-0.2,1,0.3,-1.6,-7,-0.3,-0.5,-0.5,-0.6,-4.6,-13.2,-9.4,-7.7,-9.2,-8.8,-5,1,6.5,-0.1,-7,-4.1,-2.2,-1.5,-0.1,0.9,0.9,0.3,0.3
多摩市：住宅地,3.6,2.8,2.8,5.4,135.6,24.3,-12,-1.6,-2.5,-12.9,-19.9,-6.8,-3.8,-4.3,-3.1,-4.9,-9,-8.4,-8.8,-7.3,-7.5,-5,0.2,5.6,1.6,-7,-2.8,-1.2,-0.8,0.2,0.6,0.3,-0.2,0
多摩市：商業地,　　―,12.2,10.9,22.5,124,38.2,0,0,-0.5,-10.1,-27.7,-14.7,-17.8,-15.7,-7.2,-6.4,-14.2,-11.3,-8.9,-7,-8.6,-5.3,1.5,6.9,3.8,-6.6,-2.8,-1.3,-0.6,0.3,0.4,0.1,0.1,0.3
多摩市：全用途平均,3.6,3.4,3.3,6.8,132.8,25.6,-10.5,-1.4,-2.3,-12.9,-11.2,-7.8,-6.1,-6.1,-3.8,-5.3,-10.4,-9.2,-8.8,-7.2,-7.8,-5.1,0.6,6,2.3,-6.9,-2.8,-1.2,-0.7,0.2,0.5,0.2,-0.1,0.1
稲城市：住宅地,4.9,2.7,2.5,8.3,72.6,5.4,-1.1,0.1,-2.4,-6.9,-10.9,-5.4,-1.5,-2.6,-2.1,-2.9,-5.8,-4.1,-6.3,-6.6,-6.8,-4,0.2,4.3,0.1,-3.1,-0.8,-0.7,0,0.6,1.2,1.7,1.8,2
稲城市：商業地,5.7,　　―,2.5,19.5,149.7,0,0,0,0,-3,-14,-11.7,0,-5,-8.7,-7.3,-7.1,-6.9,-8.2,-9.6,-12.5,-6.4,0,3.1,-0.1,-4.3,-1.8,-1.2,0,0.4,1.6,1.3,1.4,1.8
稲城市：全用途平均,5,2.7,2.5,9.2,79.6,5,-1,0.1,-2.2,-6.6,-11.2,-5.7,-1.4,-2.7,-2.5,-3.4,-6,-4.4,-6.7,-7.1,-7.7,-4.3,0.1,4,0,-3.3,-1,-0.8,0,0.6,1.3,1.6,1.7,2
羽村市：住宅地,4.9,1.6,1.5,2,36.7,46,-1.7,2.7,0,-6.7,-6.9,-3.3,-1.1,-2.3,-1.1,-3.4,-11.1,-4.7,-7.5,-4.5,-9,-4.2,1,8.7,0,-7,-4.9,-1.5,-1.4,0.1,1.4,1.2,0.6,0.2
羽村市：商業地,1.3,2.6,0.8,2.5,82.9,4.7,0,0,0,-5,-11.1,-10.7,-13.9,-13.6,-5,-5.7,-12.1,-5.2,-6.8,-4.1,-4.5,-4.3,1.2,5.7,4.4,-9.1,-7.7,-2.2,-1.4,0,0.8,1.1,0.5,0.7
羽村市：全用途平均,2.6,1.8,1.4,2.2,47.9,40.2,-1.13,1.9,0,-6.7,-8.2,-4.2,-5.8,-5,-2.6,-4.3,-12.1,-5.1,-7.3,-5.2,-8.5,-5.6,1,7.7,1.6,-7.2,-5,-1.7,-1.4,0.1,1.3,1.4,0.6,0.7
あきる野市：住宅地,2.2,1.7,1.1,1.7,21.5,37.8,-0.6,2,0.8,-2.5,-3.2,-2.3,-0.2,-1.4,-0.5,-3.8,-13.8,-6.8,-6.3,-6.8,-9.4,-7.9,0.2,5.8,3.3,-5.4,-6.6,-1.2,-1.2,-0.1,0.4,0.7,-0.1,-0.1
あきる野市：商業地,1.9,2,1.4,2.8,16.1,44.6,0,3.5,1.2,-0.5,-7.4,-7.4,-4,-9.3,-3.5,-4.7,-14.2,-10.4,-9.6,-7.4,-13,-9.6,0,4.9,2.7,-6.3,-5.4,-1.2,-0.9,0,0.3,0.6,0,0
あきる野市：全用途平均,2.3,1.9,1.4,2.2,18.5,41.5,0.6,1.8,0.9,-1.9,-3.9,-3.2,-0.6,-2.5,-1,-3.9,-13.6,-7.9,-7.1,-6.9,-9.8,-7.5,-0.2,4.8,2.7,-5.2,-6.1,-1.2,-1.3,-0.1,0.4,0.7,-0.1,-0.1
西東京市：住宅地,3.1,2.4,1.8,8.3,132.3,-8.2,-4.4,1.5,-3,-14.3,-15.9,-3.4,-1.7,-4.1,-1.6,-4,-9.6,-5.7,-3.7,-3.6,-4.1,-2.4,2.1,9.3,3.8,-9.2,-2.2,-0.8,-0.1,0.7,1.1,1,1.1,1.3
西東京市：商業地,2.7,3.6,2.9,12,136.9,-0.2,0,0,0,-6.4,-26,-17.3,-11.4,-15.4,-8.1,-10.5,-15.8,-10,-6.9,-8,-6.6,-3.8,2.4,10.8,4.7,-9.6,-3.1,-1.1,0,0.9,1.6,1.6,1.6,2.4
西東京市：全用途平均,3,2.6,2,8.7,132.2,-6.3,-3.4,1.4,-2.4,-12.8,-17.7,-5.7,-3.3,-6.1,-2.7,-5.1,-11,-6.6,-4.4,-4.5,-4.7,-2.7,2.1,9.7,3.9,-9.2,-2.4,-0.8,-0.1,0.7,1.2,1.1,1.2,1.5
瑞穂町：住宅地,2.5,1.4,1.5,1.6,51.6,36.2,-0.4,3.1,0.6,-1.7,-1.5,-2.2,-2.3,-2,-0.5,-3.9,-9.8,-8.4,-7.6,-6.2,-10.4,-5.8,0,1.7,0,-4.7,-5.5,-1.9,-1.6,0,0.7,0.7,0,-0.1
瑞穂町：商業地,2.1,1.4,1.4,2.7,31.4,38.3,0,4.7,1.4,-0.7,-2.7,-3.2,-2.9,-6.7,-4,-10.5,-17.9,-9.2,-5.4,-6.4,-14.3,-7.8,0,1.8,0,-5.2,-5.5,-2.9,-2,0,0.8,0.8,0,1.6
瑞穂町：全用途平均,2.1,1.4,1.5,1.7,36.6,42.9,0.4,3.5,1.2,-1.5,-1.8,-2.4,-2.1,-2.6,-1.4,-5.7,-12.5,-8.8,-7.3,-6.7,-12.1,-7,0,1.9,0.2,-4.8,-4.9,-2,-1.4,0,0.7,0.8,0,0.5
日の出町：住宅地,3.8,1.8,0.9,0,17,47.3,-1.6,0,0,-1.2,-3.4,-3.2,-1.2,-1.7,-1.2,-5.3,-16.2,-6.4,-8.2,-7.9,-10.3,-5.2,-0.9,1.2,0,-6.3,-7.5,-1.6,-1.6,-0.5,-0.2,0,-0.1,-0.3
日の出町：商業地,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―
日の出町：全用途平均,2.4,1.7,1.2,2.2,21.5,40.9,1.3,0,0.8,-1.1,-3.1,-2.8,-0.6,-2.2,-1.5,-4.1,-13.6,-6.1,-7.4,-7.3,-9.7,-5.5,-1.3,0.9,0,-5.5,-7.1,-1.9,-1.7,-0.5,-0.2,0,-0.1,-0.3
檜原村：住宅地,　　―,1.7,1.3,1.2,14.9,81.3,-2.9,0,0,-2,-3,-1.7,-0.2,-0.2,-0.2,-1.9,-10.2,-4.8,-4.9,-7,-7.8,-8.8,-3,-1.9,-1.9,-3.8,-7.7,-6,-5.5,-4.1,-3,-2.3,-2.2,-1.1
檜原村：商業地,　　―,1.5,1.2,1.5,15.9,80,-3.5,0,-0.7,-1.4,-2.9,-1.7,-2,-2,-0.2,-2.1,-10.5,-4.6,-5,-7.1,-7.8,-8.7,-2.7,-1.4,-1.4,-2.9,-7.4,-5.4,-6.4,-3.6,-3.3,-2.3,-1.6,-1.6
檜原村：全用途平均,　　―,1.6,1.2,1.3,15.2,80.8,-3.1,0,-0.2,-1.8,-3,-1.7,-0.8,-0.8,-0.2,-2,-10.3,-4.7,-4.9,-7,-7.8,-8.8,-2.9,-1.7,-1.7,-3.5,-7.6,-5.8,-5.8,-3.9,-3.1,-2.3,-2,-1.2
奥多摩町：住宅地,　　―,2.1,2.1,2.2,6,52.4,0,0,0,-2.1,-3,-2.1,-0.2,-0.2,0,-1.2,-4.7,-4.6,-4.6,-4.6,-7.5,-9,-1.4,-1.3,-1.2,-3.5,-7.8,-5.6,-5.6,-3.8,-3.5,-3,-2.7,-1.6
奥多摩町：商業地,　　―,1.9,2.6,2.5,23.6,31,1.5,0.9,0,-2.3,-3.7,-2.4,-2.4,-3,-2.1,-1.6,-7.5,-7.5,-7.1,-6.5,-9.2,-9.3,-1.3,-1.3,-1.1,-3.5,-7.9,-6.7,-6.5,-3.9,-3.3,-2,-1.5,-1.1
奥多摩町：全用途平均,3,2,2.3,2.3,13,43.8,0.6,0.4,0,-2.2,-3.3,-2.2,-1.1,-1.3,-0.8,-1.4,-5.8,-5.7,-5.6,-5.4,-8.2,-9.1,-1.4,-1.3,-1.1,-3.5,-7.9,-6.2,-6.1,-3.8,-3.4,-2.5,-2.1,-1.2
多摩地域：住宅地,3.2,2.4,2.3,8.1,95.4,12.5,-4.8,1.3,-2.2,-11.1,-12.9,-5.1,-2.2,-3.4,-1.9,-4.1,-9,-7,-6.3,-6.8,-6,-4.4,1.4,7.7,2.2,-7.6,-3.5,-1.4,-0.6,0.5,1,0.7,0.6,0.7
多摩地域：商業地,3.9,4.2,4.5,18.5,125.4,11.4,-0.3,1.6,-0.7,-9.6,-19.5,-17.1,-12.2,-13,-7.8,-8,-11.3,-8.5,-6.9,-6.8,-7,-4.3,1.8,9.2,3.6,-7.5,-3.7,-1.8,-0.8,0.4,1.3,1.4,1.7,1.8
多摩地域：全用途平均,3.2,2.7,2.7,9.4,95.3,14.5,-3.6,1.4,-1.8,-10.2,-13.5,-6.9,-3.8,-4.9,-2.9,-4.9,-9.6,-7.5,-6.6,-7,-6.6,-4.7,1.4,7.8,2.4,-7.5,-3.6,-1.5,-0.7,0.4,1,0.8,0.8,0.9
大島町：住宅地,0.3,0.6,0.4,0.4,0.9,0.5,0.4,0.5,0.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1,-0.9,-0.9,-2.6,-2.3,-1.9,-1.4,0,0
大島町：商業地,0,0.6,0.4,0.2,0,0,1.4,0.7,0,0.5,0,0,0,-0.8,-0.5,0,-1.5,0,0,-1,-1.1,0,-0.9,-1.1,-3.3,-3.2,-5.1,-5,-7.2,-4.6,-7.6,-4.4,-0.6,0
大島町：全用途平均,0.2,0.6,0.4,0.3,0.7,0.3,0.7,0.5,0.5,0.3,0,0,0,-0.3,-0.2,0,-0.6,0,0,-0.3,-0.4,0,-0.3,-0.4,-1.3,-2.5,-2.6,-2.5,-4.4,-3.2,-4.1,-2.6,-0.2,0
新島村：住宅地,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,0,0,-1.3,1.7,0,0,0,0,0,0,0,0,0,-1.6,-1.6,-1.6,0,0
新島村：商業地,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0
新島村：全用途平均,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,0,0,-1.2,1.5,0,0,0,0,0,0,0,0,0,-1.4,-1.4,-1.4,0,0
神津島村：住宅地,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神津島村：商業地,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神津島村：全用途平均,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三宅村：住宅地,0.3,0.4,0.3,0.6,0.9,0.6,0.3,0,0.3,0,0,0,0,0,0,0,0,0,　　―,　　―,　　―,　　―,0,0,0,0,-1.3,-1.3,-1.4,-0.8,-0.8,-0.8,-1.4,0
三宅村：商業地,0.2,1.2,0.9,0,1.6,1.6,0,1.6,1.6,2.3,0,0,0,0,0,0,0,0,　　―,　　―,　　―,　　―,0,0,0,0,-1.5,-1.5,-1.5,-0.8,-0.8,-0.8,-0.8,0
三宅村：全用途平均,0.3,0.6,0.5,0.5,1,0.8,0.2,0.3,0.5,0.6,0,0,0,0,0,0,0,0,　　―,　　―,　　―,　　―,0,0,0,0,-1.3,-1.4,-1.4,-0.8,-0.8,-0.8,-1.2,0
八丈町：住宅地,0.4,0.5,0.7,0.3,0.8,0.3,0.8,0.8,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1,-6.1,-8.7,-5.5,-5.2,-1.7,-1.3,-1,0
