区分,個人／所有者数（人）,個人／構成比（％）,個人／面積（千m2）,個人／構成比（％）,法人／所有者数（人）,法人／構成比（％）,法人／面積（千m2）,法人／構成比（％）,合計／所有者数（人）,合計／構成比（％）,合計／面積（千m2）,合計／構成比（％）
東久留米市／5000m2未満,408 ,1 ,1265 ,18 ,41 ,6 ,123 ,10 ,449 ,1 ,1388 ,16 
東久留米市／10000m2未満,97 ,0 ,671 ,9 ,12 ,2 ,79 ,6 ,109 ,0 ,749 ,9 
東久留米市／10000m2以上,28 ,0 ,384 ,5 ,16 ,2 ,819 ,65 ,44 ,0 ,1203 ,14 
東久留米市／計,32694 ,100 ,7221 ,100 ,698 ,100 ,1255 ,100 ,33392 ,100 ,8476 ,100 
武蔵村山市／100m2未満,2790 ,15 ,211 ,3 ,84 ,15 ,3 ,0 ,2874 ,15 ,214 ,2 
武蔵村山市／200m2未満,11355 ,60 ,1464 ,20 ,91 ,16 ,13 ,1 ,11446 ,59 ,1477 ,17 
武蔵村山市／300m2未満,1721 ,9 ,405 ,6 ,50 ,9 ,12 ,1 ,1771 ,9 ,417 ,5 
武蔵村山市／500m2未満,1070 ,6 ,408 ,6 ,70 ,12 ,27 ,2 ,1140 ,6 ,435 ,5 
武蔵村山市／1000m2未満,832 ,4 ,615 ,8 ,100 ,18 ,73 ,4 ,932 ,5 ,688 ,8 
武蔵村山市／2000m2未満,515 ,3 ,738 ,10 ,73 ,13 ,105 ,6 ,588 ,3 ,842 ,9 
武蔵村山市／5000m2未満,413 ,2 ,1302 ,18 ,59 ,10 ,186 ,11 ,472 ,2 ,1488 ,17 
武蔵村山市／10000m2未満,159 ,1 ,1102 ,15 ,20 ,4 ,131 ,8 ,179 ,1 ,1233 ,14 
武蔵村山市／10000m2以上,67 ,0 ,1013 ,14 ,20 ,4 ,1126 ,67 ,87 ,0 ,2139 ,24 
武蔵村山市／計,18922 ,100 ,7258 ,100 ,567 ,100 ,1676 ,100 ,19489 ,100 ,8934 ,100 
多摩市／100m2未満,16478 ,42 ,778 ,12 ,222 ,27 ,8 ,0 ,16700 ,41 ,786 ,8 
多摩市／200m2未満,15622 ,39 ,2153 ,32 ,119 ,14 ,18 ,1 ,15741 ,39 ,2171 ,21 
多摩市／300m2未満,4357 ,11 ,1020 ,15 ,84 ,10 ,20 ,1 ,4441 ,11 ,1040 ,10 
多摩市／500m2未満,1592 ,4 ,587 ,9 ,98 ,12 ,38 ,1 ,1690 ,4 ,625 ,6 
多摩市／1000m2未満,844 ,2 ,593 ,9 ,100 ,12 ,72 ,2 ,944 ,2 ,665 ,7 
多摩市／2000m2未満,423 ,1 ,593 ,9 ,74 ,9 ,111 ,3 ,497 ,1 ,705 ,7 
多摩市／5000m2未満,229 ,1 ,685 ,10 ,61 ,7 ,182 ,5 ,290 ,1 ,867 ,9 
多摩市／10000m2未満,29 ,0 ,182 ,3 ,30 ,4 ,213 ,6 ,59 ,0 ,395 ,4 
多摩市／10000m2以上,9 ,0 ,117 ,2 ,40 ,5 ,2758 ,81 ,49 ,0 ,2875 ,28 
多摩市／計,39583 ,100 ,6707 ,100 ,828 ,100 ,3421 ,100 ,40411 ,100 ,10128 ,100 
稲城市／100m2未満,2554 ,19 ,176 ,3 ,56 ,12 ,2 ,0 ,2610 ,18 ,179 ,2 
稲城市／200m2未満,6811 ,50 ,978 ,16 ,77 ,17 ,12 ,0 ,6888 ,49 ,990 ,11 
稲城市／300m2未満,1686 ,12 ,395 ,7 ,69 ,15 ,17 ,1 ,1755 ,12 ,412 ,4 
