地区一覧（区市別時系列順）,,,"※

",「促」は市街地再開発促進区域、「再」は再開発等促進区を定める地区計画、「特」は都市再生特別地区。また、都市計画決定年月日の（）書きは市街地再開発事業の未都決地区の場合の高度利用地区等の都市計画決定告示日を示します。地区計画と都市再生特別地区については実際に再開発の内容に即して計画内容が定められた時点の告示日を記載しています。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
  区市名,番号,地　区　名,施行者,施行区域,区域面積,,都市計画決定,事業認可,権利変換,工事完了公告,敷地面積,延べ面積,建蔽率,容積率,階数,主要用途,住宅建設の目標,,R5.10.31,
,,,,,（ｈａ）,※,年月日,年月日,期日,年月日,（㎡）,（㎡）,（%）,（%）,,,戸数,面積,の状況,
"千代田区
港区,20,田町駅前東口,組合,港区芝浦三丁目地内,0.3 ,再,H26.10.3,H27.9.9,H28.6.9,H30.4.24,"1,290","3,870",67.0%,256.0%,地上6階／地下1階,店舗、住宅、駐車場,3,380,完了,
,,,,,,,,,,,"1,043",98,5.0%,8.0%,地上2階,巡査派出所,－,－,,
港区,21,虎ノ門一丁目,組合,港区虎ノ門一丁目地内,1.5 ,"特
（再）",H27.7.8,H28.1.6,H28.7.1,R2.1.15,"10,065","172,920",約84%,約1450%,地上36階／地下3階,事務所、店舗、ビジネス支援施設等,－,－,完了,
,,,,,,,,,,,295,500,約75%,約170%,地上3階,教会,－,－,,
港区,22,虎ノ門駅前,組合,港区虎ノ門一丁目地内,0.5 ,"特
（再）",H27.7.8,H28.4.13,H29.1.17,R2.6.24,"2,782","47,260 ",72.0%,1370.0%,地上24階/地下3階,事務所、店舗、カンファレンス等、駐車場,－,－,完了,
港区,23,三田小山町西,組合,港区三田一丁目地内,2.5 ,,H28.6.17,R2.9.10,R5.1.4,－,"(北) 10,964
(南)   9,473","(北) 106,960
(南)   70,680","(北) 53%
(南) 53%","(北) 688%
(南) 498%","(北) 
地上42階／地下１階（Ａ棟）
地上8階／地下1階(オフィス棟)
(南）
地上31階／地下1階(Ｂ棟)
地上16階／地下1階(Ｃ棟)","(北) 住宅、オフィス、店舗
(南）住宅、店舗、保育園","1,300 ","107,200 ",事業中,
港区,24,浜松町二丁目,組合,港区浜松町二丁目地内,0.7 ,,H29.1.24,H30.11.9,R2.4.3,－,"5,890 ","74,860 ",77.0%,899.0%,地上46階／地下２階,住宅、事務所、公益施設、店舗、駐車場等,400 ,"41,000 ",事業中,
港区,25,新橋田村町,組合,港区西新橋一丁目地内,1.2 ,,H29.5.22,H29.12.26,H30.2.23,R3.6.30,"7,700 ","105,240 ",60.0%,1100.0%,地上27階／地下2階,事務所、店舗、駐車場,－,－,完了,
港区,26,虎ノ門・麻布台　　　　,組合,港区虎ノ門五丁目、麻布台一丁目及び六本木三丁目各地内,8.1 ,"特
再",H29.9.12,H30.3.27,H31.2.18,－," 24,100(A街区）","461,770(A街区）",63%(A街区）,"1,500%(A街区）",地上64階／地下5階　(A街区）,住宅、店舗、事務所、インターナショナルスクール、駐車場、地域冷暖房施設 等　(A街区）,"1,300 ","190,000 ",事業中,
,,,,,,,,,,,"9,650(B-1街区）","185,230(B-1街区）",66%(B-1街区）,"1,207%(B-1街区）",地上64階／地下5階(B-1街区）,住宅、店舗、事務所、駐車場、保育所 等(B-1街区）,,,,
,,,,,,,,,,,"16,470（B-2街区）","169,250（B-2街区）",50%（B-2街区）,669%（B-2街区）,地上54階／地下5階（B-2街区）,住宅、ホテル、店舗、駐車場　等（B-2街区）,,,,
,,,,,,,,,,,"4,750(C-1街区）","10,570(C-1街区）",59%(C-1街区）,192%(C-1街区）,地上3階／地下2階(C-1街区）,店舗、駐車場　等(C-1街区）,,,,
,,,,,,,,,,,"6,350(C-2街区）","31,620(C-2街区）",52%(C-2街区）,346%(C-2街区）,地上8階／地下3階(C-2街区）,住宅、事務所、店舗、駐車場　等(C-2街区）,,,,
,,,,,,,,,,,900(C-3街区）,"1,690(C-3街区）",57%(C-3街区）,184%(C-3街区）,地上3階／地下1階(C-3街区）,店舗、駐車場　等(C-3街区）,,,,
,,,,,,,,,,,"1,690(C-4街区）","1,820(C-4街区）",35%(C-4街区）,105%(C-4街区）,地上3階／地下1階(C-4街区）,寺院、駐車場　等(C-4街区）,,,,
港区,27,三田三・四丁目 　 ,組合,港区三田三丁目及び三田四丁目各地内,4.0 ,再,H29.9.12,H30.6.22,R2.2.1,－,"19,170（複合棟－1）","199,710（複合棟－1）",41%（複合棟－1）,890%（複合棟－1）,地上42階/地下4階/塔屋2階（複合棟-1）,事務所、貸会議室、店舗、駐車場（複合棟-1）,250 ,"20,200 ",事業中,
,,,,,,,,,,,"2,920（複合棟－2）","7,400（複合棟－2）",49%（複合棟－2）,220%（複合棟－2）,地上7階/地下1階（複合棟-2）,学校、幼稚園、駐車場（複合棟-2）,,,,
,,,,,,,,,,,"7,710（住宅棟－1）","21,100（住宅棟－1）",36%（住宅棟－1）,180%（住宅棟－1）,地上9階/地下１階/塔屋1階（住宅棟-1）,住宅、駐車場（住宅棟-1）,,,,
,,,,,,,,,,,340（住宅棟－2）,600（住宅棟－2）,59%（住宅棟－2）,180%（住宅棟－2）,地上4階/地下2階（住宅棟-2）,住宅、生活支援570（住宅棟-2）,,,,
港区,28,泉岳寺駅,都,港区高輪二丁目の一部,1.3 ,,H29.11.30,H31.2.20,R1.12.26,－,"8,490","112,300 ",65.0%,1000.0%,地上30階／地下3階,"住宅、事務所、店舗、子育て支援施設、
地下鉄駅施設",350 ,"43,400 ",事業中,
港区,29,虎ノ門一・二丁目,組合,港区虎ノ門一丁目及び虎ノ門二丁目各地内,2.2 ,"特
再",H30.3.16,H30.11.14,H31.3.23,－,"9,908（A-1街区）
2,445（A-2街区）
1,611（A-3街区）","236,640（A-1街区）
8,800（A-2街区）
8,100（A-3街区）","81％（A-1街区）
67％（A-2街区）
63％（A-3街区）","1,990％（A-1街区）
270％（A-2街区）
400％（A-3街区）","地上49階/地下4階（A-1街区）
地上4階/地下3階（A-2街区）
地上12階/地下1階（A-3街区）","事務所、店舗、ホテル、ビジネス発信拠点、駐車場他（A-1街区）
店舗、駐車場（A-2街区）
事務所、住宅、店舗、子育て支援施設、駐車場（A-3街区）",－,－,事業中,
港区,30,白金一丁目西部中,組合,港区白金一丁目及び三丁目地内,1.6 ,,H30.7.2,R4.6.24,－,－,"11,126（A街区）
1,020（B街区）","97,719（A街区）
1,987（B街区）","45.8%（A街区）
62.4%（B街区）","629.3%（A街区）
163.9%（B街区）","地上39階／地下１階（A街区）
地上4階（B街区）","住宅、子育て支援施設、店舗（A街区）
住宅、事務所、工場（B街区）",900 ,"87,000 ",事業中,
港区,31,西麻布三丁目北東,組合,港区西麻布三丁目地内及び六本木六丁目地内,1.6 ,再,H31.4.19,R2.9.10,R5.3.2,－,"7,430（A街区）
1,100（B1街区）
1,100（B2街区）
600（B3街区）","97,010（A街区）
1,040（B1街区）
750（B2街区）
950（B3街区）","約52%（A街区）
約36%（B1街区）
約30%（B2街区）
約65%（B3街区）","約929%（A街区）
約94%（B1街区）
約67%（B2街区）
約144%（B3街区）","地上54階／地下4階（A街区）
地上3階／地下1階（B1・B2・B3街区）","住 宅、店舗、事務所、ホテル等（A街区）
神社及び寺院並びにこれらに付属する建築物（B1・B2・B3街区）",－,－,事業中,
港区,32,赤坂七丁目２番,組合,港区赤坂七丁目2番地内,1.2 ,,R2.12.17,R4.6.24,-,-,"8,710","90,251",60.0%,700.0%,地上46階／地下1階,住宅、事務所、店舗,－,－,事業中,
港区,33,虎ノ門一丁目東,組合,港区虎ノ門一丁目地内,1.1 ,"特
再",R3.6.30,R4.6.24,R5.6.3,－,"6,400 ","120,700",82%,1500%,地上29階／地下4階,事務所、住宅、業務支援、商業,－,－,事業中,
港区,34,愛宕,機構,港区愛宕一丁目地内,0.6 ,再,R4.6.22,R5.1.20,－,－,"2,900（Ⅰ街区）
790（Ⅱ街区）","54,100（Ⅰ街区）
1,010（Ⅱ街区）","50%（Ⅰ街区）
50%（Ⅱ街区）","1,300%（Ⅰ街区）
120%（Ⅱ街区）","地上41階／地下2階（Ⅰ街区）
地上3階/（Ⅱ-1街区）
地上3階/ (Ⅱ-2街区)",住宅、事務所、店舗、寺院,－,－,－,
港区,35,品川駅北周辺,組合,港区港南二丁目、高輪二丁目の各地内,0.7 ,再,R4.10.12,－,－,－,"約2,500（北街区）
約4,000（南街区）",－,－,－,－,－,－,－,－,
"港区
新宿区",36,神宮外苑,個人,新宿区霞ヶ丘町、港区北青山一丁目及び二丁目各地内,17.5 ,再,R4.3.10,R5.2.17,－,－,－,"A-7 ラグビー場棟：約76,700
A-8-a　複合棟B：約29,100
A-8-a　複合棟C：約1,200
A-8-C　複合棟A：約127,300
A-9　事務所棟：約213,000
A-10 ホテル併設野球場棟：約115,700
A-10 文化交流施設棟１：約750
A-10 文化交流施設棟２：約300
A-10 文化交流施設棟３：約450
A-10 文化交流施設棟４：約250
A-10 文化交流施設棟５：約250","A-7 ラグビー場棟：約58%
A-8-a　複合棟B：約70%
A-8-a　複合棟C：約75%
A-8-C　複合棟A：約67%
A-9　事務所棟：約70%
A-10 ホテル併設野球場棟：約50%
A-10 文化交流施設棟１：約53%
A-10 文化交流施設棟２：約28%
A-10 文化交流施設棟３：約43%
A-10 文化交流施設棟４：約25%
A-10 文化交流施設棟５：約47%","A-7 ラグビー場棟：約150%
A-8-a　複合棟B：約184%
A-8-a　複合棟C：約93%
A-8-C　複合棟A：約900%
A-9　事務所棟：約1,150%
A-10 ホテル併設野球場棟：約135%
A-10 文化交流施設棟１：約31%
A-10 文化交流施設棟２：約12%
A-10 文化交流施設棟３：約23%
A-10 文化交流施設棟４：約21%
A-10 文化交流施設棟５：約36%","ラグビー場等：地上７階／地下１階
複合棟A：地上４０階／地下２階
複合棟B：地上１８階／地下１階
複合棟C：地上２階
事務所棟：地上３８階／地下５階
ホテル併設野球場棟：地上１４階／地下１階
文化交流施設棟１：地上１階
文化交流施設棟２：地上１階
文化交流施設棟３：地上１階
文化交流施設棟４：地上１階
文化交流施設棟５：地上１階","A-7 ラグビー場棟：ラグビー場、店舗、文化交流施設、駐車場等
A-8-a　複合棟B：宿泊施設、室内球技場、駐車場等
A-8-a　複合棟C：事務所等
A-8-C　複合棟A：事務所、店舗、駐車場等
A-9　事務所棟：事務所、店舗、駐車場等
A-10 ホテル併設野球場棟：宿泊施設、観客席・野球場諸室、駐車場等
A-10 文化交流施設棟１：事務所・店舗
A-10 文化交流施設棟２：事務所・店舗
A-10 文化交流施設棟３：事務所・店舗
A-10 文化交流施設棟４：事務所・店舗
A-10 文化交流施設棟５：事務所・店舗

",－,－,事業中,
港区,37,北青山三丁目,機構,港区北青山三丁目地内,2.9 ,再,R4.12.5,R5.8.9,－,－,"約21,300","約181,500",約60%,約770%,地上38階/地下2階,事務所、店舗、宿泊施設、公共施設等,0,0,事業中,
港区,38,高輪三丁目品川駅前,組合,港区高輪三丁目地内,2.2 ,再,R4.12.5,－,－,－,－,－,－,－,－,－,－,－,－,
港区,39,三田五丁目西,組合,港区三田五丁目、白金一丁目及び高輪一丁目各地内,1.3 ,,R5.10.10,－,－,－,"約7,800",－,－,－,－,－,－,－,－,
新宿区,1,西大久保,都,新宿区大久保三丁目、西大久保四丁目及び高田馬場一丁目の各一部,2.9 ,,S47.3.13,S52.9.7,S53.7.10,S56.3.31,"14,020","51,095",58.0%,340.0%,地上15階／地下3階,住宅、店舗、事務所,440,"37,500",完了,
"千代田区
新宿区",2,飯田橋,都,千代田区飯田橋四丁目、新宿区揚場町及び神楽河岸の各地内,2.3 ,,S47.7.13,S53.3.11,S54.4.30,S59.3.31,"8,621","54,539",70.0%,577.0%,地上20階／地下2階,住宅、店舗、事務所、ユースホステル、駐車場,150,"14,300",完了,
新宿区,3,西新宿六丁目南,組合,新宿区西新宿六丁目の一部,2.2 ,,S49.3.22,H10.2.9,H12.2.3,H15.3.3,"14,830","163,097",58.0%,962.0%,地上38階／地下2階,住宅、店舗、事務所、産業会館、地域冷暖房施設、駐車場,80,"8,000",完了,
新宿区,4,西新宿六丁目中央,組合,新宿区西新宿六丁目の一部,1.7 ,,S55.10.18,S56.12.24,S57.3.27,S60.9.30,"11,760","125,513",64.4%,926.9%,地上38階／地下4階,ホテル、店舗、事務所、地域冷暖房・中水道施設、駐車場,－,－,完了,
新宿区,5,西新宿浄風寺周辺,組合,新宿区西新宿六丁目の一部,1.2 ,,S58.1.20,S58.7.19,S58.11.30,S61.5.30,"6,913","55,373",55.0%,700.0%,地上29階／地下4階,住宅、店舗、事務所、寺院,－,－,完了,
新宿区,6,西早稲田,組合,新宿区西早稲田一・三丁目の各一部,1.9 ,,S63.11.18,H1.5.24,H2.9.20,H5.12.8,"5,657","39,550",60.6%,606.2%,地上31階／地下2階（第１街区）,住宅、店舗、事務所、集会室、公益施設、工場、駐車場,280,"37,000",完了,
,,,,,,,,,,,"4,481","28,160",60.0%,507.0%,地上12階／地下2階（第２街区）,住宅、店舗、事務所、医療施設、駐車場,,,,
"新宿区
文京区",7,関水,組合,文京区関口一丁目及び新宿区山吹町の各一部,0.5 ,,H1.3.20,H1.10.18,H2.5.2,H5.3.3,"2,268","18,320",64.0%,669.0%,地上14階／地下2階（１街区）,住宅、店舗、事務所、作業所、駐車場,33,"2,900",完了,
,,,,,,,,,,H4.3.,464,"1,919",67.0%,409.0%,地上7階／地下1階（２街区）,住宅、店舗、事務所、作業所、集会室、倉庫,,,,
新宿区,8,西新宿六丁目東,機構,新宿区西新宿六丁目の一部,3.0 ,,H1.3.24,H1.11.24,H2.10.11,H7.1.31,"22,240","243,676",53.0%,954.0%,地上44階／地下4階,店舗、事務所、地域冷暖房施設、駐車場,20,"2,100",完了,
新宿区,9,西新宿六丁目西第３,組合,新宿区西新宿六丁目の一部,1.2 ,,H1.6.16,H2.7.7,H3.7.24,H6.10.31,"8,400","82,138",44.0%,776.0%,地上31階／地下4階,住宅、店舗、事務所、地域冷暖房施設、駐車場,120,"12,810",完了,
新宿区,10,西新宿六丁目西第１,組合,新宿区西新宿六丁目の一部,1.4 ,,H2.3.30,H3.4.22,H4.12.8,H11.4.30,"10,014","86,576",53.0%,762.0%,地上27階／地下2階(２街区),住宅、店舗、事務所、駐車場,120,"15,000",完了,
新宿区,11,新宿三丁目東,個人,新宿区新宿三丁目及び内藤町の一部,0.6 ,促,H3.10.14,H16.6.17,H16.9.21,H19.1.31,"2,580","26,361",70.0%,900.0%,地上14階／地下3階,店舗、映画館、地域変電所,－,－,完了,
新宿区,12,北新宿,都,新宿区北新宿一・二丁目及び西新宿八丁目の各一部,4.7 ,,H6.10.25,H10.5.1,H14.3.5,H16.11.30,"9棟　27,900","163,400",30～60%,180～730%,"最高地上35階
最低地下2階",住宅、商業、業務、駐車場,600,"57,000",完了,
,,,,,,,,,H15.2.27,H27.3.30,,,,,,,,,,
,,,,,,,,,H19.7.19,H24.3.9,,,,,,,,,,
新宿区,13,西新宿六丁目西第７,組合,新宿区西新宿六丁目の一部,0.3 ,,H14.11.20,H15.8.8,H16.6.1,H19.1.22,"1,870","23,863",60.0%,935.0%,地上28階／地下2階,住宅、店舗、事務所、集会室、駐車場,175,"19,200",完了,
新宿区,14,西新宿六丁目西第６,組合,新宿区西新宿六丁目の一部,1.7 ,,H14.11.20,H16.1.15,H18.12.4,H22.2.24,"12,616","153,464",58.0%,873.0%,"地上45階／地下2階（住宅棟）
地上17階／地下2階（業務棟）",住宅、業務施設、店舗、駐車場等,800,"110,000",完了,
新宿区,15,西新宿八丁目成子,組合,新宿区西新宿八丁目の一部,2.5 ,,H15.7.25,H16.6.10,H20.2.14,H23.12.13,"19,696","179,842",50.0%,772.0%,地上40階／地下3階,住宅、事務所、商業施設、駐車場,220,"24,000",完了,
新宿区,16,西新宿五丁目中央北,組合,新宿区西新宿五・六丁目の一部,1.5 ,再,H20.7.1,H23.3.18,H25.4.30,H29.8.3,"7,530","103,902",41.0%,967.0%,地上60階／地下2階,住宅、商業施設、業務施設、駐車場,960,"90,740",完了,
,,,,,,,,,,,840,769,39.0%,85.0%,地上2階／地下1階,集会施設、駐車場,,,,
,,,,,,,,,,,980,817,22.0%,82.0%,地上4階,業務施設,,,,
新宿区,17,西富久,組合,新宿区富久町及び新宿五・六丁目の各地内,2.6 ,,H20.10.30,H21.11.11,H23.12.27,H27.9.17,"16,200","139,000",70.0%,605.0%,地上55階／地下2階,住宅、集会室、商業・業務施設、駐車場等,"1,100","110,000",完了,
新宿区,18,四谷駅前,機構,新宿区四谷一丁目の一部,2.4 ,再,H26.3.26,H26.11.20,H27.10.30,R2.1.31,"17,900","139,400",60.0%,665.0%,地上31階／地下３階,事務所、店舗、住宅、教育、公益、駐車場,－,－,完了,
新宿区,19,西新宿五丁目中央南,組合,新宿区西新宿五・六丁目の一部,0.8 ,,H29.12.25,R1.7.4,R3.7.6,－,"5,922","54,012 ",54.0%,642.0%,地上40階／地下1階,住宅、商業・業務、駐車場、保育所等,460 ,"50,000 ",事業中,
新宿区,20,西新宿三丁目西,組合,新宿区西新宿三・四丁目の一部,4.6 ,再,H31.3.15,R5.2.1,－,－,"14,925（A-1街区南）
13,935（A-1街区北）
500（A-2街区）
270（A-3街区）","194,987（A-1街区南）
183,782（A-1街区北）
3,403（A-2街区）
1,406（A-3街区）","71%（A-1街区南）
66%（A-1街区北）
68%（A-2街区）
74%（A-3街区）","880%（A-1街区南）
880%（A-1街区北）
560%（A-2街区）
400%（A-3街区）","地上62階/地下4階/塔屋2階（A-1街区南）
地上63階/地下4階/塔屋2階（A-1街区北）
地上9階/地下1階（A-2街区）
地上9階（A-3街区）","住宅、事務所、店舗・生活支援施設、保育所（A-1街区南）
住宅、店舗・生活支援施設（A-1街区北）
店舗・生活支援施設、住宅（A-2街区）
住宅、町会会館、店舗・生活支援施設（A-3街区）","3,200 ","204,000 ",事業中,
"港区
新宿区",21,神宮外苑,個人,新宿区霞ヶ丘町、港区北青山一丁目及び二丁目各地内,17.5 ,再,R4.3.10,R5.2.17,－,－,－,"A-7 ラグビー場棟：約76,700
A-8-a　複合棟B：約29,100
A-8-a　複合棟C：約1,200
A-8-C　複合棟A：約127,300
A-9　事務所棟：約213,000
A-10 ホテル併設野球場棟：約115,700
A-10 文化交流施設棟１：約750
A-10 文化交流施設棟２：約300
A-10 文化交流施設棟３：約450
A-10 文化交流施設棟４：約250
A-10 文化交流施設棟５：約250","A-7 ラグビー場棟：約58%
A-8-a　複合棟B：約70%
A-8-a　複合棟C：約75%
A-8-C　複合棟A：約67%
A-9　事務所棟：約70%
A-10 ホテル併設野球場棟：約50%
A-10 文化交流施設棟１：約53%
A-10 文化交流施設棟２：約28%
A-10 文化交流施設棟３：約43%
A-10 文化交流施設棟４：約25%
A-10 文化交流施設棟５：約47%","A-7 ラグビー場棟：約150%
A-8-a　複合棟B：約184%
A-8-a　複合棟C：約93%
A-8-C　複合棟A：約900%
A-9　事務所棟：約1,150%
A-10 ホテル併設野球場棟：約135%
A-10 文化交流施設棟１：約31%
A-10 文化交流施設棟２：約12%
A-10 文化交流施設棟３：約23%
A-10 文化交流施設棟４：約21%
A-10 文化交流施設棟５：約36%","ラグビー場等：地上７階／地下１階
複合棟A：地上４０階／地下２階
複合棟B：地上１８階／地下１階
複合棟C：地上２階
事務所棟：地上３８階／地下５階
ホテル併設野球場棟：地上１４階／地下１階
文化交流施設棟１：地上１階
文化交流施設棟２：地上１階
文化交流施設棟３：地上１階
文化交流施設棟４：地上１階
文化交流施設棟５：地上１階","A-7 ラグビー場棟：ラグビー場、店舗、文化交流施設、駐車場等
A-8-a　複合棟B：宿泊施設、室内球技場、駐車場等
A-8-a　複合棟C：事務所等
A-8-C　複合棟A：事務所、店舗、駐車場等
A-9　事務所棟：事務所、店舗、駐車場等
A-10 ホテル併設野球場棟：宿泊施設、観客席・野球場諸室、駐車場等
A-10 文化交流施設棟１：事務所・店舗
A-10 文化交流施設棟２：事務所・店舗
A-10 文化交流施設棟３：事務所・店舗
A-10 文化交流施設棟４：事務所・店舗
A-10 文化交流施設棟５：事務所・店舗

",－,－,事業中,
文京区,1,江戸川橋,組合,文京区関口一丁目の一部,0.5 ,,S46.11.9,S47.6.3,S47.9.12,S49.8.12,"2,652","16,586",89.6%,593.0%,地上12階／地下1階,住宅、店舗、事務所、集会所、倉庫,80,"5,000",完了,
文京区,2,江戸川橋第２,組合,文京区関口一丁目の一部,0.4 ,,S53.2.21,S53.5.4,S53.8.7,S55.3.31,"2,345","14,070",89.0%,599.0%,地上9階／地下2階,住宅、店舗、事務所、作業所、倉庫、駐車場,80,"7,500",完了,
文京区,3,音羽一丁目,組合,文京区音羽一丁目の一部,0.4 ,,S58.1.20,S58.5.21,S58.11.1,S60.10.29,"2,388","15,811",87.0%,596.0%,地上14階／地下1階,住宅、店舗、事務所、集会室、作業所、倉庫、駐車場,120,"7,800",完了,
文京区,4,音羽二丁目,組合,文京区音羽二丁目の一部,0.3 ,,S59.11.19,S60.2.15,S61.1.7,S62.9.30,"1,681","10,252",84.7%,571.0%,地上12階／地下1階,住宅、店舗、事務所、倉庫、駐車場,70,"5,000",完了,
文京区,5,音羽二丁目第２,組合,文京区音羽二丁目の一部,0.2 ,,S60.6.17,S61.11.1,S62.3.24,H1.2.28,"1,062","6,523",84.7%,571.0%,地上14階／地下1階,住宅、店舗、事務所、駐車場,40,"3,000",完了,
"新宿区
文京区",6,関水,組合,文京区関口一丁目及び新宿区山吹町の各一部,0.5 ,,H1.3.20,H1.10.18,H2.5.2,H5.3.3,"2,268","18,320",64.0%,669.0%,地上14階／地下2階（１街区）,住宅、店舗、事務所、作業所、駐車場,33,"2,900",完了,
,,,,,,,,,,H4.3.,464,"1,919",67.0%,409.0%,地上7階／地下1階（２街区）,住宅、店舗、事務所、作業所、集会室、倉庫,,,,
文京区,7,関口一丁目,個人,文京区関口一丁目の一部,0.2 ,促,H3.1.30,H3.6.11,H3.11.4,H6.1.31,"1,210","7,877",66.6%,599.9%,地上10階／地下1階,住宅、事務所、駐車場,－,－,完了,
文京区,8,後楽二丁目東,組合,文京区後楽二丁目の一部,1.1 ,再,H4.9.14,H6.2.15,H9.8.26,H12.8.11,"8,984","62,797",59.0%,630.0%,地上14階／地下2階,住宅、店舗、事務所、駐車場,90,"8,900",完了,
文京区,9,小石川柳町,組合,文京区小石川一丁目の一部,0.8 ,,H5.3.25,H9.4.9,H10.2.24,H12.11.25,"5,525","31,037",67.0%,447.0%,"地上20階／地下1階（高層部）
地上8階／地下1階（低層部）",住宅、店舗、集会室、作業所、診療所、駐車場,270,"22,000",完了,
文京区,10,後楽二丁目西,組合,文京区後楽二丁目地内,0.9 ,再,H16.8.13,H17.2.25,H19.3.23,H22.4.30,"7,235","78,397",47.1%,798.0%,地上34階／地下3階,住宅、非業務、事務所、駐車場,190,"18,000",完了,
文京区,11,茗荷谷駅前,組合,文京区大塚一丁目地内,0.5 ,,H16.10.29,H17.11.25,H18.10.20,H23.3.15,"3,638","35,305",70.0%,700.0%,地上25階／地下2階,住宅、事務所、店舗、公益施設、駐車場等（Ⅰ街区）,230,"19,500",完了,
,,,,,,,,,,H21.3.31,"1,373",400,15.0%,30.0%,地上2階,店舗、事務所等（Ⅱ街区）,,,,
文京区,12,春日・後楽園駅前,組合,文京区小石川一丁目、本郷四丁目及び西片一丁目の各地内,2.4 ,,H21.6.12,H24.3.15,H27.12.20,－,"9,320","94,570",57.0%,850.0%,地上23階／地下2階,住宅、事務所、店舗、駐車場等,700,"74,500",事業中,
,,,,,,,,,,"R3.7.15
（北街区）","6,210","84,320",65.0%,950.0%,地上40階／地下2階,住宅、事務所、店舗、駐車場等,,,#REF!,
,,,,,,,,,,"H30.9.11
(西街区）",460,"2,740",50.0%,490.0%,地上13階／地下1階,住宅、事務所、店舗、駐車場等,,,#REF!,
墨田区,1,白鬚東,都,墨田区堤通二・三丁目の各一部,27.6 ,,S47.9.20,S50.2.5,S50.10.31,S57.3.17,"105,200","263,200",30～80%,80～350%,地上20階／地下2階,住宅、店舗、診療所、保育所、体育館、図書館、倉庫、工場、駐車場,"2,000","184,000",完了,
墨田区,2,立花一丁目,機構,墨田区立花一丁目の一部,1.2 ,,S50.7.18,S52.5.27,S54.2.13,S60.3.29,"10,170","23,820",65.0%,237.0%,地上9階／地下1階,住宅、店舗、作業所,180,"16,200",完了,
墨田区,3,押上二丁目,組合,墨田区押上二丁目の一部,0.6 ,,S60.3.15,S62.2.12,S63.3.18,H2.6.15,"4,103","16,168",66.4%,374.0%,地上14階／地下1階,住宅、店舗、業務施設、駐車場,150,"11,500",完了,
墨田区,4,錦糸町駅北口,組合,墨田区錦糸一・二・三丁目の各一部,4.4 ,,S63.1.14,H2.3.15,H5.1.20,H9.10.15,"29,541","294,735",67.4%,843.3%,地上24階／地下3階,住宅、商業施設、業務施設、ホテル、文化会館,170,"15,100",完了,
墨田区,5,横川五丁目,組合,墨田区横川五丁目の一部,0.6 ,,H3.8.21,H4.8.18,H5.11.19,H8.5.1,"4,873","21,267",49.9%,398.0%,地上14階／地下2階,住宅、店舗、駐車場,240,"17,600",完了,
墨田区,6,曳舟駅前,機構,墨田区東向島二丁目、押上二丁目及び京島一丁目の各地内,2.8 ,,H13.11.26,H15.11.4,H16.10.22,H21.11.2,"11,900","87,500",75.0%,511.0%,地上41階／地下1階(Ⅰ街区),共同住宅、商業施設、駐車場、駐輪場,830,"49,500",完了,
,,,,,,,,,,H22.11.15,"9,600","50,300",79.0%,416.0%,地上7階／地下1階(Ⅱ街区),商業施設、駐車場、駐輪場,,,,
墨田区,7,京成曳舟駅前東第一,組合,墨田区京島一丁目８５番２・３・４・６・７・８・４２の全部及び５の一部、８８番３・８の各一部並びに１３７番１の全部及び１０の一部,0.4 ,,H15.1.31,H15.10.21,H16.3.27,H19.2.23,"2,450","15,420",59.0%,500.0%,地上26階／地下1階,住宅、店舗、事務所、公共公益施設,120,"15,000",完了,
,,,,,,,,,,,610,"1,745",60.0%,200.0%,,,,,,
墨田区,8,京成曳舟駅前東第二南,組合,墨田区京島一丁目地内,0.5 ,,H18.12.7,H19.11.14,H22.2.15,H24.10.31,"2,289","15,032",66.2%,497.2%,地上22階/地下1階,住宅、店舗、図書館,85,"8,560",完了,
墨田区,9,京成曳舟駅前東第三,組合,墨田区京島一丁目地内,0.7 ,,H21.11.27,H22.7.16,H24.8.13,H27.11.4,"3,649","27,269",66.8%,483.2%,地上28階／地下1階,住宅、店舗、業務、駐車場,240,"23,600",完了,
"江東区、
江戸川区",1,"亀戸・大島・小松川
（第３・４・５地区）",都,江東区亀戸九丁目、大島七･八･九丁目、東砂二丁目及び江戸川区小松川一・二・三丁目の各一部,95.8 ,,S58.11.30,"S59.7.11
S60.7.11
H1.7.11",（略）,（略）,"113棟　317,710","861,400",8～70%,15～530%,"最高地上33階
最低地下2階",住宅、店舗、工場、病院、診療所、社会福祉施設、公益施設、防災施設、神社、駐車場,"8,200","706,000",完了,
江東区,2,住吉・毛利,組合,江東区住吉一丁目及び毛利一丁目各地内,1.6 ,,H1.6.16,H2.4.19,H3.11.11,H8.3.15,"3,495","18,440",42.7%,447.0%,地上21階／地下1階,住宅、店舗、業務施設、駐車場,540,"37,000",完了,
,,,,,,,,,,,"3,756","19,597",56.7%,436.0%,地上21階／地下1階,住宅、店舗、業務施設、駐車場,,,,
,,,,,,,,,,,"4,628","16,335",36.3%,339.0%,"地上12階／地下1階（高齢者住宅棟）
地上9階／地下1階（病院棟）",高齢者住宅、病院、駐車場,,,,
江東区,3,大島五丁目,組合,江東区大島五丁目地内,0.4 ,,H5.7.16,H5.12.21,H6.12.22,H9.8.28,"2,694","15,494",52.5%,480.6%,地上13階／地下2階,住宅、店舗、事務所、駐車場,80,"6,140",完了,
