地域階層,地区コード,項番 Item number,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く) Lumber and wood products， except furniture,事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 Non-ferrous metals and products,事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 General-purpose machinery,事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,事業所数 Establishments／電気機械器具 Electrical machinery， equipment and supplies,事業所数 Establishments／情報通信機械器具 Information and communications equipment,事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) Lumber and wood products， except furniture,従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 Non-ferrous metals and products,従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 General-purpose machinery,従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,従業者数 Persons engaged／電気機械器具 Electrical machinery， equipment and supplies,従業者数 Persons engaged／情報通信機械器具 Information and communications equipment,従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) Lumber and wood products， except furniture,製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品 Plastic products,製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 Non-ferrous metals and products,製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 General-purpose machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 Electrical machinery， equipment and supplies,製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 Information and communications equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
2,13219,17,狛江市,Komae-shi,32,533,236814,1387224,1911383,508565,3,1,1,-,2,-,6,1,-,-,-,1,-,-,-,5,1,3,-,1,4,2,-,1,34,6,5,-,18,-,188,32,-,-,-,4,-,-,-,63,25,62,-,11,54,26,-,5,29651,x,x,-,x,-,308040,x,-,-,-,x,-,-,-,78956,x,237664,-,x,109821,x,-,x
2,13220,18,東大和市,Higashiyamato-shi,56,1340,620837,5273907,7838515,2470379,5,1,-,-,2,1,6,-,-,1,-,-,-,-,2,5,2,7,6,8,6,2,1,1,387,8,-,-,28,13,62,-,-,8,-,-,-,-,11,104,48,94,127,132,258,30,24,6,6302935,x,-,-,x,x,62960,-,-,x,-,-,-,-,x,121464,x,234700,516819,43905,373710,x,x,x
2,13221,19,清瀬市,Kiyose-shi,21,505,184871,634486,1264821,616090,3,1,-,-,1,2,1,3,-,2,-,-,-,-,-,3,1,1,1,-,1,-,-,1,97,10,-,-,6,70,4,211,-,18,-,-,-,-,-,18,7,6,12,-,42,-,-,4,70823,x,-,-,x,x,x,638166,-,x,-,-,-,-,-,11325,x,x,x,-,x,-,-,x
2,13222,20,東久留米市,Higashikurume-shi,52,3202,1566863,8062502,15701318,7310770,6,1,-,-,3,-,3,-,-,1,-,-,2,-,-,4,4,4,5,4,6,2,2,5,1612,174,-,-,20,-,48,-,-,7,-,-,24,-,-,58,46,140,37,62,99,41,14,820,4458040,x,-,-,22900,-,137999,-,-,x,-,-,x,-,-,52676,75747,366753,33264,106055,147016,x,x,3213835
2,13223,21,武蔵村山市,Musashimurayama-shi,134,4106,1558160,4407452,8448608,3913237,13,1,2,-,5,2,6,1,-,7,-,-,3,1,1,19,4,29,8,8,15,-,7,2,1417,4,96,-,172,22,105,7,-,84,-,-,34,19,4,327,54,906,96,189,274,-,282,14,2773947,x,x,-,702594,x,127712,x,-,69311,-,-,72838,x,x,464493,108267,2188299,154403,328716,420524,-,683479,x
2,13224,22,多摩市,Tama-shi,27,958,417093,1895414,3378020,1444283,4,-,-,-,-,-,5,-,-,2,-,-,-,-,-,1,-,4,2,3,1,2,-,3,141,-,-,-,-,-,379,-,-,40,-,-,-,-,-,4,-,60,162,76,7,62,-,27,148504,-,-,-,-,-,1644763,-,-,x,-,-,-,-,-,x,-,210294,x,312808,x,x,-,29469
2,13225,23,稲城市,Inagi-shi,85,1898,914667,1273986,3019952,1669747,9,1,-,-,-,-,1,1,-,4,-,-,3,-,-,9,2,11,7,16,10,7,-,4,436,126,-,-,-,-,4,9,-,94,-,-,61,-,-,371,9,117,148,293,101,106,-,23,524897,x,-,-,-,-,x,x,-,150362,-,-,265559,-,-,801440,x,158159,142344,368113,113067,75772,-,30015
2,13227,24,羽村市,Hamura-shi,79,8105,4484475,38797523,63505208,23750140,1,-,-,-,3,1,5,2,-,2,-,-,1,3,2,7,6,10,4,4,6,5,11,6,4,-,-,-,44,87,181,136,-,29,-,-,15,354,58,103,697,310,60,214,206,433,4700,474,x,-,-,-,110878,x,359176,x,-,x,-,-,x,1949609,x,307782,1794570,723352,66575,266836,563477,1399196,53271039,1264636
2,13228,25,あきる野市,Akiruno-shi,106,2269,928849,1774765,3525045,1665238,6,2,3,4,3,2,3,1,-,9,-,-,6,-,3,10,-,17,7,5,11,1,7,6,144,26,63,37,16,54,13,5,-,133,-,-,48,-,151,128,-,255,152,46,666,6,159,167,102939,x,97184,34701,17392,x,11950,x,-,137554,-,-,97547,-,451429,133648,-,309326,187841,10150,1269628,x,312900,251735
2,13229,26,西東京市,Nishitokyo-shi,57,2568,1329148,6738067,12664069,6003668,13,-,1,-,2,2,7,1,-,1,-,1,-,-,-,3,2,8,5,3,3,2,-,3,183,-,4,-,9,21,106,13,-,8,-,6,-,-,-,36,395,86,188,22,19,46,-,1426,124845,-,x,-,x,x,183601,x,-,x,-,x,-,-,-,26047,x,105787,227544,13542,15263,x,-,10795757
1,13300,,郡部,All gun,277,7753,3604036,20862575,38202295,16629919,20,2,2,8,3,5,4,3,3,17,-,-,11,5,4,52,13,35,17,14,16,3,20,20,896,13,17,51,23,128,153,224,32,242,-,-,244,112,114,487,177,618,713,207,539,198,2257,308,3069923,x,x,42952,29474,164663,265696,721078,385536,315818,-,-,1594893,363848,230480,472411,293925,1249631,2575928,225947,1580555,308658,23389798,889251
1,13350,,島部,All islands,44,347,81575,182602,376804,175994,26,6,1,-,-,-,-,5,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,172,41,13,-,-,-,-,59,-,-,-,-,62,-,-,-,-,-,-,-,-,-,-,-,96449,x,x,-,-,-,-,40567,-,-,-,-,179852,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 11   工業 11  MANUFACTURING INDUSTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-1  地域， 産業別事業所数， 従業者数及び製造品出荷額等 (平成24年) 11-1  ESTABLISHMENTS，EMPLOYEES，AND SHIPMENTS BY DISTRICT AND INDUSTRY ( 2012 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
この表は， 工業統計調査によるもので， 東京都が集計した結果である。調査の時点は平成24年12月31日である。 なお， 従業者4人以上の事業所についての数値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is based on the Manufacturing Industry Survey taken on  Dec.31，　2012， with the results tabulated by the TMG. Figures are for establishments with 4 or more employees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部産業統計課 「東京の工業（工業統計調査報告）」Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位　金額　万円) (Value in ten thousands of yen) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
