"大分類","中分類","小分類","事業所数","従業者数[人]"
"I 卸売業，小売業","57 織物・衣服・身の回り品小売業","573 婦人・子供服小売業","397","3461"
"I 卸売業，小売業","57 織物・衣服・身の回り品小売業","574 靴・履物小売業","60","431"
"I 卸売業，小売業","57 織物・衣服・身の回り品小売業","579 その他の織物・衣服・身の回り品小売業","219","3015"
"I 卸売業，小売業","58 飲食料品小売業","580 管理，補助的経済活動を行う事業所","14","267"
"I 卸売業，小売業","58 飲食料品小売業","581 各種食料品小売業","54","1415"
"I 卸売業，小売業","58 飲食料品小売業","582 野菜・果実小売業","38","149"
"I 卸売業，小売業","58 飲食料品小売業","583 食肉小売業","15","354"
"I 卸売業，小売業","58 飲食料品小売業","584 鮮魚小売業","20","171"
"I 卸売業，小売業","58 飲食料品小売業","585 酒小売業","73","515"
"I 卸売業，小売業","58 飲食料品小売業","586 菓子・パン小売業","222","3884"
"I 卸売業，小売業","58 飲食料品小売業","58A 料理品小売業","116","1128"
"I 卸売業，小売業","58 飲食料品小売業","58B 他に分類されない飲食料品小売業","481","7260"
"I 卸売業，小売業","59 機械器具小売業","590 管理，補助的経済活動を行う事業所","6","422"
"I 卸売業，小売業","59 機械器具小売業","591 自動車小売業","101","1971"
"I 卸売業，小売業","59 機械器具小売業","592 自転車小売業","19","72"
"I 卸売業，小売業","59 機械器具小売業","593 機械器具小売業（自動車，自転車を除く）","107","1627"
"I 卸売業，小売業","60 その他の小売業","600 管理，補助的経済活動を行う事業所","49","1755"
"I 卸売業，小売業","60 その他の小売業","601 家具・建具・畳小売業","56","307"
"I 卸売業，小売業","60 その他の小売業","602 じゅう器小売業","89","532"
"I 卸売業，小売業","60 その他の小売業","603 医薬品・化粧品小売業","331","3505"
"I 卸売業，小売業","60 その他の小売業","604 農耕用品小売業","2","8"
"I 卸売業，小売業","60 その他の小売業","605 燃料小売業","56","751"
"I 卸売業，小売業","60 その他の小売業","606 書籍・文房具小売業","138","1572"
"I 卸売業，小売業","60 その他の小売業","60A スポーツ用品小売業","61","414"
"I 卸売業，小売業","60 その他の小売業","60B がん具・娯楽用品小売業","29","297"
"I 卸売業，小売業","60 その他の小売業","60C 楽器小売業","7","27"
"I 卸売業，小売業","60 その他の小売業","608 写真機・時計・眼鏡小売業","84","454"
"I 卸売業，小売業","60 その他の小売業","60D 花・植木小売業","141","876"
"I 卸売業，小売業","60 その他の小売業","60E ペット・ペット用品小売業","18","99"
"I 卸売業，小売業","60 その他の小売業","60F 中古品小売業（他に分類されないもの）","80","344"
"I 卸売業，小売業","60 その他の小売業","60G 他に分類されないその他の小売業","365","1954"
"I 卸売業，小売業","61 無店舗小売業","610 管理，補助的経済活動を行う事業所","3","293"
"I 卸売業，小売業","61 無店舗小売業","611 通信販売・訪問販売小売業","207","3857"
"I 卸売業，小売業","61 無店舗小売業","612 自動販売機による小売業","9","200"
"I 卸売業，小売業","61 無店舗小売業","619 その他の無店舗小売業","49","897"
"J 金融業，保険業","62 銀行業","620 管理，補助的経済活動を行う事業所","2","97"
"J 金融業，保険業","62 銀行業","621 中央銀行","0","0"
"J 金融業，保険業","62 銀行業","622 銀行（中央銀行を除く）","118","7791"
"J 金融業，保険業","63 協同組織金融業","630 管理，補助的経済活動を行う事業所","0","0"
"J 金融業，保険業","63 協同組織金融業","631 中小企業等金融業","27","870"
"J 金融業，保険業","63 協同組織金融業","632 農林水産金融業","1","14"
"J 金融業，保険業","64 貸金業，クレジットカード業等非預金信用機関","640 管理，補助的経済活動を行う事業所","4","470"
"J 金融業，保険業","64 貸金業，クレジットカード業等非預金信用機関","641 貸金業","46","352"
"J 金融業，保険業","64 貸金業，クレジットカード業等非預金信用機関","642 質屋","8","37"
"J 金融業，保険業","64 貸金業，クレジットカード業等非預金信用機関","643 クレジットカード業，割賦金融業","27","7815"
"J 金融業，保険業","64 貸金業，クレジットカード業等非預金信用機関","649 その他の非預金信用機関","17","1336"
"J 金融業，保険業","65 金融商品取引業，商品先物取引業","650 管理，補助的経済活動を行う事業所","0","0"
"J 金融業，保険業","65 金融商品取引業，商品先物取引業","651 金融商品取引業","257","6624"
"J 金融業，保険業","65 金融商品取引業，商品先物取引業","652 商品先物取引業，商品投資顧問業","10","61"
"J 金融業，保険業","66 補助的金融業等","660 管理，補助的経済活動を行う事業所","0","0"
"J 金融業，保険業","66 補助的金融業等","661 補助的金融業，金融附帯業","57","1344"
"J 金融業，保険業","66 補助的金融業等","662 信託業","4","75"
"J 金融業，保険業","66 補助的金融業等","663 金融代理業","15","321"
"J 金融業，保険業","67 保険業（保険媒介代理業，保険サービス業を含む）","670 管理，補助的経済活動を行う事業所","2","66"
"J 金融業，保険業","67 保険業（保険媒介代理業，保険サービス業を含む）","671 生命保険業","84","8922"
"J 金融業，保険業","67 保険業（保険媒介代理業，保険サービス業を含む）","672 損害保険業","43","2614"
"J 金融業，保険業","67 保険業（保険媒介代理業，保険サービス業を含む）","673 共済事業・少額短期保険業","31","476"
"J 金融業，保険業","67 保険業（保険媒介代理業，保険サービス業を含む）","674 保険媒介代理業","240","2513"
"J 金融業，保険業","67 保険業（保険媒介代理業，保険サービス業を含む）","675 保険サービス業","11","145"
"K 不動産業，物品賃貸業","68 不動産取引業","680 管理，補助的経済活動を行う事業所","2","4"
"K 不動産業，物品賃貸業","68 不動産取引業","681 建物売買業，土地売買業","175","2519"
"K 不動産業，物品賃貸業","68 不動産取引業","682 不動産代理業・仲介業","548","5944"
"K 不動産業，物品賃貸業","69 不動産賃貸業・管理業","690 管理，補助的経済活動を行う事業所","5","98"
"K 不動産業，物品賃貸業","69 不動産賃貸業・管理業","691 不動産賃貸業（貸家業，貸間業を除く）","731","6732"
"K 不動産業，物品賃貸業","69 不動産賃貸業・管理業","692 貸家業，貸間業","645","3178"
"K 不動産業，物品賃貸業","69 不動産賃貸業・管理業","693 駐車場業","59","365"
"K 不動産業，物品賃貸業","69 不動産賃貸業・管理業","694 不動産管理業","925","9115"
"K 不動産業，物品賃貸業","70 物品賃貸業","700 管理，補助的経済活動を行う事業所","1","6"
"K 不動産業，物品賃貸業","70 物品賃貸業","701 各種物品賃貸業","24","4762"
"K 不動産業，物品賃貸業","70 物品賃貸業","702 産業用機械器具賃貸業","47","1657"
"K 不動産業，物品賃貸業","70 物品賃貸業","703 事務用機械器具賃貸業","40","1514"
"K 不動産業，物品賃貸業","70 物品賃貸業","704 自動車賃貸業","47","2373"
"K 不動産業，物品賃貸業","70 物品賃貸業","705 スポーツ・娯楽用品賃貸業","0","0"
"K 不動産業，物品賃貸業","70 物品賃貸業","70A 音楽・映像記録物賃貸業（別掲を除く）","9","169"
"K 不動産業，物品賃貸業","70 物品賃貸業","70B 他に分類されない物品賃貸業","88","1413"
"L 学術研究，専門・技術サービス業","71 学術・開発研究機関","710 管理，補助的経済活動を行う事業所","2","23"
"L 学術研究，専門・技術サービス業","71 学術・開発研究機関","711 自然科学研究所","123","2478"
"L 学術研究，専門・技術サービス業","71 学術・開発研究機関","712 人文・社会科学研究所","37","454"
"L 学術研究，専門・技術サービス業","72 専門サービス業（他に分類されないもの）","720 管理，補助的経済活動を行う事業所","2","6"
"L 学術研究，専門・技術サービス業","72 専門サービス業（他に分類されないもの）","72A 法律事務所","843","4408"
"L 学術研究，専門・技術サービス業","72 専門サービス業（他に分類されないもの）","72B 特許事務所","176","2005"
"L 学術研究，専門・技術サービス業","72 専門サービス業（他に分類されないもの）","722 公証人役場，司法書士事務所，土地家屋調査士事務所","70","314"
"L 学術研究，専門・技術サービス業","72 専門サービス業（他に分類されないもの）","723 行政書士事務所","30","64"
"L 学術研究，専門・技術サービス業","72 専門サービス業（他に分類されないもの）","72C 公認会計士事務所","112","1200"
"L 学術研究，専門・技術サービス業","72 専門サービス業（他に分類されないもの）","72D 税理士事務所","402","2336"
"L 学術研究，専門・技術サービス業","72 専門サービス業（他に分類されないもの）","725 社会保険労務士事務所","39","217"
"L 学術研究，専門・技術サービス業","72 専門サービス業（他に分類されないもの）","726 デザイン業","453","3590"
"L 学術研究，専門・技術サービス業","72 専門サービス業（他に分類されないもの）","727 著述・芸術家業","4","8"
"L 学術研究，専門・技術サービス業","72 専門サービス業（他に分類されないもの）","72E 経営コンサルタント業","576","15977"
"L 学術研究，専門・技術サービス業","72 専門サービス業（他に分類されないもの）","72F 純粋持株会社","78","1874"
"L 学術研究，専門・技術サービス業","72 専門サービス業（他に分類されないもの）","72G 興信所","5","514"
"L 学術研究，専門・技術サービス業","72 専門サービス業（他に分類されないもの）","72H 他に分類されない専門サービス業","682","9083"
"L 学術研究，専門・技術サービス業","73 広告業","730 管理，補助的経済活動を行う事業所","1","2"
"L 学術研究，専門・技術サービス業","73 広告業","731 広告業","479","23215"
"L 学術研究，専門・技術サービス業","74 技術サービス業（他に分類されないもの）","740 管理，補助的経済活動を行う事業所","11","108"
"L 学術研究，専門・技術サービス業","74 技術サービス業（他に分類されないもの）","741 獣医業","18","196"
"L 学術研究，専門・技術サービス業","74 技術サービス業（他に分類されないもの）","74A 建築設計業","423","4900"
"L 学術研究，専門・技術サービス業","74 技術サービス業（他に分類されないもの）","74B 測量業","9","182"
"L 学術研究，専門・技術サービス業","74 技術サービス業（他に分類されないもの）","74C その他の土木建築サービス業","31","801"
"L 学術研究，専門・技術サービス業","74 技術サービス業（他に分類されないもの）","743 機械設計業","60","1894"
"L 学術研究，専門・技術サービス業","74 技術サービス業（他に分類されないもの）","744 商品・非破壊検査業","31","367"
"L 学術研究，専門・技術サービス業","74 技術サービス業（他に分類されないもの）","745 計量証明業","17","216"
"L 学術研究，専門・技術サービス業","74 技術サービス業（他に分類されないもの）","746 写真業","158","832"
"L 学術研究，専門・技術サービス業","74 技術サービス業（他に分類されないもの）","749 その他の技術サービス業","89","2755"
"M 宿泊業，飲食サービス業","75 宿泊業","750 管理，補助的経済活動を行う事業所","6","37"
"M 宿泊業，飲食サービス業","75 宿泊業","751 旅館，ホテル","153","12413"
"M 宿泊業，飲食サービス業","75 宿泊業","752 簡易宿所","3","13"
"M 宿泊業，飲食サービス業","75 宿泊業","753 下宿業","0","0"
"M 宿泊業，飲食サービス業","75 宿泊業","75A 会社・団体の宿泊所","18","155"
"M 宿泊業，飲食サービス業","75 宿泊業","75B 他に分類されない宿泊業","15","64"
"M 宿泊業，飲食サービス業","76 飲食店","760 管理，補助的経済活動を行う事業所","47","1129"
"M 宿泊業，飲食サービス業","76 飲食店","761 食堂，レストラン（専門料理店を除く）","260","6143"
"M 宿泊業，飲食サービス業","76 飲食店","76A 日本料理店","752","7489"
"M 宿泊業，飲食サービス業","76 飲食店","76B 中華料理店","486","4801"
"M 宿泊業，飲食サービス業","76 飲食店","76C 焼肉店","128","1684"
"M 宿泊業，飲食サービス業","76 飲食店","76D その他の専門料理店","1010","11227"
"M 宿泊業，飲食サービス業","76 飲食店","763 そば・うどん店","283","2615"
"M 宿泊業，飲食サービス業","76 飲食店","764 すし店","257","1910"
"M 宿泊業，飲食サービス業","76 飲食店","765 酒場，ビヤホール","1269","12873"
"M 宿泊業，飲食サービス業","76 飲食店","766 バー，キャバレー，ナイトクラブ","713","4253"
"M 宿泊業，飲食サービス業","76 飲食店","767 喫茶店","478","5898"
"M 宿泊業，飲食サービス業","76 飲食店","76E ハンバーガー店","46","1541"
"M 宿泊業，飲食サービス業","76 飲食店","76F お好み焼・焼きそば・たこ焼店","40","270"
"M 宿泊業，飲食サービス業","76 飲食店","76G 他に分類されない飲食店","58","671"
"M 宿泊業，飲食サービス業","77 持ち帰り・配達飲食サービス業","770 管理，補助的経済活動を行う事業所","4","27"
"M 宿泊業，飲食サービス業","77 持ち帰り・配達飲食サービス業","771 持ち帰り飲食サービス業","40","320"
"M 宿泊業，飲食サービス業","77 持ち帰り・配達飲食サービス業","772 配達飲食サービス業","200","3738"
"N 生活関連サービス業，娯楽業","78 洗濯・理容・美容・浴場業","780 管理，補助的経済活動を行う事業所","4","119"
"N 生活関連サービス業，娯楽業","78 洗濯・理容・美容・浴場業","78A 普通洗濯業","122","693"
"N 生活関連サービス業，娯楽業","78 洗濯・理容・美容・浴場業","78B リネンサプライ業","4","31"
"N 生活関連サービス業，娯楽業","78 洗濯・理容・美容・浴場業","782 理容業","152","638"
"N 生活関連サービス業，娯楽業","78 洗濯・理容・美容・浴場業","783 美容業","440","3118"
"N 生活関連サービス業，娯楽業","78 洗濯・理容・美容・浴場業","784 一般公衆浴場業","3","23"
"N 生活関連サービス業，娯楽業","78 洗濯・理容・美容・浴場業","785 その他の公衆浴場業","11","302"
"N 生活関連サービス業，娯楽業","78 洗濯・理容・美容・浴場業","789 その他の洗濯・理容・美容・浴場業","268","2668"
"N 生活関連サービス業，娯楽業","79 その他の生活関連サービス業","790 管理，補助的経済活動を行う事業所","1","395"
"N 生活関連サービス業，娯楽業","79 その他の生活関連サービス業","791 旅行業","252","3877"
"N 生活関連サービス業，娯楽業","79 その他の生活関連サービス業","793 衣服裁縫修理業","18","37"
"N 生活関連サービス業，娯楽業","79 その他の生活関連サービス業","794 物品預り業","8","82"
"N 生活関連サービス業，娯楽業","79 その他の生活関連サービス業","795 火葬・墓地管理業","4","26"
"N 生活関連サービス業，娯楽業","79 その他の生活関連サービス業","79A 葬儀業","25","377"
"N 生活関連サービス業，娯楽業","79 その他の生活関連サービス業","79B 結婚式場業","39","2768"
"N 生活関連サービス業，娯楽業","79 その他の生活関連サービス業","79C 冠婚葬祭互助会","0","0"
"N 生活関連サービス業，娯楽業","79 その他の生活関連サービス業","79D 写真プリント，現像・焼付業","20","135"
"N 生活関連サービス業，娯楽業","79 その他の生活関連サービス業","79E 他に分類されないその他の生活関連サービス業","128","1305"
"N 生活関連サービス業，娯楽業","80 娯楽業","800 管理，補助的経済活動を行う事業所","16","192"
"N 生活関連サービス業，娯楽業","80 娯楽業","801 映画館","6","303"
"N 生活関連サービス業，娯楽業","80 娯楽業","802 興行場（別掲を除く），興行団","255","2678"
"N 生活関連サービス業，娯楽業","80 娯楽業","803 競輪・競馬等の競走場，競技団","9","762"
"N 生活関連サービス業，娯楽業","80 娯楽業","80A スポーツ施設提供業（別掲を除く）","15","103"
"N 生活関連サービス業，娯楽業","80 娯楽業","80B 体育館","0","0"
"N 生活関連サービス業，娯楽業","80 娯楽業","80C ゴルフ場","26","705"
"N 生活関連サービス業，娯楽業","80 娯楽業","80D ゴルフ練習場","6","33"
"N 生活関連サービス業，娯楽業","80 娯楽業","80E ボウリング場","3","104"
"N 生活関連サービス業，娯楽業","80 娯楽業","80F テニス場","1","13"
"N 生活関連サービス業，娯楽業","80 娯楽業","80G バッティング・テニス練習場","0","0"
"N 生活関連サービス業，娯楽業","80 娯楽業","80H フィットネスクラブ","41","797"
"N 生活関連サービス業，娯楽業","80 娯楽業","805 公園，遊園地","10","290"
"N 生活関連サービス業，娯楽業","80 娯楽業","80J マージャンクラブ","49","183"
"N 生活関連サービス業，娯楽業","80 娯楽業","80K パチンコホール","28","771"
"N 生活関連サービス業，娯楽業","80 娯楽業","80L ゲームセンター","15","81"
"N 生活関連サービス業，娯楽業","80 娯楽業","80M その他の遊戯場","9","46"
"N 生活関連サービス業，娯楽業","80 娯楽業","80N カラオケボックス業","40","637"
"N 生活関連サービス業，娯楽業","80 娯楽業","80P 他に分類されない娯楽業","110","2006"
"O 教育，学習支援業","81 学校教育","810 管理，補助的経済活動を行う事業所","11","435"
"O 教育，学習支援業","81 学校教育","811 幼稚園","27","382"
"O 教育，学習支援業","81 学校教育","812 小学校","21","882"
"O 教育，学習支援業","81 学校教育","813 中学校","18","856"
"O 教育，学習支援業","81 学校教育","814 高等学校，中等教育学校","14","1001"
"O 教育，学習支援業","81 学校教育","815 特別支援学校","2","113"
"O 教育，学習支援業","81 学校教育","816 高等教育機関","37","15960"
"O 教育，学習支援業","81 学校教育","817 専修学校，各種学校","19","413"
"O 教育，学習支援業","81 学校教育","818 学校教育支援機関","0","0"
"O 教育，学習支援業","82 その他の教育，学習支援業","820 管理，補助的経済活動を行う事業所","9","266"
"O 教育，学習支援業","82 その他の教育，学習支援業","82A 公民館","0","0"
"O 教育，学習支援業","82 その他の教育，学習支援業","82B 図書館","7","248"
"O 教育，学習支援業","82 その他の教育，学習支援業","82C 博物館，美術館","25","290"
"O 教育，学習支援業","82 その他の教育，学習支援業","82D 動物園，植物園，水族館","3","75"
"O 教育，学習支援業","82 その他の教育，学習支援業","82E その他の社会教育","7","80"
"O 教育，学習支援業","82 その他の教育，学習支援業","822 職業・教育支援施設","79","990"
"O 教育，学習支援業","82 その他の教育，学習支援業","823 学習塾","63","886"
"O 教育，学習支援業","82 その他の教育，学習支援業","82F 音楽教授業","34","118"
"O 教育，学習支援業","82 その他の教育，学習支援業","82G 書道教授業","5","19"
"O 教育，学習支援業","82 その他の教育，学習支援業","82H 生花・茶道教授業","19","95"
"O 教育，学習支援業","82 その他の教育，学習支援業","82J そろばん教授業","1","1"
"O 教育，学習支援業","82 その他の教育，学習支援業","82K 外国語会話教授業","55","1005"
"O 教育，学習支援業","82 その他の教育，学習支援業","82L スポーツ・健康教授業","74","1134"
"O 教育，学習支援業","82 その他の教育，学習支援業","82M その他の教養・技能教授業","135","1212"
"O 教育，学習支援業","82 その他の教育，学習支援業","829 他に分類されない教育，学習支援業","79","827"
"P 医療，福祉","83 医療業","830 管理，補助的経済活動を行う事業所","16","2318"
"P 医療，福祉","83 医療業","831 病院","15","9818"
"P 医療，福祉","83 医療業","832 一般診療所","507","5767"
"P 医療，福祉","83 医療業","833 歯科診療所","527","3281"
"P 医療，福祉","83 医療業","83A 助産所","2","10"
"P 医療，福祉","83 医療業","83B 看護業","10","200"
"P 医療，福祉","83 医療業","835 療術業","383","1649"
"P 医療，福祉","83 医療業","83C 歯科技工所","8","49"
"P 医療，福祉","83 医療業","83D その他の医療に附帯するサービス業","14","190"
"P 医療，福祉","84 保健衛生","840 管理，補助的経済活動を行う事業所","0","0"
"P 医療，福祉","84 保健衛生","841 保健所","1","126"
"P 医療，福祉","84 保健衛生","842 健康相談施設","36","2217"
"P 医療，福祉","84 保健衛生","849 その他の保健衛生","4","105"
"P 医療，福祉","85 社会保険・社会福祉・介護事業","850 管理，補助的経済活動を行う事業所","1","17"
"P 医療，福祉","85 社会保険・社会福祉・介護事業","851 社会保険事業団体","70","1455"
"P 医療，福祉","85 社会保険・社会福祉・介護事業","852 福祉事務所","0","0"
"P 医療，福祉","85 社会保険・社会福祉・介護事業","85A 保育所","98","1944"
"P 医療，福祉","85 社会保険・社会福祉・介護事業","85B その他の児童福祉事業","38","680"
"P 医療，福祉","85 社会保険・社会福祉・介護事業","85C 特別養護老人ホーム","11","930"
"P 医療，福祉","85 社会保険・社会福祉・介護事業","85D 介護老人保健施設","5","285"
"P 医療，福祉","85 社会保険・社会福祉・介護事業","85E 通所・短期入所介護事業","40","488"
"P 医療，福祉","85 社会保険・社会福祉・介護事業","85F 訪問介護事業","44","1019"
"P 医療，福祉","85 社会保険・社会福祉・介護事業","85G 認知症老人グループホーム","3","32"
"P 医療，福祉","85 社会保険・社会福祉・介護事業","85H 有料老人ホーム","16","1171"
"P 医療，福祉","85 社会保険・社会福祉・介護事業","85J その他の老人福祉・介護事業","19","121"
"P 医療，福祉","85 社会保険・社会福祉・介護事業","855 障害者福祉事業","24","379"
"P 医療，福祉","85 社会保険・社会福祉・介護事業","85K 更生保護事業","1","0"
"P 医療，福祉","85 社会保険・社会福祉・介護事業","85L 他に分類されない社会保険・社会福祉・介護事業","12","120"
"Q 複合サービス事業","86 郵便局","860 管理，補助的経済活動を行う事業所","2","1058"
"Q 複合サービス事業","86 郵便局","861 郵便局","52","942"
"Q 複合サービス事業","86 郵便局","862 郵便局受託業","2","4"
"Q 複合サービス事業","87 協同組合（他に分類されないもの）","870 管理，補助的経済活動を行う事業所","0","0"
"Q 複合サービス事業","87 協同組合（他に分類されないもの）","871 農林水産業協同組合（他に分類されないもの）","0","0"
"Q 複合サービス事業","87 協同組合（他に分類されないもの）","872 事業協同組合（他に分類されないもの）","10","73"
"R サービス業（他に分類されないもの）","88 廃棄物処理業","880 管理，補助的経済活動を行う事業所","5","21"
"R サービス業（他に分類されないもの）","88 廃棄物処理業","881 一般廃棄物処理業","9","381"
"R サービス業（他に分類されないもの）","88 廃棄物処理業","882 産業廃棄物処理業","18","515"
"R サービス業（他に分類されないもの）","88 廃棄物処理業","889 その他の廃棄物処理業","2","83"
"R サービス業（他に分類されないもの）","89 自動車整備業","890 管理，補助的経済活動を行う事業所","1","27"
"R サービス業（他に分類されないもの）","89 自動車整備業","891 自動車整備業","53","981"
"R サービス業（他に分類されないもの）","90 機械等修理業（別掲を除く）","900 管理，補助的経済活動を行う事業所","0","0"
"R サービス業（他に分類されないもの）","90 機械等修理業（別掲を除く）","901 機械修理業（電気機械器具を除く）","73","1157"
"R サービス業（他に分類されないもの）","90 機械等修理業（別掲を除く）","902 電気機械器具修理業","64","3292"
"R サービス業（他に分類されないもの）","90 機械等修理業（別掲を除く）","903 表具業","5","7"
"R サービス業（他に分類されないもの）","90 機械等修理業（別掲を除く）","909 その他の修理業","42","186"
"R サービス業（他に分類されないもの）","91 職業紹介・労働者派遣業","910 管理，補助的経済活動を行う事業所","6","153"
"R サービス業（他に分類されないもの）","91 職業紹介・労働者派遣業","911 職業紹介業","143","4208"
"R サービス業（他に分類されないもの）","91 職業紹介・労働者派遣業","912 労働者派遣業","248","26073"
"R サービス業（他に分類されないもの）","92 その他の事業サービス業","920 管理，補助的経済活動を行う事業所","13","346"
"R サービス業（他に分類されないもの）","92 その他の事業サービス業","921 速記・ワープロ入力・複写業","44","474"
"R サービス業（他に分類されないもの）","92 その他の事業サービス業","922 建物サービス業","699","15239"
"R サービス業（他に分類されないもの）","92 その他の事業サービス業","923 警備業","74","6856"
"R サービス業（他に分類されないもの）","92 その他の事業サービス業","929 他に分類されない事業サービス業","983","44199"
"R サービス業（他に分類されないもの）","93 政治・経済・文化団体","931 経済団体","437","3887"
"R サービス業（他に分類されないもの）","93 政治・経済・文化団体","932 労働団体","120","1112"
"R サービス業（他に分類されないもの）","93 政治・経済・文化団体","933 学術・文化団体","77","528"
"R サービス業（他に分類されないもの）","93 政治・経済・文化団体","934 政治団体","16","31"
"R サービス業（他に分類されないもの）","93 政治・経済・文化団体","939 他に分類されない非営利的団体","459","3936"
"R サービス業（他に分類されないもの）","94 宗教","941 神道系宗教","36","203"
"R サービス業（他に分類されないもの）","94 宗教","942 仏教系宗教","243","1737"
"R サービス業（他に分類されないもの）","94 宗教","943 キリスト教系宗教","25","218"
"R サービス業（他に分類されないもの）","94 宗教","949 その他の宗教","14","117"
"R サービス業（他に分類されないもの）","95 その他のサービス業","950 管理，補助的経済活動を行う事業所","1","6"
"R サービス業（他に分類されないもの）","95 その他のサービス業","951 集会場","15","222"
"R サービス業（他に分類されないもの）","95 その他のサービス業","952 と畜場","1","264"
"R サービス業（他に分類されないもの）","95 その他のサービス業","959 他に分類されないサービス業","5","292"
"S 公務（他に分類されるものを除く）","97 国家公務","971 立法機関","2","15"
"S 公務（他に分類されるものを除く）","97 国家公務","972 司法機関","0","0"
"S 公務（他に分類されるものを除く）","97 国家公務","973 行政機関","27","3963"
"S 公務（他に分類されるものを除く）","98 地方公務","981 都道府県機関","26","3246"
"S 公務（他に分類されるものを除く）","98 地方公務","982 市町村機関","19","1424"

"事業所数及び男女別従業者数　産業小分類","Ver201703","資料:平成26年経済センサス-基礎調査報告(東京都総務局)を加工して作成。",,
