建物番号,建物名称,施設形態,建築年度(和暦),建築年度(西暦),築年数,延床面積,構造,規模,令和元年度-建-合計,令和元年度-事-合計,令和元年度-人件費（合計）,コード,施設名称,用途別面積,【用途中分類】,建物所有者
138,東山地区センター,複合,S34,1959,60,"3,484.75",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"955,400 ",0 ,"28,155,618 ",L021,東山児童館第二学童保育クラブ,-,08 学童保育クラブ,目黒区
16,菅刈住区センター,複合,S55,1980,39,"1,535.37",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"956,657 ","1,889,554 ","39,216,190 ",L022,菅刈学童保育クラブ,229.79,08 学童保育クラブ,目黒区
-,（借上建物）,-,H27,2015,4,197.20,S（鉄骨造）,地上2階,"30,712,833 ","187,492 ",0 ,L023,烏森住区センター児童館学童保育クラブ,197.20,08 学童保育クラブ,民間
14,中目黒スクエア,複合,H3,1991,28,"4,911.33",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上9階・地下2階,"760,889 ",0 ,"41,272,767 ",L024,中目黒住区センター児童館学童保育クラブ,-,08 学童保育クラブ,目黒区
36,目黒区民センター,複合,S49,1974,45,"16,538.52",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上8階・地下3階,0 ,0 ,"60,424,600 ",L025,目黒区民センター児童館学童保育クラブ,-,08 学童保育クラブ,目黒区
60,不動児童館学童保育クラブ,単独,S47,1972,47,609.87,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"4,102,752 ","3,678,245 ",0 ,L026,不動児童館学童保育クラブ,609.87,08 学童保育クラブ,目黒区
111,田道小学校,複合,S38,1963,56,"5,173.33",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"1,007,348 ",0 ,"44,241,866 ",L027,田道小学校内学童保育クラブ,-,08 学童保育クラブ,目黒区
21,上目黒住区センター,複合,S54,1979,40,"2,353.91",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,0 ,0 ,"30,212,300 ",L028,上目黒住区センター児童館学童保育クラブ,-,08 学童保育クラブ,目黒区
22,油面住区センター,複合,S61,1986,33,"1,047.18",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,0 ,0 ,"36,150,499 ",L029,油面住区センター児童館学童保育クラブ,-,08 学童保育クラブ,目黒区
23,五本木住区センター,複合,S58,1983,36,968.08,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,0 ,0 ,"28,155,618 ",L030,五本木住区センター児童館学童保育クラブ,-,08 学童保育クラブ,目黒区
61,鷹番学童保育クラブ,単独,H3,1991,28,236.00,S（鉄骨造）,地上1階,"4,450,048 ","2,168,163 ","22,120,933 ",L031,鷹番学童保育クラブ,236.00,08 学童保育クラブ,目黒区
26,向原住区センター,複合,S59,1984,35,"1,304.02",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"760,889 ",0 ,"30,212,300 ",L032,向原住区センター児童館学童保育クラブ,-,08 学童保育クラブ,目黒区
140,南部地区センター,複合,S56,1981,38,"4,655.37",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階・地下1階,"185,830 ","1,783,045 ","33,181,400 ",L033,目黒本町学童保育クラブ,213.64,08 学童保育クラブ,目黒区
28,原町住区センター,複合,S62,1987,32,"1,057.53",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,0 ,0 ,"28,252,315 ",L034,原町住区センター児童館学童保育クラブ,-,08 学童保育クラブ,目黒区
73,ひもんや保育園,複合,S42,1967,52,"1,512.88",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"2,845,644 ","3,932,352 ","42,185,184 ",L035,ひもんや学童保育クラブ,398.52,08 学童保育クラブ,目黒区
142,緑が丘コミュニティセンター別館,複合,S54,1979,40,"3,142.39",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,0 ,0 ,"27,243,201 ",L036,緑が丘児童館学童保育クラブ,-,08 学童保育クラブ,目黒区
119,中根小学校,複合,S45,1970,49,"7,962.13",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"50,074,639 ","21,918,491 ",0 ,L037,中根小学校内学童保育クラブ,304.04,08 学童保育クラブ,目黒区
33,八雲住区センター,複合,H9,1997,22,"1,610.63",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,0 ,0 ,"33,181,400 ",L038,八雲住区センター児童館学童保育クラブ,-,08 学童保育クラブ,目黒区
120,宮前小学校,複合,S59,1984,35,"6,326.18",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"34,241,167 ",0 ,0 ,L039,宮前小学校内学童保育クラブ,-,08 学童保育クラブ,目黒区
99,スマイルプラザ中央町,複合,S36,1961,58,"4,196.08",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,0 ,0 ,0 ,L040,中央町児童館学童保育クラブ,-,08 学童保育クラブ,目黒区
91,平町老人いこいの家,複合,H20,2008,11,426.53,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"31,240,349 ","303,587 ",0 ,L041,大岡山学童保育クラブ,185.41,08 学童保育クラブ,目黒区
118,東根小学校,複合,S38,1963,56,"6,681.55",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"25,104,855 ","19,568,390 ",0 ,L042,東根学童保育クラブ,-,08 学童保育クラブ,目黒区
58,平町児童館,複合,H9,1997,22,"1,553.05",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階・地下1階,0 ,0 ,0 ,L043,平町児童館学童保育クラブ,-,08 学童保育クラブ,目黒区
59,烏森住区センター児童館第二学童保育クラブ,単独,H29,2017,2,146.97,Ｓ（鉄骨造）,地上2階,"26,697,996 ","139,735 ",0 ,L044,烏森住区センター児童館第二学童保育クラブ,146.97,08 学童保育クラブ,目黒区
105,油面小学校,複合,S37,1962,57,"7,166.55",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"1,219,515 ",0 ,"22,217,525 ",L045,油面小学校内学童保育クラブ,-,08 学童保育クラブ,目黒区
62,駒場保育園,単独,S50,1975,44,674.51,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"8,988,779 ","13,176,238 ","182,296,870 ",M001,駒場保育園,674.51,09 保育園,目黒区
63,菅刈保育園,複合,S55,1980,39,"1,413.26",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"20,525,244 ","20,078,320 ","252,268,321 ",M002,菅刈保育園,"1,031.48",09 保育園,目黒区
64,東山保育園,単独,S47,1972,47,974.04,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"9,155,553 ","18,967,707 ","278,842,895 ",M003,東山保育園,974.04,09 保育園,目黒区
-,（借上建物）,-,S60,1985,34,"1,356.04",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上10階,"88,832,349 ","26,353,750 ","234,627,660 ",M004,第二上目黒保育園,"1,356.04",09 保育園,民間
65,田道保育園,複合,H5,1993,26,"2,076.89",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"11,649,356 ","24,226,298 ","274,621,101 ",M007,田道保育園,"1,246.01",09 保育園,目黒区
66,不動保育園,単独,S56,1981,38,604.82,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"5,903,200 ","16,594,378 ","172,747,576 ",M008,不動保育園,604.82,09 保育園,目黒区
67,中町保育園,単独,S42,1967,52,"1,015.72",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"30,064,242 ","29,304,817 ","264,009,658 ",M009,中町保育園,"1,015.72",09 保育園,目黒区
68,祐天寺保育園,単独,S50,1975,44,652.97,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"6,687,701 ","12,759,758 ","217,303,299 ",M010,祐天寺保育園,652.97,09 保育園,目黒区
69,中央町保育園,単独,S50,1975,44,917.67,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"8,683,023 ","39,695,223 ","235,431,542 ",M011,中央町保育園,917.67,09 保育園,目黒区
140,南部地区センター,複合,S56,1981,38,"4,655.37",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階・地下1階,"3,769,162 ","14,655,380 ","230,420,342 ",M012,目黒本町保育園,751.01,09 保育園,目黒区
70,原町保育園,単独,H13,2001,18,"1,268.70",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"13,945,909 ","48,100,022 ","239,028,372 ",M013,原町保育園,"1,268.70",09 保育園,目黒区
71,南保育園,単独,S49,1974,45,848.57,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"8,693,823 ","16,541,721 ","240,988,357 ",M014,南保育園,848.57,09 保育園,目黒区
72,第二ひもんや保育園,複合,H23,2011,8,"1,887.74",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"186,072,829 ","134,460 ",0 ,M015,第二ひもんや保育園,"1,081.05",09 保育園,目黒区
73,ひもんや保育園,複合,S42,1967,52,"1,512.88",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"10,467,188 ","44,047,621 ","254,119,876 ",M016,ひもんや保育園,"1,114.36",09 保育園,目黒区
74,第三ひもんや保育園,単独,S37,1962,57,858.39,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"9,002,068 ","37,005,592 ","227,900,266 ",M017,第三ひもんや保育園,858.39,09 保育園,目黒区
75,鷹番保育園,単独,S53,1978,41,755.89,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"7,667,405 ","14,749,736 ","189,828,146 ",M018,鷹番保育園,755.89,09 保育園,目黒区
76,大岡山保育園,単独,S52,1977,42,"1,060.26",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"10,600,218 ","20,634,787 ","278,393,977 ",M019,大岡山保育園,"1,060.26",09 保育園,目黒区
77,八雲保育園,単独,H16,2004,15,"1,347.76",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"12,544,780 ","30,959,263 ","294,451,013 ",M020,八雲保育園,"1,347.76",09 保育園,目黒区
78,目黒保育園,単独,H19,2007,12,"1,366.77",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"198,919,900 ","134,460 ",0 ,M021,目黒保育園,"1,366.77",09 保育園,目黒区
79,中目黒アトラスタワー（一部）,単独,H21,2009,10,679.38,SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,中目黒アトラスタワー3階,"162,219,072 ","134,460 ",0 ,M022,中目黒駅前保育園,679.38,09 保育園,目黒区
57,不動児童館,単独（民間併設）,H3,1991,28,804.97,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,0 ,0 ,0 ,M024,不動児童館施設内小規模保育所,129.34,09 保育園,目黒区
117,上目黒小学校,単独（民間併設）,S39,1964,55,"5,437.86",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,0 ,0 ,0 ,M025,上目黒小学校内保育施設,544.00,09 保育園,目黒区
142,緑が丘コミュニティセンター別館,複合,S54,1979,40,"3,142.39",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,0 ,0 ,0 ,M026,緑が丘文化会館別館保育施設,161.02,09 保育園,目黒区
152,三田フレンズ,複合,H6,1994,25,"5,294.46",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上6階・地下2階,0 ,"2,872,800 ",0 ,M027,三田フレンズ内保育施設,581.75,09 保育園,目黒区
80,なかめぐろホーム,単独,H元年度,1989,30,"2,973.08",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下2階,"51,664,356 ",0 ,0 ,H001,特別養護老人ホーム中目黒,"2,973.08",10 高齢者福祉施設,目黒区
81,ひがしがおかホーム,複合,H6,1994,25,"5,771.81",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"79,732,794 ",0 ,0 ,H002,特別養護老人ホーム東が丘,"4,556.03",10 高齢者福祉施設,目黒区
82,ひがしやまホーム,複合,H11,1999,20,"7,396.20",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階・地下1階,"109,840,032 ",0 ,0 ,H003,特別養護老人ホーム東山,"6,572.16",10 高齢者福祉施設,目黒区
83,田道ふれあい館,複合,H4,1992,27,"6,282.22",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下2階,"217,387,238 ","215,745 ",0 ,H010,高齢者センター,"4,926.62",10 高齢者福祉施設,目黒区
83,田道ふれあい館,複合,H4,1992,27,"6,282.22",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下2階,"13,961,205 ",0 ,0 ,H011,田道在宅ケア多機能センター,418.86,10 高齢者福祉施設,目黒区
82,ひがしやまホーム,複合,H11,1999,20,"7,396.20",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階・地下1階,0 ,0 ,0 ,H012,東山在宅ケア多機能センター,755.12,10 高齢者福祉施設,目黒区
82,ひがしやまホーム,複合,H11,1999,20,"7,396.20",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階・地下1階,0 ,0 ,0 ,H013,居宅介護支援事業所（ひがしやまホーム）,68.92,10 高齢者福祉施設,目黒区
81,ひがしがおかホーム,複合,H6,1994,25,"5,771.81",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,0 ,0 ,0 ,H014,居宅介護支援事業所（ひがしがおかホーム）,35.96,10 高齢者福祉施設,目黒区
81,ひがしがおかホーム,複合,H6,1994,25,"5,771.81",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,0 ,0 ,0 ,H015,東が丘在宅ケア多機能センター,774.82,10 高齢者福祉施設,目黒区
84,駒場老人いこいの家,単独,H3,1991,28,305.22,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"3,309,624 ","2,979,990 ",0 ,I001,駒場老人いこいの家,305.22,11 老人いこいの家,目黒区
16,菅刈住区センター,複合,S55,1980,39,"1,535.37",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,0 ,"124,140 ","6,034,685 ",I003,菅刈老人いこいの家,159.86,11 老人いこいの家,目黒区
121,東山小学校,複合,H27,2015,4,"14,577.21",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,0 ,"2,221,627 ",0 ,I004,東山老人いこいの家,166.20,11 老人いこいの家,目黒区
17,烏森住区センター,複合,H2,1990,29,"1,149.77",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下2階,0 ,"2,510,804 ",0 ,I005,烏森老人いこいの家,188.39,11 老人いこいの家,目黒区
85,上二老人いこいの家,単独,S43,1968,51,169.49,W（木造）,地上2階,"2,442,650 ","2,921,250 ",0 ,I006,上二老人いこいの家,169.49,11 老人いこいの家,目黒区
86,田道老人いこいの家,単独,S49,1974,45,174.15,W（木造）,地上2階,"1,449,931 ","2,921,250 ",0 ,I007,田道老人いこいの家,174.15,11 老人いこいの家,目黒区
18,田道住区センター三田分室,複合,S59,1984,35,732.85,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,0 ,"1,871,955 ",0 ,I008,三田分室老人いこいの家,157.81,11 老人いこいの家,目黒区
19,下目黒住区センター,複合（民間併設）,H2,1990,29,"1,385.13",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階・地下1階,0 ,"124,140 ","6,034,685 ",I009,下目黒老人いこいの家,198.4,11 老人いこいの家,目黒区
20,不動住区センター,複合,S52,1977,42,592.86,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,0 ,"820,421 ",0 ,I010,不動老人いこいの家,252.05,11 老人いこいの家,目黒区
87,上目黒老人いこいの家,単独,H3,1991,28,269.67,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"3,019,547 ","239,472 ","3,649,716 ",I011,上目黒老人いこいの家,269.67,11 老人いこいの家,目黒区
88,中町老人いこいの家,単独,H15,2003,16,331.47,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"2,878,146 ","3,155,880 ",0 ,I012,中町老人いこいの家,331.47,11 老人いこいの家,目黒区
89,五本木老人いこいの家,単独,S44,1969,50,166.86,W（木造）,地上2階,"1,782,846 ","2,921,250 ",0 ,I013,五本木老人いこいの家,166.86,11 老人いこいの家,目黒区
24,鷹番住区センター,複合,H7,1995,24,"1,098.17",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,0 ,"124,140 ","4,890,549 ",I014,鷹番老人いこいの家,185.65,11 老人いこいの家,目黒区
25,月光原住区センター,複合,S55,1980,39,646.39,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,0 ,"2,864,658 ",0 ,I015,月光原老人いこいの家,233.17,11 老人いこいの家,目黒区
26,向原住区センター,複合,S59,1984,35,"1,304.02",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,0 ,"2,465,460 ",0 ,I016,向原老人いこいの家,124.25,11 老人いこいの家,目黒区
27,碑住区センター,複合,S53,1978,41,"1,251.21",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,0 ,"200,592 ","4,890,549 ",I017,碑老人いこいの家,214.49,11 老人いこいの家,目黒区
90,原町老人いこいの家,単独,S43,1968,51,168.48,W（木造）,地上2階,"1,425,288 ","2,921,250 ",0 ,I018,原町老人いこいの家,168.48,11 老人いこいの家,目黒区
29,大岡山東住区センター,複合,S56,1981,38,678.19,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,0 ,"2,507,098 ",0 ,I019,大岡山東老人いこいの家,166.8,11 老人いこいの家,目黒区
91,平町老人いこいの家,複合,H20,2008,11,426.53,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"2,626,431 ","3,466,282 ",0 ,I020,平町老人いこいの家,241.12,11 老人いこいの家,目黒区
119,中根小学校,複合,S45,1970,49,"7,962.13",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,0 ,"2,533,476 ",0 ,I021,中根老人いこいの家,83.44,11 老人いこいの家,目黒区
92,自由が丘老人いこいの家,単独,H5,1993,26,389.72,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"3,530,999 ","2,921,250 ",0 ,I022,自由が丘老人いこいの家,389.72,11 老人いこいの家,目黒区
32,自由が丘住区センター宮前分室,複合,S59,1984,35,453.60,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,0 ,"748,056 ",0 ,I023,宮前分室老人いこいの家,86.36,11 老人いこいの家,目黒区
33,八雲住区センター,複合,H9,1997,22,"1,610.63",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"3,247,100 ","124,140 ","6,034,685 ",I024,八雲老人いこいの家,186.39,11 老人いこいの家,目黒区
34,東根住区センター,複合,S59,1984,35,"2,118.17",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"2,558,107 ","182,880 ","3,649,716 ",I025,東根老人いこいの家,176.91,11 老人いこいの家,目黒区
93,下目黒福祉工房,単独,S62,1987,32,896.87,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"63,182,753 ","267,054 ",0 ,J002,下目黒福祉工房,896.87,12 障害者福祉施設,目黒区
94,ひまわりプラザ,単独,S55,1980,39,"2,287.44",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階・地下1階,"19,642,948 ","34,978,776 ","197,339,996 ",J003,目黒区児童発達支援センターすくすくのびのび園,"2,287.44",12 障害者福祉施設,目黒区
148,めぐろ区民キャンパス,複合,H11,1999,20,"25,347.83",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上6階・地下2階,"295,612,439 ","238,470 ",0 ,J004,心身障害者センターあいアイ館,"6,241.37",12 障害者福祉施設,目黒区
97,大橋えのき園,単独（民間併設）,H8,1996,23,"2,628.37",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上6階・地下1階,"62,117,137 ","332,920 ",0 ,J005,大橋えのき園,"1,145.92",12 障害者福祉施設,目黒区
95,かみよん工房,単独,H8,1996,23,822.90,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"23,831,260 ","234,814 ",0 ,J006,かみよん工房,822.90,12 障害者福祉施設,目黒区
96,東が丘障害福祉施設,単独,H18,2006,13,"1,388.38",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上5階,"231,906,756 ","5,867,245 ",0 ,J007,東が丘障害福祉施設,"1,388.38",12 障害者福祉施設,目黒区
65,田道保育園,複合,H5,1993,26,"2,076.89",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"19,788,556 ","721,763 ",0 ,J008,のぞみ寮,401.59,12 障害者福祉施設,目黒区
65,田道保育園,複合,H5,1993,26,"2,076.89",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"2,396,995 ",0 ,0 ,J009,身体障害者福祉住宅田道ハイム,207.72,12 障害者福祉施設,目黒区
98,目黒本町福祉工房,単独,H22,2010,9,"2,582.59",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上6階,"261,062,953 ","8,615,449 ",0 ,J012,目黒本町福祉工房,"2,582.59",12 障害者福祉施設,目黒区
99,スマイルプラザ中央町,複合,S36,1961,58,"4,196.08",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"57,996,635 ",0 ,0 ,J013,中央町二丁目障害福祉施設,"2,900.34",12 障害者福祉施設,目黒区
99,スマイルプラザ中央町,複合,S36,1961,58,"4,196.08",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,0 ,0 ,0 ,J014,目黒本町福祉工房中央町分室,-,12 障害者福祉施設,目黒区
36,目黒区民センター,複合,S49,1974,45,"16,538.52",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上8階・地下3階,0 ,0 ,0 ,J015,障害者就労支援施設,190.41,12 障害者福祉施設,目黒区
121,東山小学校,複合,H27,2015,4,"14,577.21",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,0 ,"21,655,501 ",0 ,J016,東山小学校内発達障害支援拠点施設,99.32,12 障害者福祉施設,目黒区
-,母子生活支援施設みどりハイム,-,H16,2004,15,"2,024.11",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上5階・地下1階,"16,871,132 ","55,626,042 ",0 ,J010,母子生活支援施設みどりハイム,"1,581.17",13 母子生活支援施設,目黒区
100,八雲小学校,単独,S35,1960,59,"5,352.24",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"63,455,472 ","58,294,738 ","42,551,472 ",X001,八雲小学校,"5,352.24",14 小学校,目黒区
101,菅刈小学校,単独,S36,1961,58,"6,274.14",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"72,113,939 ","50,079,409 ","50,572,857 ",X002,菅刈小学校,"6,274.14",14 小学校,目黒区
102,下目黒小学校,単独,S39,1964,55,"5,237.63",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"41,084,150 ","60,160,211 ","30,561,290 ",X003,下目黒小学校,"5,237.63",14 小学校,目黒区
103,碑小学校,複合,H19,2007,12,"9,997.03",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上5階,"80,104,778 ","82,721,919 ","46,529,475 ",X004,碑小学校,"9,463.28",14 小学校,目黒区
104,中目黒小学校,単独,S37,1962,57,"7,457.01",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"131,488,538 ","78,852,860 ","34,369,437 ",X005,中目黒小学校,"7,457.01",14 小学校,目黒区
105,油面小学校,複合,S37,1962,57,"7,166.55",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"38,998,591 ","74,189,634 ","87,756,404 ",X006,油面小学校,"7,166.55",14 小学校,目黒区
106,大岡山小学校,単独,S32,1957,62,"5,980.08",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"78,494,822 ","89,954,063 ","26,278,070 ",X007,大岡山小学校,"5,980.08",14 小学校,目黒区
107,烏森小学校,単独,S37,1962,57,"6,225.25",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"31,820,756 ","55,005,410 ","29,045,060 ",X008,烏森小学校,"6,225.25",14 小学校,目黒区
108,向原小学校,単独,S41,1966,53,"6,106.73",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"43,431,993 ","45,234,691 ","30,866,507 ",X009,向原小学校,"6,106.73",14 小学校,目黒区
109,五本木小学校,複合,S37,1962,57,"9,321.57",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下2階,"82,457,897 ","57,930,423 ","26,278,070 ",X010,五本木小学校,"9,321.57",14 小学校,目黒区
110,鷹番小学校,単独,S37,1962,57,"7,819.83",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"90,422,592 ","64,936,641 ","35,741,100 ",X011,鷹番小学校,"7,819.83",14 小学校,目黒区
111,田道小学校,複合,S38,1963,56,"5,173.33",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"44,821,926 ","55,665,330 ","32,617,972 ",X012,田道小学校,"5,173.33",14 小学校,目黒区
112,月光原小学校,単独,S38,1963,56,"4,340.45",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"26,560,660 ","47,571,349 ","35,149,727 ",X013,月光原小学校,"4,340.45",14 小学校,目黒区
113,駒場小学校,単独,S41,1966,53,"5,215.23",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"85,933,844 ","61,759,227 ","30,561,290 ",X014,駒場小学校,"5,215.23",14 小学校,目黒区
114,緑ヶ丘小学校,複合,S61,1986,33,"6,562.04",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"84,333,115 ","43,902,155 ","30,866,507 ",X015,緑ヶ丘小学校,"6,562.04",14 小学校,目黒区
115,原町小学校,単独,S42,1967,52,"5,951.35",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"64,315,634 ","44,263,930 ","22,775,140 ",X016,原町小学校,"5,951.35",14 小学校,目黒区
116,不動小学校,単独,S37,1962,57,"5,911.28",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"84,518,643 ","78,930,005 ","22,775,140 ",X017,不動小学校,"5,911.28",14 小学校,目黒区
117,上目黒小学校,単独（民間併設）,S39,1964,55,"5,437.86",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"42,542,719 ","41,237,301 ","22,775,140 ",X018,上目黒小学校,"4,893.86",14 小学校,目黒区
118,東根小学校,複合,S38,1963,56,"6,681.55",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"79,817,621 ","94,136,695 ","47,971,982 ",X019,東根小学校,"6,681.55",14 小学校,目黒区
119,中根小学校,複合,S45,1970,49,"7,962.13",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"75,699,210 ","62,686,167 ","32,617,972 ",X020,中根小学校,"6,544.27",14 小学校,目黒区
120,宮前小学校,複合,S59,1984,35,"6,326.18",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"27,333,943 ","54,526,232 ","30,866,507 ",X021,宮前小学校,"6,326.18",14 小学校,目黒区
121,東山小学校,複合,H27,2015,4,"14,577.21",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"63,442,372 ","124,840,282 ","41,375,372 ",X022,東山小学校,"13,706.65",14 小学校,目黒区
122,第一中学校,単独,S35,1960,59,"6,658.49",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"89,308,936 ","41,899,348 ","36,616,667 ",Y001,第一中学校,"6,658.49",15 中学校,目黒区
