平成28年地価調査地点データ一覧（林地を除く）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
継続地点,都道府県市区町村コード,対象年（和暦）,基準地名,基準地番号（用途）,基準地番号（連番）,都分類地区１,都分類地区２,区市町村名,地番,住居表示,当年価格（円）,前年価格（円）,対前年変動率（％）,地積（㎡）,形状区分,間口（比率）,奥行（比率）,利用の現況,構造,地上階,地下階,周辺の土地の利用の現況,前面道路区分,前面道路の方位,前面道路の幅員(m),前面道路の駅前区分,側道区分,側道方位,ガス,水道,下水道,主要交通施設,交通施設との近接区分,交通施設までの道路距離（m）,用途区分,防火地域,指定建ぺい率（％）,指定容積率（％）,割増容積率考慮区分,高度地区,区域区分,森林法,公園法,公園法普通特別,共通地点区分,前回地価公示都道府県市区町村コード,前回地価公示番号（用途）,前回地価公示番号（連番）,前回価公示価格（円）
○,13112 ,28 ,世田谷,0 ,1 ,区部,その他区,世田谷区,赤堤三丁目２７１番１４,赤堤３－９－１１,"600,000 ","588,000 ",2.0 ,204 ,,1,2,住宅,W,3F,,中規模一般住宅が多く共同住宅もある住宅地域,区道,北,6,,,,ガス,水道,下水道,松原,,340 ,１低専,準防,50 ,100 ,,高度,,,,,*,13112 ,0 ,50 ,"594,000 "
○,13112 ,28 ,世田谷,0 ,2 ,区部,その他区,世田谷区,世田谷一丁目２０７番５,世田谷１－３６－１９,"519,000 ","504,000 ",3.0 ,196 ,,1,1.5,住宅,W,2F,,一般住宅のほかに共同住宅等も見られる住宅地域,区道,北,3.6,,,,ガス,水道,下水道,世田谷,,500 ,１低専,準防,60 ,150 ,,高度,,,,,,,,,
,13112 ,28 ,世田谷,0 ,3 ,区部,その他区,世田谷区,桜新町一丁目４１３番５,桜新町１－９－２３,"610,000 ",,,139 ,台形,1,2,住宅,W,2F,,中小規模の一般住宅が多く建ち並ぶ住宅地域,区道,東,4,,,,ガス,水道,下水道,桜新町,,210 ,１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,4 ,区部,その他区,世田谷区,中町一丁目５５番３３,中町１－２０－１７,"628,000 ","604,000 ",4.0 ,201 ,,1,1.2,住宅,W,2F,1B,中規模一般住宅が多い閑静な住宅地域,区道,南東,6,,,,ガス,水道,下水道,等々力,,500 ,１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,5 ,区部,その他区,世田谷区,駒沢二丁目１０３３番１１,駒沢２－２５－１２,"572,000 ","553,000 ",3.4 ,215 ,,1,1.5,住宅,LS,2F,,一般住宅のほかマンション等も見られる住宅地域,区道,南西,5.4,,,,ガス,水道,下水道,駒沢大学,,600 ,１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,6 ,区部,その他区,世田谷区,代田三丁目４２１番１４,代田３－５０－１９,"603,000 ","585,000 ",3.1 ,165 ,,1,2,住宅,W,2F,,中規模一般住宅が多い区画整然とした住宅地域,区道,南東,6,,,,ガス,水道,下水道,梅ヶ丘,,460 ,１低専,準防,60 ,150 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,7 ,区部,その他区,世田谷区,梅丘一丁目１４７４番２,梅丘１－６０－１７,"605,000 ","586,000 ",3.2 ,169 ,,1,2,住宅,W,2F,,中規模一般住宅を中心とする住宅地域,区道,東,6,,,,ガス,水道,下水道,梅ヶ丘,,350 ,１低専,準防,60 ,150 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,8 ,区部,その他区,世田谷区,豪徳寺一丁目１８８３番９,豪徳寺１－５３－８,"527,000 ","511,000 ",3.1 ,142 ,,1,1.2,住宅,S,3F,,一般住宅、共同住宅等が建ち並ぶ住宅地域,私道,北東,4.5,,,,ガス,水道,下水道,豪徳寺,,300 ,１住居,準防,60 ,200 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,9 ,区部,その他区,世田谷区,経堂一丁目９０番３,経堂１－５－１６,"570,000 ","553,000 ",3.1 ,162 ,,1,1,住宅,W,2F,,中規模一般住宅、共同住宅等が見られる住宅地域,区道,北,5.4,,,,ガス,水道,下水道,経堂,,410 ,１低専,準防,60 ,150 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,10 ,区部,その他区,世田谷区,赤堤一丁目２３４番２６,赤堤１－３０－１３,"627,000 ","608,000 ",3.1 ,148 ,,1,1.2,住宅,RC,2F,,中規模一般住宅が多い閑静な住宅地域,区道,北,5.5,,,,ガス,水道,下水道,経堂,,450 ,１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,11 ,区部,その他区,世田谷区,代田二丁目６６８番１６５,代田２－２３－１６,"681,000 ","667,000 ",2.1 ,144 ,,1,1.5,住宅,W,2F,,一般戸建住宅等が建ち並ぶ住宅地域,区道,東,5.4,,,,ガス,水道,下水道,世田谷代田,,300 ,１低専,準防,50 ,150 ,,高度,,,,,*,13112 ,0 ,23 ,"675,000 "
○,13112 ,28 ,世田谷,0 ,12 ,区部,その他区,世田谷区,北沢五丁目８２３番１５,北沢５－１４－１３,"527,000 ","506,000 ",4.2 ,132 ,,1,1,住宅,W,2F,,一般住宅のほかアパートが建ち並ぶ住宅地域,道路,北,3.2,,,,ガス,水道,下水道,笹塚,,400 ,１低専,準防,60 ,150 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,13 ,区部,その他区,世田谷区,松原二丁目７１４番６,松原２－１４－１７,"562,000 ","544,000 ",3.3 ,151 ,,1,2,住宅,W,2F,,一般住宅等が建ち並ぶ区画整然とした住宅地域,私道,北,3.6,,,,ガス,水道,下水道,明大前,,550 ,１低専,準防,60 ,150 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,14 ,区部,その他区,世田谷区,船橋四丁目５３４番１２,船橋４－５－９,"470,000 ","460,000 ",2.2 ,256 ,,1,1.5,住宅,LS,2F,,一般住宅、アパート等が見られる住宅地域,区道,西,3.6,,,,ガス,水道,下水道,千歳船橋,,"1,000 ",１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,15 ,区部,その他区,世田谷区,上北沢一丁目７７８番３,上北沢１－２２－３５,"453,000 ","442,000 ",2.5 ,200 ,,1,1.2,住宅,W,2F,,一般住宅のほかアパート等も見られる住宅地域,区道,東,3.9,,,,ガス,水道,下水道,上北沢,,800 ,１中専,準防,60 ,200 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,16 ,区部,その他区,世田谷区,八幡山三丁目２４２番１９,八幡山３－２９－８,"465,000 ","453,000 ",2.6 ,158 ,,1,1.5,住宅,W,2F,,一般住宅のほか共同住宅も見られる住宅地域,道路,西,4,,,,ガス,水道,下水道,八幡山,,300 ,１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,17 ,区部,その他区,世田谷区,等々力五丁目３３番１５,,"680,000 ","648,000 ",4.9 ,345 ,,1,1.5,空地,,,,中規模一般住宅が多い区画整然とした住宅地域,区道,北,6,,,,ガス,水道,下水道,尾山台,,300 ,１低専,準防,50 ,100 ,,高度,,,,,*,13112 ,0 ,2 ,"674,000 "
○,13112 ,28 ,世田谷,0 ,18 ,区部,その他区,世田谷区,下馬三丁目４５番１５,下馬３－７－８,"616,000 ","595,000 ",3.5 ,231 ,,1,2,住宅,W,3F,,中小規模一般住宅にアパートも見られる住宅地域,区道,北西,6,,,,ガス,水道,下水道,学芸大学,,"1,200 ",１低専,準防,50 ,150 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,19 ,区部,その他区,世田谷区,弦巻五丁目６１６番１９,弦巻５－１９－８,"551,000 ","538,000 ",2.4 ,225 ,,1,2,住宅,RC,2F,,一般住宅と共同住宅等が建ち並ぶ住宅地域,区道,南東,6,,,,ガス,水道,下水道,上町,,890 ,１低専,準防,60 ,150 ,,高度,,,,,*,13112 ,0 ,25 ,"544,000 "
○,13112 ,28 ,世田谷,0 ,20 ,区部,その他区,世田谷区,岡本三丁目４０８番４,岡本３－７－２,"471,000 ","461,000 ",2.2 ,245 ,,1.2,1,住宅,RC,2F,,中規模一般住宅の中に空地等が見られる住宅地域,区道,南,6,,,,ガス,水道,下水道,用賀,,"1,800 ",１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,21 ,区部,その他区,世田谷区,池尻三丁目３６０番１１,池尻３－１８－１２,"596,000 ","567,000 ",5.1 ,82 ,,1.2,1,住宅,W,2F,,一般住宅のほかに共同住宅等も見られる住宅地域,区道,西,5.4,,,,ガス,水道,下水道,池尻大橋,,450 ,１住居,準防,60 ,200 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,22 ,区部,その他区,世田谷区,瀬田四丁目３３４番１７外,瀬田４－３５－９,"599,000 ","584,000 ",2.6 ,165 ,,1,1,住宅,W,2F,1B,中規模一般住宅が多い閑静な住宅地域,区道,西,6,,,,ガス,水道,下水道,用賀,,"1,100 ",１低専,準防,50 ,100 ,,高度,,,,,*,13112 ,0 ,20 ,"593,000 "
○,13112 ,28 ,世田谷,0 ,23 ,区部,その他区,世田谷区,深沢二丁目４４番２０外,深沢２－１４－１２,"582,000 ","565,000 ",3.0 ,223 ,,1.2,1,住宅,W,2F,,中規模の一般住宅が多い閑静な住宅地域,区道,西,6,,,,ガス,水道,下水道,駒沢大学,,"1,900 ",１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,24 ,区部,その他区,世田谷区,東玉川二丁目１５８番４６,東玉川２－２８－１３,"590,000 ","577,000 ",2.3 ,152 ,,1,2,住宅,W,2F,,一般住宅等が建ち並ぶ閑静な住宅地域,区道,北西,5.4,,,,ガス,水道,下水道,田園調布,,730 ,１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,25 ,区部,その他区,世田谷区,太子堂三丁目３４番１０,太子堂３－２－１６,"588,000 ","560,000 ",5.0 ,88 ,,1,2,住宅,W,3F,,中小規模の住宅が建ち並ぶ住宅地域,区道,東,3.8,,,,ガス,水道,下水道,三軒茶屋,,730 ,１中専,準防,60 ,200 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,26 ,区部,その他区,世田谷区,岡本二丁目６１７番４,岡本２－３－１９,"440,000 ","430,000 ",2.3 ,171 ,,1,1,住宅,LS,2F,,一般住宅のほかに共同住宅等も見られる住宅地域,区道,北,5.3,,,,ガス,水道,下水道,二子玉川,,"1,300 ",１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,27 ,区部,その他区,世田谷区,玉川台二丁目４６９番６,玉川台２－８－９,"582,000 ","562,000 ",3.6 ,99 ,,1,1.5,住宅,W,3F,,中小規模一般住宅、共同住宅が建ち並ぶ住宅地域,区道,北西,6,,,,ガス,水道,下水道,用賀,,500 ,２低専,準防,60 ,150 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,28 ,区部,その他区,世田谷区,上用賀四丁目１６６番２,上用賀４－２－６,"564,000 ","545,000 ",3.5 ,181 ,,1.2,1,住宅,W,1F,,中小規模の一般住宅が多い住宅地域,区道,西,6,,,,ガス,水道,下水道,用賀,,"1,000 ",１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,29 ,区部,その他区,世田谷区,深沢七丁目３１番３４,深沢７－１５－９,"611,000 ","593,000 ",3.0 ,161 ,,1,1.5,住宅,W,2F,,中規模一般住宅が多い閑静な住宅地域,区道,南西,6,,,,ガス,水道,下水道,桜新町,,"1,400 ",１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,30 ,区部,その他区,世田谷区,成城九丁目９１３番８,成城９－９－８,"447,000 ","438,000 ",2.1 ,125 ,,1,2.5,住宅,W,2F,,中小規模の戸建住宅の多い標準住宅地域,区道,西,4,,,,ガス,水道,下水道,成城学園前,,"1,400 ",１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,31 ,区部,その他区,世田谷区,駒沢四丁目８０番１５,駒沢４－２７－１５,"593,000 ","576,000 ",3.0 ,174 ,,1,2,住宅,W,2F,,中小規模の一般住宅が多い住宅地域,区道,東,5.3,,,,ガス,水道,下水道,桜新町,,"1,000 ",１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,32 ,区部,その他区,世田谷区,砧三丁目１９７番３８,砧３－３３－３６,"466,000 ","455,000 ",2.4 ,102 ,,1,1.2,住宅,W,2F,,低層一般住宅の建ち並ぶ住宅地域,区道,東,4.4,,,,ガス,水道,下水道,祖師ヶ谷大蔵,,780 ,１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,33 ,区部,その他区,世田谷区,上祖師谷四丁目１２１０番１０外,上祖師谷４－１７－５,"394,000 ","387,000 ",1.8 ,173 ,,1,1.5,住宅,W,3F,,中規模の一般住宅が多い住宅地域,区道,南西,4,,,,ガス,水道,下水道,仙川,,"1,400 ",１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,34 ,区部,その他区,世田谷区,千歳台二丁目８５４番６,千歳台２－４２－５,"413,000 ","405,000 ",2.0 ,231 ,,1,1.2,住宅,LS,2F,,一般住宅の中にアパートも見られる住宅地域,区道,西,4,,,,ガス,水道,下水道,祖師ヶ谷大蔵,,"1,300 ",１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,35 ,区部,その他区,世田谷区,下馬一丁目１２５番３,下馬１－２４－６,"612,000 ","588,000 ",4.1 ,109 ,台形,1,1.2,住宅,LS,2F,,一般住宅、アパート等が建ち並ぶ住宅地域,区道,北西,5.8,,,,ガス,水道,下水道,祐天寺,,950 ,１中専,準防,60 ,200 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,36 ,区部,その他区,世田谷区,祖師谷一丁目１３８番１３,祖師谷１－４－８,"493,000 ","482,000 ",2.3 ,114 ,,1,1.5,住宅,W,3F,,一般住宅とアパート等が建ち並ぶ住宅地域,区道,北,4,,,,ガス,水道,下水道,祖師ヶ谷大蔵,,260 ,１低専,準防,60 ,150 ,,高度,,,,,*,13112 ,0 ,22 ,"488,000 "
○,13112 ,28 ,世田谷,0 ,37 ,区部,その他区,世田谷区,給田四丁目１７７番２,給田４－３－８,"401,000 ","393,000 ",2.0 ,157 ,,1,1,住宅,W,2F,,中小規模一般住宅とアパートが建ち並ぶ住宅地域,区道,南西,4,,,,ガス,水道,下水道,千歳烏山,,"1,000 ",１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,38 ,区部,その他区,世田谷区,北烏山一丁目９２０番６,北烏山１－３７－３,"429,000 ","418,000 ",2.6 ,213 ,,1,1.2,住宅,W,2F,,中規模の一般住宅が多い住宅地域,区道,南東,4,,,,ガス,水道,下水道,芦花公園,,700 ,１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,39 ,区部,その他区,世田谷区,八幡山二丁目３９番１０外,八幡山２－１４－１０,"411,000 ","401,000 ",2.5 ,125 ,,2,1,住宅,W,2F,,中小規模の一般住宅が多い住宅地域,区道,西,4,,,,ガス,水道,下水道,八幡山,,"1,200 ",１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,40 ,区部,その他区,世田谷区,給田五丁目３９番２,給田５－１０－１０,"340,000 ","337,000 ",0.9 ,115 ,,1,1.5,住宅,W,2F,,中小規模一般住宅と共同住宅が建ち並ぶ住宅地域,区道,東,6,,,,ガス,水道,下水道,仙川,,"1,700 ",１低専,準防,50 ,100 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,41 ,区部,その他区,世田谷区,喜多見四丁目４１５７番６,喜多見４－３－１３,"285,000 ","282,000 ",1.1 ,129 ,,1,1,住宅,W,2F,,一般住宅の多い中に農地も見られる住宅地域,区道,南,5,,,,ガス,水道,下水道,喜多見,,"1,730 ",１低専,準防,50 ,100 ,,高度,,,,,*,13112 ,0 ,19 ,"284,000 "
○,13112 ,28 ,世田谷,0 ,42 ,区部,その他区,世田谷区,尾山台一丁目１６番１外,尾山台１－１７－４,"618,000 ","614,000 ",0.7 ,217 ,,1,1.5,住宅,LS,2F,,中規模の一般住宅が多い住宅地域,区道,南西,6.2,,,,ガス,水道,下水道,九品仏,,760 ,１低専,,40 ,80 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,43 ,区部,その他区,世田谷区,成城二丁目１１６番２,成城２－２２－１１,"720,000 ","714,000 ",0.8 ,186 ,,1,2,住宅,W,2F,,中規模程度の住宅が多い準優良住宅地域,区道,北,6.3,,,,ガス,水道,下水道,成城学園前,,240 ,１低専,,40 ,80 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,44 ,区部,その他区,世田谷区,瀬田三丁目７７６番４,瀬田３－３－１１,"550,000 ","533,000 ",3.2 ,190 ,,1,1,共同住宅,LS,2F,,一般住宅と共同住宅等が建ち並ぶ住宅地域,区道,北東,6,,,,ガス,水道,下水道,用賀,,930 ,１住居,準防,60 ,200 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,0 ,45 ,区部,その他区,世田谷区,桜新町二丁目５２１番１,桜新町２－１４－８,"758,000 ","734,000 ",3.3 ,"1,876 ",,1,1,共同住宅,RC,8F,,中高層マンション、事務所等が見られる住宅地域,区道,西,6,,側道,南,ガス,水道,下水道,桜新町,,430 ,準工,準防,60 ,200 ,,高度,,,,,*,13112 ,0 ,13 ,"745,000 "
○,13112 ,28 ,世田谷,5 ,1 ,区部,その他区,世田谷区,三軒茶屋二丁目１７６番１２,三軒茶屋２－１７－１０,"1,300,000 ","1,190,000 ",9.2 ,140 ,,1,1.5,店舗、事務所兼住宅等,RC,6F,1B,店舗事務所ビル、マンションが建ち並ぶ商業地域,都道,北,18,,背面道,,ガス,水道,下水道,三軒茶屋,,390 ,商業,防火,80 ,600 ,,,,,,,,,,,
○,13112 ,28 ,世田谷,5 ,2 ,区部,その他区,世田谷区,代田五丁目８８４番１内,代田５－２９－７,"608,000 ","586,000 ",3.8 ,202 ,,1,1.5,事務所兼共同住宅,RC,3F,,小売店舗、共同住宅等が混在する路線商業地域,都道,西,25,,,,ガス,水道,下水道,新代田,近接,,近商,防火,80 ,300 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,5 ,3 ,区部,その他区,世田谷区,玉川二丁目１５１６番１,玉川２－２４－６,"1,790,000 ","1,620,000 ",10.5 ,406 ,,1,3,店舗、事務所兼共同住宅,SRC,9F,,中高層の店舗、事務所ビルが建ち並ぶ商業地域,国道,西,26,,,,ガス,水道,下水道,二子玉川,,180 ,商業,防火,80 ,500 ,,,,,,,,,,,
○,13112 ,28 ,世田谷,5 ,4 ,区部,その他区,世田谷区,桜三丁目４０９番１５外,桜３－７－１３,"595,000 ","576,000 ",3.3 ,89 ,,1.2,1,店舗兼共同住宅,S,4F,,店舗、共同住宅等が建ち並ぶ路線商業地域,都道,北,15,,,,ガス,水道,下水道,上町,,950 ,近商,防火,80 ,300 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,5 ,5 ,区部,その他区,世田谷区,奥沢八丁目２３６番１０,奥沢８－３２－１２,"695,000 ","670,000 ",3.7 ,146 ,,1,1.5,店舗兼共同住宅,RC,3F,1B,小売店舗、店舗兼共同住宅等が建ち並ぶ商業地域,区道,東,8,,,,ガス,水道,下水道,九品仏,,90 ,近商,準防,80 ,300 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,5 ,6 ,区部,その他区,世田谷区,梅丘一丁目１４６２番１５,梅丘１－２１－４,"697,000 ","673,000 ",3.6 ,110 ,,1,3,店舗兼住宅,S,3F,,飲食店、小売店舗等が建ち並ぶ駅前の商業地域,区道,西,6,,,,ガス,水道,下水道,梅ヶ丘,,70 ,近商,準防,80 ,300 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,5 ,7 ,区部,その他区,世田谷区,祖師谷一丁目１３１番１５,祖師谷１－１１－１１,"700,000 ","674,000 ",3.9 ,98 ,,1,3.5,店舗兼住宅,S,3F,,中低層の小売店舗、飲食店等が建ち並ぶ商業地域,区道,西,5.4,,,,ガス,水道,下水道,祖師ヶ谷大蔵,,280 ,近商,準防,80 ,300 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,5 ,8 ,区部,その他区,世田谷区,北沢二丁目２９４番１,北沢２－４－１０,"1,320,000 ","1,240,000 ",6.5 ,370 ,,1,1.2,店舗兼住宅,S,4F,,店舗、事務所が建ち並ぶ商業地域,区道,東,11,,,,ガス,水道,下水道,下北沢,,200 ,商業,防火,80 ,500 ,,,,,,,,,,,
○,13112 ,28 ,世田谷,5 ,9 ,区部,その他区,世田谷区,豪徳寺一丁目２０３２番８,豪徳寺１－２２－５,"736,000 ","712,000 ",3.4 ,115 ,,1,3,店舗、事務所兼住宅,SRC,3F,1B,中低層の小売店舗の建ち並ぶ駅前の商業地域,都道,西,4.2,,,,ガス,水道,下水道,豪徳寺,,100 ,近商,準防,80 ,300 ,,高度,,,,,*,13112 ,5 ,16 ,"720,000 "
○,13112 ,28 ,世田谷,5 ,10 ,区部,その他区,世田谷区,等々力二丁目１７番６,等々力２－１９－１５,"790,000 ","751,000 ",5.2 ,63 ,,1,3,店舗兼住宅,S,3F,,小売店舗が建ち並ぶ駅前の商業地域,区道,南東,11,,,,ガス,水道,下水道,尾山台,近接,,近商,準防,80 ,300 ,,高度,,,,,*,13112 ,5 ,8 ,"762,000 "
○,13112 ,28 ,世田谷,5 ,11 ,区部,その他区,世田谷区,世田谷一丁目９３番１,世田谷１－１２－１３,"655,000 ","630,000 ",4.0 ,82 ,,1,1,事務所兼共同住宅,RC,5F,,中低層の店舗兼共同住宅等が建ち並ぶ商業地域,都道,北,18,,,,ガス,水道,下水道,松陰神社前,,300 ,近商,防火,80 ,300 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,5 ,12 ,区部,その他区,世田谷区,成城二丁目１３８番３,成城２－３５－１２,"821,000 ","792,000 ",3.7 ,106 ,,1,3,店舗,RC,3F,,中低層の日用品小売店舗が建ち並ぶ駅前商業地域,区道,北,8,,,,ガス,水道,下水道,成城学園前,,100 ,近商,準防,80 ,300 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,5 ,13 ,区部,その他区,世田谷区,上北沢四丁目１０７７番３外,上北沢４－２９－２５,"588,000 ","570,000 ",3.2 ,351 ,不整形,1,1.2,事務所兼共同住宅,S,6F,,店舗、事務所、共同住宅が混在する路線商業地域,国道,北,27,,,,ガス,水道,下水道,八幡山,,470 ,近商,防火,80 ,300 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,5 ,14 ,区部,その他区,世田谷区,赤堤四丁目５３２番４,赤堤４－４８－５,"714,000 ","689,000 ",3.6 ,99 ,,1,3,店舗兼住宅,S,4F,,小売店舗、飲食店が建ち並ぶ商業地域,区道,南東,5.5,,,,ガス,水道,下水道,下高井戸,,100 ,近商,準防,80 ,300 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,5 ,15 ,区部,その他区,世田谷区,野沢四丁目２５５番２７,野沢４－１７－７,"637,000 ","612,000 ",4.1 ,220 ,,1,1.2,店舗兼共同住宅,SRC,7F,1B,店舗、共同住宅等が混在する路線商業地域,都道,北東,25,,側道,北西,ガス,水道,下水道,駒沢大学,,550 ,近商,防火,80 ,300 ,,高度,,,,,,,,,
○,13112 ,28 ,世田谷,5 ,16 ,区部,その他区,世田谷区,南烏山六丁目７７６番３,南烏山６－７－１５,"660,000 ","636,000 ",3.8 ,101 ,台形,1,2,店舗,SRC,3F,,飲食、小売店舗、共同住宅等が建ち並ぶ商業地域,区道,北東,4,,,,ガス,水道,下水道,千歳烏山,,180 ,近商,準防,80 ,300 ,,高度,,,,,,,,,
○,13113 ,28 ,渋谷,0 ,1 ,区部,都心５区,渋谷区,神宮前三丁目１６番１４,神宮前３－１６－６,"1,270,000 ","1,210,000 ",5.0 ,209 ,,1,1,住宅,S,2F,,中規模の一般住宅が建ち並ぶ閑静な住宅地域,区道,南東,3.5,,,,ガス,水道,下水道,表参道,,640 ,１中専,準防,60 ,200 ,,高度,,,,,,,,,
○,13113 ,28 ,渋谷,0 ,2 ,区部,都心５区,渋谷区,千駄ケ谷一丁目２６番６,千駄ケ谷１－２６－１１,"1,100,000 ","1,060,000 ",3.8 ,181 ,,1,1.5,住宅,LS,3F,,一般住宅、マンション等が混在する住宅地域,区道,北東,4.5,,,,ガス,水道,下水道,千駄ヶ谷,,290 ,２住居,準防,60 ,300 ,,高度,,,,,*,13113 ,0 ,2 ,"1,090,000 "
○,13113 ,28 ,渋谷,0 ,3 ,区部,都心５区,渋谷区,猿楽町１８番２９,猿楽町１５－３,"1,190,000 ","1,150,000 ",3.5 ,251 ,,1,1.5,住宅,W,2F,,一般住宅、共同住宅が建ち並ぶ閑静な住宅地域,私道,南東,6.4,,,,ガス,水道,下水道,代官山,,480 ,２低専,準防,60 ,200 ,,高度,,,,,,,,,
○,13113 ,28 ,渋谷,0 ,4 ,区部,都心５区,渋谷区,代々木三丁目６番５,代々木３－６－４,"933,000 ","904,000 ",3.2 ,235 ,,1,1.5,住宅,W,2F,,一般住宅、アパート等が混在する住宅地域,区道,北,4,,,,ガス,水道,下水道,参宮橋,,640 ,２中専,準防,60 ,300 ,,高度,,,,,,,,,
○,13113 ,28 ,渋谷,0 ,5 ,区部,都心５区,渋谷区,本町一丁目９番１３,本町１－９－１２,"621,000 ","603,000 ",3.0 ,144 ,,1,1.5,住宅兼共同住宅,S,3F,,一般住宅、共同住宅が建ち並ぶ住宅地域,区道,北西,3.4,,,,ガス,水道,下水道,初台,,400 ,１住居,準防,60 ,300 ,,高度,,,,,*,13113 ,0 ,7 ,"612,000 "
○,13113 ,28 ,渋谷,0 ,6 ,区部,都心５区,渋谷区,大山町１０６７番４１外,大山町３４－９,"1,050,000 ","1,030,000 ",1.9 ,534 ,,1,1.2,住宅兼駐車場,W,2F,1B,中規模以上の住宅が多い区画整然とした住宅地域,区道,南,7,,,,ガス,水道,下水道,代々木上原,,470 ,１低専,準防,60 ,150 ,,高度,,,,,*,13113 ,0 ,6 ,"1,040,000 "
○,13113 ,28 ,渋谷,0 ,7 ,区部,都心５区,渋谷区,西原三丁目４１番１１,西原３－４１－７,"985,000 ","955,000 ",3.1 ,417 ,,1,2,住宅,RC,2F,,中規模の一般住宅が多い区画整然とした住宅地域,区道,南,5.5,,,,ガス,水道,下水道,代々木上原,,250 ,１低専,準防,60 ,150 ,,高度,,,,,,,,,
○,13113 ,28 ,渋谷,0 ,8 ,区部,都心５区,渋谷区,富ケ谷一丁目１４７５番４,富ケ谷１－２３－２,"881,000 ","855,000 ",3.0 ,239 ,,1,2,住宅,LS,3F,,一般住宅、共同住宅等が混在する住宅地域,区道,北東,6.3,,,,ガス,水道,下水道,代々木公園,,550 ,１低専,準防,60 ,150 ,,高度,,,,,,,,,
○,13113 ,28 ,渋谷,0 ,9 ,区部,都心５区,渋谷区,恵比寿南二丁目７番１０,恵比寿南２－７－６,"1,070,000 ","1,030,000 ",3.9 ,121 ,,1,1.2,住宅,W,2F,1B,一般住宅、マンション等が混在する住宅地域,区道,北東,6,,,,ガス,水道,下水道,恵比寿,,400 ,１住居,準防,60 ,300 ,,高度,,,,,,,,,
