"日","曜日","主食","牛乳","副食","血や肉や骨や歯になるもの","体を動かす熱や力になるもの","からだの調子を整える","エネルギー_kcal","タンパク質_パーセント","脂質_パーセント","月","学校","GIS搭載用住所","経度","緯度","分類"
"16","月","きのこスープスパゲッティ","牛乳","人参サラダ;スイートポテト","ベーコン;鶏肉;牛乳;まぐろ（油漬）;生クリーム;卵","スパゲッテイ;油;バター;ごま;さつまいも;砂糖","にんにく;とうがらし;玉ねぎ;エリンギィ;しめじ;えのきたけ;ピーマン;パセリ;人参;レモン","635","14.2","35.4","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"17","火","ご飯","牛乳","魚の照り焼き;五目豆（きざみ昆布）;味噌汁５","牛乳;さば;大豆;昆布;だし削り節;豆腐;味噌","米;砂糖;こんにゃく","生姜;人参;蓮根;椎茸;ねぎ;小松菜","607","18.7","30.1","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"18","水","カツカレー","牛乳","チーズ入りイタリアンサラダ;花みかん","豚肉;卵;牛乳;チーズ","米;大麦;油;じゃがいも;バター;小麦粉;パン粉","とうがらし;にんにく;生姜;玉ねぎ;人参;セロリー;トマト缶;キャベツ;きゅうり;ピーマン;みかん","685","13.7","29.6","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"19","木","麦ご飯","牛乳","麻婆豆腐;野菜の中華ドレッシングかけ;かぼちゃのバター焼き","牛乳;豚挽き肉;大豆;豆腐","米;大麦;油;砂糖;でん粉;ごま油;バター","にんにく;生姜;人参;筍;椎茸;ねぎ;チンゲンサイ;もやし;かぼちゃ","601","17.2","29.2","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"20","金","ご飯","牛乳","鶏肉のアップルソース焼き;カリカリじゃこサラダ;野菜スープ（フリー）","牛乳;鶏肉;わかめ;ちりめんじゃこ;ベーコン","米;砂糖;油;ごま;じゃがいも","りんご;キャベツ;きゅうり;人参;玉ねぎ;セロリー","571","16","29.3","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"23","月","フレンチトースト","牛乳","ポトフ（芋90g）;三色ソテー","卵;牛乳;ベーコン;豚肉;揚げボール","食パン;バター;油;砂糖;じゃがいも","人参;玉ねぎ;キャベツ;かぶ;セロリー;かぶ（葉）;コーン缶;ほうれん草","594","17.6","35.6","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"24","火","子ぎつねご飯","牛乳","小魚の唐揚げ;野菜の塩風味;味噌汁（大根・わかめ）","鶏肉;油揚げ;牛乳;ちか;だし削り節;わかめ;豆腐;味噌","米;油;砂糖;でん粉","人参;冷凍さやえんどう;キャベツ;大根;玉ねぎ","563","18.7","29.7","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"25","水","親子丼","牛乳","かぶ漬け;田舎汁（醤油味）","鶏肉;だし削り節;卵;牛乳;油揚げ","米;油;砂糖;こんにゃく;じゃがいも","玉ねぎ;みつば;かぶ;人参;かぶ（葉）;ごぼう;大根;ねぎ;小松菜","567","16.2","27.8","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"26","木","醤油ラーメン","牛乳","手作り中華肉まん;もやしとにらのナムル","だし煮干;豚肉;なると;牛乳;豚挽き肉","中華めん;油;小麦粉;砂糖;ラード;はるさめ;ごま油;ごま","にんにく;生姜;人参;筍;白菜;ねぎ;チンゲンサイ;玉ねぎ;椎茸;もやし;にら","560","18.8","28","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"27","金","吹き寄せご飯","牛乳","豚肉の香味焼き;青梗菜のおかか和え;白玉汁","だし削り節;牛乳;豚肉;かつお節;豆腐;鶏肉","米;むき栗;銀杏;砂糖;ごま;白玉粉","しめじ;ごぼう;人参;生姜;ねぎ;チンゲンサイ;コーン缶;白菜","610","17.3","22.9","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"30","月","ご飯","牛乳","山海揚げ;キャベツと胡瓜の浅漬け;さつま汁②","牛乳;たら;いわしすり身;海老;大豆;ひじき;チーズ;卵;鶏肉;だし削り節;豆腐;味噌","米;でん粉;油;こんにゃく;さつまいも","人参;ねぎ;キャベツ;きゅうり;ごぼう;大根","590","18.9","27","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"31","火","パンプキンパン","牛乳","ホワイトシチュー;もやしと青菜のソテー;りんご（１/８）","牛乳;豚肉;生クリーム","パンプキン食パン;油;じゃがいも;バター;小麦粉","人参;玉ねぎ;しめじ;ブロッコリー;もやし;小松菜;りんご","580","16","37.4","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"2","月","ご飯","牛乳","八宝菜;じゃこポテト;柿","牛乳;豚肉;いか;海老;うずら卵;ちりめんじゃこ","米;油;砂糖;でん粉;ごま油;じゃがいも;マヨネーズ","生姜;にんにく;椎茸;筍;人参;玉ねぎ;キャベツ;もやし;柿","602","18.9","24.1","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"3","火","五目うどん","牛乳","チーズ焼きおにぎり;ツナ入り茹で野菜;②","だし削り節;鶏肉;油揚げ;蒸しかまぼこ;牛乳;チーズ;まぐろ（油漬）","うどん;米;ごま;砂糖;油","人参;筍;ねぎ;小松菜;大根;きゅうり","598","15.8","27.4","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"4","水","コーンピラフ（白）","牛乳","白身魚のムニエル;豆と野菜のマリネ１;マカロニスープ","牛乳;メルルーサ;大豆;ベーコン","米;バター;油;小麦粉;砂糖;ツイストマカロニ;じゃがいも","コーン缶;玉ねぎ;レモン;枝豆（冷凍）;きゅうり;人参;蓮根;キャベツ","613","17","29.1","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"5","木","青じそご飯","牛乳","豆腐ステーキ野菜あんかけ;里芋と鶏肉の煮物;味噌汁（白菜）","牛乳;豆腐;鶏肉;だし削り節;油揚げ;味噌","米;小麦粉;油;砂糖;でん粉;里芋","かおり;にんにく;玉ねぎ;人参;えのきたけ;パセリ;生姜;冷凍いんげん;白菜;ねぎ","591","16","27.1","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"6","金","ご飯","牛乳","鶏のから揚げねぎソース（油琳鶏）;切り干し入り中華サラダ;中華スープ;５","牛乳;鶏肉;豆腐","米;でん粉;油;ごま油;砂糖;ごま","生姜;ねぎ;切り干し大根;もやし;人参;きゅうり;玉ねぎ;きくらげ;チンゲンサイ","595","17.3","28","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"10","火","ご飯","牛乳","鮭のちゃんちゃん焼き;蓮のきんぴら;わかめスープ②","牛乳;鮭;味噌;だし削り節;鶏肉;豆腐;わかめ","米;砂糖;バター;油;ごま","生姜;玉ねぎ;ピーマン;キャベツ;蓮根;人参;ねぎ","571","19.3","23.6","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"11","水","ぶどうパン","牛乳","肉団子と白菜のスープ煮;ベーコンポテト;りんご（１/８）","牛乳;豚挽き肉;豆腐;ベーコン","ぶどうパン;でん粉;はるさめ;油;バター;じゃがいも","ねぎ;生姜;人参;筍;椎茸;白菜;玉ねぎ;りんご","564","16.6","32.7","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"12","木","ご飯","牛乳","お好み焼き風卵焼き;大根の和え物;味噌汁（油揚げ・豆腐・葱）","牛乳;いか;桜海老;卵;かつお節;青のり;だし削り節;油揚げ;豆腐;味噌","米;油;ごま油;砂糖","人参;キャベツ;大根;きゅうり;ねぎ","573","17.8","32.2","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"13","金","五穀ごはん;","牛乳","いかのザンギ;野菜の生姜醤油かけ;根菜汁（醤油）","あずき;牛乳;いか;油揚げ;だし削り節","米;もち米;大麦;あわ;きび;ごま;でん粉;油;ごま油;こんにゃく;じゃがいも","生姜;にんにく;人参;もやし;きゅうり;ごぼう;大根;ねぎ","620","15.7","26.3","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"16","月","きのこスープスパゲッティ","牛乳","人参サラダ;スイートポテト","ベーコン;鶏肉;牛乳;まぐろ（油漬）;生クリーム;卵","スパゲッテイ;油;バター;ごま;さつまいも;砂糖","にんにく;とうがらし;玉ねぎ;エリンギィ;しめじ;えのきたけ;ピーマン;パセリ;人参;レモン","635","14.2","35.4","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"17","火","ご飯","牛乳","魚の照り焼き;五目豆（きざみ昆布）;味噌汁５","牛乳;さば;大豆;昆布;だし削り節;豆腐;味噌","米;砂糖;こんにゃく","生姜;人参;蓮根;椎茸;ねぎ;小松菜","607","18.7","30.1","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"18","水","カツカレー","牛乳","チーズ入りイタリアンサラダ;花みかん","豚肉;卵;牛乳;チーズ","米;大麦;油;じゃがいも;バター;小麦粉;パン粉","とうがらし;にんにく;生姜;玉ねぎ;人参;セロリー;トマト缶;キャベツ;きゅうり;ピーマン;みかん","685","13.7","29.6","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"19","木","麦ご飯","牛乳","麻婆豆腐;野菜の中華ドレッシングかけ;かぼちゃのバター焼き","牛乳;豚挽き肉;大豆;豆腐","米;大麦;油;砂糖;でん粉;ごま油;バター","にんにく;生姜;人参;筍;椎茸;ねぎ;チンゲンサイ;もやし;かぼちゃ","601","17.2","29.2","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"20","金","ご飯","牛乳","鶏肉のアップルソース焼き;カリカリじゃこサラダ;野菜スープ（フリー）","牛乳;鶏肉;わかめ;ちりめんじゃこ;ベーコン","米;砂糖;油;ごま;じゃがいも","りんご;キャベツ;きゅうり;人参;玉ねぎ;セロリー","571","16","29.3","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"23","月","フレンチトースト","牛乳","ポトフ（芋90g）;三色ソテー","卵;牛乳;ベーコン;豚肉;揚げボール","食パン;バター;油;砂糖;じゃがいも","人参;玉ねぎ;キャベツ;かぶ;セロリー;かぶ（葉）;コーン缶;ほうれん草","594","17.6","35.6","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"24","火","子ぎつねご飯","牛乳","小魚の唐揚げ;野菜の塩風味;味噌汁（大根・わかめ）","鶏肉;油揚げ;牛乳;ちか;だし削り節;わかめ;豆腐;味噌","米;油;砂糖;でん粉","人参;冷凍さやえんどう;キャベツ;大根;玉ねぎ","563","18.7","29.7","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"25","水","親子丼","牛乳","かぶ漬け;田舎汁（醤油味）","鶏肉;だし削り節;卵;牛乳;油揚げ","米;油;砂糖;こんにゃく;じゃがいも","玉ねぎ;みつば;かぶ;人参;かぶ（葉）;ごぼう;大根;ねぎ;小松菜","567","16.2","27.8","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"26","木","醤油ラーメン","牛乳","手作り中華肉まん;もやしとにらのナムル","だし煮干;豚肉;なると;牛乳;豚挽き肉","中華めん;油;小麦粉;砂糖;ラード;はるさめ;ごま油;ごま","にんにく;生姜;人参;筍;白菜;ねぎ;チンゲンサイ;玉ねぎ;椎茸;もやし;にら","560","18.8","28","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"27","金","吹き寄せご飯","牛乳","豚肉の香味焼き;青梗菜のおかか和え;白玉汁","だし削り節;牛乳;豚肉;かつお節;豆腐;鶏肉","米;むき栗;銀杏;砂糖;ごま;白玉粉","しめじ;ごぼう;人参;生姜;ねぎ;チンゲンサイ;コーン缶;白菜","610","17.3","22.9","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"30","月","ご飯","牛乳","山海揚げ;キャベツと胡瓜の浅漬け;さつま汁②","牛乳;たら;いわしすり身;海老;大豆;ひじき;チーズ;卵;鶏肉;だし削り節;豆腐;味噌","米;でん粉;油;こんにゃく;さつまいも","人参;ねぎ;キャベツ;きゅうり;ごぼう;大根","590","18.9","27","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"31","火","パンプキンパン","牛乳","ホワイトシチュー;もやしと青菜のソテー;りんご（１/８）","牛乳;豚肉;生クリーム","パンプキン食パン;油;じゃがいも;バター;小麦粉","人参;玉ねぎ;しめじ;ブロッコリー;もやし;小松菜;りんご","580","16","37.4","10","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"1","水","ご飯","牛乳","豆腐入りハンバーグ;磯浸し;味噌汁（大根）","牛乳;豚挽き肉;豆腐;のり;だし削り節;油揚げ;味噌","米;油;バター;パン粉","玉ねぎ;小松菜;人参;チンゲンサイ;大根","563","16.3","29.3","11","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"2","木","ガーリックライス","牛乳","じゃこオムレツ;茹で野菜３;野菜スープ３","牛乳;チーズ;ちりめんじゃこ;卵;ベーコン","米;バター;油;砂糖;じゃがいも","にんにく;玉ねぎ;小松菜;人参;キャベツ;きゅうり;コーン缶;セロリー;もやし","595","16.1","30.4","11","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"6","月","焼きそば","牛乳","大学芋;豆と野菜のドレッシング和え","豚肉;いか;牛乳;大豆","中華めん;油;さつまいも;砂糖;水あめ;ごま","生姜;人参;椎茸;筍;玉ねぎ;キャベツ;もやし;ピーマン;きゅうり;蓮根;枝豆（冷凍）","603","13.7","31.3","11","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"7","火","ご飯","牛乳","すき焼き風煮もの;かぶときゅうりのサラダ;柿","牛乳;豚肉;焼き豆腐","米;油;じゃがいも;こんにゃく;ふ;砂糖","人参;白菜;ねぎ;かぶ;きゅうり;玉ねぎ;かぶ（葉）;柿","574","15.1","25.1","11","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"8","水","人参ご飯","牛乳","鮭のえのきバター醤油焼き;切干大根の炒め煮;味噌汁（油揚げ・葱・わかめ）","牛乳;鮭;さつま揚げ;だし削り節;油揚げ;わかめ;味噌","米;バター;油;砂糖","人参;えのきたけ;玉ねぎ;切り干し大根;冷凍いんげん;ねぎ","576","19.9","25.3","11","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"9","木","アップルトースト","牛乳","ポークビーンズ;クルトン入りサラダ","牛乳;大豆;ベーコン;豚肉","食パン;バター;砂糖;油;じゃがいも","りんご;玉ねぎ;人参;セロリー;ﾄﾏﾄﾋﾟｭｰﾚｰ;パセリ;キャベツ;きゅうり","573","17.1","34.2","11","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"10","金","発芽玄米ご飯","牛乳","わかさぎの二色揚げ;野菜のごま和え（小・も・人）;豚汁２","牛乳;わかさぎ;青のり;豚肉;豆腐;だし削り節;味噌","米;でん粉;小麦粉;油;砂糖;ごま;こんにゃく;じゃがいも","小松菜;もやし;人参;ごぼう;大根;ねぎ","574","16.3","27.8","11","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"13","月","あんかけチャーハン","牛乳","変わりバンサンスー;みかん","卵;豚肉もも挽き肉;蒸しかまぼこ;牛乳;ハム","米;油;ごま油;砂糖;でん粉;はるさめ","ねぎ;たけのこ;椎茸;人参;白菜;グリンピース（冷凍）;セロリー;キャベツ;きゅうり;コーン缶;みかん","568","14.8","26.3","11","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"14","火","ご飯","牛乳","豚肉のスタミナみそ焼き;かぼちゃの煮付け;豆腐汁;２","牛乳;豚肉;味噌;だし削り節;豆腐;油揚げ","米;砂糖","にんにく;かぼちゃ;人参;ねぎ;小松菜","596","18.9","27.2","11","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"15","水","ツナおろしスパゲッティ","牛乳","カラフルサラダ;さつま芋パイ","まぐろ（油漬）;のり;牛乳","スパゲッティ;油;バター;砂糖;さつまいも;ぎょうざの皮","大根;キャベツ;きゅうり;ピーマン;ﾊﾟｲﾝｱｯﾌﾟﾙ（缶）","627","13.9","29.6","11","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"16","木","ご飯","牛乳","鯖の薬味ソースかけ;チンゲンサイのお浸し;味噌汁（フリー）","牛乳;さば;かつお節;だし煮干;油揚げ;味噌","米;砂糖;ごま","生姜;にんにく;ねぎ;チンゲンサイ;人参;白菜;大根","572","17.6","30.7","11","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"17","金","米粉ミックス粉パン;コッペ","牛乳","ラザニア（従来）;花野菜のピクルス;野菜スープ（フリー）","牛乳;豚挽き肉;チーズ;ベーコン","米粉ミックス粉パン;コッペ;マカロニ;バター;小麦粉;油;砂糖;じゃがいも","にんにく;玉ねぎ;人参;マッシュルーム;トマト缶;ﾄﾏﾄﾍﾟｰｽﾄ;ピーマン;ｶﾘﾌﾗﾜｰ;ブロッコリー;キャベツ","616","19.3","36.5","11","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"20","月","赤しそご飯","牛乳","竹輪の磯辺揚げ（2本）;里芋のそぼろ煮;味噌汁（フリー）","牛乳;竹輪;卵;青のり;鶏肉もも挽き肉;だし削り節;だし煮干;油揚げ;味噌;豆腐","米;小麦粉;油;里芋;砂糖","しそ;玉ねぎ;人参;椎茸;さやいんげん;小松菜","636","16.7","26.3","11","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"21","火","カレーライス（ポーク）","牛乳","シーフードサラダ;花みかん","豚肉;牛乳;いか;海老","米;大麦;油;じゃがいも;バター;小麦粉;砂糖","とうがらし;にんにく;生姜;人参;玉ねぎ;りんご;セロリー;トマト缶;キャベツ;きゅうり;レモン;みかん","627","13.7","26.4","11","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"22","水","わかめうどん","牛乳","五平餅;大根と水菜のサラダ（ツナ）","だし削り節;鶏肉;油揚げ;わかめ;牛乳;味噌;まぐろ（油漬）","うどん;米;もち米;砂糖;ごま;くるみ;ピーナッツ;油","人参;筍;椎茸;小松菜;大根;水菜;玉ねぎ","599","14.9","26.9","11","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"24","金","ご飯","牛乳","魚のもみじ焼き;もやしとコーンのおかか和え;すまし汁（大根・ねぎ）","牛乳;メルルーサ;チーズ;かつお節;だし削り節;だし昆布;豆腐;はんぺん","米;マヨネーズ","人参;もやし;コーン缶;大根;しめじ;ねぎ;さやえんどう","569","18.8","30.4","11","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"27","月","バンズパン","牛乳","鶏肉のマスタード焼き;小松菜ときのこのソテー;じゃが芋のポタージュ","牛乳;鶏肉;卵;生クリーム","バンズパン;小麦粉;パン粉;油;砂糖;バター;じゃがいも","小松菜;人参;しめじ;エリンギィ;玉ねぎ;パセリ","615","17.1","39.5","11","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"28","火","ご飯","牛乳","豆腐チゲ;焼きししゃも;野菜ナムル","牛乳;豚肉;豆腐;味噌;だし削り節;ししゃも","米;油;ごま油","にんにく;生姜;人参;キャベツ;ねぎ;にら;キムチ;もやし;ほうれん草","575","21","29","11","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"29","水","ジャンバラヤ","牛乳","カップエッグ;人参ラペ;オニオンスープ②","豚挽き肉;ひよこまめ;牛乳;卵;まぐろ（油漬）;ベーコン","米;バター;油;ごま","トマトジュース;生姜;にんにく;人参;玉ねぎ;マッシュルーム;ピーマン;レモン;らっきょう;エリンギィ;パセリ","586","16.5","35.3","11","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"30","木","昆布ご飯","牛乳","いかの竜田揚げ;野菜のからし醤油かけ;根菜汁（フリー）","昆布;油揚げ;牛乳;いか;だし削り節;豆腐;味噌","米;砂糖;でん粉;油;じゃがいも","人参;生姜;ほうれん草;キャベツ;もやし;大根;ごぼう;ねぎ","572","18.5","24.7","11","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"4","月","手作り丸パン","牛乳","カレー（カレーパン用）;フレンチサラダ;花みかん","卵;牛乳;豚挽き肉","小麦粉;砂糖;バター;油;じゃがいも","にんにく;生姜;玉ねぎ;人参;りんご;トマト缶;セロリー;キャベツ;きゅうり;みかん","598","14.8","34.3","12","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"5","火","ご飯","牛乳","わかさぎのから揚げ;大根サラダ;きりたんぽ汁","牛乳;わかさぎ;鶏肉","米;でん粉;油;砂糖;きりたんぽ;糸こんにゃく","大根;水菜;玉ねぎ;人参;白菜;しめじ;ねぎ;せり","570","14.2","23.7","12","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"6","水","わかめご飯","牛乳","厚焼き卵(1);蓮のきんぴら;味噌汁５","わかめ;牛乳;鶏肉;卵;だし削り節;豆腐;味噌","米;大麦;油;砂糖;ごま","玉ねぎ;人参;椎茸;グリンピース（冷凍）;蓮根;ねぎ;白菜;小松菜","577","16.6","28.2","12","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"7","木","麦ご飯","牛乳","肉団子のもち米蒸し;野菜のオイスター炒め;②;ザーサイスープ","牛乳;豚挽き肉;卵;鶏肉;豆腐","米;大麦;もち米;ごま油;でん粉;油","生姜;玉ねぎ;椎茸;筍;人参;キャベツ;もやし;にんにく;にら;ザーサイ（漬物）","619","16.2","28.9","12","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"8","金","高野豆腐入りそぼろご飯","牛乳","いかの生姜焼き;ごま酢和え;味噌汁（油揚げ・豆腐・葱）","鶏肉もも挽き肉;高野豆腐;牛乳;いか;だし削り節;油揚げ;豆腐;味噌","米;油;砂糖;ごま","人参;ねぎ;椎茸;生姜;ごぼう","551","21.8","27.9","12","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"11","月","スパ･ミートソース","牛乳","豆と野菜のマリネ１;グリーンポテト","豚挽き肉;チーズ;牛乳;大豆","スパゲッティ;バター;油;砂糖;じゃがいも","にんにく;玉ねぎ;人参;セロリー;ピーマン;トマト缶;ﾄﾏﾄﾋﾟｭｰﾚｰ;ﾄﾏﾄﾍﾟｰｽﾄ;枝豆（冷凍）;きゅうり;蓮根","586","17.3","30.9","12","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"12","火","ご飯","牛乳","魚の香味焼き;海苔の佃煮;野菜のおかか醤油かけ;豚汁２","牛乳;鮭;のり;かつお節;豚肉;豆腐;だし削り節;味噌","米;砂糖;ごま;油;こんにゃく;じゃがいも","生姜;ねぎ;キャベツ;もやし;人参;小松菜;ごぼう;大根","568","21.3","22.7","12","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"13","水","ご飯","牛乳","若鶏とこんにゃくの味噌煮;白菜とほうれん草のおひたし;焼きししゃも;りんご（１/８）","牛乳;鶏肉;焼き豆腐;だし削り節;味噌;ししゃも","米;油;こんにゃく;砂糖","生姜;ごぼう;人参;大根;ねぎ;白菜;ほうれん草;りんご","580","20.8","26.1","12","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"14","木","キャロットライス（バターなし）","牛乳","魚のマヨネーズ焼き;カラフルサラダ;野菜スープ（フリー２）","牛乳;ホキ;卵;ベーコン","米;マヨネーズ;砂糖;油;じゃがいも","人参;玉ねぎ;ほうれん草;マッシュルーム;キャベツ;きゅうり;ピーマン;セロリー","581","16.2","31.8","12","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"15","金","もやしそば","牛乳","かぶのナムル1;さつま芋蒸しパン","豚肉;なると;牛乳;卵","中華めん;油;でん粉;ごま油;砂糖;ごま;小麦粉;さつまいも","にんにく;生姜;人参;玉ねぎ;もやし;にら;ねぎ;かぶ;きゅうり","629","15.5","23.5","12","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"18","月","かき揚げ丼","牛乳","冬野菜の柚ドレッシングかけ③;味噌汁（キャベツ・油揚げ）","海老;白竹輪;卵;牛乳;だし削り節;油揚げ;わかめ;味噌","米;小麦粉;でん粉;油;砂糖","人参;ねぎ;玉ねぎ;コーン缶;白菜;大根;ゆず;キャベツ","635","13.7","25.7","12","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"19","火","ハニートースト","牛乳","ビーンズシチュー（白）;コールスローサラダ;花みかん","牛乳;豚肉;大豆","食パン;マーガリン;はちみつ;油;じゃがいも;バター;小麦粉;砂糖","人参;玉ねぎ;パセリ;キャベツ;きゅうり;りんご;みかん","587","15.7","35","12","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"20","水","ご飯","牛乳","鯖のカレー焼き;野菜の味噌ドレかけ;豆腐汁","牛乳;さば;味噌;だし削り節;豆腐;卵","米;小麦粉;砂糖;油;ごま油","キャベツ;きゅうり;人参;もやし;ねぎ;小松菜","620","17.9","33","12","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"21","木","麦ご飯","牛乳","四川味噌豆腐;ラーパーツァイ;かぼちゃとさつま芋のチップ","牛乳;豚挽き肉;味噌;豆腐","米;大麦;油;砂糖;でん粉;ごま油;さつまいも","生姜;にんにく;ねぎ;人参;椎茸;筍;ザーサイ（漬物）;にら;白菜;かぼちゃ","639","15.7","30","12","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"22","金","ほうとううどん","牛乳","わかめサラダ;お好み焼き","だし削り節;豚肉;油揚げ;味噌;牛乳;わかめ;桜海老;いか;卵;かつお節;青のり","ほうとううどん;こんにゃく;油;砂糖;小麦粉;ながいも","ごぼう;人参;大根;しめじ;かぼちゃ;ねぎ;もやし;きゅうり;キャベツ","578","18.6","25.1","12","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
"25","月","コーンピラフ（白）","牛乳","フライドチキン①;花野菜のサラダ;マカロニスープ;りんごゼリー２","牛乳;鶏肉;ベーコン;アガー","米;バター;油;でん粉;砂糖;ツイストマカロニ;じゃがいも","コーン缶;玉ねぎ;生姜;にんにく;人参;ブロッコリー;ｶﾘﾌﾗﾜｰ;キャベツ;ジュース","686","14.2","32.7","12","小学校","中野区中野4-8-1","139.663737226103","35.7068716920706","区立小学校標準献立表"
