"日","曜日","主食","牛乳","副食","血や肉や骨や歯になるもの","体を動かす熱や力になるもの","からだの調子を整える","エネルギー_kcal","タンパク質_パーセント","脂質_パーセント","月","学校","GIS搭載用住所","マッチングレベル","経度","緯度","分類"
"11","火","スパ、ボンゴレトマトソース","牛乳","チキンサラダ;あずきスコーン","ベーコン;あさり;チーズ;牛乳;鶏肉;ヨーグルト;あずき;卵","スパゲッティ;油;バター;砂糖;小麦粉","にんにく;生姜;玉ねぎ;人参;ピーマン;マッシュルーム;トマト缶;ﾄﾏﾄﾋﾟｭｰﾚｰ;パセリ;キャベツ;きゅうり","849","14","30.1","6","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"12","水","ガーリックライス","牛乳","鶏肉のディアブル;コロコロベジタブル;卵スープ","牛乳;鶏肉;卵;チーズ;豆腐","米;パン粉;油;砂糖;でん粉","にんにく;大根;きゅうり;人参;コーン缶;玉ねぎ;りんご;ねぎ;小松菜","797","16.1","29.5","6","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"13","木","ご飯","牛乳","ニラ入り麻婆豆腐;華風きゅうり;じゃが芋とピーマンの千切り炒め","牛乳;豚挽き肉;味噌;豆腐","米;油;砂糖;でん粉;ごま油;じゃがいも","にんにく;生姜;人参;筍;椎茸;にら;ねぎ;きゅうり;ピーマン","787","15.3","26.4","6","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"14","金","昆布ご飯","牛乳","わかさぎの天ぷら;切干し大根と青菜の和え物;味噌汁（フリー②）","だし削り節;鶏肉;昆布;油揚げ;牛乳;わかさぎ;卵;豆腐;味噌","米;小麦粉;油;砂糖;ごま;じゃがいも","人参;切り干し大根;小松菜;玉ねぎ;キャベツ","722","14.5","23.8","6","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"17","月","ハニートースト","牛乳","チリコンカン;粉ふき芋;スティック野菜","牛乳;豚挽き肉;いんげんまめ","食パン;マーガリン;はちみつ;油;小麦粉;じゃがいも","にんにく;玉ねぎ;人参;トマト缶;ﾄﾏﾄﾋﾟｭｰﾚｰ;大根;きゅうり","714","14.9","32.3","6","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"18","火","カレーピラフ","牛乳","魚のムニエル;野菜いろいろピクルス風;じゃが芋とベーコンスープ","鶏肉;牛乳;鮭;ベーコン","米;バター;油;小麦粉;砂糖;じゃがいも","玉ねぎ;人参;マッシュルーム;グリンピース（冷凍）;ピーマン;きゅうり;セロリー;大根;キャベツ;小松菜","732","16","24.7","6","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"19","水","五目うどん","牛乳","和風ツナサラダ;黒砂糖蒸しパン","だし削り節;鶏肉;油揚げ;蒸しかまぼこ;牛乳;まぐろ（油漬）;卵","うどん;油;砂糖;小麦粉","人参;大根;筍;ねぎ;キャベツ;きゅうり;りんご;玉ねぎ","758","14.3","23.4","6","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"20","木","ご飯","牛乳","親子煮;もやしと青菜のお浸し;（人参なし）;茄子の味噌汁","牛乳;鶏肉;だし削り節;卵;かつお節;油揚げ;味噌","米;砂糖","玉ねぎ;みつば;もやし;小松菜;人参;茄子;さやいんげん","759","16.1","26.3","6","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"21","金","ご飯","牛乳","ひょんりん鶏;中華サラダ;２;ウースータン","牛乳;鶏肉;卵;豆腐","米;ごま油;でん粉;油;砂糖","大根;人参;きゅうり;筍;ねぎ;チンゲンサイ","772","14.7","31.6","6","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"24","月","梅若ご飯","牛乳","鰆のごま味噌焼き;野菜のおかか和え;けんちん汁（豆腐25＋醤油）","わかめ;牛乳;鰆;味噌;かつお節;だし削り節;油揚げ;豆腐","米;大麦;ごま油;砂糖;ごま;こんにゃく;じゃがいも","梅漬け;生姜;ねぎ;キャベツ;小松菜;人参;ごぼう;大根","743","16.2","24.2","6","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"25","火","フレンチトースト","牛乳","トマトシチュー;クルトン入り茹で野菜;ジューシーフルーツ(1/4)","卵;牛乳;鶏肉","食パン;砂糖;バター;油;じゃがいも;小麦粉;マカロニ","にんにく;生姜;玉ねぎ;人参;マッシュルーム;ﾄﾏﾄﾋﾟｭｰﾚｰ;グリンピース（冷凍）;キャベツ;きゅうり;ジューシーフルーツ","729","13.7","31.1","6","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"26","水","ご飯","牛乳","いかのから揚げ野菜あんかけ;オクラのおかか醤油かけ;具だくさん味噌汁（フリー）","牛乳;いか;だし削り節;かつお節;だし煮干;油揚げ;味噌","米;でん粉;油;砂糖;じゃがいも","人参;玉ねぎ;筍;もやし;えのきたけ;椎茸;オクラ;大根;ごぼう;ねぎ;ほうれん草","737","13.1","21.4","6","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"27","木","八宝麺;②","牛乳","じゃこ入り茹で野菜（わかめ抜き）;じゃが芋のチーズ焼き","豚肉;うずら卵;海老;いか;牛乳;ちりめんじゃこ;チーズ","油;中華めん;でん粉;ごま油;砂糖;じゃがいも","にんにく;生姜;椎茸;筍;人参;玉ねぎ;キャベツ;チンゲンサイ;もやし","685","17.1","29","6","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"28","金","ご飯","牛乳","ピーマンの肉詰め焼き;コーン入り野菜のドレッシングかけ;すまし汁（焼き麩入り）","牛乳;豚挽き肉;卵;チーズ;だし削り節;豆腐;わかめ","米;油;パン粉;砂糖;ごま油;ふ","ピーマン;玉ねぎ;人参;もやし;きゅうり;キャベツ;コーン缶;大根;筍;ねぎ","760","14.3","27.9","6","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"1","月","ご飯","牛乳","四川豆腐;中華サラダ;２;ごぼうのから揚げ","牛乳;豚挽き肉;豆腐","米;油;砂糖;でん粉;ごま油;小麦粉","生姜;にんにく;人参;筍;椎茸;ザーサイ（漬物）;ねぎ;にら;大根;きゅうり;ごぼう","839","14.1","28","7","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"2","火","コーンピラフ","牛乳","大豆ハンバーグ;チーズ入り茹で野菜;チンゲンサイとしめじのスープ","牛乳;大豆;豚挽き肉;卵;チーズ;鶏肉","米;大麦;バター;油;パン粉;砂糖","玉ねぎ;コーン缶;パセリ;マッシュルーム;キャベツ;きゅうり;人参;しめじ;チンゲンサイ;ねぎ","814","13.5","28.6","7","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"3","水","ビスキューイパン","牛乳","じゃが芋のオランダ煮;じゃこ入りゆで野菜","卵;牛乳;ベーコン;豚肉;チーズ;ちりめんじゃこ","バンズパン;バター;砂糖;小麦粉;油;じゃがいも","人参;玉ねぎ;冷凍いんげん;キャベツ;きゅうり","698","13.5","30.2","7","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"4","木","ご飯","牛乳","魚のカレー風味焼き;豚肉とキャベツの炒め物;味噌汁（大・小松菜・豆腐）","牛乳;さば;豚肉;だし煮干;豆腐;味噌","米;小麦粉;油;砂糖","キャベツ;人参;にら;ねぎ;大根;小松菜","768","15.5","24.6","7","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"5","金","わかめご飯","牛乳","厚焼き卵;華風きゅうり;そうめん汁;サイダーゼリー（パイナップル）","わかめ;牛乳;卵;鶏肉;だし昆布;だし削り節;油揚げ;アガー","米;油;砂糖;でん粉;ごま油;そうめん;サイダー","玉ねぎ;人参;椎茸;きゅうり;しめじ;ねぎ;みょうが;小松菜;ﾊﾟｲﾝｱｯﾌﾟﾙ（缶）","771","12.7","21.8","7","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"8","月","ししじゅうしい","牛乳","魚の香味焼き;ゴーヤチャンプル;味噌汁（具だくさん）","豚肉;昆布;牛乳;鮭;豆腐;かつお節;だし煮干;油揚げ;味噌","米;油;ごま;ごま油;じゃがいも","ねぎ;生姜;にがうり;もやし;人参;大根;ごぼう;小松菜","769","19.3","23.9","7","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"9","火","高菜スパゲッティ","牛乳","フレンチサラダ;ブルーベリーケーキ","鶏肉;しらす干し;わかめ;牛乳;卵","スパゲッティ;油;ごま;ごま油;砂糖;小麦粉;バター","人参;しめじ;高菜漬;キャベツ;きゅうり;玉ねぎ;ブルーベリー;レーズン","743","12.9","23.9","7","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"10","水","ご飯","牛乳","バンバンジー;きゅうりと春雨のピリ辛;豆腐と青菜のスープ","牛乳;鶏肉;だし削り節;豆腐;蒸しかまぼこ;だし昆布","米;ごま;砂糖;ごま油;はるさめ","生姜;にんにく;ねぎ;きゅうり;人参;小松菜","726","15.5","27.1","7","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"11","木","バジルトースト","牛乳","あさりのチャウダー;ツナ入り茹で野菜;メロン","牛乳;鶏肉;あさり;まぐろ（油漬）;わかめ","食パン;バター;油;じゃがいも;小麦粉;砂糖","玉ねぎ;人参;パセリ;レモン;もやし;小松菜;メロン","715","14.4","36.6","7","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"12","金","発芽玄米ご飯","牛乳","豆あじの唐揚げ;ひじきの炒め煮;豚汁","牛乳;あじ;油揚げ;ひじき;だし削り節;竹輪;豚肉;豆腐;だし煮干;味噌","米;でん粉;油;砂糖;こんにゃく;じゃがいも","生姜;人参;冷凍いんげん;ごぼう;大根;ねぎ","728","15.1","25.2","7","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
