"施設名称","施設郵便番号","施設所在地","施設方書","確認日","確認番号","施設種別"
"北里研究所病院","108-0072","東京都港区白金五丁目9番1号",,"2002/3/27","13港み生環き第128号","一般リネン兼業"
"ＫＯＹＯクリーニング店","108-0072","東京都港区白金五丁目9番1号","北里大学 北里研究所病院2階","2018/5/31","30港み生環き第20号","取次所"
"スワローチェーン　白金店","108-0072","東京都港区白金六丁目2番2号",,"2006/3/31","17港み生環き第162号","取次所"
"クリーニングヒノデ　白金店","108-0072","東京都港区白金六丁目2番5号",,"1992/8/28","4港芝総衛環き第40号","取次所"
"芝ダイヤモンドクリーニング","108-0072","東京都港区白金六丁目2番10号",,"1967/1/27","第5号","一般"
"ポニークリーニング白金６丁目店","108-0072","東京都港区白金六丁目5番4号","ブリックスITO 1階","2017/11/30","29港み生環き第148号","取次所"
"ミニストップ白金６丁目店","108-0072","東京都港区白金六丁目6番2号",,"2010/4/16","22港み生環き第6号","取次所"
"ザ・レジデンス白金スイート","108-0072","東京都港区白金六丁目16番6号","ザ・レジデンス白金スイート 1階","2015/7/7","27港み生環き第79号","取次所"
"グランスイート白金マークス","108-0072","東京都港区白金六丁目16番11号","グランスイート白金マークス1階","2019/8/27","31港み生環き第97号","取次所"
"グランドメゾン白金の杜ザ・タワー","108-0072","東京都港区白金六丁目16番25号",,"2015/7/29","27港み生環き第90号","取次所"
"有限会社クリーニングヨシダ","108-0072","東京都港区白金六丁目21番7号",,"1987/2/9","61港芝保衛環き第64号","一般"
"有限会社クリーニングヨシダ　白金店","108-0072","東京都港区白金六丁目22番17号","NO4","2015/12/9","27港み生環き第170号","取次所"
"グランドヒルズ白金台","108-0071","東京都港区白金台一丁目1番13号","グランドヒルズ白金台 1階 (クリコム)","2004/2/26","15港み生環き第134号","取次所"
"東急リネン・サプライ株式会社　白金営業所","108-0071","東京都港区白金台一丁目1番50号",,"1999/8/18","11港み生環き第58号","一般"
"白金クリ－ニング","108-0071","東京都港区白金台一丁目3番15号","松田光雄 様方","1985/7/16","60港芝保衛環き第18号","一般"
"ポニークリーニング　白金台　２","108-0071","東京都港区白金台二丁目6番12号","青山ビル 1階","2004/7/23","16港み生環き第50号","取次所"
"プラウドタワー白金台","108-0071","東京都港区白金台二丁目9番12号",,"2020/9/24","2港み生環き第121号","取次所"
"スワンクリーニング商会","108-0071","東京都港区白金台二丁目12番23号",,"1997/2/4","8港芝総衛環き第73号","一般"
"喜久屋　白金台店","108-0071","東京都港区白金台三丁目2番2号",,"2017/4/28","29港み生環き第5号","取次所"
"セブン－イレブン白金台駅前店","108-0071","東京都港区白金台三丁目2番3号",,"2004/6/25","16港み生環き第32号","取次所"
"プレミスト白金台","108-0071","東京都港区白金台三丁目2番5号","プレミスト白金台 1階","2017/3/21","28港み生環き第198号","取次所"
"プラウド白金台三丁目","108-0071","東京都港区白金台三丁目6番16号","1階","2015/9/25","27港み生環き第111号","取次所"
"ホームドライ白金台店","108-0071","東京都港区白金台三丁目14番34号","102","2009/8/24","21港み生環き第67号","取次所"
"スワローチェーンいなげや白金台店","108-0071","東京都港区白金台三丁目16番8号","1階","2021/4/15","3港み生環き第14号","取次所"
"クリーニング華屋　白金台店","108-0071","東京都港区白金台三丁目18番10号",,"2011/4/8","23港み生環き第4号","取次所"
"マルエツ　プチ　白金台店","108-0071","東京都港区白金台四丁目7番8号",,"2014/4/8","25港み生環き第207号","取次所"
"プラウド白金台","108-0071","東京都港区白金台五丁目11番11号","プラウド白金台 1階","2016/10/17","28港み生環き第123号","取次所"
"白金パークマンション","108-0071","東京都港区白金台五丁目11番16号",,"2021/6/30","3港み生環き第53号","取次所"
"セブンイレブン白金台プラチナ通り店","108-0071","東京都港区白金台五丁目14番1号",,"2012/7/3","24港み生環き第36号","取次所"
"ポニークリーニング白金台５丁目店","108-0071","東京都港区白金台五丁目18番5号","ESPELANZA 1階","2011/6/27","23港み生環き第28号","取次所"
"ＴＨＥ　ＢＬＯＳＳＯＭ　ＨＩＢＩＹＡ","105-0004","東京都港区新橋一丁目1番13号","18階","2019/8/6","31港み生環き第81号","取次所"
"第一ホテル東京","105-0004","東京都港区新橋一丁目2番6号",,"2020/3/9","31港み生環き第254号","取次所"
"からくさホテルプレミア東京銀座","105-0004","東京都港区新橋一丁目6番6号",,"2019/4/23","31港み生環き第2号","取次所"
"相鉄フレッサイン新橋日比谷口","105-0004","東京都港区新橋一丁目14番3号",,"2013/1/21","24港み生環き第161号","取次所"
"ダイワロイネットホテル新橋","105-0004","東京都港区新橋一丁目17番2号",,"2019/4/17","30港み生環き第213号","取次所"
"ミニストップ　新橋１丁目店","105-0004","東京都港区新橋一丁目18番1号","航空会館ビル 1階","2013/7/18","25港み生環き第60号","取次所"
"カンデオホテルズ東京新橋１１階","105-0004","東京都港区新橋三丁目6番8号","11階","2017/12/20","29港み生環き第162号","取次所"
"オアシスサウナアスティル内クリーニング受付所","105-0004","東京都港区新橋三丁目12番3号","アスティル新橋ビル3階","2020/7/13","2港み生環き第85号","取次所"
"オアシスサウナアスティル　クリーニング工場","105-0004","東京都港区新橋三丁目12番3号","地下2階","2023/1/17","4港み生環き第175号","一般"
"マルちゃんのクリーニング　新橋店","105-0004","東京都港区新橋四丁目5番1号","アーバン新橋ビル 1階","2003/3/17","14港み生環き第150号","取次所"
"株式会社栄氷業","105-0004","東京都港区新橋四丁目6番10号",,"1981/7/13","56港芝保衛環き第9号","取次所"
"株式会社栄氷業　第２取次所","105-0004","東京都港区新橋四丁目7番4号",,"2001/9/6","13港み生環き第51号","取次所"
"相鉄フレッサイン新橋烏森口","105-0004","東京都港区新橋四丁目10番2号",,"2013/9/3","25港み生環き第89号","取次所"
"東急ステイ新橋","105-0004","東京都港区新橋四丁目23番1号",,"2014/5/2","26港み生環き第12号","取次所"
"サンクス新橋五丁目店","105-0004","東京都港区新橋五丁目2番10号","銀泉新橋ビル","2012/6/7","24港み生環き第31号","取次所"
"セブンイレブン新橋第１京浜店","105-0004","東京都港区新橋五丁目13番1号",,"2006/1/30","17港み生環き第142号","取次所"
"ホテル１８９９東京","105-0004","東京都港区新橋六丁目4番1号","2階","2018/11/19","30港み生環き第125号","取次所"
"アパホテル＜新橋御成門＞","105-0004","東京都港区新橋六丁目10番3号",,"2015/5/19","27港み生環き第36号","取次所"
"シティハウス東京新橋ステーションコート","105-0004","東京都港区新橋六丁目19番1号","シティーハウス東京新橋ステ-ションコ-ト 1階 (クリコム)","2004/9/24","16港み生環き第73号","取次所"
"東急ステイ新橋","105-0004","東京都港区新橋六丁目20番1号",,"2011/7/20","23港み生環き第36号","取次所"
"ホテルウィングインターナショナル新橋御成門","105-0004","東京都港区新橋六丁目20番8号",,"2019/9/19","31港み生環き第62号","取次所"
"クリーニング　サーラ","135-0091","東京都港区台場一丁目5番7号","107","1996/3/15","7港芝総衛環き第64号","取次所"
"株式会社白洋舍ヒルトン東京お台場ランドリー工場","135-0091","東京都港区台場一丁目9番1号",,"1996/2/9","7港芝総衛環き第46号","一般"
"新日本ウエックス（株）台場工場","135-0091","東京都港区台場二丁目6番1号",,"1998/5/27","10港み生環き第18号","一般"
"クリエイティブ","108-0074","東京都港区高輪一丁目1番5号","パルムハウス魚籃坂104","2000/2/9","11港み生環き第158号","取次所"
"ダスキン高輪","108-0074","東京都港区高輪一丁目3番1号",,"2007/12/14","19港み生環き第94号","取次所"
"プレミストタワー白金高輪","108-0074","東京都港区高輪一丁目3番2号",,"2023/1/25","4港み生環き第174号","取次所"
"ポニークリーニング　高輪１丁目店","108-0074","東京都港区高輪一丁目3番14号","田村高輪ビル1階","2008/5/9","20港み生環き第25号","取次所"
"ザ・パークハウス高輪タワー","108-0074","東京都港区高輪一丁目4番10号",,"2022/1/19","3港み生環き第214号","取次所"
"いずきや","108-0074","東京都港区高輪一丁目5番24号",,"2002/4/19","14港み生環き第10号","取次所"
"ポニークリーニング白金高輪店","108-0074","東京都港区高輪一丁目16番21号","高輪ダイヤハイツ1階","2018/11/6","30港み生環き第116号","取次所"
"シティタワー高輪","108-0074","東京都港区高輪一丁目23番23号",,"2004/3/26","15港み生環き第149号","取次所"
"アムス高輪","108-0074","東京都港区高輪一丁目26番20号","アムス高輪 地下1階","2004/2/2","15港み生環き第128号","取次所"
"高輪ザ・レジデンス","108-0074","東京都港区高輪一丁目27番37号","2階","2005/12/13","17港み生環き第119号","取次所"
"Ｆ．Ａ．クリーニングパークコート高輪ヒルトップレジデンス","108-0074","東京都港区高輪二丁目1番15号",,"2008/7/15","20港み生環き第58号","取次所"
"パークコート高輪ヒルトップレジデンス","108-0074","東京都港区高輪二丁目1番15号","1階","2014/10/1","26港み生環き第112号","取次所"
"ポニークリーニング高輪２丁目店","108-0074","東京都港区高輪二丁目2番17号","テラノ高輪 1階","2011/9/30","23港み生環き第79号","取次所"
"スワローチェーン　高輪店","108-0074","東京都港区高輪二丁目5番15号",,"2007/11/28","19港み生環き第83号","取次所"
"カラキヤ洗染株式会社","108-0074","東京都港区高輪二丁目7番8号",,"1967/1/27","第9号","一般"
"クリーニング　はる","108-0074","東京都港区高輪二丁目14番9号","102","2014/4/2","25港み生環き第201号","取次所"
"スワローチェーン　泉岳寺駅前店","108-0074","東京都港区高輪二丁目15番11号",,"2007/11/28","19港み生環き第84号","取次所"
"クリーニング高輪","108-0074","東京都港区高輪二丁目15番24号","三愛ビル1階","2008/10/17","20港み生環き第110号","取次所"
"ＫＩＮＧ","108-0074","東京都港区高輪二丁目15番24号",,"2000/2/24","11港み生環き第168号","取次所"
"グランド・ガーラ高輪","108-0074","東京都港区高輪二丁目16番27号",,"2017/11/24","29港み生環き第64号","取次所"
"グランド・ガーラ高輪","108-0074","東京都港区高輪二丁目16番27号","1階","2019/2/25","30港み生環き第193号","取次所"
"東急ステイ高輪（泉岳寺駅前）","108-0074","東京都港区高輪二丁目16番29号",,"2018/1/26","29港み生環き第163号","取次所"
"アパホテル〈品川　泉岳寺駅前〉","108-0074","東京都港区高輪二丁目16番30号",,"2015/12/8","27港み生環き第167号","取次所"
"ケンクリーニング","108-0074","東京都港区高輪三丁目2番5号","マルツ高輪101","2000/1/5","11港み生環き第134号","一般"
"ポニークリーニング高輪３丁目店","108-0074","東京都港区高輪三丁目2番5号","マルツ高輪 1階","2013/5/16","25港み生環き第20号","取次所"
"ミニストップ高輪３丁目店","108-0074","東京都港区高輪三丁目10番7号",,"2011/8/3","23港み生環き第53号","取次所"
"ミニストップ高輪３丁目店","108-0074","東京都港区高輪三丁目10番7号",,"2018/7/4","30港み生環き第52号","取次所"
"ザ・ヒルトップタワー高輪台","108-0074","東京都港区高輪三丁目11番8号",,"2012/10/23","24港み生環き第108号","取次所"
"新日本ウエックス株式会社ランドリー部高輪工場","108-0074","東京都港区高輪三丁目13番1号",,"2012/7/4","24港み生環き第42号","一般"
"都シティ東京高輪","108-0074","東京都港区高輪三丁目19番17号",,"2018/12/27","30港み生環き第157号","取次所"
"品川タワーレジデンス","108-0074","東京都港区高輪三丁目19番22号",,"2015/3/19","26港み生環き第211号","取次所"
"ＪＲ東日本リネン（株）品川用品庫","108-0074","東京都港区高輪三丁目26番27号",,"2016/10/12","28港み生環き第120号","取次所"
"ガーデン高輪","108-0074","東京都港区高輪四丁目4番13号",,"2009/8/11","21港み生環き第61号","取次所"
"品川東武ホテル","108-0074","東京都港区高輪四丁目7番6号",,"2016/12/5","28港み生環き第159号","取次所"
"新日本ウエックス株式会社ランドリー部品川工場","108-0074","東京都港区高輪四丁目10番30号",,"2012/11/30","24港み生環き第133号","一般"
"品川プリンス・レジデンス","108-0074","東京都港区高輪四丁目10番31号","品川プリンスレジデンス 1階","2014/4/2","25港み生環き第204号","取次所"
"Ｂｒｉｌｌｉａ高輪レフィール","108-0074","東京都港区高輪四丁目15番7号",,"2020/3/27","31港み生環き第279号","取次所"
"ニューパリークリーニング　高輪店","108-0074","東京都港区高輪四丁目20番3号",,"1988/3/17","62港芝総衛環き第63号","取次所"
"東横ＩＮＮ品川駅高輪口","108-0074","東京都港区高輪四丁目23番2号",,"2020/1/16","31港み生環き第202号","取次所"
"ＴＨＥ　ＩＭＰＲＥＳＴ高輪（ザ・インプレスト）","108-0074","東京都港区高輪四丁目24番27号",,"2017/11/9","29港み生環き第127号","取次所"
"ＳＯＭＥＲＳＥＴ　ＳＨＩＮＡＧＡＷＡ　ＴＯＫＹＯ　（サマセット品川東京）","108-0074","東京都港区高輪四丁目24番58号",,"2015/5/11","27港み生環き第27号","取次所"
"にっぽん丸クリーニング所（船舶）","105-0001","東京都港区虎ノ門一丁目1番18号","ヒューリック虎ノ門ビル11階(本社所在地)","2002/8/30","14港み生環き第59号","一般リネン兼業"
"ＫＡＳＨＩＹＡＭＡ　虎ノ門ヒルズ店","105-0001","東京都港区虎ノ門一丁目17番1号","2階","2022/2/28","3港み生環き第246号","取次所"
"虎ノ門ヒルズレジデンス","105-0001","東京都港区虎ノ門一丁目23番2号",,"2015/4/9","27港み生環き第1号","取次所"
"アンダーズ東京","105-0001","東京都港区虎ノ門一丁目23番4号","36階","2014/5/28","26港み生環き第36号","一般"
"アイレンタル","105-0001","東京都港区虎ノ門二丁目2番2号","虎ノ門病院内","2010/10/1","22港み生環き第108号","取次所"
"白洋舍虎ノ門ヒルズステーションタワー店","105-0001","東京都港区虎ノ門二丁目6番3号","虎ノ門ヒルズステーションタワー7階701-2","2023/10/4","5港み生環き第133号","取次所"
"ホテル虎ノ門ヒルズ　ランドリー室","105-0001","東京都港区虎ノ門二丁目6番4号","虎ノ門ヒルズステーションタワー11階","2023/11/28","5港み生環き第90号","一般"
"株式会社白洋舎オークラ東京工場","105-0001","東京都港区虎ノ門二丁目10番4号",,"2019/8/26","31港み生環き第5号","一般"
"パークコート虎ノ門愛宕タワー","105-0001","東京都港区虎ノ門三丁目14番1号",,"2017/1/30","28港み生環き第166号","取次所"
"ポニークリーニング神谷町","105-0001","東京都港区虎ノ門三丁目17番1号","TOKYO REIT虎ノ門ビル 1階","2018/5/22","30港み生環き第4号","取次所"
"ブランズ愛宕虎ノ門　コンシェルジュ","105-0001","東京都港区虎ノ門三丁目19番10号",,"2021/3/29","2港み生環き第214号","取次所"
"ウェリスタワー愛宕虎ノ門","105-0001","東京都港区虎ノ門三丁目25番5号",,"2014/3/27","25港み生環き第194号","取次所"
"東京ＥＤＩＴＩＯＮ虎ノ門","105-0001","東京都港区虎ノ門四丁目1番1号","33階","2020/8/25","2港み生環き第105号","取次所"
"マミークリーニング　城山ヒルズ店","105-0001","東京都港区虎ノ門四丁目1番17号","地下1階","2002/3/1","13港み生環き第112号","取次所"
"パークコート虎ノ門","105-0001","東京都港区虎ノ門四丁目1番20号",,"2021/12/28","3港み生環き第147号","取次所"
"虎ノ門タワーズレジデンス","105-0001","東京都港区虎ノ門四丁目1番34号",,"2015/3/20","26港み生環き第220号","取次所"
"城山トラストコート","105-0001","東京都港区虎ノ門四丁目3番2号",,"2015/6/19","27港み生環き第55号","取次所"
"神谷町ＭＴコート","105-0001","東京都港区虎ノ門五丁目2番5号",,"2015/6/19","27港み生環き第56号","取次所"
"セブンイレブン神谷町オランダヒルズ店","105-0001","東京都港区虎ノ門五丁目11番2号","オランダヒルズ森タワー 1階","2013/8/5","25港み生環き第72号","取次所"
"セブン－イレブン虎ノ門５丁目店","105-0001","東京都港区虎ノ門五丁目12番1号",,"2005/5/16","17港み生環き第17号","取次所"
"有限会社桑田クリーニング店","106-0031","東京都港区西麻布一丁目5番1号",,"1962/9/21","第13号","一般"
"グランド・ガーラ西麻布","106-0031","東京都港区西麻布一丁目12番3号",,"2017/11/24","29港み生環き第66号","取次所"
"グランド・ガーラ西麻布","106-0031","東京都港区西麻布一丁目12番3号","1階","2019/2/26","30港み生環き第192号","取次所"
"オーヒラ商会","106-0031","東京都港区西麻布二丁目7番13号",,"2014/9/5","26港み生環き第98号","一般"
"港屋総本店","106-0031","東京都港区西麻布二丁目17番17号",,"1990/5/23","2港麻総衛環き第3号","一般"
"ポニークリーニング西麻布２丁目店","106-0031","東京都港区西麻布二丁目26番20号","ニューシティレジデンス西麻布ツインタワー2　1階","2010/11/30","22港み生環き第133号","取次所"
"株式会社佐野商会","106-0031","東京都港区西麻布三丁目2番44号",,"1986/3/25","60港麻保衛環き第44号","一般"
"パークハウス西麻布　フロント","106-0031","東京都港区西麻布三丁目4番1号",,"2015/9/11","27港み生環き第109号","取次所"
"ザ・マナー西麻布","106-0031","東京都港区西麻布三丁目5番35号",,"2015/5/1","27港み生環き第21号","取次所"
"グランドメゾン西麻布","106-0031","東京都港区西麻布三丁目8番2号",,"2011/2/7","22港み生環き第167号","取次所"
"髙野クリーニング店","106-0031","東京都港区西麻布三丁目8番10号",,"2009/6/3","21港み生環き第38号","取次所"
"スワローチェーン西麻布店","106-0031","東京都港区西麻布三丁目13番20号","HIDE BLDG. 1階","2012/2/28","23港み生環き第143号","取次所"
"サンランドリー","106-0031","東京都港区西麻布三丁目23番7号","ラ・ツール西麻布101","2024/2/28","5港み生環き第250号","取次所"
"喜久屋クリーニング　西麻布店","106-0031","東京都港区西麻布四丁目1番4号","西麻布MKビル 1階","2010/10/27","22港み生環き第111号","取次所"
"アパホテル＜西麻布＞","106-0031","東京都港区西麻布四丁目4番5号",,"2015/5/19","27港み生環き第40号","取次所"
"三共ドライクリーニング株式会社","106-0031","東京都港区西麻布四丁目4番11号",,"1983/4/6","57港麻保衛環き第27号","取次所"
"ザ・パークハウス西麻布レジデンス","106-0031","東京都港区西麻布四丁目5番10号","1階","2014/8/28","26港み生環き第84号","取次所"
"ＣＯＴＥＡＵ　ＮＩＳＨＩＡＺＡＢＵ　コンシェルジュ","106-0031","東京都港区西麻布四丁目6番1号",,"2021/3/29","2港み生環き第213号","取次所"
"（有）川口屋クリーニング","106-0031","東京都港区西麻布四丁目8番31号","レジデンス西麻布100","2007/10/3","19港み生環き第64号","一般"
"ＷＯＯＤＶＩＬＬＥ麻布（ウッドビルアザブ）","106-0031","東京都港区西麻布四丁目12番19号",,"2017/3/22","28港み生環き第201号","取次所"
"セブン－イレブン西麻布４丁目店","106-0031","東京都港区西麻布四丁目15番2号",,"2005/5/17","17港み生環き第21号","取次所"
"レジディア西麻布　管理室","106-0031","東京都港区西麻布四丁目15番2号","レジディア西麻布 管理室","2015/6/18","27港み生環き第57号","取次所"
"リビオレジデンス西麻布","106-0031","東京都港区西麻布四丁目16番3号","1階","2024/3/11","5港み生環き第224号","取次所"
"クローバークリーンシステム","106-0031","東京都港区西麻布四丁目16番8号","中澤西麻布ビル 1階","2010/1/6","21港み生環き第129号","取次所"
"スワローチェーン日赤通り店","106-0031","東京都港区西麻布四丁目19番10号","タカ西麻布 1階","2010/9/24","22港み生環き第106号","取次所"
"有限会社トモエヤ洗濯店","105-0003","東京都港区西新橋一丁目8番5号",,"1997/12/11","9港芝総衛環き第59号","一般"
"テーラーフィールズ新橋","105-0003","東京都港区西新橋一丁目13番5号","登栄西新橋ビル 1階","2017/3/2","28港み生環き第193号","取次所"
"ｔｈｅ　ｂ　新橋","105-0003","東京都港区西新橋一丁目17番13号","1階","2017/10/11","29港み生環き第121号","取次所"
"マルちゃんのクリーニング　西新橋店","105-0003","東京都港区西新橋一丁目20番10号",,"2011/1/24","22港み生環き第166号","取次所"
"大場クリーニング商会","105-0003","東京都港区西新橋二丁目5番8号",,"1986/3/29","60港芝保衛環き第69号","一般"
"アパホテル＜新橋　虎ノ門＞","105-0003","東京都港区西新橋二丁目6番9号",,"2014/4/7","26港み生環き第1号","取次所"
"芝氷業株式会社","105-0003","東京都港区西新橋二丁目20番4号",,"1984/1/11","58港芝保衛環き第55号","取次所"
"パークキューブ愛宕山タワー","105-0003","東京都港区西新橋三丁目17番7号",,"2014/6/30","26港み生環き第56号","取次所"
"東京慈恵会医科大学附属病院内クリーニングサービス","105-0003","東京都港区西新橋三丁目25番8号","E棟1階","2020/2/20","31港み生環き第201号","取次所"
"パークコート浜離宮　ザ　タワー","105-0013","東京都港区浜松町一丁目3番2号",,"2019/2/21","30港み生環き第184号","取次所"
"ポニークリーニング浜松町１丁目店","105-0013","東京都港区浜松町一丁目3番2号","パークコート浜離宮ザ・タワー1階B室","2019/10/18","31港み生環き第125号","取次所"
"ホワイトタワー浜松町","105-0013","東京都港区浜松町一丁目13番2号","1階","2015/7/31","27港み生環き第89号","取次所"
"ホテルマイステイズ浜松町","105-0013","東京都港区浜松町一丁目18番14号",,"2020/5/20","2港み生環き第36号","取次所"
"名鉄イン浜松町","105-0013","東京都港区浜松町一丁目19番14号","1階","2016/3/4","27港み生環き第201号","取次所"
"ポニークリーニング　浜松町１丁目店","105-0013","東京都港区浜松町一丁目20番11号","篠ビル1階","2009/10/16","21港み生環き第96号","取次所"
"ファミリーマート　浜松町一丁目店","105-0013","東京都港区浜松町一丁目27番17号","ファミリーマート 浜松町一丁目店内(グッド)","2004/1/23","15港み生環き第122号","取次所"
"スーパーホテル東京・浜松町","105-0013","東京都港区浜松町二丁目2番1号",,"2019/2/21","30港み生環き第188号","取次所"
"株式会社モノレール・エージェンシー","105-0013","東京都港区浜松町二丁目4番12号","モノレール浜松町駅ビル 4階","2011/9/13","23港み生環き第72号","取次所"
"三交インＧｒａｎｄｅ東京浜松町","105-0013","東京都港区浜松町二丁目7番18号",,"2014/8/22","26港み生環き第87号","取次所"
"ザ・ベルグレイヴィア麻布","106-0044","東京都港区東麻布一丁目8番4号",,"2013/8/29","25港み生環き第86号","取次所"
"マルエツ　プチ　東麻布店","106-0044","東京都港区東麻布一丁目9番15号",,"2014/4/8","25港み生環き第208号","取次所"
"スワローチェーン　東麻布店","106-0044","東京都港区東麻布一丁目17番12号",,"1986/1/8","60港麻保衛環き第37号","取次所"
"株式会社秋元クリーニング","106-0044","東京都港区東麻布一丁目29番1号",,"1970/3/24","第1号","一般"
"高梨クリーニング","106-0044","東京都港区東麻布二丁目14番13号",,"1969/10/4","第3号","一般"
"ポニークリーニング　東麻布店","106-0044","東京都港区東麻布二丁目20番4号",,"2004/11/25","16港み生環き第91号","取次所"
"有限会社辰己クリーニング","106-0044","東京都港区東麻布二丁目21番8号",,"1962/2/13","第3号","一般"
"（株）白洋舍　麻布営業所","106-0044","東京都港区東麻布二丁目21番10号",,"2006/6/30","18港み生環き第43号","取次所"
"クリーンヒルズハイクラウン東麻布店","106-0044","東京都港区東麻布二丁目26番13号","小勝マンション 1階","2012/1/31","23港み生環き第136号","取次所"
"ポニークリーニング　新一の橋店","106-0044","東京都港区東麻布三丁目4番17号","東麻布Kビル 1階","2011/6/30","23港み生環き第33号","取次所"
"おしゃれ共和国　東麻布店","106-0044","東京都港区東麻布三丁目6番12号",,"1985/4/15","59港麻保衛環き第30号","取次所"
"オークウッドホテルアンドアパートメンツ麻布","106-0044","東京都港区東麻布三丁目10番5号",,"2021/12/6","3港み生環き第181号","取次所"
"ザ　ロイヤルパークホテルアイコニック　東京汐留","105-0021","東京都港区東新橋一丁目6番3号","地下1階","2018/3/7","29港み生環き第230号","取次所"
"新日本ウエックス株式会社汐留ランドリー工場","105-0021","東京都港区東新橋一丁目9番1号","コンラッド東京 地下1階","2005/6/24","17港み生環き第7号","一般"
"ヴィラフォンテーヌグランド東京汐留","105-0021","東京都港区東新橋一丁目9番2号",,"2007/3/8","18港み生環き第145号","取次所"
"東京ツインパークス・レフトウイング","105-0021","東京都港区東新橋一丁目10番1号","東京ツインパークス・レフトウインク 1階","2002/11/29","14港み生環き第104号","取次所"
"東京ツインパークス・ライトウイング","105-0021","東京都港区東新橋一丁目10番2号","東京ツインパークス・ライトウイング 1階","2002/11/29","14港み生環き第103号","取次所"
"生活彩家　汐留ツインパークス店","105-0021","東京都港区東新橋一丁目10番3号","1階","2008/7/25","20港み生環き第60号","取次所"
"ＭＯＭＥＮＴＯ　ＳＨＩＯＤＯＭＥ（モメント　シオドメ）","105-0021","東京都港区東新橋二丁目3番17号",,"2011/4/4","22港み生環き第201号","取次所"
"ナチュラルローソン　コモディオ汐留","105-0021","東京都港区東新橋二丁目14番1号",,"2013/3/5","24港み生環き第171号","取次所"
"三井ガーデンホテル汐留イタリア街","105-0021","東京都港区東新橋二丁目14番24号",,"2014/11/25","26港み生環き第143号","取次所"
"パシフィックタワー麻布十番","108-0073","東京都港区三田一丁目1番12号",,"2010/4/2","21港み生環き第170号","取次所"
"ポニークリーニング三田１丁目店","108-0073","東京都港区三田一丁目2番23号","エスポワール芝 1階","2018/3/6","29港み生環き第217号","取次所"
"シティタワー麻布十番","108-0073","東京都港区三田一丁目6番3号",,"2019/2/25","30港み生環き第198号","取次所"
"パークコート麻布十番　ザ　タワー","108-0073","東京都港区三田一丁目7番1号",,"2014/8/28","26港み生環き第93号","取次所"
"パーク　マンション　三田　綱町　ザ　フォレスト","108-0073","東京都港区三田二丁目1番28号","2階","2016/2/24","27港み生環き第203号","取次所"
"ザ・レジデンス三田","108-0073","東京都港区三田二丁目7番1号","1階","2014/12/11","26港み生環き第151号","取次所"
"スワローチェーン　藤波商店","108-0073","東京都港区三田二丁目14番4号","三田慶応ビジデンス 1階","2007/11/27","19港み生環き第81号","取次所"
"スワローチェーン　三田２丁目店","108-0073","東京都港区三田二丁目14番9号",,"2016/10/28","28港み生環き第127号","取次所"
"ファッションクリーニング絹屋","108-0073","東京都港区三田三丁目3番10号",,"1999/11/1","11港み生環き第100号","取次所"
"スワローチェーン三田店","108-0073","東京都港区三田三丁目3番12号","パーチェ101","2009/12/10","21港み生環き第118号","取次所"
"ラ・トゥール三田","108-0073","東京都港区三田三丁目5番27号","ラ・トゥール三田 1階","2014/10/23","26港み生環き第129号","取次所"
"（株）白洋舍　三田営業所","108-0073","東京都港区三田三丁目7番30号",,"1986/2/25","60港芝保衛環き第60号","取次所"
"スマイルホテル品川泉岳寺駅前","108-0073","東京都港区三田三丁目11番26号","2階","2022/11/8","4港み生環き第114号","取次所"
"ポニークリーニング三田４","108-0073","東京都港区三田四丁目1番30号",,"2006/4/27","18港み生環き第10号","取次所"
"リッツクリーニング魚籃坂店","108-0073","東京都港区三田四丁目3番19号",,"2020/10/1","2港み生環き第137号","取次所"
"エルプレイス三田","108-0073","東京都港区三田四丁目4番13号",,"2021/10/22","3港み生環き第127号","取次所"
"ランドリーマジック高輪店","108-0073","東京都港区三田四丁目7番26号","エクセル魚籃坂 1階","2011/9/22","23港み生環き第76号","一般"
"ピーコック三田伊皿子店","108-0073","東京都港区三田四丁目9番7号","コンフォリア三田伊皿子坂 1階","2013/2/19","24港み生環き第169号","取次所"
"洗い屋　匠","108-0073","東京都港区三田五丁目1番14号","1階","2007/2/26","18港み生環き第139号","取次所"
"ザ・パークハウス三田ガーデン　レジデンス＆タワー","108-0073","東京都港区三田五丁目2番22号",,"2021/12/10","3港み生環き第187号","取次所"
"有限会社柴山商会","108-0073","東京都港区三田五丁目6番4号",,"1966/12/20","第17号","一般"
"ポニークリーニング　三田５店","108-0073","東京都港区三田五丁目12番4号",,"2004/12/2","16港み生環き第95号","取次所"
"ＭＡＸクリーニング　三田店","108-0073","東京都港区三田五丁目13番10号","リバース白金高輪101","2023/1/30","4港み生環き第184号","取次所"
"パークアクシス青山一丁目タワー","107-0062","東京都港区南青山一丁目3番1号","1階","2007/3/22","18港み生環き第167号","取次所"
"国際クリーニング南青山店","107-0062","東京都港区南青山一丁目3番6号","1階フォト南青山内","2009/9/30","21港み生環き第89号","取次所"
"スワローチェーン南青山一丁目店","107-0062","東京都港区南青山一丁目9番8号",,"2007/11/27","19港み生環き第86号","取次所"
"アメニティーズみいでら","107-0062","東京都港区南青山一丁目15番1号",,"1995/4/12","7港赤総衛環き第2号","取次所"
"ポニークリーニング南青山１丁目","107-0062","東京都港区南青山一丁目15番1号","みいでらビル1階","2019/4/24","31港み生環き第13号","取次所"
