月,地域階層,地域コード,地域,総数/転入者数(人),総数/転出者数(人),総数/転入超過数(人),男/転入者数(人),男/転出者数(人),男/転入超過数(人),女/転入者数(人),女/転出者数(人),女/転入超過数(人)
10,1,35,山口県,136,95,41,75,56,19,61,39,22
10,1,36,徳島県,64,38,26,30,17,13,34,21,13
10,1,37,香川県,114,94,20,60,53,7,54,41,13
10,1,38,愛媛県,160,105,55,86,57,29,74,48,26
10,1,39,高知県,63,53,10,30,31,-1,33,22,11
10,1,40,福岡県,927,757,170,486,436,50,441,321,120
10,1,41,佐賀県,61,64,-3,30,37,-7,31,27,4
10,1,42,長崎県,161,126,35,90,70,20,71,56,15
10,1,43,熊本県,170,157,13,96,99,-3,74,58,16
10,1,44,大分県,134,106,28,73,64,9,61,42,19
10,1,45,宮崎県,125,101,24,62,53,9,63,48,15
10,1,46,鹿児島県,194,218,-24,99,126,-27,95,92,3
10,1,47,沖縄県,337,353,-16,169,189,-20,168,164,4
11,0,0,総数,25786,25057,729,13600,13386,214,12186,11671,515
11,1,1,北海道,641,549,92,330,310,20,311,239,72
11,1,2,青森県,133,126,7,72,71,1,61,55,6
11,1,3,岩手県,137,154,-17,75,81,-6,62,73,-11
11,1,4,宮城県,377,310,67,194,182,12,183,128,55
11,1,5,秋田県,107,89,18,48,49,-1,59,40,19
11,1,6,山形県,117,113,4,49,49,0,68,64,4
11,1,7,福島県,281,182,99,142,94,48,139,88,51
11,1,8,茨城県,661,631,30,349,344,5,312,287,25
11,1,9,栃木県,391,376,15,226,201,25,165,175,-10
11,1,10,群馬県,389,363,26,242,217,25,147,146,1
11,1,11,埼玉県,4606,5479,-873,2361,2874,-513,2245,2605,-360
11,1,12,千葉県,3771,3857,-86,2024,2009,15,1747,1848,-101
11,1,14,神奈川県,6340,6412,-72,3301,3329,-28,3039,3083,-44
11,1,15,新潟県,275,239,36,153,135,18,122,104,18
11,1,16,富山県,96,73,23,54,50,4,42,23,19
11,1,17,石川県,128,112,16,62,64,-2,66,48,18
11,1,18,福井県,63,56,7,38,34,4,25,22,3
11,1,19,山梨県,238,231,7,124,125,-1,114,106,8
11,1,20,長野県,352,373,-21,186,191,-5,166,182,-16
11,1,21,岐阜県,167,94,73,84,51,33,83,43,40
11,1,22,静岡県,581,565,16,318,281,37,263,284,-21
11,1,23,愛知県,910,623,287,503,368,135,407,255,152
11,1,24,三重県,148,117,31,89,78,11,59,39,20
11,1,25,滋賀県,103,72,31,57,37,20,46,35,11
11,1,26,京都府,282,255,27,148,144,4,134,111,23
11,1,27,大阪府,1209,1026,183,643,573,70,566,453,113
11,1,28,兵庫県,552,376,176,278,193,85,274,183,91
11,1,29,奈良県,95,98,-3,50,60,-10,45,38,7
11,1,30,和歌山県,59,55,4,30,32,-2,29,23,6
11,1,31,鳥取県,38,34,4,14,15,-1,24,19,5
11,1,32,島根県,50,45,5,23,23,0,27,22,5
11,1,33,岡山県,165,103,62,88,58,30,77,45,32
11,1,34,広島県,294,185,109,156,113,43,138,72,66
11,1,35,山口県,135,82,53,64,47,17,71,35,36
11,1,36,徳島県,53,40,13,28,27,1,25,13,12
11,1,37,香川県,102,68,34,61,40,21,41,28,13
11,1,38,愛媛県,104,72,32,62,31,31,42,41,1
11,1,39,高知県,70,43,27,30,23,7,40,20,20
11,1,40,福岡県,689,546,143,370,317,53,319,229,90
11,1,41,佐賀県,45,45,0,26,30,-4,19,15,4
11,1,42,長崎県,107,86,21,61,51,10,46,35,11
11,1,43,熊本県,124,118,6,78,71,7,46,47,-1
11,1,44,大分県,90,66,24,56,42,14,34,24,10
11,1,45,宮崎県,87,85,2,45,46,-1,42,39,3
11,1,46,鹿児島県,143,152,-9,68,85,-17,75,67,8
11,1,47,沖縄県,281,281,0,140,141,-1,141,140,1
12,0,0,総数,26698,26391,307,14201,13900,301,12497,12491,6
12,1,1,北海道,638,594,44,334,320,14,304,274,30
12,1,2,青森県,150,117,33,91,53,38,59,64,-5
12,1,3,岩手県,136,122,14,74,65,9,62,57,5
12,1,4,宮城県,398,326,72,218,167,51,180,159,21
12,1,5,秋田県,107,91,16,50,46,4,57,45,12
12,1,6,山形県,106,79,27,62,45,17,44,34,10
12,1,7,福島県,224,242,-18,114,112,2,110,130,-20
12,1,8,茨城県,663,708,-45,360,368,-8,303,340,-37
12,1,9,栃木県,386,335,51,214,183,31,172,152,20
12,1,10,群馬県,411,379,32,249,202,47,162,177,-15
12,1,11,埼玉県,4864,5440,-576,2547,2827,-280,2317,2613,-296
12,1,12,千葉県,3791,3819,-28,2018,2003,15,1773,1816,-43
12,1,14,神奈川県,6629,6891,-262,3384,3544,-160,3245,3347,-102
12,1,15,新潟県,296,244,52,155,120,35,141,124,17
12,1,16,富山県,104,84,20,54,48,6,50,36,14
12,1,17,石川県,148,101,47,85,51,34,63,50,13
12,1,18,福井県,77,44,33,46,24,22,31,20,11
12,1,19,山梨県,310,242,68,163,148,15,147,94,53
12,1,20,長野県,357,416,-59,192,207,-15,165,209,-44
12,1,21,岐阜県,157,122,35,85,65,20,72,57,15
12,1,22,静岡県,682,578,104,403,294,109,279,284,-5
12,1,23,愛知県,1001,769,232,564,451,113,437,318,119
12,1,24,三重県,149,88,61,86,41,45,63,47,16
12,1,25,滋賀県,114,81,33,64,43,21,50,38,12
12,1,26,京都府,306,317,-11,168,167,1,138,150,-12
12,1,27,大阪府,1299,1170,129,712,671,41,587,499,88
12,1,28,兵庫県,554,454,100,283,244,39,271,210,61
12,1,29,奈良県,101,116,-15,53,59,-6,48,57,-9
12,1,30,和歌山県,50,48,2,27,30,-3,23,18,5
12,1,31,鳥取県,47,42,5,29,21,8,18,21,-3
12,1,32,島根県,40,40,0,19,22,-3,21,18,3
12,1,33,岡山県,149,140,9,86,72,14,63,68,-5
12,1,34,広島県,306,205,101,167,126,41,139,79,60
12,1,35,山口県,97,83,14,49,44,5,48,39,9
12,1,36,徳島県,55,53,2,27,30,-3,28,23,5
12,1,37,香川県,81,80,1,50,36,14,31,44,-13
12,1,38,愛媛県,96,93,3,46,46,0,50,47,3
12,1,39,高知県,45,48,-3,30,26,4,15,22,-7
12,1,40,福岡県,636,678,-42,331,382,-51,305,296,9
12,1,41,佐賀県,42,66,-24,24,37,-13,18,29,-11
12,1,42,長崎県,105,82,23,56,40,16,49,42,7
12,1,43,熊本県,146,125,21,82,70,12,64,55,9
12,1,44,大分県,97,79,18,51,40,11,46,39,7
12,1,45,宮崎県,93,107,-14,47,62,-15,46,45,1
12,1,46,鹿児島県,153,154,-1,75,92,-17,78,62,16
12,1,47,沖縄県,302,299,3,177,156,21,125,143,-18
,,,,,,,,,,,,
東京都住民基本台帳人口移動報告/令和5年,,,,,,,,,,,,
第5表 各道府県との月別、男女別移動者数(令和5年) 外国人含む,,,,,,,,,,,,
注）-は転出超過数,,,,,,,,,,,,
地域階層(0:総数 1:道府県),,,,,,,,,,,,
