地域階層,地域コード,地域名,産業分類階層,大分類,分類名,総数／事業所数（事業所）,総数／従業者数／総数（人）,総数／売上（収入）金額（百万円）,従業者規模別／1～4人／事業所数（事業所）,従業者規模別／1～4人／従業者数（人）,従業者規模別／1～4人／売上（収入）金額（百万円）,従業者規模別／5～9人／事業所数（事業所）,従業者規模別／5～9人／従業者数（人）,従業者規模別／5～9人／売上（収入）金額（百万円）,従業者規模別／10～19人／事業所数（事業所）,従業者規模別／10～19人／従業者数（人）,従業者規模別／10～19人／売上（収入）金額（百万円）,従業者規模別／20～29人／事業所数（事業所）,従業者規模別／20～29人／従業者数（人）,従業者規模別／20～29人／売上（収入）金額（百万円）,従業者規模別／30～49人／事業所数（事業所）,従業者規模別／30～49人／従業者数（人）,従業者規模別／30～49人／売上（収入）金額（百万円）,従業者規模別／50人以上／事業所数（事業所）,従業者規模別／50人以上／従業者数（人）,従業者規模別／50人以上／売上（収入）金額（百万円）,従業者規模別／出向・派遣従業員のみ／事業所数（事業所）,従業者規模別／出向・派遣従業員のみ／従業者数（人）,従業者規模別／出向・派遣従業員のみ／売上（収入）金額（百万円）
4,13102,中央区,1,I,卸売業，小売業,8409,185261,31066429,3356,8402,707681,2057,13482,1462638,1424,19251,2680183,529,12702,1708200,396,15028,2030837,582,116396,22426445,65,-,50445
4,13102,中央区,1,J,金融業，保険業,379,5630,…,179,392,…,79,511,…,41,558,…,12,262,…,24,915,…,22,2992,…,22,-,…
4,13102,中央区,1,K,不動産業，物品賃貸業,2000,21522,2103566,1246,2709,109349,404,2572,135442,159,2129,115225,64,1459,76675,47,1794,81160,65,10859,1584640,15,-,1074
4,13102,中央区,1,L,学術研究，専門・技術サービス業,3153,38226,1327949,1858,4176,137396,674,4349,77591,317,4189,164000,99,2336,135866,80,2954,182685,102,20222,621175,23,-,9236
4,13102,中央区,1,M,宿泊業，飲食サービス業,3709,44646,282846,1546,3854,29774,1065,7088,48706,641,8677,73396,255,6133,40187,136,5098,36846,58,13796,53122,8,-,815
4,13102,中央区,1,N,生活関連サービス業，娯楽業,905,10762,594199,450,1044,228624,217,1418,39003,118,1583,45614,42,1001,39097,42,1592,50068,36,4124,191793,-,-,-
4,13102,中央区,1,O,教育，学習支援業,232,1828,…,128,292,…,53,356,…,33,432,…,7,169,…,5,193,…,4,386,…,2,-,…
4,13102,中央区,2,O1,教育，学習支援業（学校教育）,3,99,…,-,-,…,1,8,…,-,-,…,-,-,…,1,36,…,1,55,…,-,-,…
4,13102,中央区,2,O2,教育，学習支援業（その他の教育，学習支援業）,229,1729,14713,128,292,3422,52,348,3196,33,432,4357,7,169,x,4,157,1245,3,331,1760,2,-,x
4,13102,中央区,1,P,医療，福祉,989,16063,700055,422,1113,39563,312,2011,93726,136,1840,103567,38,893,204002,38,1425,98133,36,8781,159858,7,-,1206
4,13102,中央区,1,Q,複合サービス事業,15,86,…,10,22,…,2,15,…,1,12,…,-,-,…,1,37,…,-,-,…,1,-,…
4,13102,中央区,2,Q1,複合サービス事業（郵便局）,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…
4,13102,中央区,2,Q2,複合サービス事業（協同組合）,15,86,1760,10,22,367,2,15,x,1,12,x,-,-,-,1,37,x,-,-,-,1,-,x
4,13102,中央区,1,R,サービス業（他に分類されないもの）,1994,93226,…,777,1783,…,388,2552,…,285,3874,…,134,3180,…,118,4553,…,250,77284,…,42,-,…
4,13102,中央区,2,R1,サービス業（政治・経済・文化団体，宗教）,486,3195,…,272,611,…,95,600,…,58,736,…,21,485,…,10,399,…,4,364,…,26,-,…
4,13102,中央区,2,R2,サービス業（政治・経済・文化団体，宗教を除く）,1508,90031,1139291,505,1172,31351,293,1952,127377,227,3138,102896,113,2695,58311,108,4154,105973,246,76920,712892,16,-,492
4,13103,港区,1,A～B,農林漁業（Ａ～Ｂ）,12,96,5310,7,20,100,1,6,x,3,35,x,-,-,-,1,35,x,-,-,-,-,-,-
4,13103,港区,1,C,鉱業，採石業，砂利採取業,18,853,676457,12,12,256130,-,-,-,1,12,x,-,-,-,1,37,x,1,792,x,3,-,-
4,13103,港区,1,D,建設業,319,3240,…,116,293,…,97,631,…,70,942,…,13,315,…,16,625,…,7,434,…,-,-,…
4,13103,港区,1,E,製造業,859,34631,326821,354,854,27998,184,1189,36342,111,1514,43954,56,1353,49496,48,1835,44215,96,27886,114011,10,-,10805
4,13103,港区,1,F,電気・ガス・熱供給・水道業,13,76,…,6,12,…,6,45,…,1,19,…,-,-,…,-,-,…,-,-,…,-,-,…
4,13103,港区,1,G,情報通信業,1925,103609,…,552,1344,…,382,2555,…,317,4363,…,135,3270,…,187,7103,…,327,84974,…,25,-,…
4,13103,港区,2,G1,情報通信業（通信業，放送業，映像・音声・文字情報制作業）,670,11442,…,253,629,…,169,1104,…,104,1427,…,37,889,…,50,1933,…,47,5460,…,10,-,…
4,13103,港区,2,G2,情報通信業（情報サービス業，インターネット附随サービス業）,1255,92167,3373608,299,715,17424,213,1451,23550,213,2936,47558,98,2381,33463,137,5170,84195,280,79514,3162248,15,-,5170
4,13103,港区,1,H,運輸業，郵便業,186,2984,…,59,142,…,57,403,…,28,393,…,12,293,…,15,562,…,13,1191,…,2,-,…
4,13103,港区,1,I,卸売業，小売業,5723,174569,38851253,2187,5386,580045,1290,8589,1021044,990,13555,2092754,406,9615,1471421,299,11360,1484466,499,126064,31660614,52,-,540908
4,13103,港区,1,J,金融業，保険業,358,5107,…,149,329,…,78,525,…,56,740,…,24,578,…,8,309,…,23,2626,…,20,-,…
4,13103,港区,1,K,不動産業，物品賃貸業,2264,31257,3236644,1452,3094,158777,410,2562,96432,173,2299,111573,54,1274,86939,50,1825,129966,94,20203,2649075,31,-,3881
4,13103,港区,1,L,学術研究，専門・技術サービス業,3353,63898,4486588,1773,4064,99286,747,4811,94666,416,5639,214550,122,2923,117002,107,3985,380520,155,42476,3572364,33,-,8200
4,13103,港区,1,M,宿泊業，飲食サービス業,3515,50587,461285,1208,3054,35769,969,6419,56129,769,10518,81808,300,7049,47705,154,5642,38689,102,17905,200753,13,-,431
4,13103,港区,1,N,生活関連サービス業，娯楽業,1245,16657,2043200,619,1389,36016,291,1878,57641,153,2041,80336,56,1370,35096,54,2076,85390,58,7903,1738484,14,-,10236
4,13103,港区,1,O,教育，学習支援業,382,5611,…,158,353,…,84,540,…,72,1005,…,25,582,…,17,641,…,18,2490,…,8,-,…
4,13103,港区,2,O1,教育，学習支援業（学校教育）,18,815,…,1,4,…,1,5,…,6,86,…,1,21,…,3,110,…,5,589,…,1,-,…
4,13103,港区,2,O2,教育，学習支援業（その他の教育，学習支援業）,364,4796,37655,157,349,3855,83,535,4685,66,919,9064,24,561,5773,14,531,4527,13,1901,9413,7,-,338
4,13103,港区,1,P,医療，福祉,1302,25964,743432,498,1272,25521,435,2873,42887,204,2733,147521,51,1223,34678,49,1811,139907,55,16052,342647,10,-,10271
4,13103,港区,1,Q,複合サービス事業,9,71,…,6,12,…,-,-,…,1,19,…,2,40,…,-,-,…,-,-,…,-,-,…
4,13103,港区,2,Q1,複合サービス事業（郵便局）,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…
4,13103,港区,2,Q2,複合サービス事業（協同組合）,9,71,1622,6,12,321,-,-,-,1,19,x,2,40,x,-,-,-,-,-,-,-,-,-
4,13103,港区,1,R,サービス業（他に分類されないもの）,2435,83641,…,1062,2386,…,457,3051,…,331,4581,…,141,3375,…,126,4705,…,268,65543,…,50,-,…
4,13103,港区,2,R1,サービス業（政治・経済・文化団体，宗教）,709,4828,…,405,962,…,161,1054,…,72,995,…,21,497,…,14,537,…,10,783,…,26,-,…
4,13103,港区,2,R2,サービス業（政治・経済・文化団体，宗教を除く）,1726,78813,1212015,657,1424,68177,296,1997,46990,259,3586,94700,120,2878,80465,112,4168,103495,258,64760,813774,24,-,4414
4,13104,新宿区,1,A～B,農林漁業（Ａ～Ｂ）,8,243,x,1,4,x,5,33,140,1,11,x,-,-,-,-,-,-,1,195,x,-,-,-
4,13104,新宿区,1,C,鉱業，採石業，砂利採取業,2,16,x,-,-,-,1,6,x,1,10,x,-,-,-,-,-,-,-,-,-,-,-,-
4,13104,新宿区,1,D,建設業,603,4367,…,326,825,…,160,1042,…,79,1037,…,20,468,…,11,399,…,7,596,…,-,-,…
4,13104,新宿区,1,E,製造業,990,15124,224632,535,1279,x,208,1353,24577,125,1700,50380,52,1256,23839,30,1129,23268,39,8407,88250,1,-,x
4,13104,新宿区,1,F,電気・ガス・熱供給・水道業,2,41,…,1,3,…,-,-,…,-,-,…,-,-,…,1,38,…,-,-,…,-,-,…
4,13104,新宿区,1,G,情報通信業,1408,49942,…,459,1074,…,330,2220,…,228,3130,…,111,2622,…,103,3980,…,169,36916,…,8,-,…
4,13104,新宿区,2,G1,情報通信業（通信業，放送業，映像・音声・文字情報制作業）,520,5983,…,234,541,…,147,959,…,78,1114,…,23,533,…,18,662,…,17,2174,…,3,-,…
4,13104,新宿区,2,G2,情報通信業（情報サービス業，インターネット附随サービス業）,888,43959,825220,225,533,8169,183,1261,25348,150,2016,30894,88,2089,41475,85,3318,65888,152,34742,652719,5,-,727
4,13104,新宿区,1,H,運輸業，郵便業,82,590,…,52,83,…,13,75,…,7,103,…,5,124,…,2,89,…,1,116,…,2,-,…
4,13104,新宿区,1,I,卸売業，小売業,4610,85980,5988117,1940,4781,141865,1123,7411,352321,784,10744,613922,319,7525,311865,186,7209,469136,233,48310,4087635,25,-,11373
4,13104,新宿区,1,J,金融業，保険業,180,1833,…,91,192,…,41,271,…,25,323,…,7,159,…,5,190,…,8,698,…,3,-,…
4,13104,新宿区,1,K,不動産業，物品賃貸業,2586,27092,1519663,1928,3937,123371,362,2329,121911,135,1869,96953,45,1067,130178,43,1602,131129,63,16288,914770,10,-,1352
