産業分類階層,大分類,中分類,分類名,事業所数／総数（事業所）,事業所数／総数／他からの出向・派遣従業者／有／民営（事業所）,事業所数／総数／他からの出向・派遣従業者／有／国・地方公共団体（事業所）,事業所数／総数／他からの出向・派遣従業者／無／民営（事業所）,事業所数／総数／他からの出向・派遣従業者／無／国・地方公共団体（事業所）,事業所数／総数／他への出向・派遣従業者／民営（事業所）,事業所数／総数／他への出向・派遣従業者／有／民営（事業所）,事業所数／総数／他への出向・派遣従業者／無／民営（事業所）,従業者数／総数／総数（人）,従業者数／総数／男（人）,従業者数／総数／女（人）,従業者数／民営／個人業主／総数（人）,従業者数／民営／個人業主／男（人）,従業者数／民営／個人業主／女（人）,従業者数／民営／無給の家族従業／総数（人）,従業者数／民営／無給の家族従業／男（人）,従業者数／民営／無給の家族従業／女（人）,従業者数／民営／有給役員／総数（人）,従業者数／民営／有給役員／男（人）,従業者数／民営／有給役員／女（人）,従業者数／民営／雇用者／常用雇用者／総数／総数（人）,従業者数／民営／雇用者／常用雇用者／総数／男（人）,従業者数／民営／雇用者／常用雇用者／総数／女（人）,従業者数／民営／雇用者／常用雇用者／正社員・正職員／総数（人）,従業者数／民営／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／民営／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／民営／雇用者／常用雇用者／正社員・正職員以外／総数（人）,従業者数／民営／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／民営／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／民営／雇用者／臨時雇用者／総数（人）,従業者数／民営／雇用者／臨時雇用者／男（人）,従業者数／民営／雇用者／臨時雇用者／女（人）,（再掲）従業者数／民営／雇用者／うち他への出向・派遣従業者／総数（人）,（再掲）従業者数／民営／雇用者／うち他への出向・派遣従業者／男（人）,（再掲）従業者数／民営／雇用者／うち他への出向・派遣従業者／女（人）,従業者数／民営／他からの出向・派遣従業者／総数（人）,従業者数／民営／他からの出向・派遣従業者／男（人）,従業者数／民営／他からの出向・派遣従業者／女（人）,従業者数／国、地方公共団体／総数／総数（人）,従業者数／国、地方公共団体／総数／男（人）,従業者数／国、地方公共団体／総数／女（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／総数／総数（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／総数／男（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／総数／女（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／正職員／総数（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／正職員／男（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／正職員／女（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／正職員以外／総数（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／正職員以外／男（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／正職員以外／女（人）,従業者数／国、地方公共団体／雇用者／臨時雇用者／総数（人）,従業者数／国、地方公共団体／雇用者／臨時雇用者／男（人）,従業者数／国、地方公共団体／雇用者／臨時雇用者／女（人）,従業者数／国、地方公共団体／民間からの従業者／総数（人）,従業者数／国、地方公共団体／民間からの従業者／男（人）,従業者数／国、地方公共団体／民間からの従業者／女（人）
2,I,59,機械器具小売業,9840,727,-,9113,-,9840,91,9749,81775,60463,21292,2414,2331,83,649,126,523,6890,5304,1586,69778,51656,18102,55872,44612,11240,13906,7044,6862,2044,1046,998,472,417,55,3988,2331,1657,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,I,60,その他の小売業,36882,989,-,35892,1,36881,212,36669,266335,119870,146225,10230,7179,3050,3186,799,2387,20296,13274,7022,220672,93955,126478,107110,58350,48660,113562,35605,77818,11947,4659,7288,1206,693,513,4111,1943,2168,4,4,-,4,4,-,-,-,-,4,4,-,-,-,-,-,-,-
2,I,61,無店舗小売業,4439,288,-,4151,-,4439,92,4347,59306,31873,27409,498,346,152,120,32,88,4542,3248,1294,52484,27227,25233,33648,21605,12019,18836,5622,13214,1662,1020,642,731,452,279,2982,1847,1135,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,J,00,金融業，保険業,11274,2609,-,8665,-,11274,566,10708,403625,212679,190308,333,283,50,75,16,59,11172,9666,1506,382987,202061,180288,330089,188324,141299,52898,13737,38989,9058,653,8405,15854,12081,3773,38438,17998,20440,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,J,62,銀行業,1621,566,-,1055,-,1621,132,1489,104382,50377,54005,-,-,-,-,-,-,486,474,12,97106,49864,47242,87530,47950,39580,9576,1914,7662,6790,39,6751,3550,2579,971,11494,5554,5940,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,J,63,協同組織金融業,1130,397,-,733,-,1130,34,1096,28970,18672,10298,-,-,-,-,-,-,457,456,1,28438,18171,10267,25444,17110,8334,2994,1061,1933,75,45,30,677,569,108,1336,491,845,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,J,64,貸金業，クレジットカード業等非預金信用機関,1111,200,-,911,-,1111,62,1049,45971,24014,21893,101,81,20,32,8,24,1713,1466,247,43574,22419,21091,34526,20732,13730,9048,1687,7361,551,40,511,2015,1498,517,5632,2490,3142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,J,65,金融商品取引業，商品先物取引業,1440,360,-,1080,-,1440,87,1353,56161,38363,17338,5,4,1,-,-,-,2532,2310,222,53239,35828,16951,47970,32493,15189,5269,3335,1762,385,221,164,1621,1138,483,5208,3351,1857,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,J,66,補助的金融業等,424,216,-,208,-,424,39,385,11460,7960,3410,2,2,-,-,-,-,770,693,77,10636,7240,3306,9074,6568,2416,1562,672,890,52,25,27,317,263,54,1902,1179,723,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,J,67,保険業（保険媒介代理業，保険サービス業を含む）,5548,870,-,4678,-,5548,212,5336,156681,73293,83364,225,196,29,43,8,35,5214,4267,947,149994,68539,81431,125545,63471,62050,24449,5068,19381,1205,283,922,7674,6034,1640,12866,4933,7933,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,K,00,不動産業，物品賃貸業,61982,2259,5,59659,59,61918,852,61066,345959,214268,130429,16709,10818,5891,5155,1280,3875,65040,40536,24501,248862,156117,91486,177836,120250,56331,71026,35867,35155,9987,5384,4603,10563,7929,2634,16014,9099,6915,206,133,73,206,133,73,109,83,26,97,50,47,-,-,-,9,8,1
2,K,68,不動産取引業,12097,473,-,11624,-,12097,286,11811,91555,60180,30996,767,612,155,231,65,166,14846,10704,4139,74247,47997,25874,61782,43774,17632,12465,4223,8242,1464,802,662,3914,2808,1106,4375,2559,1816,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,K,69,不動産賃貸業・管理業,46845,1493,5,45288,59,46781,494,46287,198474,117447,80149,15837,10126,5711,4898,1208,3690,47131,27400,19731,123978,75481,47619,78925,51041,27010,45053,24440,20609,6424,3099,3325,5887,4566,1321,8157,4957,3200,206,133,73,206,133,73,109,83,26,97,50,47,-,-,-,9,8,1
2,K,70,物品賃貸業,3040,293,-,2747,-,3040,72,2968,55930,36641,19284,105,80,25,26,7,19,3063,2432,631,50637,32639,17993,37129,25435,11689,13508,7204,6304,2099,1483,616,762,555,207,3482,1583,1899,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,L,00,学術研究，専門・技術サービス業,43070,2370,29,40492,179,42862,1366,41496,474795,317686,155426,15518,13996,1522,1359,278,1081,43623,35083,8532,389794,252729,135390,328847,226638,100534,60947,26091,34856,16497,9649,6848,22522,17268,5254,31875,19655,12189,8004,5951,2053,7848,5930,1918,6729,5497,1232,1119,433,686,156,21,135,303,253,50
2,L,71,学術・開発研究機関,1139,291,2,798,48,1089,66,1023,39838,27410,11418,38,32,6,8,-,8,1232,1105,127,34111,23364,9737,27409,20027,6372,6702,3337,3365,444,236,208,713,607,106,4841,3066,1775,4005,2673,1332,3851,2652,1199,3211,2514,697,640,138,502,154,21,133,29,7,22
2,L,72,専門サービス業（他に分類されないもの）,26496,1086,-,25410,-,26496,576,25920,236750,148041,88135,13263,11975,1288,953,213,740,23122,18525,4597,189224,111543,77107,161837,102444,58819,27387,9099,18288,10188,5785,4403,13754,10158,3596,15985,9772,6182,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,L,73,広告業,2972,286,-,2686,-,2972,145,2827,62484,41188,21254,41,37,4,9,3,6,4744,3884,858,56120,36535,19545,47942,33160,14742,8178,3375,4803,1570,729,841,2661,1925,736,4266,2139,2127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,L,74,技術サービス業（他に分類されないもの）,12463,707,27,11598,131,12305,579,11726,135723,101047,34619,2176,1952,224,389,62,327,14525,11569,2950,110339,81287,29001,91659,71007,20601,18680,10280,8400,4295,2899,1396,5394,4578,816,6783,4678,2105,3999,3278,721,3997,3278,719,3518,2983,535,479,295,184,2,-,2,274,246,28
1,M,00,宿泊業，飲食サービス業,92967,1384,1,91534,48,92918,633,92285,890005,430943,458447,40300,26700,13600,10809,2514,8295,29212,20024,9185,723523,343286,379627,205500,143860,61416,518023,199426,318211,85178,38071,47105,4847,2666,2181,6934,3803,3131,983,348,635,966,339,627,372,274,98,594,65,529,17,9,8,3,2,1
2,M,75,宿泊業,3263,305,-,2942,16,3247,63,3184,65772,35150,30622,459,272,187,234,71,163,2162,1462,700,58669,31496,27173,32363,21127,11236,26306,10369,15937,4213,1834,2379,960,758,202,1585,972,613,35,15,20,33,15,18,7,7,-,26,8,18,2,-,2,-,-,-
2,M,76,飲食店,83833,1000,-,82833,-,83833,531,83302,738279,362506,375207,39399,26085,13314,10436,2412,8024,25882,17749,8132,586257,282113,303581,151241,111115,39922,435016,170998,263659,76305,34147,42156,3612,1748,1864,4900,2640,2260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,M,77,持ち帰り・配達飲食サービス業,5871,79,1,5759,32,5838,39,5799,85954,33287,52618,442,343,99,139,31,108,1168,813,353,78597,29677,48873,21896,11618,10258,56701,18059,38615,4660,2090,2570,275,160,115,449,191,258,948,333,615,933,324,609,365,267,98,568,57,511,15,9,6,3,2,1
1,N,00,生活関連サービス業，娯楽業,48225,1405,12,46675,133,48080,438,47642,353091,161361,191718,22448,13667,8780,4215,902,3313,20447,13640,6807,278184,121980,156193,151766,79448,72307,126418,42532,83886,25735,10093,15642,3848,2304,1544,13112,7162,5949,2062,1079,983,1356,994,362,799,671,128,557,323,234,706,85,621,156,102,54
2,N,78,洗濯・理容・美容・浴場業,33504,495,-,33006,3,33501,188,33313,140893,53407,87474,19675,11997,7677,3598,715,2883,9812,5946,3866,103679,33681,69987,64860,26167,38682,38819,7514,31305,4110,1059,3051,616,195,421,3921,1481,2440,19,9,10,15,8,7,1,1,-,14,7,7,4,1,3,-,-,-
2,N,79,その他の生活関連サービス業,6843,397,5,6404,37,6801,121,6680,82010,34148,47862,1415,744,671,300,74,226,4729,3447,1282,70057,28067,41990,40380,21466,18914,29677,6601,23076,5197,1725,3472,1934,1309,625,3590,1848,1742,312,91,221,206,66,140,32,31,1,174,35,139,106,25,81,60,49,11
2,N,80,娯楽業,7878,513,7,7265,93,7778,129,7649,130188,73806,56382,1358,926,432,317,113,204,5906,4247,1659,104448,60232,44216,46526,31815,14711,57922,28417,29505,16428,7309,9119,1298,800,498,5601,3833,1767,1731,979,752,1135,920,215,766,639,127,369,281,88,596,59,537,96,53,43
1,O,00,教育，学習支援業,21291,1109,71,17244,2867,18353,307,18046,468565,236600,231917,6689,2673,4016,934,261,673,8468,5966,2502,313289,164550,148691,152245,87501,64701,161044,77049,83990,32905,16393,16512,2881,1597,1284,7904,3226,4678,106280,46757,59523,104648,46422,58226,78247,38519,39728,26401,7903,18498,1632,335,1297,336,211,125
2,O,81,学校教育,4877,467,51,2049,2310,2516,101,2415,309813,159578,150193,196,135,61,24,10,14,2235,1883,352,200293,110223,90028,108523,62958,45523,91770,47265,44505,14538,8183,6355,585,398,187,3264,887,2377,92527,39144,53383,91446,38895,52551,69272,32183,37089,22174,6712,15462,1081,249,832,212,166,46
2,O,82,その他の教育，学習支援業,16414,642,20,15195,557,15837,206,15631,158752,77022,81724,6493,2538,3955,910,251,659,6233,4083,2150,112996,54327,58663,43722,24543,19178,69274,29784,39485,18367,8210,10157,2296,1199,1097,4640,2339,2301,13753,7613,6140,13202,7527,5675,8975,6336,2639,4227,1191,3036,551,86,465,124,45,79
1,P,00,医療，福祉,50026,2108,139,45467,2312,47575,570,47005,861346,252730,607514,20826,17229,3597,3055,644,2411,22438,13810,8611,699864,194957,503826,426008,134128,291160,273856,60829,212666,42154,12401,29749,3677,2025,1652,10997,3636,7357,73009,13689,59320,69267,13322,55945,41817,9466,32351,27450,3856,23594,3742,367,3375,537,123,414
2,P,83,医療業,33121,1035,4,32044,38,33079,371,32708,457097,148745,307729,20546,17138,3408,3018,629,2389,16475,10050,6411,379523,107050,271864,253300,73499,179330,126223,33551,92534,21926,9173,12753,2444,1627,817,6025,1939,4082,15609,4705,10904,15509,4639,10870,11687,3290,8397,3822,1349,2473,100,66,34,83,23,60
2,P,84,保健衛生,593,78,10,364,141,442,22,420,21435,7560,13875,62,31,31,5,-,5,529,407,122,11073,4482,6591,7758,3675,4083,3315,807,2508,1438,373,1065,201,34,167,475,128,347,8328,2267,6061,7032,2086,4946,4863,1782,3081,2169,304,1865,1296,181,1115,27,9,18
2,P,85,社会保険・社会福祉・介護事業,16312,995,125,13059,2133,14054,177,13877,382814,96425,285910,218,60,158,32,15,17,5434,3353,2078,309268,83425,225371,164950,56954,107747,144318,26471,117624,18790,2855,15931,1032,364,668,4497,1569,2928,49072,6717,42355,46726,6597,40129,25267,4394,20873,21459,2203,19256,2346,120,2226,427,91,336
1,Q,00,複合サービス事業,1783,35,-,1748,-,1783,9,1774,37754,24566,13188,5,2,3,-,-,-,454,430,24,37205,24085,13120,21634,15859,5775,15571,8226,7345,90,49,41,14,12,2,47,19,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Q,86,郵便局,1485,1,-,1484,-,1485,-,1485,33831,22211,11620,5,2,3,-,-,-,37,33,4,33787,22175,11612,18591,14091,4500,15196,8084,7112,2,1,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Q,87,協同組合（他に分類されないもの）,298,34,-,264,-,298,9,289,3923,2355,1568,-,-,-,-,-,-,417,397,20,3418,1910,1508,3043,1768,1275,375,142,233,88,48,40,14,12,2,46,19,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,R,00,サービス業（他に分類されないもの）,39913,4548,29,34952,384,39500,1895,37605,1030901,574143,454155,2013,1853,160,505,107,398,38608,30845,7762,914200,498835,412813,448570,310683,135343,465630,188152,277470,65932,34166,31716,149235,48649,100586,52244,30347,21690,9643,8337,1306,9373,8161,1212,7981,7355,626,1392,806,586,270,176,94,227,138,89
2,R,88,廃棄物処理業,1399,113,6,1150,130,1263,55,1208,31503,27699,3784,27,25,2,6,1,5,1919,1392,527,20395,17576,2799,15640,13845,1775,4755,3731,1024,2030,1936,94,507,470,37,1153,1001,152,7126,6769,357,6981,6633,348,6410,6138,272,571,495,76,145,136,9,101,86,15
2,R,89,自動車整備業,2675,84,-,2586,5,2670,14,2656,16618,13507,3111,759,750,9,215,51,164,2493,1877,616,12660,10401,2259,10041,8678,1363,2619,1723,896,279,222,57,151,124,27,564,447,117,212,206,6,212,206,6,199,194,5,13,12,1,-,-,-,-,-,-
2,R,90,機械等修理業（別掲を除く）,3195,421,-,2773,1,3194,122,3072,48803,41225,7552,660,642,18,132,23,109,2442,2002,440,44956,38084,6846,39002,34554,4422,5954,3530,2424,595,456,139,1744,1636,108,5974,4714,1252,18,18,-,18,18,-,18,18,-,-,-,-,-,-,-,-,-,-
2,R,91,職業紹介・労働者派遣業,3073,349,1,2719,4,3068,782,2286,261695,102781,158914,44,19,25,8,-,8,3773,2960,813,234179,89967,144212,77677,50104,27573,156502,39863,116639,23654,9816,13838,127907,36177,91730,4268,1836,2432,37,19,18,37,19,18,25,17,8,12,2,10,-,-,-,1,-,1
2,R,92,その他の事業サービス業,16469,2101,1,14348,19,16449,671,15778,580129,336067,241729,457,365,92,107,20,87,15836,12391,3444,529589,303922,223385,253346,171844,79228,276243,132078,144157,33888,19204,14634,17438,9347,8091,33388,17843,15346,252,165,87,240,156,84,164,115,49,76,41,35,12,9,3,1,1,-
2,R,93,政治・経済・文化団体,7258,1353,2,5903,-,7256,203,7053,59399,34770,24405,-,-,-,-,-,-,6707,5920,787,48825,27007,21594,36595,22347,14024,12230,4660,7570,3850,1834,2016,1343,795,548,6429,4222,2207,17,9,8,17,9,8,15,8,7,2,1,1,-,-,-,2,-,2
2,R,94,宗教,5206,77,-,5129,-,5206,41,5165,25830,14836,10994,56,46,10,36,12,24,5250,4147,1103,19237,10057,9180,14329,8208,6121,4908,1849,3059,1251,574,677,110,78,32,234,152,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,R,95,その他のサービス業,638,50,19,344,225,394,7,387,6924,3258,3666,10,6,4,1,-,1,188,156,32,4359,1821,2538,1940,1103,837,2419,718,1701,385,124,261,35,22,13,234,132,102,1981,1151,830,1868,1120,748,1150,865,285,718,255,463,113,31,82,122,51,71
1,S,00,公務（他に分類されるものを除く）,2087,-,106,-,1981,-,-,-,258416,194682,63734,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,258416,194682,63734,256977,194280,62697,226036,179684,46352,30941,14596,16345,1439,402,1037,1156,711,445
2,S,97,国家公務,372,-,55,-,317,-,-,-,115415,88188,27227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115415,88188,27227,114703,87938,26765,102796,83592,19204,11907,4346,7561,712,250,462,738,575,163
2,S,98,地方公務,1715,-,51,-,1664,-,-,-,143001,106494,36507,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,143001,106494,36507,142274,106342,35932,123240,96092,27148,19034,10250,8784,727,152,575,418,136,282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成26年経済センサス-基礎調査報告,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第４表　産業中分類、経営組織（２区分）、出向・派遣従業者の有無別事業所数並びに従業上の地位（６区分）、男女別従業者数及び出向・派遣従業者数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注１）従業者数及び常用雇用者の総数には、男女の別が不詳の従業者を含むため、男性と女性の合計は総数と一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
産業分類階層（0:産業大分類のグループ　1:産業大分類　2:産業中分類）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
