地域階層,地域コード,東京都26町丁目コード,地域名,町・大字名,丁目・字,地域名称,総数（経営組織）／事業所数（事業所）,総数（経営組織）／従業者数（人）,民営／事業所数（事業所）,民営／従業者数（人）,民営／個人／事業所数（事業所）,民営／個人／従業者数（人）,民営／法人／事業所数（事業所）,民営／法人／従業者数（人）,民営／法人／会社／事業所数（事業所）,民営／法人／会社／従業者数（人）,民営／法人／会社／株式・有限・相互会社／事業所数（事業所）,民営／法人／会社／株式・有限・相互会社／従業者数（人）,民営／法人／会社／合資・合名会社／事業所数（事業所）,民営／法人／会社／合資・合名会社／従業者数（人）,民営／法人／会社／合同会社／事業所数（事業所）,民営／法人／会社／合同会社／従業者数（人）,民営／法人／会社／外国の会社／事業所数（事業所）,民営／法人／会社／外国の会社／従業者数（人）,民営／法人／会社以外の法人／事業所数（事業所）,民営／法人／会社以外の法人／従業者数（人）,民営／法人でない団体／事業所数（事業所）,民営／法人でない団体／従業者数（人）,国・地方公共団体／事業所数（事業所）,国・地方公共団体／従業者数（人）,国・地方公共団体／国／事業所数（事業所）,国・地方公共団体／国／従業者数（人）,国・地方公共団体／地方公共団体／事業所数（事業所）,国・地方公共団体／地方公共団体／従業者数（人）,国・地方公共団体／地方公共団体／都道府県／事業所数（事業所）,国・地方公共団体／地方公共団体／都道府県／従業者数（人）,国・地方公共団体／地方公共団体／市町村／事業所数（事業所）,国・地方公共団体／地方公共団体／市町村／従業者数（人）,国・地方公共団体／地方公共団体／一部事務組合等／事業所数（事業所）,国・地方公共団体／地方公共団体／一部事務組合等／従業者数（人）
5,13113,1311300500,渋谷区,渋谷区恵比寿西,,渋谷区恵比寿西,914,10117,912,10051,151,574,760,9476,723,9205,719,9147,1,5,1,5,2,48,37,271,1,1,2,66,-,-,2,66,-,-,2,66,-,-
6,13113,1311300501,渋谷区,渋谷区恵比寿西,１丁目,渋谷区恵比寿西１丁目,574,6703,573,6674,95,348,477,6325,450,6141,447,6085,1,5,1,5,1,46,27,184,1,1,1,29,-,-,1,29,-,-,1,29,-,-
6,13113,1311300502,渋谷区,渋谷区恵比寿西,２丁目,渋谷区恵比寿西２丁目,340,3414,339,3377,56,226,283,3151,273,3064,272,3062,-,-,-,-,1,2,10,87,-,-,1,37,-,-,1,37,-,-,1,37,-,-
5,13113,1311300400,渋谷区,渋谷区恵比寿南,,渋谷区恵比寿南,871,13043,870,13042,111,348,759,12694,738,12522,736,12517,1,2,-,-,1,3,21,172,-,-,1,1,-,-,1,1,1,1,-,-,-,-
6,13113,1311300401,渋谷区,渋谷区恵比寿南,１丁目,渋谷区恵比寿南１丁目,513,7577,513,7577,65,231,448,7346,438,7242,438,7242,-,-,-,-,-,-,10,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13113,1311300402,渋谷区,渋谷区恵比寿南,２丁目,渋谷区恵比寿南２丁目,222,2318,221,2317,34,85,187,2232,181,2191,180,2188,-,-,-,-,1,3,6,41,-,-,1,1,-,-,1,1,1,1,-,-,-,-
6,13113,1311300403,渋谷区,渋谷区恵比寿南,３丁目,渋谷区恵比寿南３丁目,136,3148,136,3148,12,32,124,3116,119,3089,118,3087,1,2,-,-,-,-,5,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13113,1311302500,渋谷区,渋谷区大山町,,渋谷区大山町,79,675,79,675,12,37,67,638,64,611,62,607,-,-,2,4,-,-,3,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13113,1311301700,渋谷区,渋谷区神山町,,渋谷区神山町,185,4956,185,4956,34,118,149,4835,141,4509,138,4410,-,-,3,99,-,-,8,326,2,3,-,-,-,-,-,-,-,-,-,-,-,-
5,13113,1311301100,渋谷区,渋谷区桜丘町,,渋谷区桜丘町,978,14927,976,14915,141,543,832,14368,785,13755,775,13517,1,3,2,7,7,228,47,613,3,4,2,12,-,-,2,12,-,-,2,12,-,-
5,13113,1311302800,渋谷区,渋谷区笹塚,,渋谷区笹塚,990,13549,981,13354,286,839,694,12514,660,12028,652,11931,2,37,5,47,1,13,34,486,1,1,9,195,-,-,9,195,1,65,8,130,-,-
6,13113,1311302801,渋谷区,渋谷区笹塚,１丁目,渋谷区笹塚１丁目,502,8482,498,8383,106,332,392,8051,375,7932,370,7885,1,4,4,43,-,-,17,119,-,-,4,99,-,-,4,99,1,65,3,34,-,-
6,13113,1311302802,渋谷区,渋谷区笹塚,２丁目,渋谷区笹塚２丁目,290,3168,289,3140,85,297,203,2842,193,2625,192,2592,1,33,-,-,-,-,10,217,1,1,1,28,-,-,1,28,-,-,1,28,-,-
6,13113,1311302803,渋谷区,渋谷区笹塚,３丁目,渋谷区笹塚３丁目,198,1899,194,1831,95,210,99,1621,92,1471,90,1454,-,-,1,4,1,13,7,150,-,-,4,68,-,-,4,68,-,-,4,68,-,-
5,13113,1311300700,渋谷区,渋谷区猿楽町,,渋谷区猿楽町,370,3880,369,3850,56,144,313,3706,305,3640,303,3635,-,-,1,4,1,1,8,66,-,-,1,30,-,-,1,30,-,-,1,30,-,-
5,13113,1311301000,渋谷区,渋谷区渋谷,,渋谷区渋谷,2893,71341,2889,70776,299,1179,2581,69526,2440,63361,2415,63111,8,41,10,170,7,39,141,6165,9,71,4,565,-,-,4,565,1,526,3,39,-,-
6,13113,1311301001,渋谷区,渋谷区渋谷,１丁目,渋谷区渋谷１丁目,976,18458,975,18439,141,501,832,17933,774,16638,772,16636,-,-,1,1,1,1,58,1295,2,5,1,19,-,-,1,19,-,-,1,19,-,-
6,13113,1311301002,渋谷区,渋谷区渋谷,２丁目,渋谷区渋谷２丁目,1240,27612,1238,27592,100,389,1131,27137,1089,26665,1076,26500,3,19,6,133,4,13,42,472,7,66,2,20,-,-,2,20,-,-,2,20,-,-
6,13113,1311301003,渋谷区,渋谷区渋谷,３丁目,渋谷区渋谷３丁目,614,21410,613,20884,56,283,557,20601,524,18683,515,18628,5,22,2,8,2,25,33,1918,-,-,1,526,-,-,1,526,1,526,-,-,-,-
6,13113,1311301004,渋谷区,渋谷区渋谷,４丁目,渋谷区渋谷４丁目,63,3861,63,3861,2,6,61,3855,53,1375,52,1347,-,-,1,28,-,-,8,2480,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13113,1311301600,渋谷区,渋谷区松濤,,渋谷区松濤,202,3199,199,3096,18,53,181,3043,157,2405,154,2395,1,3,2,7,-,-,24,638,-,-,3,103,-,-,3,103,1,31,2,72,-,-
6,13113,1311301601,渋谷区,渋谷区松濤,１丁目,渋谷区松濤１丁目,145,1460,142,1357,12,41,130,1316,116,1098,114,1089,1,3,1,6,-,-,14,218,-,-,3,103,-,-,3,103,1,31,2,72,-,-
6,13113,1311301602,渋谷区,渋谷区松濤,２丁目,渋谷区松濤２丁目,57,1739,57,1739,6,12,51,1727,41,1307,40,1306,-,-,1,1,-,-,10,420,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13113,1311301500,渋谷区,渋谷区神泉町,,渋谷区神泉町,171,4466,171,4466,25,84,146,4382,134,3952,134,3952,-,-,-,-,-,-,12,430,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13113,1311303200,渋谷区,渋谷区神宮前,,渋谷区神宮前,3353,43856,3337,43007,376,1429,2950,41538,2833,39268,2805,39002,6,35,14,142,8,89,117,2270,11,40,16,849,-,-,16,849,4,643,12,206,-,-
6,13113,1311303201,渋谷区,渋谷区神宮前,１丁目,渋谷区神宮前１丁目,548,10612,544,10029,34,114,507,9901,492,9772,488,9676,-,-,4,96,-,-,15,129,3,14,4,583,-,-,4,583,1,529,3,54,-,-
6,13113,1311303202,渋谷区,渋谷区神宮前,２丁目,渋谷区神宮前２丁目,442,7197,441,7123,62,169,374,6944,351,6552,349,6541,1,2,-,-,1,9,23,392,5,10,1,74,-,-,1,74,1,74,-,-,-,-
6,13113,1311303203,渋谷区,渋谷区神宮前,３丁目,渋谷区神宮前３丁目,599,5245,595,5125,108,337,485,4775,466,4611,461,4577,1,8,2,9,2,17,19,164,2,13,4,120,-,-,4,120,-,-,4,120,-,-
6,13113,1311303204,渋谷区,渋谷区神宮前,４丁目,渋谷区神宮前４丁目,641,5782,638,5760,61,406,577,5354,562,5107,556,5075,2,5,2,12,2,15,15,247,-,-,3,22,-,-,3,22,1,3,2,19,-,-
6,13113,1311303205,渋谷区,渋谷区神宮前,５丁目,渋谷区神宮前５丁目,486,7157,485,7120,36,151,449,6969,422,5760,419,5739,-,-,2,4,1,17,27,1209,-,-,1,37,-,-,1,37,1,37,-,-,-,-
6,13113,1311303206,渋谷区,渋谷区神宮前,６丁目,渋谷区神宮前６丁目,637,7863,634,7850,75,252,558,7595,540,7466,532,7394,2,20,4,21,2,31,18,129,1,3,3,13,-,-,3,13,-,-,3,13,-,-
5,13113,1311301900,渋谷区,渋谷区神南,,渋谷区神南,663,23237,660,22743,44,182,613,22537,537,15925,535,15765,-,-,1,158,1,2,76,6612,3,24,3,494,2,326,1,168,1,168,-,-,-,-
6,13113,1311301901,渋谷区,渋谷区神南,１丁目,渋谷区神南１丁目,625,16301,622,15807,44,182,575,15601,507,14467,505,14307,-,-,1,158,1,2,68,1134,3,24,3,494,2,326,1,168,1,168,-,-,-,-
6,13113,1311301902,渋谷区,渋谷区神南,２丁目,渋谷区神南２丁目,38,6936,38,6936,-,-,38,6936,30,1458,30,1458,-,-,-,-,-,-,8,5478,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13113,1311303100,渋谷区,渋谷区千駄ヶ谷,,渋谷区千駄ヶ谷,2480,52319,2472,52245,241,669,2211,51524,2084,48489,2071,48340,3,9,6,115,4,25,127,3035,20,52,8,74,-,-,8,74,1,8,7,66,-,-
6,13113,1311303101,渋谷区,渋谷区千駄ヶ谷,１丁目,渋谷区千駄ヶ谷１丁目,322,4378,320,4368,37,88,283,4280,258,3560,257,3543,-,-,1,17,-,-,25,720,-,-,2,10,-,-,2,10,1,8,1,2,-,-
6,13113,1311303102,渋谷区,渋谷区千駄ヶ谷,２丁目,渋谷区千駄ヶ谷２丁目,243,2668,240,2633,29,64,208,2564,201,2385,201,2385,-,-,-,-,-,-,7,179,3,5,3,35,-,-,3,35,-,-,3,35,-,-
6,13113,1311303103,渋谷区,渋谷区千駄ヶ谷,３丁目,渋谷区千駄ヶ谷３丁目,694,9599,693,9598,49,130,642,9464,623,9002,617,8892,1,3,2,84,3,23,19,462,2,4,1,1,-,-,1,1,-,-,1,1,-,-
6,13113,1311303104,渋谷区,渋谷区千駄ヶ谷,４丁目,渋谷区千駄ヶ谷４丁目,377,10341,376,10332,41,119,329,10190,305,9341,303,9334,1,3,1,4,-,-,24,849,6,23,1,9,-,-,1,9,-,-,1,9,-,-
6,13113,1311303105,渋谷区,渋谷区千駄ヶ谷,５丁目,渋谷区千駄ヶ谷５丁目,844,25333,843,25314,85,268,749,25026,697,24201,693,24186,1,3,2,10,1,2,52,825,9,20,1,19,-,-,1,19,-,-,1,19,-,-
6,13113,1311303106,渋谷区,渋谷区千駄ヶ谷,６丁目,渋谷区千駄ヶ谷６丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13113,1311300600,渋谷区,渋谷区代官山町,,渋谷区代官山町,322,2079,321,2054,59,161,262,1893,252,1830,250,1827,-,-,2,3,-,-,10,63,-,-,1,25,-,-,1,25,-,-,1,25,-,-
5,13113,1311302200,渋谷区,渋谷区富ヶ谷,,渋谷区富ヶ谷,506,5828,504,5744,109,330,395,5414,373,4897,372,4896,-,-,1,1,-,-,22,517,-,-,2,84,-,-,2,84,1,38,1,46,-,-
6,13113,1311302201,渋谷区,渋谷区富ヶ谷,１丁目,渋谷区富ヶ谷１丁目,365,4482,364,4444,84,267,280,4177,268,3985,268,3985,-,-,-,-,-,-,12,192,-,-,1,38,-,-,1,38,1,38,-,-,-,-
6,13113,1311302202,渋谷区,渋谷区富ヶ谷,２丁目,渋谷区富ヶ谷２丁目,141,1346,140,1300,25,63,115,1237,105,912,104,911,-,-,1,1,-,-,10,325,-,-,1,46,-,-,1,46,-,-,1,46,-,-
5,13113,1311301300,渋谷区,渋谷区道玄坂,,渋谷区道玄坂,2018,38067,2018,38067,282,1178,1729,36873,1684,36365,1675,36332,4,11,3,5,2,17,45,508,7,16,-,-,-,-,-,-,-,-,-,-,-,-
6,13113,1311301301,渋谷区,渋谷区道玄坂,１丁目,渋谷区道玄坂１丁目,915,24977,915,24977,95,374,818,24600,790,24190,784,24165,2,6,2,2,2,17,28,410,2,3,-,-,-,-,-,-,-,-,-,-,-,-
6,13113,1311301302,渋谷区,渋谷区道玄坂,２丁目,渋谷区道玄坂２丁目,1103,13090,1103,13090,187,804,911,12273,894,12175,891,12167,2,5,1,3,-,-,17,98,5,13,-,-,-,-,-,-,-,-,-,-,-,-
5,13113,1311301200,渋谷区,渋谷区南平台町,,渋谷区南平台町,334,9742,334,9742,31,76,300,9657,282,9322,281,9319,-,-,-,-,1,3,18,335,3,9,-,-,-,-,-,-,-,-,-,-,-,-
5,13113,1311302300,渋谷区,渋谷区西原,,渋谷区西原,452,4426,447,4220,138,430,308,3789,286,3017,282,2974,3,40,1,3,-,-,22,772,1,1,5,206,-,-,5,206,1,138,4,68,-,-
6,13113,1311302301,渋谷区,渋谷区西原,１丁目,渋谷区西原１丁目,109,1299,108,1276,37,123,71,1153,63,992,63,992,-,-,-,-,-,-,8,161,-,-,1,23,-,-,1,23,-,-,1,23,-,-
6,13113,1311302302,渋谷区,渋谷区西原,２丁目,渋谷区西原２丁目,109,1303,105,1120,36,106,68,1013,59,437,58,420,1,17,-,-,-,-,9,576,1,1,4,183,-,-,4,183,1,138,3,45,-,-
6,13113,1311302303,渋谷区,渋谷区西原,３丁目,渋谷区西原３丁目,234,1824,234,1824,65,201,169,1623,164,1588,161,1562,2,23,1,3,-,-,5,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13113,1311302900,渋谷区,渋谷区幡ヶ谷,,渋谷区幡ヶ谷,781,7098,774,6789,283,850,491,5939,456,5447,449,5393,3,7,3,27,1,20,35,492,-,-,7,309,-,-,7,309,2,214,5,95,-,-
6,13113,1311302901,渋谷区,渋谷区幡ヶ谷,１丁目,渋谷区幡ヶ谷１丁目,198,2753,196,2539,47,163,149,2376,138,2283,138,2283,-,-,-,-,-,-,11,93,-,-,2,214,-,-,2,214,2,214,-,-,-,-
6,13113,1311302902,渋谷区,渋谷区幡ヶ谷,２丁目,渋谷区幡ヶ谷２丁目,362,3302,360,3270,122,444,238,2826,224,2545,220,2515,2,5,2,25,-,-,14,281,-,-,2,32,-,-,2,32,-,-,2,32,-,-
6,13113,1311302903,渋谷区,渋谷区幡ヶ谷,３丁目,渋谷区幡ヶ谷３丁目,221,1043,218,980,114,243,104,737,94,619,91,595,1,2,1,2,1,20,10,118,-,-,3,63,-,-,3,63,-,-,3,63,-,-
5,13113,1311300800,渋谷区,渋谷区鉢山町,,渋谷区鉢山町,38,731,37,673,8,20,29,653,26,461,26,461,-,-,-,-,-,-,3,192,-,-,1,58,-,-,1,58,1,58,-,-,-,-
5,13113,1311302600,渋谷区,渋谷区初台,,渋谷区初台,420,6182,415,6094,110,286,304,5807,290,5690,287,5682,1,2,1,1,1,5,14,117,1,1,5,88,-,-,5,88,-,-,5,88,-,-
6,13113,1311302601,渋谷区,渋谷区初台,１丁目,渋谷区初台１丁目,348,5207,344,5152,92,249,251,4902,241,4800,240,4795,-,-,-,-,1,5,10,102,1,1,4,55,-,-,4,55,-,-,4,55,-,-
6,13113,1311302602,渋谷区,渋谷区初台,２丁目,渋谷区初台２丁目,72,975,71,942,18,37,53,905,49,890,47,887,1,2,1,1,-,-,4,15,-,-,1,33,-,-,1,33,-,-,1,33,-,-
5,13113,1311300300,渋谷区,渋谷区東,,渋谷区東,885,16220,873,15771,101,338,772,15433,724,13418,718,13357,1,7,2,12,3,42,48,2015,-,-,12,449,-,-,12,449,2,286,9,106,1,57
6,13113,1311300301,渋谷区,渋谷区東,１丁目,渋谷区東１丁目,290,6841,287,6766,30,125,257,6641,246,6373,244,6359,-,-,1,5,1,9,11,268,-,-,3,75,-,-,3,75,-,-,2,18,1,57
6,13113,1311300302,渋谷区,渋谷区東,２丁目,渋谷区東２丁目,206,2419,202,2154,25,72,177,2082,168,2033,167,2026,-,-,1,7,-,-,9,49,-,-,4,265,-,-,4,265,1,236,3,29,-,-
6,13113,1311300303,渋谷区,渋谷区東,３丁目,渋谷区東３丁目,345,5249,343,5220,42,134,301,5086,281,4869,279,4836,-,-,-,-,2,33,20,217,-,-,2,29,-,-,2,29,-,-,2,29,-,-
6,13113,1311300304,渋谷区,渋谷区東,４丁目,渋谷区東４丁目,44,1711,41,1631,4,7,37,1624,29,143,28,136,1,7,-,-,-,-,8,1481,-,-,3,80,-,-,3,80,1,50,2,30,-,-
5,13113,1311300200,渋谷区,渋谷区広尾,,渋谷区広尾,841,12954,838,12882,151,510,683,12357,631,9105,625,8964,1,102,4,28,1,11,52,3252,4,15,3,72,-,-,3,72,-,-,3,72,-,-
6,13113,1311300201,渋谷区,渋谷区広尾,１丁目,渋谷区広尾１丁目,307,4528,305,4493,43,150,260,4340,246,4164,242,4049,1,102,2,2,1,11,14,176,2,3,2,35,-,-,2,35,-,-,2,35,-,-
6,13113,1311300202,渋谷区,渋谷区広尾,２丁目,渋谷区広尾２丁目,29,258,29,258,2,6,27,252,24,234,24,234,-,-,-,-,-,-,3,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13113,1311300203,渋谷区,渋谷区広尾,３丁目,渋谷区広尾３丁目,54,626,54,626,13,25,41,601,36,398,35,374,-,-,1,24,-,-,5,203,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13113,1311300204,渋谷区,渋谷区広尾,４丁目,渋谷区広尾４丁目,46,2794,46,2794,2,7,43,2777,27,237,27,237,-,-,-,-,-,-,16,2540,1,10,-,-,-,-,-,-,-,-,-,-,-,-
6,13113,1311300205,渋谷区,渋谷区広尾,５丁目,渋谷区広尾５丁目,405,4748,404,4711,91,322,312,4387,298,4072,297,4070,-,-,1,2,-,-,14,315,1,2,1,37,-,-,1,37,-,-,1,37,-,-
5,13113,1311302700,渋谷区,渋谷区本町,,渋谷区本町,941,12505,930,11989,330,854,598,11128,553,9572,545,9515,5,50,2,5,1,2,45,1556,2,7,11,516,-,-,11,516,2,331,9,185,-,-
6,13113,1311302701,渋谷区,渋谷区本町,１丁目,渋谷区本町１丁目,213,5418,209,5047,44,146,165,4901,157,4478,155,4474,1,2,-,-,1,2,8,423,-,-,4,371,-,-,4,371,2,331,2,40,-,-
6,13113,1311302702,渋谷区,渋谷区本町,２丁目,渋谷区本町２丁目,223,1276,223,1276,114,278,109,998,101,914,97,866,4,48,-,-,-,-,8,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13113,1311302703,渋谷区,渋谷区本町,３丁目,渋谷区本町３丁目,169,3730,169,3730,32,140,136,3584,128,2941,128,2941,-,-,-,-,-,-,8,643,1,6,-,-,-,-,-,-,-,-,-,-,-,-
6,13113,1311302704,渋谷区,渋谷区本町,４丁目,渋谷区本町４丁目,106,748,103,677,40,68,62,608,54,541,54,541,-,-,-,-,-,-,8,67,1,1,3,71,-,-,3,71,-,-,3,71,-,-
6,13113,1311302705,渋谷区,渋谷区本町,５丁目,渋谷区本町５丁目,93,364,91,317,44,84,47,233,42,217,40,212,-,-,2,5,-,-,5,16,-,-,2,47,-,-,2,47,-,-,2,47,-,-
6,13113,1311302706,渋谷区,渋谷区本町,６丁目,渋谷区本町６丁目,137,969,135,942,56,138,79,804,71,481,71,481,-,-,-,-,-,-,8,323,-,-,2,27,-,-,2,27,-,-,2,27,-,-
5,13113,1311301400,渋谷区,渋谷区円山町,,渋谷区円山町,355,5357,355,5357,72,264,282,5090,272,5025,271,5019,-,-,1,6,-,-,10,65,1,3,-,-,-,-,-,-,-,-,-,-,-,-
5,13113,1311302400,渋谷区,渋谷区元代々木町,,渋谷区元代々木町,209,2379,208,2342,43,106,165,2236,156,1995,154,1981,1,4,-,-,1,10,9,241,-,-,1,37,-,-,1,37,-,-,1,37,-,-
5,13113,1311303000,渋谷区,渋谷区代々木,,渋谷区代々木,2959,61389,2948,61270,443,1674,2489,59503,2280,53917,2270,53849,6,28,-,-,4,40,209,5586,16,93,11,119,2,7,9,112,1,31,8,81,-,-
6,13113,1311303001,渋谷区,渋谷区代々木,１丁目,渋谷区代々木１丁目,986,13390,983,13353,160,709,819,12620,743,10588,737,10540,4,15,-,-,2,33,76,2032,4,24,3,37,-,-,3,37,1,31,2,6,-,-
6,13113,1311303002,渋谷区,渋谷区代々木,２丁目,渋谷区代々木２丁目,1131,32004,1130,31975,163,585,961,31337,873,29404,871,29391,2,13,-,-,-,-,88,1933,6,53,1,29,-,-,1,29,-,-,1,29,-,-
6,13113,1311303003,渋谷区,渋谷区代々木,３丁目,渋谷区代々木３丁目,380,10894,376,10854,38,156,336,10691,311,9303,311,9303,-,-,-,-,-,-,25,1388,2,7,4,40,1,1,3,39,-,-,3,39,-,-
6,13113,1311303004,渋谷区,渋谷区代々木,４丁目,渋谷区代々木４丁目,285,3386,284,3380,57,153,224,3223,215,3166,214,3165,-,-,-,-,1,1,9,57,3,4,1,6,1,6,-,-,-,-,-,-,-,-
6,13113,1311303005,渋谷区,渋谷区代々木,５丁目,渋谷区代々木５丁目,177,1715,175,1708,25,71,149,1632,138,1456,137,1450,-,-,-,-,1,6,11,176,1,5,2,7,-,-,2,7,-,-,2,7,-,-
5,13113,1311302000,渋谷区,渋谷区代々木神園町,,渋谷区代々木神園町,26,608,26,608,-,-,26,608,8,107,8,107,-,-,-,-,-,-,18,501,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13113,1311399999,渋谷区,渋谷区その他,,渋谷区その他,3,13,3,13,-,-,3,13,3,13,3,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13114,1311400000,中野区,,,中野区,12917,128078,12756,122290,4727,12533,8001,109636,7385,95012,7305,94565,45,181,33,232,2,34,616,14624,28,121,161,5788,7,257,154,5531,28,2182,126,3349,-,-
5,13114,1311400800,中野区,中野区新井,,中野区新井,861,6565,852,6409,314,890,534,5498,501,4947,497,4931,2,3,2,13,-,-,33,551,4,21,9,156,2,8,7,148,1,70,6,78,-,-
6,13114,1311400801,中野区,中野区新井,１丁目,中野区新井１丁目,352,2751,352,2751,142,393,208,2353,199,2225,197,2216,1,1,1,8,-,-,9,128,2,5,-,-,-,-,-,-,-,-,-,-,-,-
6,13114,1311400802,中野区,中野区新井,２丁目,中野区新井２丁目,255,2017,254,2012,92,278,160,1718,149,1595,149,1595,-,-,-,-,-,-,11,123,2,16,1,5,-,-,1,5,-,-,1,5,-,-
6,13114,1311400803,中野区,中野区新井,３丁目,中野区新井３丁目,60,645,54,525,17,34,37,491,31,288,31,288,-,-,-,-,-,-,6,203,-,-,6,120,2,8,4,112,1,70,3,42,-,-
6,13114,1311400804,中野区,中野区新井,４丁目,中野区新井４丁目,72,449,71,422,20,65,51,357,47,289,46,287,1,2,-,-,-,-,4,68,-,-,1,27,-,-,1,27,-,-,1,27,-,-
6,13114,1311400805,中野区,中野区新井,５丁目,中野区新井５丁目,122,703,121,699,43,120,78,579,75,550,74,545,-,-,1,5,-,-,3,29,-,-,1,4,-,-,1,4,-,-,1,4,-,-
5,13114,1311401200,中野区,中野区江古田,,中野区江古田,349,3702,342,3569,123,279,219,3290,192,1779,189,1762,1,2,2,15,-,-,27,1511,-,-,7,133,-,-,7,133,1,29,6,104,-,-
6,13114,1311401201,中野区,中野区江古田,１丁目,中野区江古田１丁目,90,635,89,629,32,71,57,558,54,550,52,535,-,-,2,15,-,-,3,8,-,-,1,6,-,-,1,6,-,-,1,6,-,-
6,13114,1311401202,中野区,中野区江古田,２丁目,中野区江古田２丁目,78,767,73,674,27,81,46,593,43,342,43,342,-,-,-,-,-,-,3,251,-,-,5,93,-,-,5,93,1,29,4,64,-,-
6,13114,1311401203,中野区,中野区江古田,３丁目,中野区江古田３丁目,60,1175,60,1175,22,54,38,1121,25,232,24,230,1,2,-,-,-,-,13,889,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13114,1311401204,中野区,中野区江古田,４丁目,中野区江古田４丁目,121,1125,120,1091,42,73,78,1018,70,655,70,655,-,-,-,-,-,-,8,363,-,-,1,34,-,-,1,34,-,-,1,34,-,-
5,13114,1311401100,中野区,中野区江原町,,中野区江原町,231,3096,227,3024,74,189,153,2835,139,2641,138,2631,1,10,-,-,-,-,14,194,-,-,4,72,-,-,4,72,-,-,4,72,-,-
6,13114,1311401101,中野区,中野区江原町,１丁目,中野区江原町１丁目,67,1900,65,1834,15,40,50,1794,47,1755,46,1745,1,10,-,-,-,-,3,39,-,-,2,66,-,-,2,66,-,-,2,66,-,-
6,13114,1311401102,中野区,中野区江原町,２丁目,中野区江原町２丁目,91,765,89,759,34,78,55,681,46,529,46,529,-,-,-,-,-,-,9,152,-,-,2,6,-,-,2,6,-,-,2,6,-,-
6,13114,1311401103,中野区,中野区江原町,３丁目,中野区江原町３丁目,73,431,73,431,25,71,48,360,46,357,46,357,-,-,-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13114,1311401900,中野区,中野区上鷺宮,,中野区上鷺宮,283,2149,272,1874,89,241,183,1633,167,1348,167,1348,-,-,-,-,-,-,16,285,-,-,11,275,-,-,11,275,3,172,8,103,-,-
6,13114,1311401901,中野区,中野区上鷺宮,１丁目,中野区上鷺宮１丁目,31,214,30,194,9,28,21,166,18,107,18,107,-,-,-,-,-,-,3,59,-,-,1,20,-,-,1,20,-,-,1,20,-,-
6,13114,1311401902,中野区,中野区上鷺宮,２丁目,中野区上鷺宮２丁目,41,341,40,266,8,13,32,253,31,251,31,251,-,-,-,-,-,-,1,2,-,-,1,75,-,-,1,75,1,75,-,-,-,-
6,13114,1311401903,中野区,中野区上鷺宮,３丁目,中野区上鷺宮３丁目,60,525,58,518,14,39,44,479,37,355,37,355,-,-,-,-,-,-,7,124,-,-,2,7,-,-,2,7,-,-,2,7,-,-
6,13114,1311401904,中野区,中野区上鷺宮,４丁目,中野区上鷺宮４丁目,87,454,85,446,40,116,45,330,42,306,42,306,-,-,-,-,-,-,3,24,-,-,2,8,-,-,2,8,1,1,1,7,-,-
6,13114,1311401905,中野区,中野区上鷺宮,５丁目,中野区上鷺宮５丁目,64,615,59,450,18,45,41,405,39,329,39,329,-,-,-,-,-,-,2,76,-,-,5,165,-,-,5,165,1,96,4,69,-,-
5,13114,1311400700,中野区,中野区上高田,,中野区上高田,618,3230,609,3095,277,624,332,2471,288,1967,285,1948,2,16,1,3,-,-,44,504,-,-,9,135,-,-,9,135,2,30,7,105,-,-
6,13114,1311400701,中野区,中野区上高田,１丁目,中野区上高田１丁目,129,740,124,653,55,98,69,555,53,430,52,424,1,6,-,-,-,-,16,125,-,-,5,87,-,-,5,87,2,30,3,57,-,-
6,13114,1311400702,中野区,中野区上高田,２丁目,中野区上高田２丁目,119,911,118,909,47,135,71,774,64,597,63,594,-,-,1,3,-,-,7,177,-,-,1,2,-,-,1,2,-,-,1,2,-,-
6,13114,1311400703,中野区,中野区上高田,３丁目,中野区上高田３丁目,207,798,207,798,113,278,94,520,91,510,90,500,1,10,-,-,-,-,3,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13114,1311400704,中野区,中野区上高田,４丁目,中野区上高田４丁目,54,274,53,252,16,30,37,222,26,164,26,164,-,-,-,-,-,-,11,58,-,-,1,22,-,-,1,22,-,-,1,22,-,-
