産業分類階層,大分類,中分類,小分類,分類名,総数／事業所数（事業所）,総数／従業者数／総数（人）,総数／従業者数／男（人）,総数／従業者数／女（人）,単独事業所／事業所数（事業所）,独事業所／従業者数／総数（人）,単独事業所／従業者数／男（人）,単独事業所／従業者数／女（人）,本所・本社・本店／事業所数（事業所）,本所・本社・本店／従業者数／総数（人）,本所・本社・本店／従業者数／男（人）,本所・本社・本店／従業者数／女（人）,支所・支社・支店／事業所数（事業所）,支所・支社・支店／従業者数／総数（人）,支所・支社・支店／従業者数／男（人）,支所・支社・支店／従業者数／女（人）
3,E,22,220,管理，補助的経済活動を行う事業所,43,3789,3135,654,-,-,-,-,28,3470,2901,569,15,319,234,85
3,E,22,221,製鉄業,2,12,9,3,1,3,2,1,1,9,7,2,-,-,-,-
3,E,22,222,製鋼・製鋼圧延業,11,342,286,56,2,4,2,2,6,306,253,53,3,32,31,1
3,E,22,223,製鋼を行わない鋼材製造業（表面処理鋼材を除く）,48,1999,1603,244,23,277,97,28,17,1199,1009,190,8,523,497,26
3,E,22,224,表面処理鋼材製造業,7,53,35,18,6,43,32,11,1,10,3,7,-,-,-,-
3,E,22,225,鉄素形材製造業,92,915,752,163,72,565,475,90,13,304,240,64,7,46,37,9
3,E,22,229,その他の鉄鋼業,335,2275,1796,479,258,1337,1029,308,50,674,535,139,27,264,232,32
2,E,23,000,非鉄金属製造業,617,9182,7163,2019,437,2573,1833,740,128,6132,4997,1135,52,477,333,144
3,E,23,230,管理，補助的経済活動を行う事業所,51,2053,1684,369,-,-,-,-,45,1976,1638,338,6,77,46,31
3,E,23,231,非鉄金属第１次製錬・精製業,10,1075,918,157,3,8,4,4,7,1067,914,153,-,-,-,-
3,E,23,232,非鉄金属第２次製錬・精製業（非鉄金属合金製造業を含む）,80,811,637,174,64,375,288,87,8,359,284,75,8,77,65,12
3,E,23,233,非鉄金属・同合金圧延業（抽伸，押出しを含む）,135,2330,1881,449,119,661,469,192,10,1613,1365,248,6,56,47,9
3,E,23,234,電線・ケーブル製造業,95,1263,798,465,59,544,321,223,21,565,396,169,15,154,81,73
3,E,23,235,非鉄金属素形材製造業,179,1282,962,320,141,807,628,179,26,396,270,126,12,79,64,15
3,E,23,239,その他の非鉄金属製造業,67,368,283,85,51,178,123,55,11,156,130,26,5,34,30,4
2,E,24,000,金属製品製造業,6127,45955,34348,11607,5011,24887,17957,6930,745,15233,11617,3616,368,5830,4771,1059
3,E,24,240,管理，補助的経済活動を行う事業所,198,2489,1895,594,-,-,-,-,166,2180,1643,537,32,309,252,57
3,E,24,241,ブリキ缶・その他のめっき板等製品製造業,41,344,234,110,30,199,122,77,8,93,75,18,3,52,37,15
3,E,24,242,洋食器・刃物・手道具・金物類製造業,663,3755,2656,1099,567,2579,1812,767,64,934,643,291,30,238,199,39
3,E,24,243,暖房・調理等装置，配管工事用附属品製造業,179,1695,1235,460,126,697,476,221,35,827,618,209,18,171,141,30
3,E,24,244,建設用・建築用金属製品製造業（製缶板金業を含む）,1662,15285,12158,3127,1353,6144,4761,1383,180,5856,4678,1178,129,3285,2719,566
3,E,24,245,金属素形材製品製造業,973,5492,3874,1618,872,4272,2993,1279,71,974,682,292,29,245,198,47
3,E,24,246,金属被覆・彫刻業，熱処理業（ほうろう鉄器を除く）,1177,9302,6789,2513,1012,6253,4478,1775,96,2055,1525,530,69,994,786,208
3,E,24,247,金属線製品製造業（ねじ類を除く）,114,571,396,175,98,425,287,138,12,111,76,35,4,35,33,2
3,E,24,248,ボルト・ナット・リベット・小ねじ・木ねじ等製造業,505,2837,2035,802,443,1980,1385,595,43,707,542,165,19,150,108,42
3,E,24,249,その他の金属製品製造業,615,4185,3076,1109,510,2338,1643,695,70,1496,1135,361,35,351,298,53
2,E,25,000,はん用機械器具製造業,1731,24185,19353,4832,1270,9517,7387,2130,314,11009,8782,2227,147,3659,3184,475
3,E,25,250,管理，補助的経済活動を行う事業所,65,1233,925,308,-,-,-,-,56,1114,846,268,9,119,79,40
3,E,25,251,ボイラ・原動機製造業,31,348,290,58,24,160,128,32,6,182,156,26,1,6,6,-
3,E,25,252,ポンプ・圧縮機器製造業,284,5603,4473,1130,201,1297,948,349,56,3644,2897,747,27,662,628,34
3,E,25,253,一般産業用機械・装置製造業,501,9321,7576,1745,345,5184,4165,1019,96,2068,1625,443,60,2069,1786,283
3,E,25,259,その他のはん用機械・同部分品製造業,850,7680,6089,1591,700,2876,2146,730,100,4001,3258,743,50,803,685,118
2,E,26,000,生産用機械器具製造業,3709,37384,29443,7941,2833,15299,11783,3516,608,18352,14567,3785,267,3729,3089,640
3,E,26,260,管理，補助的経済活動を行う事業所,115,3764,2987,777,-,-,-,-,93,3592,2849,743,22,172,138,34
3,E,26,261,農業用機械製造業（農業用器具を除く）,23,410,316,94,16,107,73,34,4,63,42,21,3,240,201,39
3,E,26,262,建設機械・鉱山機械製造業,125,1636,1372,264,92,706,564,142,26,819,707,112,7,111,101,10
3,E,26,263,繊維機械製造業,37,219,153,66,29,105,56,49,7,112,96,16,1,2,1,1
3,E,26,264,生活関連産業用機械製造業,462,4617,3661,956,354,2260,1787,473,77,2092,1666,426,31,265,208,57
3,E,26,265,基礎素材産業用機械製造業,311,3866,3115,751,207,1264,985,279,76,2167,1770,397,27,431,356,75
3,E,26,266,金属加工機械製造業,1045,7363,5657,1706,846,4011,3033,978,127,2821,2217,604,72,531,407,124
3,E,26,267,半導体・フラットパネルディスプレイ製造装置製造業,320,7146,5613,1533,225,1695,1324,371,61,4178,3194,984,34,1273,1095,178
3,E,26,269,その他の生産用機械・同部分品製造業,1271,8363,6569,1794,1064,5151,3961,1190,137,2508,2026,482,70,704,582,122
2,E,27,000,業務用機械器具製造業,2056,36009,27280,8647,1448,11253,8123,3048,388,14293,10614,3679,219,10457,8540,1917
3,E,27,270,管理，補助的経済活動を行う事業所,93,5268,4244,1024,-,-,-,-,55,1399,1103,296,38,3869,3141,728
3,E,27,271,事務用機械器具製造業,109,3255,2637,618,68,1161,916,245,26,1233,961,272,15,861,760,101
3,E,27,272,サービス用・娯楽用機械器具製造業,205,6853,5604,1249,122,1033,781,252,49,2889,2232,657,34,2931,2591,340
3,E,27,273,計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業,794,9602,7276,2244,610,4723,3500,1141,125,3946,3019,927,58,927,754,173
3,E,27,274,医療用機械器具・医療用品製造業,568,8343,5688,2655,436,3052,2051,1001,84,3679,2517,1162,48,1612,1120,492
3,E,27,275,光学機械器具・レンズ製造業,284,2624,1783,841,210,1241,842,399,48,1126,767,359,26,257,174,83
3,E,27,276,武器製造業,3,64,48,16,2,43,33,10,1,21,15,6,-,-,-,-
2,E,28,000,電子部品・デバイス・電子回路製造業,1203,27421,21022,6399,833,7601,5036,2565,254,12200,9471,2729,116,7620,6515,1105
3,E,28,280,管理，補助的経済活動を行う事業所,66,4094,3240,854,-,-,-,-,55,3902,3117,785,11,192,123,69
3,E,28,281,電子デバイス製造業,101,5380,4820,560,54,631,493,138,31,2254,2032,222,16,2495,2295,200
3,E,28,282,電子部品製造業,264,6145,4535,1610,188,1563,878,685,55,2670,1989,681,21,1912,1668,244
