地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
6,13214,1321401602,国分寺市,国分寺市北町,２丁目,国分寺市北町２丁目,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401603,国分寺市,国分寺市北町,３丁目,国分寺市北町３丁目,1,1000,民営,71,39,32,-,-,-,-,-,-,7,6,1,64,33,31,64,33,31,27,18,9,37,15,22,-,-,-,-,-,-,-,-,-,71,39,32
6,13214,1321401603,国分寺市,国分寺市北町,３丁目,国分寺市北町３丁目,2,1100,個人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401603,国分寺市,国分寺市北町,３丁目,国分寺市北町３丁目,3,1210,会社,67,37,30,-,-,-,-,-,-,6,5,1,61,32,29,61,32,29,24,17,7,37,15,22,-,-,-,-,-,-,-,-,-,67,37,30
6,13214,1321401603,国分寺市,国分寺市北町,３丁目,国分寺市北町３丁目,3,1220,会社以外の法人,4,2,2,-,-,-,-,-,-,1,1,-,3,1,2,3,1,2,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,4,2,2
6,13214,1321401603,国分寺市,国分寺市北町,３丁目,国分寺市北町３丁目,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401604,国分寺市,国分寺市北町,４丁目,国分寺市北町４丁目,1,1000,民営,163,92,71,5,3,2,1,-,1,16,12,4,141,77,64,130,66,64,48,34,14,82,32,50,11,11,-,1,1,-,-,-,-,162,91,71
6,13214,1321401604,国分寺市,国分寺市北町,４丁目,国分寺市北町４丁目,2,1100,個人,9,6,3,5,3,2,1,-,1,-,-,-,3,3,-,2,2,-,2,2,-,-,-,-,1,1,-,1,1,-,-,-,-,8,5,3
6,13214,1321401604,国分寺市,国分寺市北町,４丁目,国分寺市北町４丁目,3,1210,会社,154,86,68,-,-,-,-,-,-,16,12,4,138,74,64,128,64,64,46,32,14,82,32,50,10,10,-,-,-,-,-,-,-,154,86,68
6,13214,1321401604,国分寺市,国分寺市北町,４丁目,国分寺市北町４丁目,3,1220,会社以外の法人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
