"","事業所名","平成27年度／定員","平成27年度／対象者延人数","平成27年度／工賃支払総額","平成27年度／工賃平均額"
"510","koentheTAO","20","2082","464455","223.1"
"511","かいとー","20","12343","2804050","227.2"
"512","パソコン工房ゆずりは","20","12335","3082650","249.9"
"513","作業所にしおぎ館","20","3160","906410","286.8"
"514","ワークスペースのぞみ","35","14202","6917791","487.1"
"515","東京都北区立王子福祉作業所","60","54007","6636832","122.9"
"516","東京都北区立赤羽西福祉作業所","55","39398","6774337","171.9"
"517","東京都北区立たばた福祉作業所","20","28329","1514523","53.5"
"518","たいよう","74","80547","10433784","129.5"
"519","作業所ボンエルフ","10","16105","1728209","107.3"
"520","東京都板橋福祉工場就労継続支援Ｂ型事業所","30","38472","4121190","107.1"
"521","やすらぎの杜","22","14393","1882220","130.8"
"522","山彦作業所","30","58242","5481082","94.1"
"523","オープンスペース街","20","6145","794920","129.4"
"524","やすらぎ夢工房","30","33780","6314449","186.9"
"525","あんずの家","20","12170","3864167","317.5"
"526","かがやけ第２共同作業所","60","63123","12659900","200.6"
"527","社会福祉法人東京コロニー東京都葛飾福祉工場立石工場","14","17736","5116738","288.5"
"528","もぐらの家","30","26136","3841186","147.0"
"529","東京光の村授産学園","20","15113","1826216","120.8"
"530","るーぷ","40","41857","7241525","173.0"
"531","浅川園","20","12209","6453903","528.6"
"532","森のぱんやさん","14","8367","3192000","381.5"
"533","いちょう企画","10","7007","3131481","446.9"
"534","木馬工房","12","26856","2194002","81.7"
"535","ぷらさｄｅかたくり","20","25564","6133100","239.9"
"536","ピアわかくさ","20","11117","3628561","326.4"
"537","キッチンさかえ","20","23202","1920323","82.8"
"538","栄福祉作業所","40","48054","4083500","85.0"
"539","なかま亭","36","45949","13606380","296.1"
"540","ジョイントワークひこばえ","14","10776","1959742","181.9"
"541","第２リサイクル洗びんセンター","10","13823","6405918","463.4"
"542","ゆいのもりつつじが丘","30","10513","4891838","465.3"
"543","あきしま福祉作業所","30","36954","2733100","74.0"
"544","昭島ひまわりの家","20","16896","2086409","123.5"
"545","リフレッシュ工房","10","2469","636555","257.8"
"546","クッキングハウス","29","16080","5285891","328.7"
"547","リサイクルショップ不思議屋","20","8109","2499753","308.3"
"548","創造印刷","20","28265","20043896","709.2"
"549","ボワ・アルモニー","40","48674","7111230","146.1"
"550","ラ・ドロン","20","7045","849920","120.7"
"551","クローバーの会","20","15101","2271854","150.4"
"552","富士清掃サービス","40","18669","10220020","547.4"
"553","富士作業所","40","12012","4522801","376.5"
"554","のぞみ作業所","55","65346","7788394","119.2"
"555","あさやけ第二作業所","40","24070","6749060","280.4"
"556","たんぽぽたかはたセンター","40","32407","5316830","164.1"
"557","くつろぎ","20","3042","149975","49.3"
"558","あきつの園","40","52901","9280160","175.4"
"559","愛の園実習室","40","72209","10631679","147.2"
"560","お弁当くらぶ","20","15864","3553726","224.0"
"561","十二月","20","3815","1144500","300.0"
"562","久米川共同作業所","20","18690","1869000","100.0"
"563","飛翔クラブ","20","27120","3785680","139.6"
"564","仲間の家","20","14644","1837440","125.5"
"565","かりん","20","13227","2031050","153.6"
"566","さつき共同作業所","25","6684","3667870","548.8"
"567","ワークステーションウーノ（おかし工房マーブル）","20","25417","2405200","94.6"
"568","麦わら帽子","14","13186","2527980","191.7"
"569","第一みんなの家","20","14246","2099930","147.4"
"570","第二みんなの家","20","15689","2335380","148.9"
"571","第三みんなの家","20","15933","2395200","150.3"
"572","かたつむりの会作業所","20","22982","4072400","177.2"
"573","ワークス多摩（工房レスト）","20","14514","6505250","448.2"
"574","ワークセンターれすと","20","16022","5369643","335.1"
"575","AROMA","20","15069","5366680","356.1"
"576","暉望（色えんぴつの家）","20","21039","3612188","171.7"
"577","黒潮作業所","20","7151","1430200","200.0"
"578","波浮港福祉作業所","10","10562","1892220","179.2"
"579","フェニックス","20","5024","2311110","460.0"
"580","就労センター拝島駅作業所","14","8364","1873475","224.0"
"581","ラムダ","20","15311","4029138","263.1"
"582","みどりの歩み","20","6494","1375922","211.9"
"583","就労継続支援事業所ワーク花きりん","20","8098","2628600","324.6"
"584","underthesamesky","20","8556","1287500","150.5"
"585","自立支援塾クリード青梅","23","17056","3136920","183.9"
"586","アリストランプ","20","15319","5136004","335.3"
"587","ワークセンターこむたん","14","15726","3681559","234.1"
"588","わかたけ作業所","20","18352","2064531","112.5"
"589","PACE","12","13125","1732653","132.0"
"590","アイエスエフネットベネフィット青山","40","47735","8116522","170.0"
"591","ほほえみ（喫茶ほほえみ）","20","11693","5508755","471.0"
"592","ハートリボン","20","21750","2197360","101.0"
"593","光の家就労ホーム","10","10049","1002810","99.8"
"594","どんぐりの家","25","17295","5237838","302.9"
"595","福祉作業所スマイル工房","20","8561","1690530","197.5"
"596","原町田スクエア","59","25458","5928412","232.9"
"597","あけぼの事業所","20","31686","10144093","320.1"
"598","ユニークジョブサポート","14","5506","2462133","447.2"
"599","ゆいのもり田中町","20","9477","2907370","306.8"
"600","きずな工房からまつ","20","8256","2108155","255.3"
"601","まんじゅう屋遊夢","20","11906","4060159","341.0"
"602","草夢","40","17023","9379751","551.0"
"603","夢畑","60","25567","10175859","398.0"
"604","遊夢","20","10049","8110090","807.1"
"605","ワークショップ奥多摩","20","3775","860700","228.0"
"606","アイル","20","2750","635921","231.2"
"607","クッキングワーク街の駅","20","6138","1576173","256.8"
"608","わーくあっぷ","40","26264","6566000","250.0"
"609","ワークスペースことのはBooks","20","17294","687318","39.7"
"610","デイセンターたまぷらねっと“わ”","20","6126","1170480","191.1"
"611","就労センター第２拝島駅作業所","20","7235","1570044","217.0"
"612","のんの","20","14658","1008700","68.8"
"613","リバティ世田谷","20","4822","2108980","437.4"
"614","トントゥハウス","20","7112","580075","81.6"
"615","共同作業所かたくり第１","20","12740","2697780","211.8"
"616","黎音","20","11020","997511","90.5"
"617","愛輪の里雅錦","20","23280","3379185","145.2"
"618","れっつ","20","10788","4396041","407.5"
"619","愛輪の里雅小茂根","20","23310","4104410","176.1"
"620","すこやか作業所","20","10946","3299374","301.4"
"621","綾瀬なないろ園","30","31381","4128940","131.6"
"622","木馬の会（ライブワークス）","10","11501","1431550","124.5"
"623","小金井市福祉共同作業所","10","7884","1303519","165.3"
"624","FTLビー・ワーク","12","12635","2417150","191.3"
"625","江東区障害者福祉センター","26","10754","2234915","207.8"
"626","草むらde夢（夢うさぎ）","40","12712","4360551","343.0"
"627","高次脳機能障がい者活動センター調布ドリーム","10","4141","1172425","283.1"
"628","やすらぎラウンジ","30","41874","6166105","147.3"
"629","シャイン","10","13891","2174490","156.5"
"630","はすの実作業所","20","20510","2171100","105.9"
"631","アルファ企画","20","14299","2216806","155.0"
"632","ワークセンター「あい」","20","4316","835919","193.7"
"633","しおん学園（忘れな草）","10","9845","2459620","249.8"
"634","ふらっと","20","4357","3472732","797.0"
"635","イーストフライト","10","9198","2739760","297.9"
"636","錦糸町就労支援センター","20","8289","1157702","139.7"
"637","新生したまち作業所","20","7399","1640589","221.7"
"638","福祉作業所おかし屋ぱれっと","20","22426","8414668","375.2"
"639","ねりま高松事業所","20","27236","2575969","94.6"
"640","ほっとスペース八王子","20","1801","446459","247.9"
"641","府中ひまわり園","10","1680","190990","113.7"
"642","グランデ","12","7430","879500","118.4"
"643","ひなた和楽館","10","5460","502887","92.1"
"644","第２赤い屋根","20","19872","2220100","111.7"
"645","こすもす福祉作業所","14","8043","828475","103.0"
"646","Beech","14","4875","1073215","220.1"
"647","アプローズ南青山","20","12531","2779225","221.8"
"648","西早稲田あした作業所","20","24878","9244805","371.6"
"649","高齢障害者通所施設さくら分室","20","8137","938698","115.4"
"650","のびのび作業所デリバリー","14","11971","2880110","240.6"
"651","のびのび作業所フーズ","14","19141","2184500","114.1"
"652","就労継続支援B型ガーデン","10","4809","199685","41.5"
"653","目黒区高次脳機能障害者支援センターいきいき＊せかんど","10","3505","171366","48.9"
"654","あかねの会清水実習所","20","18250","3414813","187.1"
"655","アン","20","3032","521105","171.9"
"656","中野区立弥生福祉作業所","45","56958","4905171","86.1"
"657","このはの家","20","5237","2306308","440.4"
"658","ワークハウス荒川第２","20","12753","3344993","262.3"
"659","練馬区立白百合福祉作業所","40","32122","5324011","165.7"
"660","あかねの会高松就労支援室","20","18032","1450557","80.4"
"661","大泉障害者支援ホーム","14","16315","1802728","110.5"
"662","やすらぎリバーシティ","30","9010","912458","101.3"
"663","リカバリーセンター転","10","2404","673169","280.0"
"664","柏の葉","20","12299","1462528","118.9"
"665","ワークステージりぷる","20","18202","5424700","298.0"
"666","ワークセンターゆうゆう舎","20","21959","7138825","325.1"
"667","ワークセンタータートルステップ","20","30899","3698870","119.7"
"668","カンタービレ","20","8403","1047855","124.7"
"669","森工房","14","19830","1681800","84.8"
"670","ともにードリーム","12","6200","1156778","186.6"
"671","コレカラ堂","20","9631","1152957","119.7"
"672","桜草追分工房","20","14946","443150","29.7"
"673","ちえホーム","20","6731","976750","145.1"
"674","ワークセンター・さくら","10","10998","481030","43.7"
"675","あいアイ工房","20","7680","623800","81.2"
"676","すたっかぁと","20","11394","1011798","88.8"
"677","パッソ西東京","20","8451","1353258","160.1"
"678","きぼう工房東くるめ","10","3300","674578","204.4"
"679","ひざしひろば","20","5596","977864","174.7"
"680","WORKSPACEhinata","20","6912","419986","60.8"
"681","おあしす","20","5932","566934","95.6"
"682","グリーンカフェ","20","5335","893926","167.6"
"683","ESPRITDEUX","20","13524","4271290","315.8"
"684","そらいろ作業所","20","11294","1250636","110.7"
"685","自立支援塾ぱん工房","10","3639","1296007","356.1"
"686","ノーマライゼーションK","20","6354","1487620","234.1"
"687","だいち調布事業所","20","13282","3511496","264.4"
"688","は～と豊島","20","5711","478251","83.7"
"689","シャロームみなみ風","15","6165","943741","153.1"
"690","コンフィデンス早稲田","10","5712","1406100","246.0"
"691","ワークプレイスぶんぶん","10","6268","566025","90.3"
"692","ふれあい作業所西大井","30","30005","15860807","528.6"
"693","ふれあい作業所西品川","20","19439","9719386","500.0"
"694","しいの実社学芸大学スマイルプラザ","20","25920","5362955","206.9"
"695","さぽーと・さら","20","6414","1352942","210.9"
"696","さくら美術工房","20","2727","311920","114.4"
"697","就労支援施設ゆに（ＵＮＩ）","20","4705","779738","165.7"
"698","広尾ジョイワーク","15","4612","378284","82.0"
"699","ワークセンター翔和","10","6072","1182700","194.8"
"700","自立支援センターまめの樹","15","999","499897","500.4"
"701","ヴイ長屋","20","10689","1973263","184.6"
"702","ぽけっと工房","20","2927","343650","117.4"
"703","手づくり工房たいさんぼく","20","3153","688891","218.5"
"704","ライフパートナーこぶし","10","5712","534743","93.6"
"705","小金井聖ヨハネ支援センター","20","17172","2493961","145.2"
"706","プラーナ新宿","10","2330","233000","100.0"
"707","寒緋桜","20","1923","753623","391.9"
"708","カラコネオフィス","20","3027","1333855","440.7"
"709","わかば第二事業所","20","24573","3926310","159.8"
"710","銀杏","10","6583","4867640","739.5"
"711","ワーカーズコープ青井","20","1489","311098","208.9"
"712","梅坪事業所","20","32057","11647382","363.3"
"713","ミナモ","20","2614","416220","159.2"
"714","ほうや福祉作業所","40","39380","5080550","129.0"
"715","ファースト・ステップ","20","1606","120753","75.2"
"716","しんわ町田事業所","20","779","40400","51.9"
"717","オフィスサプライ東京","30","6124","4929978","805.1"
"718","デイサービスＴＲＹ","10","2375","1197584","504.2"
"719","東京聴覚障害者支援センター","10","495","16914","34.2"
"720","ESPRIT","30","23023","8472640","368.0"
"721","にこにこファクトリー","20","373","36370","97.6"
"722","ビーパス","15","6324","558250","88.3"
"723","コミュニティワークＴ＆Ｋ","20","1650","245025","148.5"
"724","きゃとる","20","786","108970","138.6"
"725","ぽぷら八王子","10","1001","468655","468.2"
"726","かすたねっと桜台","20","34530","3643017","105.5"
"727","HACHIOJIFARMER'SKITCHENふぁむ","20","1177","148830","126.4"
"728","パソコンサロン夢像","50","568","459542","809.1"
"729","富士町作業所","40","8592","657527","76.5"
"730","愛輪の里雅前野町","20","2400","370855","154.5"
"731","こすもす浅草橋","10","0","0","0.0"
"732","おれんじルーム","20","0","0","0.0"
"","","","15963455","3484763706","218.3"
