"","事業所名","平成27年度／定員","平成27年度／対象者延人数","平成27年度／工賃支払総額","平成27年度／工賃平均額"
"432","らふぁえる","20","185","228411","1234.7"
"433","花音","20","268","1937640","7230.0"
"434","リトルハウス","20","280","975114","3482.6"
"435","愛輪の里雅","20","299","4852343","16228.6"
"436","けやき第二作業所","20","343","2472500","7208.5"
"437","けやき第一作業所","20","362","3129400","8644.8"
"438","クローバーズ・ピア日本橋","80","729","11845676","16249.2"
"439","ジョブアンティ","20","172","1811738","10533.4"
"440","工房時","20","263","2547828","9687.6"
"441","わくわく","20","319","2224741","6974.1"
"442","ワークイン翔","20","265","3087806","11652.1"
"443","すみれ工房","20","302","3181091","10533.4"
"444","ストライドクラブ","14","67","302916","4521.1"
"445","あゆみ福祉センター","30","363","2192272","6039.3"
"446","来夢","20","297","3565898","12006.4"
"447","ワン・ステップ","10","94","971250","10332.4"
"448","Ｓ．Ｇ．Ｓ．さんらいず","20","248","1843179","7432.2"
"449","一粒の麦","35","511","8611351","16852.0"
"450","綾瀬共同作業所","20","235","970090","4128.0"
"451","さくらハウス","20","367","2351946","6408.6"
"452","ふきのとう","10","31","371350","11979.0"
"453","ハッピーフルーツ","40","707","2861200","4047.0"
"454","リサイクルわかくさ","20","418","4001824","9573.7"
"455","たんぽぽ","20","304","2214255","7283.7"
"456","障害者就労プラザあいあい","14","186","1070130","5753.4"
"457","めじろ作業所","25","393","3604332","9171.3"
"458","オハナ農園","20","312","8110250","25994.4"
"459","すばる","18","192","2987763","15561.3"
"460","パン工房モナモナ","20","183","4274260","23356.6"
"461","若人塾","30","418","5487896","13128.9"
"462","瑞穂町精神障害者共同作業所","14","120","1437825","11981.9"
"463","スペース楽","20","294","4224625","14369.5"
"464","村山たんぽぽ","20","316","3111444","9846.3"
"465","第二悠遊舎えどがわ","20","264","1201519","4551.2"
"466","八幡作業所","14","221","6927950","31348.2"
"467","たんぽぽひのセンター","40","372","691825","1859.7"
"468","ジョブスペース游","25","309","2566500","8305.8"
"469","あとりえふぁんとむ","20","342","1412566","4130.3"
"470","就労支援センターファンタジア","35","675","4581250","6787.0"
"471","かがやき夢工場","29","456","2278653","4997.0"
"472","元明館","20","265","1341320","5061.6"
"473","爽々苑","20","245","7521510","30700.0"
"474","小金井聖ヨハネワークセンター","20","123","1834774","14916.9"
"475","サングリーン","25","391","5826862","14902.5"
"476","あさやけ鷹の台作業所","30","367","4882550","13304.0"
"477","プレワーク","20","271","4963085","18314.0"
"478","アイワークス","20","312","10491959","33628.1"
"479","かたつむり食堂","20","202","1365225","6758.5"
"480","第二ポピーの家","12","138","2628450","19046.7"
"481","クラブハウスはばたき","20","157","928636","5914.9"
"482","あしたや","20","251","9593534","38221.3"
"483","ときわの杜","20","137","1042376","7608.6"
"484","ＹＳＧ土の夢","20","347","1017163","2931.3"
"485","スローワールドおちかわ屋","20","363","2479714","6831.2"
"486","ぶどうの郷","20","494","3704409","7498.8"
"487","アートひまわり","20","247","700000","2834.0"
"488","工房マテリアル","20","107","1920320","17946.9"
"489","カバーヌ","20","339","4204625","12403.0"
"490","のびのび共同作業所大河","20","254","3314450","13049.0"
"491","平成の里","37","489","10423251","21315.4"
"492","ワークみらい","10","98","1329393","13565.2"
"493","ふれあい工房","20","211","1610260","7631.6"
"494","港区立障害保健福祉センターみなとワークアクティ","40","328","8634727","26325.4"
"495","みのり舎","20","351","3308895","9427.1"
"496","文京区立大塚福祉作業所","54","588","9945644","16914.4"
"497","文京区立小石川福祉作業所","36","430","5694088","13242.1"
"498","はあとぴーす","20","226","1013606","4485.0"
"499","コム・オアシス","20","376","3458708","9198.7"
"500","ドリームクラブハウス","20","240","314280","1309.5"
"501","トット文化館","20","223","2754843","12353.6"
"502","のぞみ園","20","132","8425840","63832.1"
"503","とちの実作業所","20","231","3061885","13254.9"
"504","みどり作業所","20","164","1754620","10698.9"
"505","ステップ夢","20","234","1255630","5365.9"
"506","社会福祉法人東京コロニー東京都大田福祉工場","24","329","11007207","33456.6"
"507","喫茶色えんぴつ","20","230","3612600","15707.0"
"508","ENTAS","25","410","2538121","6190.5"
"509","中野区東部福祉作業センター","20","212","3655620","17243.5"
