国籍区分,地域階層,地域コード,地域,1月中／死亡数,2月中／死亡数,3月中／死亡数,4月中／死亡数,5月中／死亡数,6月中／死亡数,7月中／死亡数,8月中／死亡数,9月中／死亡数,10月中／死亡数,11月中／死亡数,12月中／死亡数,令和2年中の死亡数
外国人,4,13202,立川市,1,0,0,2,1,0,1,0,0,1,0,1,7
外国人,4,13203,武蔵野市,0,0,1,0,0,0,0,0,1,0,0,0,2
外国人,4,13204,三鷹市,0,0,0,1,0,1,0,0,0,1,0,0,3
外国人,4,13205,青梅市,1,3,0,0,0,2,0,0,1,2,0,1,10
外国人,4,13206,府中市,1,1,1,1,5,0,1,1,2,1,0,1,15
外国人,4,13207,昭島市,1,1,2,0,1,0,1,2,1,0,2,0,11
外国人,4,13208,調布市,2,1,1,2,2,2,0,0,0,0,0,2,12
外国人,4,13209,町田市,1,0,2,0,1,0,3,1,2,1,1,0,12
外国人,4,13210,小金井市,1,0,0,0,0,0,0,1,0,0,0,2,4
外国人,4,13211,小平市,2,0,1,0,2,0,0,0,1,1,0,0,7
外国人,4,13212,日野市,1,0,0,0,0,0,0,2,0,0,1,0,4
外国人,4,13213,東村山市,0,1,0,0,0,2,2,0,0,0,1,0,6
外国人,4,13214,国分寺市,1,0,0,0,0,0,1,0,0,1,0,0,3
外国人,4,13215,国立市,0,0,0,0,0,0,0,0,0,0,1,0,1
外国人,4,13218,福生市,1,0,2,1,1,1,2,2,1,3,1,0,15
外国人,4,13219,狛江市,1,1,0,0,2,0,0,1,0,0,0,0,5
外国人,4,13220,東大和市,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13221,清瀬市,0,0,0,0,0,1,1,0,0,1,1,1,5
外国人,4,13222,東久留米市,1,1,0,0,0,1,0,0,0,0,0,0,3
外国人,4,13223,武蔵村山市,0,1,0,0,0,2,0,0,0,0,0,1,4
外国人,4,13224,多摩市,1,1,0,0,0,1,0,1,0,0,0,0,4
外国人,4,13225,稲城市,2,1,0,1,1,0,1,1,0,0,0,0,7
外国人,4,13227,羽村市,0,0,0,0,1,0,0,1,1,3,0,0,6
外国人,4,13228,あきる野市,0,0,0,0,1,0,0,0,0,2,1,0,4
外国人,4,13229,西東京市,0,0,0,0,0,0,2,0,0,1,1,1,5
外国人,1,13550,町村部,0,0,0,0,0,0,0,1,0,0,0,1,2
外国人,2,13300,郡部,0,0,0,0,0,0,0,1,0,0,0,1,2
外国人,4,13303,瑞穂町,0,0,0,0,0,0,0,1,0,0,0,1,2
外国人,4,13305,日の出町,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13307,檜原村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13308,奥多摩町,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,2,13350,島部,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,3,13360,大島支庁,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13361,大島町,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13362,利島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13363,新島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13364,神津島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,3,13380,三宅支庁,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13381,三宅村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13382,御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,3,13400,八丈支庁,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13401,八丈町,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13402,青ヶ島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,3,13420,小笠原支庁,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13421,小笠原村,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
人口の動き（令和2年中）,,,,,,,,,,,,,,,,
第16－１・２・３表　区市町村、月別死亡数（総数、日本人、外国人）,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
