"年度","番号","受付日","建築物名称","建築主氏名","建築主住所","標識設置日","設計者事務所","設計者住所","施工者事務所","施工者住所","建築敷地地名地番","建築敷地住居表示","用途地域1","用途地域2","建築物用途","工事種別","建築物高さ(ｍ)","建築物階数","建築物構造","建築物基礎","敷地面積(㎡)","建築面積(㎡)","延べ面積(㎡)","工事着工予定","工事完了予定","表示用(ラベル)","経度","緯度","分類"
"3","181","2022/01/28 0:00:00","中野区白鷺１０６","株式会社　ヒロホーム","中野区東中野3-9-13","2022/01/27 0:00:00","株式会社　ヒロホーム","中野区東中野3-9-13","株式会社　ヒロホーム","中野区東中野3-9-13","白鷺1-618-6、13","白鷺1-6-32","第1種低層住居専用地域","","一戸建ての住宅","新築","9.603","地上3階","木造","べた基礎","79.03","51.5","131.35","2022/03/15 0:00:00","2022/07/31 0:00:00","3-181","139.638710039989","35.7163569197792","令和３年度"
"5","57","2023/06/05 0:00:00","（仮称）中野区白鷺１丁目No.３　B号棟　新築工事","株式会社　三栄建築設計","杉並区西荻北2-1-11","2023/06/02 0:00:00","株式会社　三栄建築設計　東京支店","杉並区上荻1-2-1","株式会社　三栄建築設計","新宿区西新宿1-25-1","白鷺1-617-5、7各一部","白鷺1-5","第１種低層住居専用地域","","一戸建ての住宅","新築","9.467","地上3階","木造","べた基礎","83.98","41.83","88.92","2023/07/21 0:00:00","2023/10/23 0:00:00","5-57","139.638757941","35.7159180479186","令和５年度"
"5","104","2023/08/21 0:00:00","中野区鷺宮336①　新築工事","株式会社　ホーク・ワン","新宿区西新宿3-2-11　新宿三井ビル二号館　13F","2023/08/17 0:00:00","SCaD 株式会社　一級建築士事務所","立川市栄町2-43-10","株式会社　ホーク・ワン","杉並区宮前1-15-13","鷺宮3-179-5","鷺宮3-36-1","第１種低層住居専用地域","","一戸建ての住宅","新築","9.337","地上3階","木造","べた基礎","73.66","43.68","109.92","2023/10/10 0:00:00","2024/02/10 0:00:00","5-104","139.638776164158","35.725200263804","令和５年度"
"4","152","2022/12/06 0:00:00","白鷺２　新築工事","株式会社　ケイディアイ","中央区銀座2-7-18　藤田ビル　5F","2022/12/05 0:00:00","株式会社　ケイディアイ　一級建築士事務所","中央区銀座2-7-18　藤田ビル　5F","株式会社　ケイディアイ","中央区銀座2-7-18　藤田ビル　5F","白鷺1-616-7","白鷺1-5","第1種低層住居専用地域","","一戸建ての住宅","新築","8.747","地上3階","木造","べた基礎","47.61","28.28","79.25","2023/02/01 0:00:00","2023/06/15 0:00:00","4-152","139.638798187731","35.7161493729007","令和４年度"
"4","160","2022/12/22 0:00:00","個人","個人","個人","2022/12/19 0:00:00","アーキトレイン　一級建築士事務所","新宿区下落合1-1-1-510","株式会社　関口工務店","中野区若宮3-34-11","鷺宮3-1209-2","鷺宮3-18-7","近隣商業地域","","店舗・共同住宅","新築","12.5","地上4階","鉄筋コンクリート造","杭基礎","106.62","74.89","285.19","2023/03/20 0:00:00","2024/02/10 0:00:00","4-160","139.638813576383","35.7234129424057","令和４年度"
"4","87","2022/07/14 0:00:00","スマイルファミリー中野区白鷺１丁目　新築工事","株式会社　スマイルエコ","板橋区赤塚5-5-5","2022/07/10 0:00:00","株式会社　雅Style　一級建築士事務所","練馬区富士見台2-18-16 2F","株式会社　ケイツー","西東京市東町3-9-6","白鷺1-619-9の一部","白鷺1-6","第1種低層住居専用地域","","一戸建ての住宅","新築","9.896","地上3階","木造","直接基礎","43.64","28.28","76","2022/08/25 0:00:00","2022/12/15 0:00:00","4-87","139.639133267799","35.7162363488725","令和４年度"
"3","70","2021/07/05 0:00:00","個人","個人","個人","2021/06/30 0:00:00","積水ハウス株式会社　東京中央支店　一級建築士事務所","江東区亀戸2-35-13　新永ビル","積水ハウス株式会社","大阪府大阪市大淀中1-1-88　梅田スカイビルタワーイースト","鷺宮3-1217-5、1219","鷺宮3-15-13","第1種低層住居専用地域","近隣商業地域","共同住宅","新築","9.325","地上3階","鉄骨造","布基礎","167.57","112.55","321.68","2022/01/21 0:00:00","2022/07/04 0:00:00","3-70","139.639484741918","35.7227813260603","令和３年度"
"4","16","2022/04/18 0:00:00","個人","個人","個人","2022/04/16 0:00:00","株式会社　BLISS　一級建築士事務所","文京区湯島3-36-3","株式会社　BLISS","文京区湯島3-36-3","若宮2-409-22、24の一部","若宮2-60","第1種低層住居専用地域","","一戸建ての住宅","新築","9.275","地上3階","木造","べた基礎","84.01","38","83.27","2022/06/15 0:00:00","2022/11/15 0:00:00","4-16","139.639662623351","35.7180766137498","令和４年度"
"4","21","2022/04/20 0:00:00","STYLEPATIO若宮260C号棟　新築工事","株式会社　AGERIA","豊島区駒込1-21-16　プライムコート駒込　1F","2022/04/19 0:00:00","株式会社　BLISS　一級建築士事務所","文京区湯島3-36-3","株式会社　BLISS","文京区湯島3-36-3","若宮2-409-21の一部","若宮2-60","第1種低層住居専用地域","","一戸建ての住宅","新築","9.495","地上3階","木造","べた基礎","81.99","37.34","80.29","2022/06/01 0:00:00","2023/02/20 0:00:00","4-21","139.639694063406","35.7181494816459","令和４年度"
"3","184","2022/02/01 0:00:00","（仮称）中野区白鷺１丁目計画　新築工事","有限会社　昴エステート","中野区白鷺1-10-11","2022/01/28 0:00:00","積水ハウス株式会社　東京西シャーメゾン支店　一級建築士事務所","渋谷区代々木2-1-1　新宿マインズタワー　24F","積水ハウス株式会社　東京西シャーメゾン支店","渋谷区代々木2-1-1　新宿マインズタワー　24F","白鷺1-608-5","白鷺1-1-5","第1種低層住居専用地域","","共同住宅","新築","9.325","地上3階","鉄骨造","杭基礎","456.93","298.25","732.4","2022/04/11 0:00:00","2022/12/28 0:00:00","3-184","139.639995718486","35.7155655798578","令和３年度"
"5","143","2023/11/14 0:00:00","中野区大和町８　新築工事","株式会社　ケイディアイ","中央区銀座2-7-18　藤田ビル　5F","2023/11/11 0:00:00","株式会社　ケイディアイ　一級建築士事務所","中央区銀座2-7-18　藤田ビル　5F","株式会社　ケイディアイ","中央区銀座2-7-18　藤田ビル　5F","大和町4-554-7","大和町4-52-3","第１種低層住居専用地域","","一戸建ての住宅","新築","9.9","地上3階","木造","べた基礎","67.59","37.26","102.57","2023/12/10 0:00:00","2024/03/31 0:00:00","5-143","139.6413230251","35.716468499337","令和５年度"
"4","116","2022/09/26 0:00:00","中野区鷺宮３丁目ＰＪ　新築工事","大和ハウス工業株式会社","千代田区飯田橋3-13-1","2022/09/22 0:00:00","大和ハウス工業株式会社　東京集合　一級建築士事務所","千代田区飯田橋3-13-1","大和ハウス工業株式会社　東京本店","千代田区飯田橋3-13-1","鷺宮3-136-30","鷺宮3-42","第1種低層住居専用地域","","共同住宅","新築","8.689","地上3階","鉄骨造","杭基礎","191.31","109.97","327.45","2022/10/27 0:00:00","2023/02/12 0:00:00","4-116","139.641400099618","35.7251082981494","令和４年度"
"5","132","2023/10/24 0:00:00","中野区大和町４４２②２　新築工事","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","2023/10/18 0:00:00","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","大和町4-598-77の一部","大和町4-42","第１種低層住居専用地域","","一戸建ての住宅","新築","8.605","地上3階","木造","べた基礎","72.62","43.95","103.01","2023/12/20 0:00:00","2024/05/31 0:00:00","5-132","139.6415931343","35.7149600539304","令和５年度"
"4","13","2022/04/14 0:00:00","(仮称)若宮２丁目住宅A棟　新築工事","株式会社　リアルウィンズ","小金井市本町5-5-3","2022/04/12 0:00:00","創作社株式会社","武蔵野市吉祥寺南町2-20-8　E'b1d　2F","有限会社　アドバンス","埼玉県東松山市上野本1955-6","若宮2-401-4の一部","若宮2-49","第1種低層住居専用地域","","一戸建ての住宅","新築","9.988","地上3階","木造","べた基礎","74","48.97","117.18","2022/05/30 0:00:00","2022/09/30 0:00:00","4-13","139.641703694823","35.7181749838726","令和４年度"
"4","167","2022/12/26 0:00:00","個人","個人","個人","2022/12/26 0:00:00","株式会社　やなぎさわ建築設計室","新宿区早稲田鶴巻町109　DOMANI-401","未定","","大和町4-231-13","大和町4-40-3","第1種低層住居専用地域","","一戸建ての住宅","新築","8.785","地上3階","木造","べた基礎","64.39","43.2","87.97","2023/05/13 0:00:00","2023/12/16 0:00:00","4-167","139.641735260562","35.7130479227628","令和４年度"
"4","14","2022/04/14 0:00:00","(仮称)若宮２丁目住宅B棟　新築工事","株式会社　リアルウィンズ","小金井市本町5-5-3","2022/04/12 0:00:00","創作社株式会社","武蔵野市吉祥寺南町2-20-8　E'b1d　2F","有限会社　アドバンス","埼玉県東松山市上野本1955-6","若宮2-401-4の一部","若宮2-49","第1種低層住居専用地域","","一戸建ての住宅","新築","9.274","地上3階","木造","べた基礎","74.01","45.15","116.85","2022/05/30 0:00:00","2022/09/30 0:00:00","4-14","139.641757002899","35.7181710679015","令和４年度"
"3","25","2021/05/06 0:00:00","個人","個人","個人","2021/05/01 0:00:00","積水ハウス株式会社　東京北支店　一級建築士事務所","豊島区東池袋3-16-3　アーバンネット池袋ビル　1F","積水ハウス株式会社　東京西支店　一級建築士事務所","渋谷区代々木2-1-1　新宿マインズタワー　24F","大和町4-231-7","大和町4-40-3","第1種低層住居専用地域","","長屋","新築","9.789","地上3階","鉄骨造","布基礎","241.19","158.22","394.92","2021/07/31 0:00:00","2022/01/16 0:00:00","3-25","139.641748212584","35.712900646884","令和３年度"
"4","135","2022/11/08 0:00:00","(仮称)鷺宮３丁目・ＭＴＳマンション　新築工事","株式会社　ＭＴＳ","中野区新井1-2-27","2022/11/07 0:00:00","旭化成ホームズ株式会社　集合東京北　一級建築士事務所","豊島区東池袋1-18-1","旭化成ホームズ株式会社","千代田区神田神保町1-105","鷺宮3-136-11","鷺宮3-40-10","第1種低層住居専用地域","","共同住宅","新築","9.549","地上3階","鉄骨造","杭基礎","265.96","158.72","461.84","2023/03/04 0:00:00","2023/09/30 0:00:00","4-135","139.641775494964","35.7246657935177","令和４年度"
"4","219","2023/03/15 0:00:00","中野区若宮第７期（全２棟）１号棟　新築工事","株式会社　ホーク・ワン　新宿支店","新宿区西新宿3-2-11　新宿三井ビル二号館　13F","2023/03/10 0:00:00","SCaD株式会社　一級建築士事務所","立川市栄町2-43-10","株式会社　ホーク・ワン","杉並区宮前1-15-13","若宮3-290-3の一部","若宮3-28","第1種低層住居専用地域","","一戸建ての住宅","新築","9.676","地上3階","木造","べた基礎","63.35","38.92","104.84","2023/05/10 0:00:00","2023/09/10 0:00:00","4-219","139.642006360895","35.7213840779654","令和４年度"
"4","57","2022/06/10 0:00:00","中野区若宮３２３　C","株式会社　ヒロホーム","中野区東中野3-9-13","2022/06/09 0:00:00","株式会社　ヒロホーム","中野区東中野3-9-13","株式会社　ヒロホーム","中野区東中野3-9-13","若宮3-254-25の一部","若宮3-23","第1種低層住居専用地域","","一戸建ての住宅","新築","8.835","地上3階","木造","べた基礎","60","34.62","100.08","2022/07/15 0:00:00","2022/11/30 0:00:00","4-57","139.642032792885","35.7224053908158","令和４年度"
"4","220","2023/03/15 0:00:00","中野区若宮第７期（全２棟）２号棟　新築工事","株式会社　ホーク・ワン　新宿支店","新宿区西新宿3-2-11　新宿三井ビル二号館　13F","2023/03/10 0:00:00","SCaD株式会社　一級建築士事務所","立川市栄町2-43-10","株式会社　ホーク・ワン","杉並区宮前1-15-13","若宮3-290-3の一部","若宮3-28","第1種低層住居専用地域","","一戸建ての住宅","新築","9.417","地上3階","木造","べた基礎","64.21","41.4","105.77","2023/05/10 0:00:00","2023/09/10 0:00:00","4-220","139.642081356678","35.7213824645972","令和４年度"
"4","56","2022/06/10 0:00:00","中野区若宮３２３　B","株式会社　ヒロホーム","中野区東中野3-9-13","2022/06/09 0:00:00","株式会社　ヒロホーム","中野区東中野3-9-13","株式会社　ヒロホーム","中野区東中野3-9-13","若宮3-254-25の一部","若宮3-23","第1種低層住居専用地域","","一戸建ての住宅","新築","9.22","地上3階","木造","べた基礎","60","40.09","104.14","2022/07/15 0:00:00","2022/11/30 0:00:00","4-56","139.642092614979","35.7224147249118","令和４年度"
"5","87","2023/07/26 0:00:00","中野区若宮３２９②１号棟　新築工事","株式会社　ホーク・ワン","埼玉県さいたま市大宮区吉敷町3-139","2023/07/22 0:00:00","SCaD株式会社　一級建築士事務所","立川市栄町2-43-10","株式会社　ホーク・ワン","杉並区宮前1-15-13","若宮3-292-8","若宮3-29","第１種低層住居専用地域","","一戸建ての住宅","新築","9.856","地上3階","木造","べた基礎","60.01","32.92","88.18","2023/09/30 0:00:00","2024/01/30 0:00:00","5-87","139.642296699298","35.72092850019","令和５年度"
"5","175","2024/01/15 0:00:00","取下げ","","","","","","","","","","","","","","","","","","","","","","","5-175","139.642482103301","35.7235679564991","令和５年度"
"3","122","2021/10/28 0:00:00","Style中野区若宮３－１","ケイアイスター不動産株式会社","埼玉県本庄市西富田762-1","2021/10/26 0:00:00","ケイアイスター不動産株式会社　二級建築士事務所","埼玉県本庄市西富田762-1","ケイアイスター不動産株式会社","埼玉県本庄市西富田762-1","若宮2-392-1、7、10の一部","若宮2-48","第1種低層住居専用地域","","一戸建ての住宅","新築","9.402","地上3階","木造","べた基礎","62.65","38.92","90.67","2021/12/01 0:00:00","2022/06/30 0:00:00","3-122","139.642671300125","35.71899217575","令和３年度"
"3","123","2021/10/28 0:00:00","Style中野区若宮３－２","ケイアイスター不動産株式会社","埼玉県本庄市西富田762-1","2021/10/26 0:00:00","ケイアイスター不動産株式会社　二級建築士事務所","埼玉県本庄市西富田762-1","ケイアイスター不動産株式会社","埼玉県本庄市西富田762-1","若宮2-392-1、7、10の一部","若宮2-48","第1種低層住居専用地域","","一戸建ての住宅","新築","9.392","地上3階","木造","べた基礎","60.01","36.79","89.46","2021/12/01 0:00:00","2022/06/30 0:00:00","3-123","139.642721398112","35.7189922659287","令和３年度"
