年次,Year ,地域階層,地区コード,項番 Item number,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く) Lumber and wood products， except furniture,事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 Non-ferrous metals and products,事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 General-purpose machinery,事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,事業所数 Establishments／電気機械器具 Electrical machinery， equipment and supplies,事業所数 Establishments／情報通信機械器具 Information and communications equipment,事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) Lumber and wood products， except furniture,従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 Non-ferrous metals and products,従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 General-purpose machinery,従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,従業者数 Persons engaged／電気機械器具 Electrical machinery， equipment and supplies,従業者数 Persons engaged／情報通信機械器具 Information and communications equipment,従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) Lumber and wood products， except furniture,製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 Non-ferrous metals and products,製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 General-purpose machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 Electrical machinery， equipment and supplies,製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 Information and communications equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
平成22,2010,2,13214,14,国分寺市,Kokubunji-shi,29,944,561786,778511,1850470,1030417,1,-,1,-,-,-,5,3,-,1,-,-,-,-,-,2,-,2,4,2,3,2,1,2,26,-,6,-,-,-,55,42,-,11,-,-,-,-,-,52,-,25,37,90,87,498,6,9,x,-,x,-,-,-,90293,58802,-,x,-,-,-,-,-,x,-,x,37155,x,118285,x,x,x
平成22,2010,2,13215,15,国立市,Kunitachi-shi,26,375,124351,189696,376185,177725,5,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,1,3,2,4,3,2,3,81,-,-,-,-,-,6,-,-,14,-,-,-,-,-,11,-,10,108,14,40,49,15,27,91286,-,-,-,-,-,x,-,-,x,-,-,-,-,-,x,-,x,92491,x,41185,28558,x,28154
平成22,2010,2,13218,16,福生市,Fussa-shi,49,1511,563346,1692603,3250430,1479644,4,2,1,-,-,-,5,2,-,2,-,-,2,-,2,4,2,5,5,1,5,-,6,1,359,51,9,-,-,-,502,26,-,14,-,-,76,-,13,57,18,61,70,7,81,-,157,10,417323,x,x,-,-,-,1851840,x,-,x,-,-,x,-,x,100130,x,79752,96269,x,146441,-,248472,x
平成22,2010,2,13219,17,狛江市,Komae-shi,34,586,247473,1424289,2147716,708662,3,1,1,-,3,-,4,1,-,1,-,2,-,-,-,4,1,2,3,1,4,2,-,1,37,6,6,-,21,-,200,31,-,7,-,24,-,-,-,47,25,17,50,8,77,24,-,6,33106,x,x,-,33911,-,387707,x,-,x,-,x,-,-,-,51801,x,x,117067,x,560423,x,-,x
平成22,2010,2,13220,18,東大和市,Higashiyamato-shi,54,1332,597319,5169004,8662744,3345758,4,1,-,-,1,2,6,-,-,1,-,-,-,-,2,5,2,7,6,7,5,2,1,2,466,7,-,-,24,19,64,-,-,7,-,-,-,-,12,89,34,115,113,81,233,28,26,14,7334761,x,-,-,x,x,68107,-,-,x,-,-,-,-,x,110899,x,182896,459752,47376,298609,x,x,x
平成22,2010,2,13221,19,清瀬市,Kiyose-shi,23,820,364713,844073,1450137,591649,3,1,1,-,1,1,2,3,-,1,-,-,-,-,-,1,1,1,1,1,1,-,2,2,93,9,4,-,5,61,13,220,-,6,-,-,-,-,-,4,7,6,11,4,39,-,329,9,208326,x,x,-,x,x,x,506758,-,x,-,-,-,-,-,x,x,x,x,x,x,-,x,x
平成22,2010,2,13222,20,東久留米市,Higashikurume-shi,53,3682,1584253,7293302,14515778,6914310,7,1,-,-,4,-,4,-,-,-,-,-,2,-,1,5,3,5,6,5,4,1,-,5,2071,170,-,-,22,-,68,-,-,-,-,-,25,-,8,73,34,147,42,95,87,6,-,834,3686533,x,-,-,25059,-,156064,-,-,-,-,-,x,-,x,70115,56866,365833,39849,145624,117743,x,-,3289680
平成22,2010,2,13223,21,武蔵村山市,Musashimurayama-shi,148,4241,1555833,5294481,7945570,2559392,16,1,4,-,6,2,8,1,-,5,-,-,3,1,3,19,5,37,10,8,11,1,5,2,1333,4,105,-,221,27,110,6,-,48,-,-,32,15,12,333,113,1018,211,177,150,56,256,14,2682858,x,181262,-,794029,x,118192,x,-,76283,-,-,78478,x,7190,469574,144059,1757819,258922,322090,222746,x,501878,x
平成22,2010,2,13224,22,多摩市,Tama-shi,27,714,313960,746618,1580052,809890,1,-,-,-,-,-,6,-,-,2,-,-,-,-,-,1,1,4,3,3,2,2,-,2,59,-,-,-,-,-,195,-,-,51,-,-,-,-,-,4,4,32,217,34,40,66,-,12,x,-,-,-,-,-,471460,-,-,x,-,-,-,-,-,x,x,28848,503847,144110,x,x,-,x
平成22,2010,2,13225,23,稲城市,Inagi-shi,86,1800,862283,1368285,2774713,1341408,5,2,-,-,-,-,1,1,-,4,-,-,3,-,-,11,3,9,13,11,10,9,-,4,117,139,-,-,-,-,4,9,-,123,-,-,62,-,-,521,22,119,227,211,93,126,-,27,197530,x,-,-,-,-,x,x,-,122565,-,-,210210,-,-,1042103,27409,203927,279490,215404,139383,101888,-,30375
平成22,2010,2,13227,24,羽村市,Hamura-shi,78,8338,3894195,45626524,61118979,14941153,2,-,-,-,1,2,5,3,-,1,-,-,-,3,2,8,5,10,5,4,6,4,11,6,17,-,-,-,7,101,133,146,-,6,-,-,-,265,56,78,631,144,83,200,233,559,5154,525,x,-,-,-,x,x,579352,1105178,-,x,-,-,-,1614783,x,73721,1549532,202287,127185,248016,497850,1478567,52295736,1094856
平成22,2010,2,13228,25,あきる野市,Akiruno-shi,109,2216,935790,2056694,4039346,1899815,4,2,3,4,2,1,4,2,-,10,-,-,6,-,2,9,2,14,9,6,12,6,6,5,117,27,42,36,10,27,19,15,-,111,-,-,48,-,151,105,163,203,186,52,512,92,135,165,96560,x,87206,x,x,x,14418,x,-,111361,-,-,96559,-,x,119181,x,196560,301643,20760,1541730,158738,213076,246715
平成22,2010,2,13229,26,西東京市,Nishitokyo-shi,62,2674,1331404,9432849,13437922,4114916,15,-,1,-,2,2,7,1,-,1,-,1,-,-,-,3,-,7,8,4,2,3,1,4,236,-,4,-,10,23,118,14,-,7,-,8,-,-,-,36,-,56,587,37,11,77,4,1446,176345,-,x,-,x,x,199247,x,-,x,-,x,-,-,-,28322,-,89726,1336391,27471,x,121616,x,11350814
平成22,2010,1,13300,,郡部,All gun,296,8407,3708604,19018713,38532871,18723383,21,2,2,9,3,6,7,4,3,21,-,-,13,7,5,48,13,36,18,13,17,4,22,22,976,12,18,70,44,128,306,244,35,480,-,-,274,140,116,434,188,573,603,235,504,329,2360,338,2403380,x,x,82339,75678,164085,700582,840457,256697,839133,-,-,1681002,444812,253997,416319,205450,990099,2251688,248913,1378300,544264,23973874,747117
平成22,2010,1,13350,,島部,All islands,47,373,78028,124500,276482,123573,33,6,1,-,-,-,-,3,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,233,42,9,-,-,-,-,48,-,-,-,-,41,-,-,-,-,-,-,-,-,-,-,-,135048,x,x,-,-,-,-,26254,-,-,-,-,64129,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年） TOKYO STATISTICAL YEARBOOK ( 2011 ) 11 工業 11 MANUFACTURING INDUSTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-1 地域，産業別事業所数，従業者数及び製造品出荷額等 （平成21・22年） 11-1 ESTABLISHMENTS，EMPLOYEES，AND SHIPMENTS BY DISTRICT AND INDUSTRY ( 2009 and 2010 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
この表は，工業統計調査によるもので，東京都が集計した結果である。調査の時点は各年12月31日である。なお，従業者４人以上の事業所についての数値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is based on the Manufacturing Industry Survey taken on Dec. 31 of the year stated， with the results tabulated by the TMG. Figures are for establishments with 4 or more employees. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部産業統計課 「東京の工業（工業統計調査報告）」 Source: Bureau of General Affairs，T.M.G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位　金額　万円) (Value in ten thousands of yen) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
