年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of  employees 1),総数 Total／従業者数 Number of  employees 1) ／男 Male,総数 Total／従業者数 Number of  employees 1) ／女 Female,農業，林業 Agriculture and forestry／事業所数 Number of establishments,農業，林業 Agriculture and forestry／従業者数 Number of employees 1),農業，林業 Agriculture and forestry／従業者数 Number of employees 1)／男 Male,農業，林業 Agriculture and forestry／従業者数 Number of employees 1)／女 Female,漁業 Fisheries／事業所数 Number of establishments,漁業 Fisheries／従業者数 Number of employees 1),漁業 Fisheries／従業者数 Number of employees 1)／男 Male,漁業 Fisheries／従業者数 Number of employees 1)／女 Female,鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／事業所数 Number of establishments,鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／従業者数 Number of employees 1),鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／従業者数 Number of employees 1)／男 Male,鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／従業者数 Number of employees 1)／女 Female,建設業 Construction／事業所数 Number of establishments,建設業 Construction／従業者数 Number of employees 1),建設業 Construction／従業者数 Number of employees 1)／男 Male,建設業 Construction／従業者数 Number of employees 1)／女 Female,製造業 Manufacturing／事業所数 Number of establishments,製造業 Manufacturing／従業者数 Number of employees 1),製造業 Manufacturing／従業者数 Number of employees 1)／男 Male,製造業 Manufacturing／従業者数 Number of employees 1)／女 Female,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／事業所数 Number of establishments,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of employees 1),電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of employees 1)／男 Male,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of employees 1)／女 Female,情報通信業 Information and communications／事業所数 Number of establishments,情報通信業 Information and communications／従業者数 Number of employees 1) ,情報通信業 Information and communications／従業者数 Number of employees 1)／男 Male,情報通信業 Information and communications／従業者数 Number of employees 1)／女 Female,運輸業，郵便業 Transport and postal activities／事業所数 Number of establishments,運輸業，郵便業 Transport and postal activities／従業者数 Number of employees 1),運輸業，郵便業 Transport and postal activities／従業者数 Number of employees 1)／男 Male,運輸業，郵便業 Transport and postal activities／従業者数 Number of employees 1)／女 Female,卸売業，小売業 Wholesale and retail trade／事業所数 Number of establishments,卸売業，小売業 Wholesale and retail trade／従業者数 Number of employees 1),卸売業，小売業 Wholesale and retail trade／従業者数 Number of employees 1)／男 Male,卸売業，小売業 Wholesale and retail trade／従業者数 Number of employees 1)／女 Female,金融業，保険業 Finance and insurance／事業所数 Number of establishments,金融業，保険業 Finance and insurance／従業者数 Number of employees 1),金融業，保険業 Finance and insurance／従業者数 Number of employees 1)／男 Male,金融業，保険業 Finance and insurance／従業者数 Number of employees 1)／女 Female,不動産業，物品賃貸業 Real estate and goods rental and leasing／事業所数 Number of establishments,不動産業，物品賃貸業 Real estate and goods rental and leasing／従業者数 Number of employees 1),不動産業，物品賃貸業 Real estate and goods rental and leasing／従業者数 Number of employees 1)／男 Male,不動産業，物品賃貸業 Real estate and goods rental and leasing／従業者数 Number of employees 1)／女 Female,学術研究，専門・技術サービス業 Scientific research，professional and technical services／事業所数 Number of establishments,学術研究，専門・技術サービス業 Scientific research，professional and technical services／従業者数 Number of employees 1),学術研究，専門・技術サービス業 Scientific research，professional and technical services／従業者数 Number of employees 1)／男 Male,学術研究，専門・技術サービス業 Scientific research，professional and technical services／従業者数 Number of employees 1)／女 Female,宿泊業，飲食サービス業 Accommodations， eating and drinking services／事業所数 Number of establishments,宿泊業，飲食サービス業 Accommodations， eating and drinking services／従業者数 Number of employees 1),宿泊業，飲食サービス業 Accommodations， eating and drinking services／従業者数 Number of employees 1)／男 Male,宿泊業，飲食サービス業 Accommodations， eating and drinking services／従業者数 Number of employees 1)／女 Female,生活関連サービス業，娯楽業 Living-related and personal services and amusement services／事業所数 Number of establishments,生活関連サービス業，娯楽業 Living-related and personal services and amusement services／従業者数 Number of employees 1),生活関連サービス業，娯楽業 Living-related and personal services and amusement services／従業者数 Number of employees 1)／男 Male,生活関連サービス業，娯楽業 Living-related and personal services and amusement services／従業者数 Number of employees 1)／女 Female,教育，学習支援業 Education，learning support／事業所数 Number of establishments,教育，学習支援業 Education，learning support／従業者数 Number of employees 1),教育，学習支援業 Education，learning support／従業者数 Number of employees 1)／男 Male,教育，学習支援業 Education，learning support／従業者数 Number of employees 1)／女 Female,医療，福祉 Medical， health care and welfare／事業所数 Number of establishments,医療，福祉 Medical， health care and welfare／従業者数 Number of employees 1),医療，福祉 Medical， health care and welfare／従業者数 Number of employees 1)／男 Male,医療，福祉 Medical， health care and welfare／従業者数 Number of employees 1)／女 Female,複合サービス事業 Compound services／事業所数 Number of establishments,複合サービス事業 Compound services／従業者数 Number of employees 1),複合サービス事業 Compound services／従業者数 Number of employees 1)／男 Male,複合サービス事業 Compound services／従業者数 Number of employees 1)／女 Female,サービス業 (他に分類されないもの) Services， n.e.c.／事業所数 Number of establishments,サービス業 (他に分類されないもの) Services， n.e.c.／従業者数 Number of employees 1),サービス業 (他に分類されないもの) Services， n.e.c.／従業者数 Number of employees 1)／男 Male,サービス業 (他に分類されないもの) Services， n.e.c.／従業者数 Number of employees 1)／女 Female,公務（他に分類されるものを除く） Government， except elsewhere classified ／事業所数 Number of establishments,公務（他に分類されるものを除く） Government， except elsewhere classified ／従業者数 Number of employees 1),公務（他に分類されるものを除く） Government， except elsewhere classified ／従業者数 Number of employees 1)／男 Male,公務（他に分類されるものを除く） Government， except elsewhere classified ／従業者数 Number of employees 1)／女 Female
平成21,2009,3,13210,10,小金井市,Koganei-shi,3103,32790,17627,15163,4,34,23,…,-,-,-,…,-,-,-,…,219,1410,1100,…,105,1402,1018,…,6,135,129,…,65,631,366,…,35,1487,1302,…,751,6627,3078,…,38,529,245,…,297,980,588,…,181,1248,913,…,457,3645,1673,…,304,1643,864,…,160,5760,3577,…,312,4465,978,…,14,252,155,…,143,793,491,…,12,1749,1127,…
平成21,2009,3,13211,11,小平市,Kodaira-shi,4983,59746,34799,24918,12,82,57,…,-,-,-,…,-,-,-,…,553,3647,2949,…,229,11369,9736,…,3,31,27,…,60,352,226,…,79,2884,2378,…,1229,10097,4997,…,62,660,258,…,393,1229,731,…,233,2192,1446,…,641,5146,2124,…,481,2348,972,…,313,6710,3741,…,445,9302,2504,…,22,231,116,…,210,2230,1565,…,18,1236,972,…
平成21,2009,3,13212,12,日野市,Hino-shi,4896,62632,38686,23930,5,19,13,…,-,-,-,…,-,-,-,…,413,3141,2612,…,259,15957,13594,…,2,18,18,…,106,1789,1302,…,86,3078,2680,…,970,8615,4332,…,73,668,240,…,532,1452,802,…,290,2498,1758,…,592,5144,2095,…,434,1786,814,…,302,4680,2362,…,509,8542,2275,…,20,301,173,…,282,3636,2603,…,21,1308,1013,…
平成21,2009,3,13213,13,東村山市,Higashimurayama-shi,4112,41410,20371,21003,8,27,19,…,-,-,-,…,-,-,-,…,449,2486,1986,…,269,4121,2573,…,4,261,187,…,42,470,222,…,86,2678,2054,…,962,7926,3657,…,50,983,334,…,292,1087,609,…,162,817,565,…,590,4310,1607,…,433,2242,1015,…,187,2304,1025,…,378,8248,2320,…,20,415,193,…,164,1655,1027,…,16,1380,978,…
平成21,2009,3,13214,14,国分寺市,Kokubunji-shi,3772,37668,19755,17865,6,61,43,…,-,-,-,…,-,-,-,…,298,2043,1607,…,122,1837,1362,…,5,75,61,…,106,1457,1057,…,33,1059,872,…,882,7116,3350,…,42,661,180,…,336,1569,963,…,220,2888,2270,…,650,6036,2744,…,311,1810,817,…,201,3020,1389,…,366,4734,1100,…,13,171,92,…,159,2292,1306,…,22,839,542,…
平成21,2009,3,13215,15,国立市,Kunitachi-shi,2820,29216,15590,13608,1,4,3,…,-,-,-,…,-,-,-,…,187,1265,995,…,81,633,475,…,3,32,31,…,62,1002,625,…,53,2761,2292,…,684,6164,3069,…,25,441,176,…,322,1074,600,…,152,1023,661,…,355,3102,1338,…,254,1442,640,…,174,4408,2124,…,288,3670,977,…,13,154,84,…,153,1478,1103,…,13,563,397,…
平成21,2009,3,13218,16,福生市,Fussa-shi,2300,20264,10481,9761,3,19,15,…,-,-,-,…,1,1,1,…,199,1346,1136,…,131,1981,1232,…,2,67,51,…,20,182,126,…,27,821,739,…,598,4203,1992,…,37,493,128,…,123,587,320,…,92,1147,564,…,468,2854,1172,…,232,1049,422,…,97,1010,486,…,158,2644,629,…,7,68,33,…,91,951,720,…,14,841,715,…
平成21,2009,3,13219,17,狛江市,Komae-shi,2327,19469,10252,9217,6,35,29,…,-,-,-,…,-,-,-,…,325,1726,1403,…,127,1954,1381,…,1,16,15,…,51,284,179,…,28,856,760,…,511,3293,1510,…,27,253,93,…,291,984,572,…,101,711,538,…,260,1903,845,…,205,838,339,…,93,2360,778,…,177,2319,478,…,9,119,69,…,107,1360,936,…,8,458,327,…
平成21,2009,3,13220,18,東大和市,Higashiyamato-shi,2835,25413,12795,12586,2,22,15,…,-,-,-,…,-,-,-,…,396,2072,1648,…,157,1987,1317,…,2,18,14,…,39,471,344,…,59,1349,1121,…,691,6393,2818,…,34,342,113,…,183,812,525,…,108,588,334,…,375,2865,1153,…,264,1539,695,…,147,1439,597,…,236,3689,964,…,11,97,36,…,119,978,518,…,12,752,583,…
平成21,2009,3,13221,19,清瀬市,Kiyose-shi,2016,20498,8752,11717,3,11,9,…,-,-,-,…,-,-,-,…,222,1107,878,…,75,1072,521,…,2,19,16,…,23,105,87,…,23,547,465,…,509,3316,1350,…,25,257,79,…,141,479,284,…,77,621,433,…,275,2011,804,…,214,1119,463,…,103,1809,752,…,214,6401,1638,…,9,118,61,…,85,647,379,…,16,859,533,…
平成21,2009,3,13222,20,東久留米市,Higashikurume-shi,3037,31102,15968,15124,11,76,52,…,-,-,-,…,-,-,-,…,398,2439,1936,…,163,3942,2699,…,2,9,8,…,53,1113,416,…,52,1824,1540,…,769,7341,3421,…,36,638,226,…,275,905,518,…,116,480,300,…,319,2599,1058,…,262,1516,629,…,140,2279,998,…,262,3906,936,…,17,248,137,…,149,1221,715,…,13,566,379,…
平成21,2009,3,13223,21,武蔵村山市,Musashimurayama-shi,2680,27858,15366,12448,4,33,28,…,-,-,-,…,-,-,-,…,454,2479,1993,…,349,5194,3323,…,1,11,7,…,9,29,16,…,120,3439,2692,…,718,6665,3102,…,15,185,69,…,120,539,336,…,66,193,122,…,260,2053,751,…,177,1322,567,…,81,1170,515,…,145,3009,769,…,9,125,72,…,143,1044,747,…,9,368,257,…
平成21,2009,3,13224,22,多摩市,Tama-shi,3997,66931,34388,32441,6,48,39,…,-,-,-,…,-,-,-,…,251,1879,1357,…,119,3397,2465,…,10,172,160,…,127,5705,3822,…,53,6262,5300,…,1029,11413,5250,…,75,2880,953,…,343,1839,1056,…,253,2351,1318,…,520,6949,3165,…,373,4102,1758,…,188,5109,2308,…,350,8001,1939,…,16,177,96,…,264,5417,2433,…,20,1230,969,…
平成21,2009,3,13225,23,稲城市,Inagi-shi,2273,24616,12976,11583,10,87,65,…,-,-,-,…,-,-,-,…,305,2000,1614,…,226,3716,2753,…,5,47,44,…,50,867,772,…,37,1003,807,…,433,4480,2073,…,27,217,96,…,287,707,414,…,96,525,304,…,214,1707,675,…,174,1734,672,…,105,1593,621,…,162,4083,852,…,8,93,44,…,118,1281,844,…,16,476,326,…
平成21,2009,3,13227,24,羽村市,Hamura-shi,2241,27681,17484,10174,1,23,19,…,-,-,-,…,-,-,-,…,194,1110,883,…,175,8386,7146,…,9,131,119,…,25,387,238,…,49,1077,871,…,486,3941,1994,…,20,261,77,…,145,603,329,…,80,1579,1281,…,432,3069,1221,…,206,893,365,…,115,1274,535,…,169,2331,524,…,8,173,108,…,114,2097,1544,…,13,346,230,…
平成21,2009,3,13228,25,あきる野市,Akiruno-shi,2674,24362,12740,11588,9,52,45,…,-,-,-,…,-,-,-,…,424,2236,1796,…,261,2628,1798,…,5,65,64,…,22,206,161,…,40,1047,793,…,681,4862,2162,…,29,306,108,…,98,329,187,…,95,615,331,…,280,2240,1006,…,237,1654,794,…,112,1701,728,…,194,4154,1150,…,20,291,185,…,145,1209,876,…,22,767,556,…
平成21,2009,3,13229,26,西東京市,Nishitokyo-shi,5697,53097,26209,26832,5,25,18,…,-,-,-,…,-,-,-,…,596,4553,3703,…,236,3078,2244,…,3,59,54,…,99,1042,698,…,53,1692,1438,…,1373,10862,4881,…,84,1227,407,…,495,2093,1296,…,248,918,597,…,798,6127,2639,…,619,3454,1755,…,294,4313,1894,…,558,8115,1925,…,25,287,152,…,194,3666,1416,…,17,1586,1092,…
平成21,2009,1,13300,,郡部,All gun,2907,33674,20497,13135,14,125,105,…,3,29,23,…,5,61,56,…,392,1989,1617,…,598,9921,7638,…,7,55,52,…,8,59,44,…,114,3307,2488,…,723,6176,3018,…,19,164,82,…,81,323,208,…,60,434,286,…,281,2237,766,…,154,1352,670,…,68,861,396,…,147,4313,1529,…,16,146,76,…,167,1428,915,…,50,694,528,…
平成21,2009,3,13303,1,瑞穂町,Mizuho-machi,1682,21312,13735,7577,5,29,24,…,-,-,-,…,-,-,-,…,202,1088,894,…,458,7552,5923,…,1,7,6,…,7,57,43,…,88,2676,1953,…,439,4115,2253,…,10,118,58,…,57,250,163,…,32,237,145,…,105,1070,378,…,74,854,429,…,28,514,216,…,61,1583,487,…,5,63,30,…,93,795,513,…,17,304,220,…
平成21,2009,3,13305,2,日の出町,Hinode-machi,698,8684,4619,4023,5,52,41,…,-,-,-,…,3,14,12,…,106,467,374,…,99,1916,1407,…,2,10,10,…,1,2,1,…,13,496,424,…,168,1684,572,…,7,28,14,…,21,68,42,…,21,162,110,…,59,621,206,…,50,310,131,…,24,158,71,…,62,2004,758,…,4,34,19,…,44,494,306,…,9,164,121,…
平成21,2009,3,13307,3,檜原村,Hinohara-mura,183,1096,640,456,1,13,12,…,-,-,-,…,-,-,-,…,35,153,126,…,16,126,86,…,1,4,3,…,-,-,-,…,2,35,31,…,45,114,59,…,-,-,-,…,2,3,2,…,3,7,6,…,33,163,71,…,9,64,42,…,6,70,42,…,8,209,71,…,2,17,7,…,12,39,22,…,8,79,60,…
平成21,2009,3,13308,4,奥多摩町,Okutama-machi,344,2582,1503,1079,3,31,28,…,3,29,23,…,2,47,44,…,49,281,223,…,25,327,222,…,3,34,33,…,-,-,-,…,11,100,80,…,71,263,134,…,2,18,10,…,1,2,1,…,4,28,25,…,84,383,111,…,21,124,68,…,10,119,67,…,16,517,213,…,5,32,20,…,18,100,74,…,16,147,127,…
平成21,2009,1,13350,,島部,All islands,2511,14377,8581,5796,11,116,73,…,1,3,3,…,2,13,12,…,247,2119,1805,…,112,607,358,…,16,109,100,…,10,55,45,…,101,804,580,…,504,2259,1031,…,17,139,78,…,55,105,67,…,48,251,198,…,721,2326,889,…,214,582,339,…,79,957,626,…,106,1513,522,…,43,322,227,…,110,719,528,…,114,1378,1100,…
平成21,2009,2,13360,,大島支庁,Oshima-shicho,1277,6983,4056,2927,2,7,6,…,1,3,3,…,2,13,12,…,131,1004,843,…,57,293,174,…,7,46,43,…,5,28,24,…,44,355,252,…,309,1197,540,…,11,94,56,…,11,32,20,…,16,91,77,…,367,1206,454,…,96,277,166,…,36,508,352,…,52,911,342,…,19,116,76,…,62,335,242,…,49,467,374,…
平成21,2009,3,13361,1,大島町,Oshima-machi,663,4015,2323,1692,1,3,3,…,-,-,-,…,1,1,1,…,70,510,419,…,28,148,101,…,1,8,6,…,3,23,19,…,16,152,108,…,180,661,282,…,8,75,46,…,9,26,17,…,11,76,62,…,165,619,228,…,47,152,92,…,21,323,227,…,30,673,284,…,9,58,38,…,33,209,152,…,30,298,238,…
平成21,2009,3,13362,2,利島村,Toshima-mura,47,228,154,74,1,4,3,…,-,-,-,…,-,-,-,…,6,53,47,…,2,16,10,…,2,8,8,…,-,-,-,…,1,8,6,…,8,17,8,…,-,-,-,…,-,-,-,…,-,-,-,…,11,23,10,…,3,3,3,…,2,23,15,…,3,17,3,…,1,4,2,…,4,33,23,…,3,19,16,…
平成21,2009,3,13363,3,新島村,Niijima-mura,331,1674,961,713,-,-,-,…,1,3,3,…,1,12,11,…,32,283,247,…,20,103,43,…,2,10,10,…,2,5,5,…,19,142,98,…,67,281,121,…,2,12,6,…,2,6,3,…,3,13,13,…,106,344,137,…,19,52,30,…,8,91,61,…,11,136,33,…,7,39,27,…,18,63,49,…,11,79,64,…
平成21,2009,3,13364,4,神津島村,Kozushima-mura,236,1066,618,448,-,-,-,…,-,-,-,…,-,-,-,…,23,158,130,…,7,26,20,…,2,20,19,…,-,-,-,…,8,53,40,…,54,238,129,…,1,7,4,…,-,-,-,…,2,2,2,…,85,220,79,…,27,70,41,…,5,71,49,…,8,85,22,…,2,15,9,…,7,30,18,…,5,71,56,…
平成21,2009,2,13380,,三宅支庁,Miyake-shicho,225,1631,1153,478,3,34,30,…,-,-,-,…,-,-,-,…,28,377,324,…,6,20,8,…,2,9,9,…,1,11,11,…,13,84,64,…,33,149,65,…,2,15,9,…,2,4,4,…,1,7,5,…,50,167,80,…,27,51,32,…,5,97,60,…,7,74,25,…,9,62,46,…,14,169,144,…,22,301,237,…
平成21,2009,3,13381,1,三宅村,Miyake-mura,178,1393,997,396,3,34,30,…,-,-,-,…,-,-,-,…,23,312,266,…,6,20,8,…,1,4,4,…,1,11,11,…,9,71,56,…,26,117,54,…,2,15,9,…,2,4,4,…,1,7,5,…,42,141,69,…,16,32,22,…,3,73,46,…,5,67,24,…,7,46,32,…,12,160,139,…,19,279,218,…
平成21,2009,3,13382,2,御蔵島村,Mikurajima-mura,47,238,156,82,-,-,-,…,-,-,-,…,-,-,-,…,5,65,58,…,-,-,-,…,1,5,5,…,-,-,-,…,4,13,8,…,7,32,11,…,-,-,-,…,-,-,-,…,-,-,-,…,8,26,11,…,11,19,10,…,2,24,14,…,2,7,1,…,2,16,14,…,2,9,5,…,3,22,19,…
平成21,2009,2,13400,,八丈支庁,Hachijo-shicho,726,4016,2301,1715,3,9,8,…,-,-,-,…,-,-,-,…,61,545,479,…,37,269,164,…,4,26,22,…,2,8,3,…,32,262,200,…,134,762,356,…,3,25,10,…,26,44,26,…,18,79,57,…,210,679,249,…,69,177,94,…,30,252,149,…,36,368,111,…,11,92,71,…,24,116,70,…,26,303,232,…
平成21,2009,3,13401,1,八丈町,Hachijo-machi,696,3886,2213,1673,3,9,8,…,-,-,-,…,-,-,-,…,56,501,439,…,35,258,158,…,2,25,21,…,2,8,3,…,31,258,200,…,131,755,351,…,3,25,10,…,26,44,26,…,18,79,57,…,203,664,244,…,68,176,93,…,28,228,134,…,34,364,110,…,10,88,68,…,23,112,67,…,23,292,224,…
平成21,2009,3,13402,2,青ヶ島村,Aogashima-mura,30,130,88,42,-,-,-,…,-,-,-,…,-,-,-,…,5,44,40,…,2,11,6,…,2,1,1,…,-,-,-,…,1,4,-,…,3,7,5,…,-,-,-,…,-,-,-,…,-,-,-,…,7,15,5,…,1,1,1,…,2,24,15,…,2,4,1,…,1,4,3,…,1,4,3,…,3,11,8,…
平成21,2009,2,13420,,小笠原支庁,Ogasawara-shicho,283,1747,1071,676,3,66,29,…,-,-,-,…,-,-,-,…,27,193,159,…,12,25,12,…,3,28,26,…,2,8,7,…,12,103,64,…,28,151,70,…,1,5,3,…,16,25,17,…,13,74,59,…,94,274,106,…,22,77,47,…,8,100,65,…,11,160,44,…,4,52,34,…,10,99,72,…,17,307,257,…
平成21,2009,3,13421,1,小笠原村,Ogasawara-mura,283,1747,1071,676,3,66,29,…,-,-,-,…,-,-,-,…,27,193,159,…,12,25,12,…,3,28,26,…,2,8,7,…,12,103,64,…,28,151,70,…,1,5,3,…,16,25,17,…,13,74,59,…,94,274,106,…,22,77,47,…,8,100,65,…,11,160,44,…,4,52,34,…,10,99,72,…,17,307,257,…
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　8 事業所 8  ESTABLISHMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-1  地域， 産業 （大分類） 別事業所数及び男女別従業者数 （平成21年） 8-1 ESTABLISHMENTS， WORKERS， WORKERS BY GENDER， BY INDUSTRY (DIVISIONS) AND  DISTRICT  (2009)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
以下8-1～4表は「経済センサス-基礎調査」によるものであり，調査時点は，平成21年7月1日である。また，8-5～8表については「事業所・企業統計調査」によるものであり，調査時点は，各年10月1日（ただし，昭和61年，平成3年は7月1日）である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「経済センサス-基礎調査」及び「事業所・企業統計調査」の調査範囲は，東京都にあるすべての事業所 （物の生産や販売，サービスの提供が事業として継続的に行われている個々の場所）である。ただし，次のものは除外される。 ①個人経営の農林漁業　②家事サービス業　③外国公務に属する事業所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
なお、「経済センサス-基礎調査」と「事業所・企業統計調査」は調査方法が異なることから比較はできない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The following tables 8-1 to 8-4 are from the Economic Census based on a census conducted on July 1， 2009. Tables 8-5 to 8-8 are from the Establishment and Enterprise Census based on censuses conducted on October 1 each year (conducted on July 1 in 1986 and 1991).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The subjects of the Economic Census and the Establishment and Enterprise Census are all establishments in Tokyo (individual places that continually implement the manufacture and／or sales of goods or provision of services as their business). However， the following are excluded: (1)  agriculture， forestry， and fisheries under private management， (2) housekeeping services， (3) establishments engaged in foreign government affairs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Economic Census and Establishment and Enterprise Census cannot be compared because they were conducted under different methods.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 男女別が不詳の従業者が含まれるため，男性と女性の合計が総数に一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) The combined number of men and women may not equal the total figure because the total figure includes workers whose gender is unknown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部産業統計課 「平成２１年経済センサス-基礎調査報告」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:各支庁　3:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
