区分,排水量／5街区(m3),排水量／6街区(m3),排水量／7街区(m3),排水量／合計(m3),備考,（参考）地下ピットに設置した釜場（A.P.+1.5m）からの排水量／5街区(m3),（参考）地下ピットに設置した釜場（A.P.+1.5m）からの排水量／6街区(m3),（参考）地下ピットに設置した釜場（A.P.+1.5m）からの排水量／7街区(m3),（参考）地下ピットに設置した釜場（A.P.+1.5m）からの排水量／合計(m3),
2017-11-14／火,139.5,194.7,135.9,470.1,,82,77.9,69,228.9,
2017-11-15／水,111.4,163.1,149.9,424.3,,74,79,82,235,
2017-11-16／木,125.8,152.8,183.8,462.3,,84,76.6,83,243.6,
2017-11-17／金,156.1,130.8,185,471.9,,42,57.4,71,170.4,
2017-11-18／土,,,,,,,,,,
2017-11-19／日,,,,,,,,,,
2017-11-20／月,,,,,,65,93,94,252,
小計,189.3,315,295,799.3,,,,,,
2017-11-21／火,112.9,143.5,165,421.4,,72,64.1,96,232.1,
2017-11-22／水,109.6,85.5,129.6,324.7,,85,28.9,121,234.9,
2017-11-23／木,91.5,94.7,132.9,319.1,,,18.5,,18.5,
2017-11-24／金,33.2,145.2,76,254.4,,,83.8,52,135.8,
2017-11-25／土,29.7,87.5,125.9,243.1,,,,,,
2017-11-26／日,62.9,62.4,66.4,191.8,,,,,,
2017-11-27／月,74.1,149.1,119,342.1,,64,80.1,92,236.1,
2017-11-28／火,95.5,113.3,140.8,349.6,,57,65.4,76,198.4,
2017-11-29／水,105.8,126.1,159.6,391.6,,63,58.6,87,208.6,
2017-11-30／木,101,111.4,158,370.3,,70,58.9,90,218.9,
2017-12-01／金,96.1,112.7,138.1,346.9,,58,55,69,182,
2017-12-02／土,,,,,,,,,,
2017-12-03／日,,,,,,,,,,
2017-12-04／月,,,,,,56,69.8,57,182.8,
小計,171.3,244.5,244.9,660.7,,,,,,
2017-12-05／火,78.7,108.9,70.6,258.2,,60,63.1,51,174.1,
2017-12-06／水,47.2,60.1,130.4,237.8,,0,0,69,69,
2017-12-07／木,47.4,117.8,112.7,277.9,,32,77,29,138,
2017-12-08／金,94.4,119.9,78.6,292.9,,65,60,52,177,
2017-12-09／土,,,,,,,,,,
2017-12-10／日,,,,,,,,,,
2017-12-11／月,,,,,,16,86.1,75,177.1,
小計,110.1,219.1,92.5,421.7,,,,,,
2017-12-12／火,62.9,113.8,130.6,307.3,,29,62.4,45,136.4,
2017-12-13／水,31.7,79.2,73.7,184.6,,0,47.1,32,79.1,
2017-12-14／木,0,9.8,0,9.8,,0,0,0,0,
2017-12-15／金,70.9,134,109.6,314.6,,45,89.5,44,178.5,
2017-12-16／土,,,,,,,,,,
2017-12-17／日,,,,,,,,,,
2017-12-18／月,,,,,,0,74.8,45,119.8,
小計,73.3,212.3,153,438.5,,,,,,
2017-12-19／火,27.9,112.5,56.2,196.6,,0,62,31,93,
2017-12-20／水,29.2,58.4,84.5,172.1,,0,15.1,27,42.1,
2017-12-21／木,14.6,95.6,64,174.1,,0,60.2,26,86.2,
2017-12-22／金,6.7,46.4,35.5,88.5,,0,39.8,31,70.8,
2017-12-23／土,,,,,,,,,,
2017-12-24／日,,,,,,,,,,
2017-12-25／月,,,,,,67,86.7,54,207.7,
小計,123,213.1,155.9,492,,,,,,
2017-12-26／火,86.1,119.7,75.8,281.6,,49,60.1,42,151.1,
2017-12-27／水,54.3,93.7,65.4,213.3,,33,54.6,31,118.6,
2017-12-28／木,19.4,62.7,64,146.1,,,,12,12,
2017-12-29／金,,,,,,,,,,
2017-12-30／土,,,,,,,,35,35,
小計,44.4,75.1,89.1,208.6,,,,,,
2017-12-31／日,,,,,,,,,,
2018-01-01／月,,,,,,,,,,
2018-01-02／火,,,,,,,,,,
小計,58,112.6,90.1,260.6,,,,,,
2018-01-03／水,,,,,,,,,,
2018-01-04／木,,,,,,,88.8,49,137.8,
小計,29.2,136.8,100.2,266.2,,,,,,
2018-01-05／金,58,121.5,75.4,254.8,,39,54.8,30,123.8,
2018-01-06／土,14.5,41.9,25.6,82,,,,,,
2018-01-07／日,,,,,,,,,,
2018-01-08／月,,,,,,,,,,
2018-01-09／火,,,,,,26,78,69,173,
小計,43.5,172.8,89.5,305.8,,,,,,
2018-01-10／水,26,102.1,76.8,204.9,,0,44.8,3,47.8,
2018-01-11／木,0,75,68.2,143.2,,0,41.2,74,115.2,
2018-01-12／金,25.5,50,95.1,170.6,,5,12.8,23,40.8,
2018-01-13／土,,,,,,,,,,
2018-01-14／日,,,,,,,,,,
2018-01-15／月,,,,,,17,59.2,37,113.2,
小計,64.1,162.3,52.8,279.2,,,,,,
2018-01-16／火,13.1,87.4,63.5,164,,3,41.7,23,67.7,
2018-01-17／水,12.9,74.9,75.5,163.3,,4,31.9,20,55.9,
2018-01-18／木,12.9,74.9,52.9,140.7,,0,51.6,40,91.6,
2018-01-19／金,13,87.4,63,163.5,,2,33.6,65,100.6,
2018-01-20／土,,,,,,,,,,
2018-01-21／日,,,,,,,,,,
2018-01-22／月,,,,,,0,※4,0,0,
小計,54.4,162.3,39.3,256,,,,,,
2018-01-23／火,13.4,99.8,22.4,135.6,,0,※4,0,0,
2018-01-24／水,13.1,49.9,84.3,147.3,,3,※4,55,58,
2018-01-25／木,27.2,11.5,86.8,125.5,,0,※4,72,72,
2018-01-26／金,14.2,87.2,94.9,196.3,,2,※4,62,64,
2018-01-27／土,,,,,,,※4,,0,
2018-01-28／日,,,,,,,,,,
2018-01-29／月,,,,,,3,※4,71,74,
小計,41.3,266.9,116.6,424.7,,,,,,
2018-01-30／火,26,106.8,124.3,257.2,,2,※4,43,45,
2018-01-31／水,14.4,87.1,88.6,190.2,,2,※4,0,2,
2018-02-01／木,26.4,86.9,50.7,164,,0,35,34,69,
2018-02-02／金,7.2,62.1,63.4,132.8,,2,35,47,84,
2018-02-03／土,,,,,,,,,,
2018-02-04／日,,,,,,,,,,
2018-02-05／月,,,,,,1,38.6,59,98.6,
小計,60.6,74.5,149.9,285,,,,,,
2018-02-06／火,27.3,48.7,78.2,154.2,,1,17.9,0,18.9,
2018-02-07／水,27.5,38.3,55.2,121.1,,1,0,53,54,
2018-02-08／木,13.4,74.6,87.4,175.4,,1,52.1,32,85.1,
2018-02-09／金,14.5,87.1,60.2,161.7,,1,51.3,32,84.3,
2018-02-10／土,,,,,,1,,,1,
2018-02-11／日,,,,,,,,,,
2018-02-12／月,,,,,,1,,58,59,
小計,55.3,236.4,152.1,443.8,,,,,,
2018-02-13／火,14,49.8,75.8,139.5,,1,20,23,44,
2018-02-14／水,16.9,0,38.2,55.1,,1,0,19,20,
2018-02-15／木,31.1,53.7,68.7,153.5,,1,30.1,26,57.1,
2018-02-16／金,2.8,81,58,141.9,,1,35.8,25,61.8,
2018-02-17／土,,,,,,1,,,1,
2018-02-18／日,,,,,,,,,,
2018-02-19／月,,,,,,1,39.9,37,77.9,
小計,37.6,81.1,90.9,209.6,,,,,,
2018-02-20／火,5.1,68.5,35.8,109.5,,1,40.6,0,41.6,
2018-02-21／水,10.2,62.4,60.2,132.8,,1,39.2,22,62.2,
2018-02-22／木,23.7,95.8,46,165.4,,1,0,30,31,
2018-02-23／金,11.1,50.5,53.6,115.1,,1,33.7,18,52.7,
2018-02-24／土,,,,,,0,,,,
2018-02-25／日,,,,,,,,,,
2018-02-26／月,,,,,,4,36.9,26,66.9,
小計,60,212.2,101.9,374.1,,,,,,
2018-02-27／火,25.1,74.9,62.3,162.3,,1,26.2,25,52.2,
2018-02-28／水,12.9,56.2,39.6,108.8,,1,20.2,21,42.2,
2018-03-01／木,26.1,91.9,51,169,,10,34.9,29,73.9,
2018-03-02／金,25.7,64.2,80.3,170.3,,11,44.3,59,114.3,
2018-03-03／土,,,,,,,,,,
2018-03-04／日,,,,,,,,,,
2018-03-05／月,,,,,,17,44.2,66,127.2,
小計,77,115.6,149,341.5,,,,,,
2018-03-06／火,13,126.4,89.4,228.8,,2,57.3,0,59.3,
2018-03-07／水,25.7,95.9,51,172.5,,6,13,58,77,
2018-03-08／木,13.2,109.2,82.2,204.5,,1,38.5,25,64.5,
2018-03-09／金,38.8,141.3,107.1,287.2,,8,80.3,82,170.3,
2018-03-10／土,,,,,,13,,,13,
2018-03-11／日,,,,,,,,,,
2018-03-12／月,,,,,,1,73,57,131,
小計,72,183.4,160.6,416,,,,,,
2018-03-13／火,43.1,125.2,87.3,255.5,13日より、5・6街区の一部で、14日より、7街区の一部で真空ポンプによる揚水（ウェルポイント工）を開始（※5）,7,90.3,89,186.3,
2018-03-14／水,15.8,44.3,51.9,112,,16,25.6,18,59.6,
2018-03-15／木,67,130.5,101.5,299,,6,68.1,48,122.1,
2018-03-16／金,51.6,145.1,139.9,336.6,,23,62,50,135,
2018-03-17／土,,,,,,18,20.8,12,50.8,
2018-03-18／日,,,,,,,,,,
2018-03-19／月,,,,,,34,69.3,57,160.3,
小計,150,326.7,255.7,732.4,,,,,,
2018-03-20／火,56.2,143.1,101.5,300.9,,26,68.3,64,158.3,
2018-03-21／水,65.1,125.3,116.8,307.2,,47,27.4,52,126.4,
2018-03-22／木,65.3,86.8,129.4,281.5,,38,38.7,64,140.7,
2018-03-23／金,52.4,188.9,129.2,370.6,,32,114.9,79,225.9,
2018-03-24／土,,,,,,13,43.6,0,56.6,
2018-03-25／日,,,,,,,20.8,,20.8,
2018-03-26／月,,,,,,62,83.9,57,202.9,
小計,166.5,397.1,223.1,786.7,,,,,,
2018-03-27／火,117,153.8,113.4,384.3,,86,66.4,71,223.4,
2018-03-28／水,98.4,123.9,109.8,332.1,,61,47.9,70,178.9,
2018-03-29／木,81.1,140.3,77.4,298.8,,57,73,50,180,
2018-03-30／金,88.1,144.4,103.2,335.6,,58,49,50,157,
2018-03-31／土,,,,,,60,,69,129,
2018-04-01／日,,,,,,,,48,136,
小計,,,,,,,88,,,
2018-04-02／月,,,,,,,72,48,221,
小計,211.3,382.9,295.2,889.5,,101,,,,
2018-04-03／火,96.3,126.4,154.3,377,,57,55,123,235,
2018-04-04／水,87.9,87,141.2,316.1,,66,32,101,199,
2018-04-05／木,73.5,131.8,177.4,382.6,,60,53,129,242,
2018-04-06／金,88,119.2,169.8,377,,65,59,136,260,
2018-04-07／土,73,112.8,160.4,346.2,,65,45,123,233,
2018-04-08／日,73.2,94,118,285.3,,65,27,75,167,
2018-04-09／月,68,104.8,89.1,261.9,,39,55,75,169,
2018-04-10／火,64.2,102,100.1,266.3,,37,46,62,145,
2018-04-11／水,73.3,94,102.2,269.4,,42,41,76,159,
2018-04-12／木,59.9,106.5,114.4,280.7,,41,61,92,194,
2018-04-13／金,54.8,106.5,88.5,249.9,,24,35,35,94,
2018-04-14／土,40.7,70.8,76.5,188,,35,18,66,119,
2018-04-15／日,49.9,92.1,84.1,226.1,,36,22,66,124,
2018-04-16／月,44.4,94,99.6,238,,36,46,71,153,
2018-04-17／火,65.6,81.4,107.9,254.9,,34,32,77,143,
2018-04-18／水,30.1,94,113,237.2,,34,47,80,161,
2018-04-19／木,58,94,106.3,258.3,,34,36,79,149,
2018-04-20／金,44.2,119,113,276.2,,32,54,82,168,
2018-04-21／土,29.5,87.7,78.1,195.3,,20,53,50,123,
2018-04-22／日,44,68.9,44,156.9,,23,36,40,99,
2018-04-23／月,29.3,119.1,129.3,277.6,,24,46,80,150,
2018-04-24／火,42.1,106.5,42.5,191,,33,49,38,120,
2018-04-25／水,46.1,81.5,120.1,247.6,,34,68,90,192,
2018-04-26／木,44.4,144.2,121.2,309.8,,33,100,95,228,
2018-04-27／金,43.6,112.9,148.2,304.6,,26,63,98,187,
2018-04-28／土,44.2,150.5,90.9,285.6,,22,53,77,152,
2018-04-29／日,29.1,119.1,73.6,221.8,,28,53,54,135,
2018-04-30／月,38.3,112.8,68.9,220,,28,53,54,135,
2018-05-01／火,35.2,112.8,103.7,251.7,,21,60,54,135,
2018-05-02／水,44.2,100.2,78.9,223.3,,27,39,48,114,
2018-05-03／木,43.8,114.5,89.1,247.5,,30,52,65,147,
2018-05-04／金,44.1,104.6,96.2,245,,31,47,65,143,
2018-05-05／土,42.5,106.5,68.8,217.8,,29,44,49,122,
2018-05-06／日,31.1,94,63.4,188.5,,18,40,49,107,
2018-05-07／月,58.5,75.2,95.5,229.2,7日より、各街区の排水施設棟の改修等を実施しており、一時的に排水を他街区で行っている場合がある。,54,35,49,138,
2018-05-08／火,101.8,0,115.9,217.8,,95,0,69,164,
2018-05-09／水,102.1,0,123.9,226,,100,0,111,211,
2018-05-10／木,131.5,0,183.4,314.9,,113,0,138,251,
2018-05-11／金,131.9,5.5,152,289.3,,133,2,113,248,
2018-05-12／土,58.8,144.7,120.3,323.9,,32,74,,,
2018-05-13／日,59,149.1,101.9,309.9,,35,84,,,
2018-05-14／月,87.6,221.2,122.5,431.2,,100,143,,,
小計,,,,,,,,221,689,
2018-05-15／火,182.8,239.2,0,422,,163,164,0,327,
2018-05-16／水,123.6,162.6,0,286.2,,130,74,0,204,
2018-05-17／木,205.9,163,0,368.9,,187,83,0,270,
2018-05-18／金,79.6,169.8,128.1,377.5,,54,65,85,204,
2018-05-19／土,67.3,159.1,146.8,373.2,,48,68,83,199,
2018-05-20／日,58.9,142.1,128,329,,48,62,69,179,
2018-05-21／月,58.6,144.3,106.4,309.3,,46,75,77,198,
2018-05-22／火,29.6,162.3,119.6,311.4,,0,94,60,154,
2018-05-23／水,0,157.8,99.4,257.2,,0,96,61,157,
2018-05-24／木,0,154.7,100.8,255.5,,0,99,79,178,
2018-05-25／金,19,150.6,84.7,254.4,,21,115,64,200,
2018-05-26／土,48.8,129.5,119.8,298.2,,32,62,53,147,
2018-05-27／日,54.9,122.6,63.6,241.1,,45,58,53,156,
2018-05-28／月,72.1,124.2,91.6,287.8,,45,56,59,160,
2018-05-29／火,37.1,119.1,64.5,220.7,,34,63,32,129,
2018-05-30／水,49.7,113.9,63.6,227.2,,40,59,51,150,
2018-05-31／木,62.4,110.9,106.2,279.5,,39,55,59,153,
2018-06-01／金,43.8,107.6,94.8,246.2,,26,51,60,137,
2018-06-02／土,31.8,104.9,73.8,210.5,,30,33,36,99,
2018-06-03／日,50.8,101.4,50.7,202.9,,21,31,34,86,
2018-06-04／月,38.3,92,86.2,216.5,,22,31,41,94,
2018-06-05／火,25.6,92.7,68.8,187.1,,20,22,40,82,
2018-06-06／水,29.1,100.7,76.4,206.3,,26,30,42,98,
2018-06-07／木,43.8,126.1,82.6,252.5,,19,46,60,125,
2018-06-08／金,29.5,128,80.7,238.1,,17,31,55,103,
2018-06-09／土,44.1,123.7,87.3,255.1,,20,51,43,114,
2018-06-10／日,44.3,83.6,74.8,202.7,,36,31,44,111,
2018-06-11／月,43.6,161,120.1,324.7,,36,42,101,179,
2018-06-12／火,58.8,170.7,167.3,396.8,,46,58,147,251,
2018-06-13／水,87.4,165.3,158.9,411.6,,58,54,81,193,
2018-06-14／木,118.7,149.8,94.6,363.1,,85,47,36,168,
2018-06-15／金,66.5,155.6,81.5,303.6,,72,58,36,166,
2018-06-16／土,94.5,142.9,82.1,319.5,,77,48,34,159,
2018-06-17／日,58.5,116,71.4,246,,41,37,24,102,
2018-06-18／月,113.5,152.9,68.1,334.6,,72,48,37,157,
2018-06-19／火,83,144.6,79.7,307.2,,54,52,34,140,
2018-06-20／水,102.5,119.3,94.9,316.7,,87,39,60,186,
2018-06-21／木,46.3,176.6,122.8,345.7,,22,78,80,180,
2018-06-22／金,73.2,162.3,127.4,362.9,,37,55,86,178,
2018-06-23／土,57.8,114.5,77.2,249.5,,36,31,33,100,
2018-06-24／日,72.2,124,89.2,285.5,,44,33,36,113,
2018-06-25／月,58.1,142.5,108.2,308.8,,42,73,82,197,
2018-06-26／火,75.6,123.7,123.6,322.8,,42,35,83,160,
2018-06-27／水,72.1,139.8,128.7,340.6,,45,71,87,203,
2018-06-28／木,44.8,108.3,93.2,246.2,,20,31,37,88,
2018-06-29／金,72.6,133.5,110.6,316.7,,40,71,75,186,
2018-06-30／土,58.7,124,76.5,259.3,,30,40,29,99,
2018-07-01／日,73,85.8,60.7,219.5,,70,26,34,130,
2018-07-02／月,73.2,133.6,89.4,296.3,地下水管理システム機能強化工事が竣工,29,73,52,154,
2018-07-03／火,40.6,101.9,69.2,211.7,,20,36,30,86,
2018-07-04／水,44.7,106.3,76.4,227.4,,22,33,50,105,
2018-07-05／木,43.7,124,76.5,244.2,,17,51,35,103,
2018-07-06／金,57.7,133.7,76.5,267.9,,33,64,47,144,
2018-07-07／土,43.3,124.2,101.7,269.2,,32,43,53,128,
2018-07-08／日,47.7,103.6,86.9,238.2,,23,46,59,128,
2018-07-09／月,52.9,110.6,78.4,241.9,,33,35,42,110,
2018-07-10／火,54.1,111.2,69.8,235.1,,20,48,37,105,
2018-07-11／水,43.7,120.7,73,237.4,,21,55,41,117,
2018-07-12／木,57.9,127,70.5,255.4,,34,49,36,119,
2018-07-13／金,43.6,116.2,63.4,223.2,,32,49,32,113,
2018-07-14／土,43.5,106.4,75.6,225.5,,21,44,32,97,
2018-07-15／日,31.9,116.1,76.6,224.6,,10,47,42,99,
2018-07-16／月,69.6,96.7,51.5,217.8,,39,37,25,101,
2018-07-17／火,43.5,112.1,77.2,232.8,,23,53,38,114,
2018-07-18／水,61.3,72.9,38.5,172.7,,61,20,15,96,
2018-07-19／木,44.6,96.6,59.9,201.1,,5,43,25,73,
2018-07-20／金,43.3,97,64.1,204.4,,33,32,39,104,
2018-07-21／土,58,86.8,61.6,206.4,,27,36,30,93,
2018-07-22／日,43.4,96.7,64.1,204.2,,35,32,33,100,
2018-07-23／月,47.8,87,72.7,207.5,,23,38,43,104,
2018-07-24／火,43.7,90.1,52.9,186.7,,18,28,29,75,
2018-07-25／水,28.9,81,60.6,170.5,,22,33,33,88,
2018-07-26／木,58.4,89.6,55.9,203.9,,25,30,25,80,
2018-07-27／金,29,74.7,51.7,155.4,,22,23,25,70,
2018-07-28／土,43.4,87,64.5,194.9,,25,30,36,91,
2018-07-29／日,57.8,118.3,90.4,266.5,,30,51,65,146,
2018-07-30／月,51.7,104,64.6,220.3,,36,32,37,105,
2018-07-31／火,47.3,96.6,72.1,216,,25,32,40,97,

