区分１,区分２,該当数計（人）,割合計（％）,千代田区該当数（人）,千代田区割合（％）,中央区該当数（人）,中央区割合（％）,港区該当数（人）,港区割合（％）,新宿区該当数（人）,新宿区割合（％）,文京区該当数（人）,文京区割合（％）,台東区該当数（人）,台東区割合（％）,墨田区該当数（人）,墨田区割合（％）,江東区該当数（人）,江東区割合（％）,品川区該当数（人）,品川区割合（％）,目黒区該当数（人）,目黒区割合（％）,大田区該当数（人）,大田区割合（％）,世田谷区該当数（人）,世田谷区割合（％）,渋谷区該当数（人）,渋谷区割合（％）,中野区該当数（人）,中野区割合（％）,杉並区該当数（人）,杉並区割合（％）,豊島区該当数（人）,豊島区割合（％）,北区該当数（人）,北区割合（％）,荒川区該当数（人）,荒川区割合（％）,板橋区該当数（人）,板橋区割合（％）,練馬区該当数（人）,練馬区割合（％）,足立区該当数（人）,足立区割合（％）,葛飾区該当数（人）,葛飾区割合（％）,江戸川区該当数（人）,江戸川区割合（％）,八王子市該当数（人）,八王子市割合（％）,立川市該当数（人）,立川市割合（％）,武蔵野市該当数（人）,武蔵野市割合（％）,三鷹市該当数（人）,三鷹市割合（％）,青梅市該当数（人）,青梅市割合（％）,府中市該当数（人）,府中市割合（％）,昭島市該当数（人）,昭島市割合（％）,調布市該当数（人）,調布市割合（％）,町田市該当数（人）,町田市割合（％）,小金井市該当数（人）,小金井市割合（％）,小平市該当数（人）,小平市割合（％）,日野市該当数（人）,日野市割合（％）,東村山市該当数（人）,東村山市割合（％）,国分寺市該当数（人）,国分寺市割合（％）,国立市該当数（人）,国立市割合（％）,福生市該当数（人）,福生市割合（％）,狛江市該当数（人）,狛江市割合（％）,東大和市該当数（人）,東大和市割合（％）,清瀬市該当数（人）,清瀬市割合（％）,東久留米市該当数（人）,東久留米市割合（％）,武蔵村山市該当数（人）,武蔵村山市割合（％）,多摩市該当数（人）,多摩市割合（％）,稲城市該当数（人）,稲城市割合（％）,羽村市該当数（人）,羽村市割合（％）,あきる野市該当数（人）,あきる野市割合（％）,西東京市該当数（人）,西東京市割合（％）,西多摩郡瑞穂町該当数（人）,西多摩郡瑞穂町割合（％）,西多摩郡日の出町該当数（人）,西多摩郡日の出町割合（％）,西多摩郡楢原村該当数（人）,西多摩郡楢原村割合（％）,西多摩郡奥多摩町該当数（人）,西多摩郡奥多摩町割合（％）,大島町該当数（人）,大島町割合（％）,利島村該当数（人）,利島村割合（％）,新島村該当数（人）,新島村割合（％）,神津島村該当数（人）,神津島村割合（％）,三宅島三宅村該当数（人）,三宅島三宅村割合（％）,御蔵島村該当数（人）,御蔵島村割合（％）,八丈島八丈町該当数（人）,八丈島八丈町割合（％）,青ヶ島村該当数（人）,青ヶ島村割合（％）,小笠原村該当数（人）,小笠原村割合（％）
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,0,0.0,2,1.2,1,0.6,4,2.4,4,2.4,1,0.6,2,1.2,10,5.9,3,1.8,4,2.4,10,5.9,11,6.5,0,0.0,1,0.6,7,4.1,2,1.2,4,2.4,0,0.0,4,2.4,11,6.5,5,2.9,4,2.4,7,4.1,9,5.3,1,0.6,3,1.8,2,1.2,3,1.8,3,1.8,2,1.2,3,1.8,13,7.6,1,0.6,2,0.6,5,2.9,4,2.4,1,0.6,1,0.6,0,0.0,0,0.0,1,0.6,2,1.2,3,1.8,0,0.0,0,0.0,6,3.5,0,0.0,2,1.2,6,3.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,1,1.4,0,0.0,0,0.0,1,1.4,1,1.4,0,0.0,1,1.4,2,2.7,4,5.5,0,0.0,2,2.7,2,2.7,0,0.0,3,4.1,2,2.7,1,1.4,1,1.4,0,0.0,2,2.7,1,1.4,6,8.2,3,4.1,5,6.8,7,9.6,0,0.0,1,1.4,2,2.7,0,0.0,3,4.1,2,2.7,1,1.4,2,2.7,1,1.4,2,1.4,1,1.4,1,1.4,0,0.0,0,0.0,0,0.0,0,0.0,1,1.4,1,1.4,1,1.4,2,2.7,0,0.0,1,1.4,1,1.4,2,2.7,3,4.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用状況の管理状態別,その他,9,100.0,0,0.0,0,0.0,0,0.0,1,11.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.1,0,0.0,1,11.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.1,0,0.0,0,0.0,0,0.0,1,11.1,1,11.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,5,0.9,6,1.1,9,1.6,13,2.3,7,1.3,5,0.9,9,1.6,22,3.9,10,1.8,13,2.3,26,4.7,44,7.9,0,1.3,10,1.8,22,3.9,4,0.7,8,1.4,9,1.6,20,3.6,30,5.4,21,3.8,11,2.0,18,3.2,32,5.7,3,0.5,7,1.3,9,1.6,6,1.1,13,2.3,6,1.1,14,2.5,24,4.3,7,1.3,13,1.3,15,2.7,12,2.2,5,0.9,3,0.5,1,0.2,3,0.5,3,0.5,3,0.5,2,0.4,5,0.9,7,1.3,9,1.6,2,0.4,4,0.7,21,3.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,インターネットで調べた,505,100.0,3,0.6,8,1.6,3,0.6,8,1.6,12,2.4,4,0.8,6,1.2,18,3.6,15,3.0,10,2.0,22,4.4,35,6.9,7,0.8,6,1.2,17,3.4,4,0.8,7,1.4,6,1.2,17,3.4,34,6.7,22,4.4,12,2.4,19,3.8,29,5.7,11,2.2,11,2.2,11,2.2,0,0.0,14,2.8,1,0.2,16,3.2,19,3.8,5,1.0,10,1.0,11,2.2,12,2.4,6,1.2,5,1.0,1,0.2,2,0.4,2,0.4,4,0.8,5,1.0,3,0.6,8,1.6,6,1.2,1,0.2,6,1.2,14,2.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,4,0.7,9,1.7,5,0.9,13,2.4,5,0.9,6,1.1,7,1.3,23,4.2,12,2.2,7,1.3,18,3.3,38,7.0,4,1.7,11,2.0,16,2.9,4,0.7,2,0.4,5,0.9,17,3.1,31,5.7,31,5.7,10,1.8,27,5.0,39,7.2,11,2.0,10,1.8,10,1.8,2,0.4,17,3.1,8,1.5,12,2.2,24,4.4,9,1.7,11,1.7,13,2.4,7,1.3,6,1.1,5,0.9,1,0.2,4,0.7,2,0.4,5,0.9,2,0.4,0,0.0,7,1.3,9,1.7,3,0.6,3,0.6,10,1.8,2,0.4,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,1,0.3,7,2.0,5,1.4,11,3.2,4,1.2,2,0.6,5,1.4,9,2.6,9,2.6,6,1.7,14,4.0,35,10.1,9,1.7,5,1.4,12,3.5,4,1.2,1,0.3,2,0.6,9,2.6,16,4.6,18,5.2,9,2.6,22,6.4,17,4.9,4,1.2,6,1.7,6,1.7,3,0.9,10,2.9,7,2.0,10,2.9,12,3.5,3,0.9,7,0.9,8,2.3,3,0.9,4,1.2,2,0.6,1,0.3,0,0.0,3,0.9,3,0.9,3,0.9,1,0.3,2,0.6,5,1.4,5,1.4,1,0.3,8,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,0,0.0,2,3.4,1,1.7,1,1.7,0,0.0,0,0.0,3,5.1,2,3.4,2,3.4,1,1.7,1,1.7,4,6.8,6,1.7,1,1.7,3,5.1,0,0.0,0,0.0,1,1.7,3,5.1,2,3.4,6,10.2,1,1.7,4,6.8,4,6.8,1,1.7,2,3.4,0,0.0,1,1.7,0,0.0,1,1.7,2,3.4,1,1.7,0,0.0,2,0.0,2,3.4,0,0.0,0,0.0,1,1.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.7,2,3.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,販売店等から詳しく説明をうけた,88,100.0,0,0.0,2,2.3,0,0.0,2,2.3,2,2.3,1,1.1,1,1.1,2,2.3,2,2.3,1,1.1,6,6.8,7,8.0,1,0.0,1,1.1,6,6.8,0,0.0,0,0.0,3,3.4,3,3.4,5,5.7,5,5.7,0,0.0,5,5.7,4,4.5,2,2.3,4,4.5,2,2.3,1,1.1,2,2.3,1,1.1,4,4.5,4,4.5,0,0.0,0,0.0,3,3.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.1,3,3.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.3,1,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,1,4.8,0,0.0,0,0.0,1,4.8,0,0.0,0,0.0,1,4.8,0,0.0,1,4.8,1,4.8,0,0.0,2,9.5,0,0.0,1,4.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,9.5,1,4.8,1,4.8,1,4.8,1,4.8,0,0.0,1,4.8,0,0.0,0,0.0,1,4.8,1,4.8,0,0.0,1,4.8,0,0.0,0,0.0,0,0.0,1,4.8,1,4.8,0,0.0,1,4.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,334,100.0,3,0.9,1,0.3,6,1.8,3,0.9,7,2.1,5,1.5,5,1.5,13,3.9,13,3.9,5,1.5,21,6.3,24,7.2,3,0.9,5,1.5,16,4.8,7,2.1,7,2.1,2,0.6,15,4.5,15,4.5,15,4.5,5,1.5,22,6.6,18,5.4,0,0.0,2,0.6,6,1.8,3,0.9,6,1.8,4,1.2,3,0.9,13,3.9,5,1.5,8,1.5,10,3.0,7,2.1,1,0.3,2,0.6,0,0.0,1,0.3,0,0.0,2,0.6,4,1.2,4,1.2,5,1.5,4,1.2,0,0.0,0,0.0,8,2.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,その他,11,100.0,1,9.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,9.1,1,9.1,1,9.1,0,0.0,1,9.1,1,9.1,0,0.0,0,0.0,0,0.0,2,18.2,0,0.0,0,0.0,0,0.0,0,0.0,1,9.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,9.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,9.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
