項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年同月増加率（％）,35歳未満（円）,35～39歳（円）,40～44歳（円）,45～49歳（円）,50～54歳（円）,55～59歳（円）,60～64歳（円）,65歳以上（円）,（再掲）75歳以上（円）
2,7,9,2,0,842 843 845-849 84A 84Y,845,音楽・映像収録済メディア,281,65.3,172,15,498,649,422,726,159,117,160
2,7,9,2,0,842 843 845-849 84A 84Y,848,ペットフード,854,11.5,432,197,320,570,713,1632,1241,980,535
2,7,9,2,0,842 843 845-849 84A 84Y,84Y,他の愛玩動物・同用品,497,-35.7,90,146,455,376,580,750,1041,437,217
2,7,9,2,0,842 843 845-849 84A 84Y,84A,園芸用植物,64,-41.8,-,15,19,55,39,146,12,91,109
2,7,9,2,0,842 843 845-849 84A 84Y,847,園芸用品,146,44.6,-,73,77,156,48,38,143,221,130
2,7,9,2,0,842 843 845-849 84A 84Y,843,手芸・工芸材料,73,49,26,59,189,125,23,15,41,70,20
2,7,9,2,0,842 843 845-849 84A 84Y,849,電池,174,-1.7,45,254,126,185,145,119,174,197,215
2,7,9,2,0,842 843 845-849 84A 84Y,842,他の教養娯楽用品のその他,425,-1.4,277,933,467,964,534,203,158,310,154
2,7,9,2,0,0,84X,動物病院代,792,49.2,-,-,801,237,1009,140,503,1186,599
2,7,9,2,0,0,841,他の愛玩動物関連サービス,345,-38.2,-,846,431,96,143,109,448,408,14
2,7,9,2,0,0,844,教養娯楽用品修理代,16,...,-,-,-,21,131,-,-,-,-
2,5,9,3,0,0,0,書籍・他の印刷物,3988,5.1,1288,2547,2514,3708,3423,5324,4464,4595,4997
2,7,9,3,0,0,850,新聞,2679,2.7,454,402,940,1759,2531,3538,2895,3580,4073
2,7,9,3,0,0,851,雑誌（週刊誌を含む）,228,2.7,87,348,200,248,138,266,243,239,251
2,7,9,3,0,0,854,書籍,975,18.5,699,1687,1238,1639,685,1465,924,708,567
2,7,9,3,0,0,859,他の印刷物,106,-25.4,48,110,136,62,69,54,402,68,106
2,5,9,4,0,0,0,教養娯楽サービス,30716,-5.4,16691,40031,39804,37659,31925,42043,31059,25018,22959
2,6,9,4,1,0,860,宿泊料,7926,42.2,2015,14960,13072,12954,7356,18489,5815,4196,4106
2,6,9,4,2,0,0,パック旅行費,6812,-38.5,-,4925,2118,1648,7205,6074,9986,9101,7755
