,本部・消防署・出張所名,郵便番号,所在,電話番号,緯度,経度
262,国分寺消防署,185-0011,東京都国分寺市本多一丁目7番15号,423230119,35.7057672,139.4826954
263,国分寺消防署戸倉出張所,185-0004,東京都国分寺市新町一丁目14番8号,423240119,35.7110894,139.4516782
264,国分寺消防署西元出張所,185-0023,東京都国分寺市西元町一丁目13番31号,423250119,35.6943662,139.4701778
265,狛江消防署,201-0003,東京都狛江市和泉本町一丁目23番10号,334800119,35.640499,139.576518
266,狛江消防署猪方出張所,201-0015,東京都狛江市猪方二丁目5番16号,334880119,35.6272414,139.5844579
267,北多摩西部消防署,207-0023,東京都東大和市上北台一丁目956番地の1,425650119,35.7473294,139.4133659
268,北多摩西部消防署武蔵村山出張所,208-0022,東京都武蔵村山市榎一丁目1番36,425630119,35.74219009,139.3866081
269,北多摩西部消防署東大和出張所,207-0016,東京都東大和市仲原三丁目2番地6号,425620119,35.7462589,139.4382153
270,清瀬消防署,204-0012,東京都清瀬市中清戸二丁目852番6,424910119,35.78176029,139.5273632
271,清瀬消防署竹丘出張所,204-0023,東京都清瀬市竹丘二丁目7番6号,424920119,35.7652213,139.5110294
272,東久留米消防署,203-0052,東京都東久留米市幸町三丁目4番34号,424710119,35.757578,139.521737
273,東久留米消防署新川出張所,203-0013,東京都東久留米市新川町二丁目3番11号,424730119,35.762031,139.538791
274,西東京消防署,202-0013,東京都西東京市中町一丁目1番6号,424210119,35.738995,139.555329
275,西東京消防署田無出張所,188-0013,東京都西東京市向台町二丁目3番6号,424610119,35.7213892,139.5425356
276,西東京消防署西原出張所,188-0004,東京都西東京市西原町二丁目1番14号,424630119,35.7332063,139.5341449
277,西東京消防署保谷出張所,202-0004,東京都西東京市下保谷一丁目2番4号,424220119,35.7482156,139.5580302
278,第九消防方面本部,192-0032,東京都八王子市石川町2099番地の2,426480119,35.6685831,139.3578985
279,第九消防方面本部消防救助機動部隊訓練場,192-0375,東京都八王子市鑓水二丁目108番の2,426740119,35.6111695,139.3551663
280,八王子消防署,192-0902,東京都八王子市上野町３３番地,426250119,35.6557825,139.3266965
281,八王子消防署楢原出張所,193-0803,東京都八王子市楢原町５０１番地,426760119,35.6823613,139.3055099
282,八王子消防署元八王子出張所,193-0816,東京都八王子市大楽寺町366番地の1,426260119,35.6738656,139.294219
283,八王子消防署小宮出張所,192-0032,東京都八王子市石川町2099番地の2,426240119,35.6685824,139.3578963
284,八王子消防署浅川出張所,193-0834,東京都八王子市東浅川町882番地の2,426450119,35.6414579,139.2861158
285,八王子消防署北野出張所,192-0906,東京都八王子市北野町575番の1,426610119,35.6504054,139.3520889
286,八王子消防署由木出張所,192-0372,東京都八王子市下柚木542番地の8,426430119,35.6274241,139.3805731
287,八王子消防署みなみ野出張所,193-0935,東京都八王子市大船町1044番地2,426640119,35.6172651,139.3157837
288,青梅消防署,198-0031,東京都青梅市師岡町三丁目2番地の5,428220119,35.7889873,139.2834697
289,青梅消防署日向和田出張所,198-0046,東京都青梅市日向和田二丁目309番地１,428240119,35.7850179,139.2361001
290,青梅消防署長淵出張所,198-0052,東京都青梅市長淵三丁目203番地3,428210119,35.7777501,139.2749668
291,町田消防署,194-0032,東京都町田市本町田２３８０番地３,427940119,35.5494407,139.4489942
292,町田消防署忠生出張所,194-0035,東京都町田市忠生三丁目6番1号,427920119,35.5765859,139.4191947
293,町田消防署南出張所,194-0012,東京都町田市金森四丁目５番２号,427950119,35.5239902,139.4673916
294,町田消防署鶴川出張所,195-0061,東京都町田市鶴川三丁目2番4号,427350119,35.5900264,139.4669292
295,町田消防署西町田出張所,194-0211,東京都町田市相原町45番3号,427700119,35.6049246,139.3438539
296,町田消防署成瀬出張所,194-0044,東京都町田市成瀬八丁目9番20号,427200119,35.5430198,139.4692734
297,日野消防署,191-0016,東京都日野市神明二丁目14番地の３,425810119,35.6705253,139.3928472
298,日野消防署豊田出張所,191-0054,東京都日野市東平山三丁目1番23,425820119,35.6546919,139.3789198
299,日野消防署高幡出張所,191-0031,東京都日野市高幡714番地,425920119,35.6593401,139.4137561
300,福生消防署,197-0003,東京都福生市熊川722番１号,425520119,35.7439928,139.3245364
301,福生消防署羽村出張所,205-0002,東京都羽村市栄町二丁目21番9号,425540119,35.7689749,139.3113594
302,福生消防署瑞穂出張所,190-1221,東京都瑞穂町箱根ｹ崎2353番地,425560119,35.7727367,139.3544094
303,福生消防署熊川出張所,197-0003,東京都福生市熊川1297番地,425300119,35.7294412,139.3416305
304,多摩消防署,206-0024,東京都多摩市諏訪一丁目69番地,423750119,35.632526,139.44833
305,多摩消防署多摩センター出張所,206-0034,東京都多摩市鶴牧一丁目27番地１,423390119,35.6221371,139.4181465
306,秋川消防署,190-0142,東京都あきる野市伊奈466番地,425950119,35.734469,139.256364
307,秋川消防署秋留台出張所,197-0804,東京都あきる野市秋川五丁目6番地2号,425580119,35.731941,139.292471
308,秋川消防署檜原出張所,190-0214,東京都檜原村本宿526番地,425980119,35.7282992,139.1462026
309,奥多摩消防署,198-0212,東京都奥多摩町氷川952番地,428832299,35.8042608,139.0929366
