,2022年,,,,,,,,,2023年,,,
小田島こどもクリニック,3,1,1,3,,2,11,5,,1,,,27
清水図書館,1,,3,2,,1,2,,2,15,1,,27
氷川図書館,1,3,,5,2,1,1,4,2,3,4,1,27
服部医院,1,,,,3,1,10,10,2,,,,27
No.35遺跡,3,,1,11,2,4,,,2,3,,,26
はなだ内科クリニック,,4,1,6,,,3,9,1,1,1,,26
高橋医院,4,4,,2,1,,1,11,1,2,,,26
成増厚生病院,6,5,1,1,,,3,7,3,,,,26
石川医院,2,5,4,,4,,1,5,3,,,2,26
中根橋小学校,2,,3,15,2,1,,1,,,1,1,26
No.127遺跡,2,7,2,2,1,1,,,,1,1,8,25
No.92遺跡,9,4,6,,,,,,,2,4,,25
すがやこどもクリニック,1,2,,,1,1,16,,1,,3,,25
つづきクリニック,3,1,1,3,,2,4,10,1,,,,25
はなまるキッズクリニック,,6,,,2,3,6,2,4,,,2,25
リサイクルプラザ,2,6,1,,2,1,,3,1,1,2,6,25
吉永医院,4,3,,2,,,5,9,,1,,1,25
紅梅小学校,3,,1,16,,,,2,1,1,1,,25
高島平福祉園分場,,,1,22,,,,,,2,,,25
小竹向原駅自転車駐車場（有料ゲート式）,12,2,7,4,,,,,,,,,25
上板橋体育館,,1,2,2,1,2,3,1,5,1,1,6,25
上板橋第一中学校,,2,,22,1,,,,,,,,25
赤塚溜池公園,,1,,2,1,3,2,1,1,1,8,5,25
田丸小児科内科医院,,,3,2,,,11,5,2,,,2,25
板橋区平和公園,1,1,3,2,5,2,1,2,1,1,2,4,25
板橋第五小学校,2,,,13,1,,1,1,,,3,4,25
鈴薬局徳丸店,6,2,5,2,,3,2,,,1,2,2,25
No.114遺跡,2,1,12,,1,5,,2,,,1,,24
No.14遺跡,,2,4,,6,1,,7,2,2,,,24
No.15遺跡,2,1,4,2,4,,1,1,3,3,,3,24
No.62遺跡,1,2,1,5,,,8,2,,3,,2,24
No.98遺跡,1,1,1,1,,1,3,3,5,,1,7,24
ときわ台レディースクリニック,6,,2,,6,,4,6,,,,,24
安養院,4,,1,1,7,1,,,3,3,3,1,24
高島平温水プール,3,,1,2,1,,,1,5,2,,9,24
山下内科消化器科,3,2,,3,1,3,2,6,4,,,,24
志村第五中学校,,,2,17,1,,,,,1,2,1,24
耳鼻咽喉科いいだクリニック,5,2,5,2,3,,2,3,2,,,,24
常盤台集会所,3,,2,,5,2,,4,5,3,,,24
常盤台小学校,3,,,18,,1,,1,,1,,,24
水車公園前自転車保管所,,1,3,,5,4,2,1,4,1,,3,24
前野ホール,2,,3,7,1,,2,,1,,5,3,24
大山駅自転車駐車場（有料コイン式）,4,1,2,1,3,3,3,2,4,1,,,24
中台ふれあい館,1,2,2,1,,,,,10,4,3,1,24
No.164遺跡,,4,2,,6,1,2,1,4,3,,,23
No.94遺跡,,,1,1,1,,1,1,1,3,11,3,23
安田病院,5,5,3,5,2,3,,,,,,,23
下赤塚駅前集会所,,,3,1,1,4,,6,1,3,,4,23
加賀小学校,,1,,16,4,,,,,,2,,23
宮田医院,3,1,1,1,3,3,3,6,1,,1,,23
高島平駅,14,,,,4,4,1,,,,,,23
志村第三中学校,,,2,20,,,1,,,,,,23
成増駅南口第６自転車駐車場,2,1,1,1,4,5,1,,6,,2,,23
赤塚福祉事務所,,3,2,,2,7,2,,3,2,,2,23
中川医院耳鼻咽喉科,4,1,2,1,5,,1,6,2,1,,,23
中台中学校,,,,22,1,,,,,,,,23
中板橋駅南口自転車駐車場（有料）,2,,,1,1,3,6,1,5,1,1,2,23
板橋第一中学校,1,7,,11,3,1,,,,,,,23
蓮根第二児童館,3,3,,2,1,3,1,4,1,4,,1,23
No.117遺跡,1,5,3,1,3,1,,1,1,3,,3,22
No.126遺跡,,2,3,3,2,7,,,2,,2,1,22
No.162遺跡,,3,1,,2,2,3,5,1,2,1,2,22
No.31遺跡,1,1,2,3,,1,6,1,2,1,,4,22
さかうえ児童館,2,2,2,2,3,,1,1,2,4,1,2,22
しらさぎ児童館,3,4,,,1,2,1,1,2,7,,1,22
まつもとクリニック,3,2,1,5,3,2,4,2,,,,,22
医新クリニック,2,,,9,1,3,2,3,2,,,,22
金谷整形外科せぼね・骨粗しょう症クリニック,4,1,,4,5,,3,4,,1,,,22
高島平りゅう医院,2,3,,3,2,2,,9,,1,,,22
志村児童館,,1,2,1,3,1,2,1,2,6,1,2,22
慈誠会前野病院,4,2,1,3,6,,2,3,,1,,,22
新河岸陸上競技場,2,2,1,,6,5,1,2,2,1,,,22
田崎病院,,2,2,4,3,,5,3,3,,,,22
No.110遺跡,,4,1,1,2,1,,1,3,2,2,4,21
No.39遺跡,3,1,5,1,1,,,1,2,5,2,,21
No.86遺跡,,2,4,,1,3,4,3,2,2,,,21
ほりた内科・胃腸内視鏡クリニック,,,,,,5,1,7,6,2,,,21
みどり薬局（小豆沢）,4,1,4,,,,,2,3,7,,,21
旧粕谷家住宅（東京都指定文化財）,2,,3,3,,1,,,,1,7,4,21
荒川戸田橋陸上競技場,2,,1,1,1,3,3,4,4,1,1,,21
高島平一丁目第三公園内集会所,1,,,,,,2,,,4,11,3,21
坂下診療所,1,2,4,1,,1,1,11,,,,,21
志村第四中学校,,,5,14,1,,,1,,,,,21
消費者センター,1,5,4,6,,,,,,2,,3,21
城北公園,1,3,1,2,3,1,1,2,2,1,2,2,21
成増アートギャラリー,,,,,,,,,,,,21,21
赤塚ルート　１１旧粕谷家住宅,14,,,,,,2,,,1,1,3,21
中央図書館,1,,1,2,8,1,1,6,1,,,,21
板橋第七小学校,,1,2,15,,,2,,,1,,,21
No.12遺跡,2,,3,1,,1,,,7,4,,2,20
No.157遺跡,1,1,1,,3,7,1,3,1,,2,,20
No.23遺跡,,1,2,1,2,1,2,1,1,2,1,6,20
No.47遺跡,,,8,,1,,,9,,,,2,20
No.54遺跡,,,,3,,13,,,1,1,1,1,20
No.9遺跡,,,,4,3,1,3,,1,,6,2,20
ゆりの木児童館,1,3,4,,,,,1,1,7,,3,20
街頭消火器 高[sanitize]008,,,,,,,,,,2,18,,20
区立文化会館,1,1,1,,,3,,1,,2,3,8,20
山櫻診療所,4,2,2,3,1,,2,4,,2,,,20
志村第二小学校,,,1,18,,,,,,,1,,20
志村福祉事務所,4,2,3,1,2,,1,1,3,,,3,20
慈誠会成増病院,5,4,,1,1,,5,2,2,,,,20
舟渡病院,2,1,3,2,1,1,1,2,1,2,3,1,20
成増駅南口第３自転車駐車場（有料）,,,,2,4,5,,,,2,3,4,20
赤塚体育館,,3,1,1,,2,2,1,3,2,3,2,20
赤塚第一中学校,,,,20,,,,,,,,,20
赤塚第三中学校,,,,15,,1,,,,2,,2,20
大森メディカルクリニック,5,2,1,3,2,,1,5,,1,,,20
中央図書館、いたばしボローニャ絵本館,,,3,3,3,2,2,1,3,1,,2,20
中台医院,6,2,,5,,,4,1,,,2,,20
保健福祉オンブズマン室,2,1,3,8,,,1,3,,1,,1,20
北野小学校,,,,20,,,,,,,,,20
有賀小児クリニック,3,,,,4,,7,3,3,,,,20
No.131遺跡,,1,2,1,,2,,4,6,2,,1,19
No.168遺跡,1,1,2,3,3,3,,1,4,1,,,19
No.66遺跡,7,1,2,,,3,,,3,2,1,,19
No.75遺跡,,1,,5,7,5,,1,,,,,19
No.82遺跡,2,2,1,,,1,,,4,,9,,19
つくしんぼ診療所,1,,2,3,2,1,3,4,3,,,,19
岡村整形外科クリニック,5,,1,,1,3,4,4,,1,,,19
区役所1階北館・3階南館,1,,4,4,2,,4,1,2,,,1,19
紅梅児童館,,3,2,2,2,,1,1,1,6,,1,19
上板橋駅東自転車駐車場（有料）,1,1,,3,,1,2,1,6,2,1,1,19
上板橋第三中学校,1,,,16,1,,,,,,,1,19
植村記念加賀スポーツセンター,,1,1,1,2,1,2,1,6,,1,3,19
水車公園,1,2,1,,2,3,3,2,1,4,,,19
西高島平駅周辺放置禁止区域図,1,,2,1,,3,1,3,,2,5,1,19
大谷口小学校,,,,9,,,1,,,7,,2,19
中丸いこいの家,2,3,1,,3,,1,4,,1,2,2,19
長瀬クリニック,3,2,,2,,1,4,6,1,,,,19
東板橋公園,,1,11,1,1,1,1,,1,,2,,19
東武練馬駅周辺放置禁止区域図,2,1,1,2,2,,,4,1,3,2,1,19
内田診療所,,3,,,,2,4,9,1,,,,19
板橋第十小学校,1,,3,12,,2,1,,,,,,19
板橋第六小学校,1,,1,12,2,,,,,3,,,19
No.141遺跡,2,1,5,4,1,1,,,1,3,,,18
No.158遺跡,2,,1,,1,11,,,2,,1,,18
No.3遺跡,4,,,5,,,,,1,3,5,,18
No.5遺跡,2,2,,,1,,1,1,11,,,,18
No.6遺跡,,,,2,5,,,1,5,,5,,18
No.84遺跡,3,2,3,,3,2,2,1,1,1,,,18
おだ整形外科クリニック,1,,,1,2,2,8,4,,,,,18
ジョナサン　板橋仲宿店,6,2,,,,1,3,2,3,,,1,18
ヒルマ薬局小豆沢店,9,2,,,1,2,2,2,,,,,18
井上医院,6,2,2,2,1,1,2,2,,,,,18
高島平ふれあい館,2,1,1,1,2,,2,1,3,4,,1,18
松葉保育園,,1,2,8,,2,1,2,1,,,1,18
須賀医院,5,1,2,4,,3,1,1,1,,,,18
成増ヶ丘小学校,,,,17,,,,,,,,1,18
大山駅,2,8,1,1,3,,,1,,1,,1,18
大山東集会所,,,,2,3,2,4,2,1,,2,2,18
中板橋駅北口自転車駐車場（有料）,,2,,1,3,,2,3,3,2,1,1,18
東板橋庭球場,2,3,1,1,2,1,3,,,,5,,18
板橋第三中学校,3,2,2,2,4,2,,,,1,2,,18
浮間舟渡病院,10,2,,2,,4,,,,,,,18
風見医院,,1,3,,4,,4,4,2,,,,18
蓮根自転車保管所,2,1,,1,3,1,2,4,1,,1,2,18
No.125遺跡,,2,,,,4,3,,1,5,,2,17
No.175遺跡,1,,3,1,2,,1,4,1,1,,3,17
No.45遺跡,,4,,,,,1,,1,11,,,17
No.68遺跡,5,3,1,,,,,1,2,,1,4,17
No.80遺跡,3,1,,,,1,,2,8,,,2,17
やごうクリニック,2,2,2,,2,,1,6,,2,,,17
葵薬局,2,,,,,7,2,,1,3,2,,17
高島陸橋交差点B自転車駐車場（有料）,2,2,5,1,,3,,,2,2,,,17
高島陸橋交差点E自転車駐車場（有料）,1,1,,2,2,,1,4,1,3,,2,17
坂下薬局,,,1,3,1,2,,1,1,3,3,2,17
桜川中学校,,2,1,12,,1,,,1,,,,17
小茂根図書館,3,1,,4,,,,,3,3,,3,17
新河岸児童館,,,,3,,,,3,2,2,1,6,17
西高島平駅前自転車駐車場（有料）,3,1,,,1,1,2,4,1,1,2,1,17
渡辺医院,3,,4,,1,,4,3,2,,,,17
東新児童館,2,1,2,,,3,1,,2,2,3,1,17
板橋警察署平尾交番,,,16,,,,,,,1,,,17
板橋第四小　１,,,,,1,,4,1,,5,2,4,17
林クリニック,6,2,,1,,1,3,4,,,,,17
蓮根小学校,,,1,14,1,,,,,1,,,17
No.148遺跡,,1,1,1,5,,2,1,1,3,,1,16
No.20遺跡,3,,,,3,,3,2,2,,2,1,16
No.57遺跡,,,1,3,,,,,4,6,,2,16
No.87遺跡,3,2,1,7,1,,2,,,,,,16
YUMEパーク大和町,,,3,,8,,4,,,,,1,16
かえで保育園,,,,,,,2,1,,1,10,2,16
メディスンショップなります薬局,5,,2,2,,1,,1,1,3,1,,16
下板橋駅前集会所,,2,2,2,1,1,3,4,,,,1,16
公文書館,,1,3,5,3,,3,,,1,,,16
向原児童館,1,1,2,2,1,1,1,1,,5,1,,16
幸田整形外科医院,2,3,1,2,3,,2,2,1,,,,16
高山整形外科,2,1,2,,,2,4,2,2,,1,,16
高島平2丁目整形外科,1,2,1,1,,1,3,3,,,4,,16
高島平二・三丁目地区,,,,,,,1,,,3,12,,16
今本クリニック,1,1,4,,3,,1,4,,1,1,,16
三園小学校,,,,11,2,2,,,,,,1,16
志村ふれあい館,3,,3,,,,,,1,6,1,2,16
志村坂下小学校,,,3,12,1,,,,,,,,16
志村三丁目駅第４自転車駐車場（有料コイン式）,2,1,1,1,1,2,2,1,,1,3,1,16
志村小学校,,,1,11,,1,,,,2,,1,16
志村第一小学校,,,1,11,,2,1,,,,1,,16
志村第五小学校,,,,15,,,,,1,,,,16
上板橋健康福祉センター内集会所,1,1,1,1,1,1,2,1,1,,5,1,16
常盤台PCR検査センター（令和4年7月15日（金）から開始）,,,,16,,,,,,,,,16
石澤内科クリニック,1,2,1,2,3,,2,4,1,,,,16
増福寺,8,2,,,3,1,,1,,,,1,16
大國医院,2,1,1,3,3,,5,1,,,,,16
仲宿いこいの家,1,2,4,,3,,1,4,,1,,,16
徳丸小学校,,,,16,,,,,,,,,16
板橋区立グリーンホール,,,,2,2,3,2,,2,3,2,,16
板橋区立中央図書館,2,2,,,,1,2,,5,1,1,2,16
板橋区立文化会館,,,,,,,3,4,6,1,1,1,16
板橋警察署,,2,2,1,3,,1,2,,3,2,,16
氷川土合公園,2,,1,,1,,2,,,,8,2,16
林内科医院,4,,,10,,2,,,,,,,16
Baby＆Beans,,2,2,,1,2,4,2,1,,,1,15
morris,1,,,,2,,2,3,3,,4,,15
No.176遺跡,,,1,4,4,1,2,1,2,,,,15
No.44遺跡,,3,1,4,1,1,,3,2,,,,15
No.58遺跡,,2,2,,2,,,4,3,2,,,15
No.93遺跡,5,1,2,3,,3,,1,,,,,15
あかまつ透析クリニック　,4,1,3,1,1,2,,3,,,,,15
キャップスクリニック板橋,,,,,,,4,9,1,,,1,15
ときわ台徳岡歯科医院,1,2,,1,,,7,3,,,,1,15
はぁもにぃ保育園,2,,,,2,,,,10,,,1,15
伊藤内科小児科クリニック,2,,3,3,1,1,2,2,1,,,,15
吉野内科クリニック,,,,,,,,,,,14,1,15
宮下医院,1,4,2,,,2,4,1,1,,,,15
郷土芸能伝承館,1,,4,1,1,,2,,2,3,1,,15
高島平眼科クリニック,2,,1,1,1,2,4,2,2,,,,15
高島平図書館,,,,2,2,,,,6,4,1,,15
桜川ファミリークリニック,4,1,,4,,1,,4,1,,,,15
三共鍍金株式会社,,,,15,,,,,,,,,15
子ども家庭支援センター,,1,2,1,1,3,1,1,1,,3,1,15
徳丸整形外科,4,,1,2,,,3,3,1,1,,,15
楠医院,4,,2,,1,,2,4,1,1,,,15
板橋宿本陣跡,,,4,,2,,1,3,3,2,,,15
板橋第五中学校,,,,1,,,,13,,,,1,15
疋田医院,5,1,,3,1,,3,1,1,,,,15
野村医院,,,,,,,2,6,5,2,,,15
No.146遺跡,,1,1,3,3,1,1,,1,3,,,14
No.151遺跡,2,1,2,,2,3,,,3,,,1,14
No.171遺跡,2,2,,1,1,1,2,,4,,,1,14
No.173遺跡,,5,1,2,,,3,,2,,,1,14
No.38遺跡,2,,1,6,4,,,,,,1,,14
No.46遺跡,5,,1,,1,,,1,5,,,1,14
No.48遺跡,1,,1,,,4,,2,5,,1,,14
No.53遺跡,,,2,2,10,,,,,,,,14
No.90遺跡,,11,,,1,,,,,,2,,14
いわい耳鼻咽喉科クリニック,6,1,,1,1,2,,2,1,,,,14
ヒルマ薬局下板橋店,,1,2,,1,2,2,2,1,3,,,14
ローズ薬局,1,3,3,1,4,2,,,,,,,14
三浦内科医院,4,1,3,1,3,,,1,,1,,,14
若木保育園,,1,1,,,,4,2,1,,3,2,14
成増駅南口第7自転車駐車場,2,,,1,2,8,1,,,,,,14
赤塚図書館,,,1,,1,1,1,1,3,6,,,14
南前野児童館,1,1,2,,1,2,,,1,3,2,1,14
板橋区立リサイクルプラザ,,,,1,1,,4,,2,6,,,14
板橋区立板橋こども動物園,3,1,,1,,1,1,,5,1,,1,14
平山医院(上板橋),7,1,1,,4,,,1,,,,,14
IT2[sanitize]11[sanitize]63,,1,2,2,1,1,1,,1,1,3,,13
No.135遺跡,3,1,1,1,1,1,1,1,1,2,,,13
No.140遺跡,,,3,1,1,2,,,3,3,,,13
No.147遺跡,1,1,1,1,3,1,1,,1,3,,,13
No.150遺跡,,,3,,2,3,1,1,2,1,,,13
NPO法人みんなのセンターおむすび,,1,5,1,1,,2,,2,,,1,13
エミュルション,1,1,,2,,2,,3,2,1,,1,13
おおにし薬局,3,,,1,3,1,2,,,,1,2,13
セブンタウン小豆沢,2,4,,,,1,1,,1,2,1,1,13
ほけんの窓口　大山ハッピーロード店,,1,2,,1,,5,1,3,,,,13
まんまる薬局,1,6,2,1,2,,,,,,,1,13
下板橋駅第２自転車駐車場（有料コイン式）,1,3,1,1,1,1,,,1,1,,3,13
光が丘クリニック,3,,,2,,,2,4,1,1,,,13
高島第一小学校,,1,1,10,,,,,,,1,,13
高島第二小学校,,,4,3,,,4,,,,1,1,13
高島陸橋交差点C自転車駐車場（有料）,1,1,4,2,,1,,,,,,4,13
高島陸橋交差点D自転車駐車場（有料）,2,,1,2,2,2,,2,,1,,1,13
志村橋児童館,,1,,,,,,1,1,8,,2,13
志村三丁目駅第５自転車駐車場（有料コイン式）,2,,1,,3,1,1,,,,2,3,13
志村第三小学校,,,,11,,1,,,,,1,,13
小茂根福祉園,,,3,,2,,3,4,,1,,,13
成増駅北口第４自転車駐車場（有料コイン式）,3,1,,1,2,1,,,1,,2,2,13
成増駅北口第５自転車駐車場（有料）,,,1,,2,4,1,,,,2,3,13
前野小学校,,1,,11,,1,,,,,,,13
大和いこいの家,,,4,,5,,1,3,,,,,13
智清寺,,,1,,1,3,2,1,2,3,,,13
南山堂薬局新高島平駅前店,,,,,,1,3,3,1,4,,1,13
日曜寺,1,,2,,1,1,3,,1,2,,2,13
板橋区役所前駅,,2,1,2,,1,1,1,2,,1,2,13
板橋第八小学校,,2,1,10,,,,,,,,,13
氷川神社,1,,1,2,,2,1,2,1,1,,2,13
弥生保育園,3,,6,,,1,,1,1,,1,,13
理化学研究所　板橋分室,,,,1,,2,,,4,,6,,13
鈴木耳鼻咽喉科,,,1,1,,,3,5,2,,1,,13
No.139遺跡,,,2,1,2,1,,,1,5,,,12
No.143遺跡,1,,2,4,,2,,,3,,,,12
No.144遺跡,,,2,,2,4,1,2,,,,1,12
No.155遺跡,,1,1,,1,1,,3,1,,3,1,12
No.159遺跡,3,,1,1,1,2,1,,2,,1,,12
No.67遺跡,,,,,,1,1,8,1,,,1,12
おとしより保健福祉センター,,1,1,,1,3,2,1,,1,,2,12
グランダ大山,1,1,,,1,1,2,2,,2,1,1,12
グリーンカレッジホール（シニア学習プラザ）,,,3,,,,3,1,1,,3,1,12
よこた内科・消化器科,3,2,1,,,,5,,1,,,,12
花島医院,2,1,2,,,,3,2,2,,,,12
街頭消火器 高[sanitize]087,,,,,,,,,,12,,,12
郷土資料館,,1,1,,1,,1,3,,3,,2,12
元内科・胃腸科クリニック,2,,,,2,,2,3,3,,,,12
幸町集会所,1,,,,1,1,1,1,,2,4,1,12
高島第五小学校,,,,1,,2,,,,7,1,1,12
高島平一丁目第四公園,,,,,,,,,,2,9,1,12
高島陸橋交差点F自転車駐車場（有料）,,,1,2,,1,,5,,,3,,12
高木内科クリニック,2,,1,1,4,,1,3,,,,,12
坂下二丁目集会所,2,,,1,2,1,,3,,1,,2,12
山倉医院,2,1,,1,1,,2,2,2,,,1,12
四葉公園,,,,7,,,,,1,3,1,,12
志村第二中学校,,,2,10,,,,,,,,,12
若木小学校,,,1,8,,,1,,1,1,,,12
上板橋駅西自転車駐車場（有料）,1,,,,,,,,3,3,3,2,12
仁天堂薬局,1,2,,,1,2,1,2,,1,2,,12
成増生涯学習センター,2,1,2,,3,1,1,,1,,,1,12
清水いこいの家,1,1,3,,,,1,2,1,1,2,,12
西台三丁目集会所,,3,,3,,2,,,3,,,1,12
西徳第一公園内集会所,,1,,2,,1,,,2,1,1,4,12
赤塚いこいの家,1,,1,,7,,1,2,,,,,12
大禮保育園,1,,,1,,1,3,1,2,,,3,12
東板橋図書館,,,4,,1,,,,1,4,1,1,12
飯沼病院,1,3,2,,3,1,,1,1,,,,12
富士見台小学校,,,,10,1,,,,,1,,,12
弥生集会所,,,4,1,3,,,1,,1,2,,12
友和保育園,3,1,,3,,1,2,,1,,1,,12
落合医院,,2,2,1,,,1,4,1,1,,,12
緑が丘児童館,,2,1,,2,3,,,,2,,2,12
No.129遺跡,,3,,,1,,,5,1,1,,,11
No.13遺跡,,,2,,1,,2,2,2,,1,1,11
No.142遺跡,,1,3,2,1,1,,,1,2,,,11
No.152遺跡,,,2,,2,3,,,3,,1,,11
No.153遺跡,1,,2,1,2,3,,,2,,,,11
No.167遺跡,3,1,1,,2,,1,,2,,1,,11
No.30遺跡,,3,1,4,,,1,,,,2,,11
No.56遺跡,,,,2,,,,,9,,,,11
No.81遺跡,,,1,2,,1,2,1,1,,3,,11
いいよし鍼灸接骨院,,1,1,,,1,3,,3,,,2,11
こども動物園,,,9,1,,,,,1,,,,11
ときわ通り星薬局,,,,,,1,4,,,1,4,1,11
なないろクリニック,,,,,,2,5,3,,1,,,11
ハイライフプラザいたばし,1,8,,,,,,1,,,,1,11
みずほ薬局,,1,2,1,2,,,,,,1,4,11
やの内科・小児科クリニック,2,,,,2,,,5,2,,,,11
弓倉医院,,,1,,,4,2,3,1,,,,11
戸島医院,,1,1,1,,,3,2,3,,,,11
桜川いこいの家,,1,,1,2,1,1,3,,,1,1,11
小豆沢福祉園,1,,,,1,3,3,1,1,,,1,11
小茂根内科クリニック　,,2,5,1,2,,,1,,,,,11
上板橋診療所,2,2,,2,1,,,4,,,,,11
上板橋保育園,,2,1,1,1,,,1,,4,1,,11
城北交通公園,3,,2,1,,1,2,,,,,2,11
大谷口小　２,,,,,1,2,1,,,,2,5,11
仲町おとしより相談センター,,,1,,,,,4,4,1,1,,11
土のうステーション 赤24,,,,,,,,,,,11,,11
板橋区役所（東口）,,,,,,1,,,,,1,9,11
保険deあんしん館大山ハッピーロード店,1,1,,,,1,4,,2,1,1,,11
北原クリニック,2,3,3,,,3,,,,,,,11
本町集会所,,,,2,2,,2,1,,1,2,1,11
蓮根図書館,1,,2,,,,,2,1,3,2,,11
蓮根保育園,,1,,2,1,,,,1,,6,,11
1932/1/1,,,,,,,,,,,11,,11
1[sanitize]2予定,,,1,,,,,,9,,,,10
No.154遺跡,,1,1,,1,1,1,,1,1,3,,10
No.21遺跡,1,,2,1,,4,,2,,,,,10
No.22遺跡,,,2,,,,2,,,,,6,10
No.85遺跡,,2,1,,,,,2,,,,5,10
NPO法人ワーカーズコープ「どんぐりのおうち」,2,2,,,,,3,,1,,2,,10
NR2[sanitize]77[sanitize]03,,,,,,1,,9,,,,,10
NS3[sanitize]15[sanitize]22,,,,,,,,,10,,,,10
いっ久家　大山茶屋,,,,2,,2,,,2,,,4,10
イトーヨーカドー　上板橋店,,1,1,,2,1,1,,,3,,1,10
かちどき薬局常盤台店,,,4,3,,,,,,,1,2,10
グローバルキッズ上板橋園,1,2,1,2,1,,1,,1,,1,,10
さいわい保育園,,,,,1,,,,2,,1,6,10
さかうえ保育園,4,,3,2,,,1,,,,,,10
さくらづつみ児童遊園,,1,,1,,,,7,,,1,,10
ふるた小児クリニック,,,,,,,5,3,1,,1,,10
まえの本通り薬局,,2,4,4,,,,,,,,,10
まるよし,,,,,,1,1,6,2,,,,10
加賀公園,1,,1,,3,,3,,,,1,1,10
加賀西公園,,,3,3,,1,1,1,,,1,,10
株式会社　鳥新,7,,,,1,,,,,,2,,10
高島平多目的運動場,,,1,,1,,1,,,,7,,10
志村城山公園内集会所,,,6,1,,,,2,1,,,,10
成増図書館(アートギャラリー),1,,,1,1,,,1,4,1,,1,10
清水町あさひ公園,2,,,1,6,,1,,,,,,10
清水町第二集会所,,,1,1,,1,2,1,,,4,,10
西台駅前交番【24時間利用可】,,,,,1,,,,,1,8,,10
赤塚ルート　８松月院,,4,,1,,,,,,2,2,1,10
赤塚新町小学校,,,,10,,,,,,,,,10
前野町ベビールーム,1,,,,9,,,,,,,,10
大門高架下自転車保管所,1,,,,,4,,,4,1,,,10
大和集会所,2,,,,1,,,4,2,1,,,10
東新いこいの家,1,1,2,2,,,1,2,,,,1,10
板橋いこいの家,1,2,2,1,1,,,3,,,,,10
板橋セントラルクリニック,,,,,,,5,3,1,1,,,10
百麺 中山道店,,,,,2,,1,2,2,,3,,10
蓮根福祉園,1,,1,2,2,,,2,,1,1,,10
No.122遺跡,,1,2,,,,,3,3,,,,9
No.124遺跡,1,3,1,1,,,,2,,,,1,9
No.161遺跡,,1,,,1,,,3,2,,,2,9
No.163遺跡,,2,,,1,1,,2,1,,,2,9
No.174遺跡,,3,1,1,1,1,,,1,,1,,9
test,,,,,9,,,,,,,,9
あおば薬局,,,,1,4,,,,1,2,,1,9
いしかわ耳鼻咽喉科クリニック,,3,,,1,,,3,1,1,,,9
かないくぼ保育園,,2,,2,1,1,3,,,,,,9
こぶし保育園,,,1,,3,,,2,,1,2,,9
こぶし保育園（公設民営）,,,5,,1,1,1,,,,1,,9
はまなす薬局,,,,,,,1,3,2,1,2,,9
ひばり薬局本町店,1,2,,,,,4,2,,,,,9
みなみ保育園,,2,2,1,,,1,,,,,3,9
メリーポピンズ東武練馬ルーム,1,1,,,1,,,2,,1,,3,9
街頭消火器 仲[sanitize]096,,,,,,,,,,9,,,9
見次公園,1,1,2,,1,1,,1,,1,1,,9
戸田一般野球場10面,,2,1,,1,,2,1,1,,1,,9
高田皮膚科クリニック,2,1,2,,2,2,,,,,,,9
高島平一丁目集会所,,,1,2,,3,1,,,2,,,9
高島平警察署西台駅前交番,,,,,,,,,,2,7,,9
根ノ上遺跡,4,1,1,2,,1,,,,,,,9
三上整形外科医院,2,2,,,2,,,2,1,,,,9
志村清掃事業所,2,2,,,,1,,1,,,,3,9
小豆沢公園,,3,1,,,,1,1,1,2,,,9
小豆沢体育館プール棟,,,,,9,,,,,,,,9
小茂根一丁目集会所,2,,1,2,1,,1,2,,,,,9
松月院,,1,,,,2,,,,1,1,4,9
障がい者福祉センター,,,,,1,,,,,8,,,9
新河岸クリニック,,1,1,,,2,1,2,1,,1,,9
新河岸庭球場,,1,3,2,,,1,1,,1,,,9
清水町集会所,,,1,,,1,1,3,3,,,,9
西高島平駅南口自転車駐車場（有料コイン式）,,,,2,,,4,3,,,,,9
西台図書館,1,,2,1,1,,,,,3,,1,9
赤塚五丁目森の広場,,3,1,,2,2,,,,,1,,9
赤塚高台集会所,1,,,,1,1,,2,2,,,2,9
赤塚七丁目集会所,,,1,,1,,,3,,,1,3,9
前野公園,1,2,1,,1,,,,,,1,3,9
大山保育園,2,,1,,,2,,1,,,2,1,9
大堂,2,,,,1,1,,1,,1,1,2,9
中宿脇本陣跡,,,,,,1,1,,1,6,,,9
仲宿ふれあい広場,1,1,2,,,,,,1,2,2,,9
東京自由保育園,,2,1,1,,1,,,1,,1,2,9
東板橋公園運動場,,1,2,1,3,,,,,,2,,9
徳丸ヶ原公園内集会所,,,,,,1,1,,1,3,2,1,9
板橋区保健所・板橋健康福祉センター,,4,,,,2,,2,1,,,,9
板橋区立美術館,1,,,,,,,1,3,,1,3,9
板橋税務署,,,,1,,1,1,3,,1,2,,9
板橋大山公園,1,1,,,1,1,2,,,1,,2,9
不動の滝公園,,,3,,,2,,1,,,3,,9
富士見地域包括支援センター,,,,,3,,,6,,,,,9
龍福寺,,,7,,,1,,,,,1,,9
蓮根集会所,1,,,2,1,1,1,,,1,1,1,9
FJC[sanitize]77[sanitize]0508,,,,,,,,,,,,8,8
No.120遺跡,1,1,,1,,,,1,1,,,3,8
No.132遺跡,1,,1,1,1,1,,,2,,1,,8
No.149遺跡,1,1,1,,1,,,1,2,,,1,8
No.166遺跡,,,1,,2,1,2,1,1,,,,8
No.169遺跡,,,2,,,,,,1,5,,,8
No.177遺跡,3,,2,,1,,,1,,1,,,8
No.1遺跡,,,,,5,,,1,,,,2,8
No.76遺跡,3,2,,,,3,,,,,,,8
