,2018年,,,,,,,,,2019年,,,
メディコール小規模保育園西台,,,,1,3,,3,1,5,13,13,7,46
成美保育園,6,1,2,1,3,,1,,3,2,12,15,46
西高島平駅南口自転車駐車場（有料コイン式）,5,4,2,4,5,1,3,3,8,2,2,7,46
大谷口いこいの家,3,3,6,3,5,3,,4,5,4,4,6,46
歯科衛生センター,2,7,1,3,4,5,2,4,10,5,1,1,45
上板橋駅東自転車駐車場（有料）,8,1,5,1,3,5,5,5,1,2,1,8,45
にじいろ保育園上板橋,,,,,2,2,4,1,3,1,18,13,44
ひいらぎ保育園,,2,,2,8,4,2,1,7,7,6,5,44
志村橋保育園,1,3,2,,6,3,3,1,4,3,12,6,44
大禮保育園,5,7,1,1,9,,7,2,1,4,2,5,44
仲町高齢者在宅サービスセンター,5,3,2,6,8,8,4,1,,1,2,4,44
東武練馬駅周辺放置禁止区域図,13,6,,2,2,1,,4,1,1,11,3,44
板橋駅,18,6,7,3,2,2,,2,1,2,,1,44
おおにし薬局,1,5,1,3,4,3,3,4,10,6,3,,43
高島平調剤薬局,,9,8,3,2,1,3,4,4,6,3,,43
成増保育園,5,6,6,2,13,4,5,2,,,,,43
加賀公園,14,4,2,3,4,2,3,3,,1,2,4,42
高島平警察署下赤塚交番,20,11,,1,6,,,,2,1,,1,42
志村三丁目駅周辺放置禁止区域図,14,4,1,2,,1,1,3,,4,6,6,42
志村消防署志村坂上出張所,28,13,,,,1,,,,,,,42
赤塚溜池公園,9,3,,2,1,,3,,,4,11,9,42
中板橋駅周辺放置禁止区域図,4,1,2,5,2,1,7,9,1,4,2,4,42
東板橋公園,17,9,2,2,1,5,1,1,2,1,1,,42
氷川図書館,4,4,2,,18,3,6,1,1,1,1,1,42
蓮根自転車保管所,4,2,4,8,4,5,2,,3,4,3,3,42
いたばし総合ボランティアセンター,10,1,1,1,9,3,5,7,,2,,2,41
グローバルキッズ板橋園,7,2,2,4,6,,4,3,3,1,2,7,41
ひまわりキッズガーデン大原,13,6,,,4,2,3,1,1,4,4,3,41
高島平区民館,8,1,6,4,6,,1,,2,7,1,5,41
三園一丁目集会所,2,1,,,4,2,3,11,3,3,7,5,41
上板橋保育園,1,3,1,2,8,2,4,,4,1,8,7,41
新河岸公園内集会所,,,,,3,1,2,5,1,7,3,19,41
仲宿集会所,5,,,,3,1,8,,2,4,5,13,41
南部公園事務所,10,8,4,,2,6,2,1,5,2,1,,41
木下の保育園成増小規模保育園,,,1,,2,,4,10,4,4,7,9,41
めぐみ薬局氷川町店,,9,3,3,3,3,3,3,4,6,3,,40
郷土芸能伝承館,8,5,,2,6,2,5,5,,4,1,2,40
西前野保育園,4,2,4,,8,,5,1,5,1,4,6,40
石川医院,1,16,,,,,,,1,22,,,40
板谷公園,15,11,1,1,3,3,2,2,,,1,1,40
No.28遺跡,,8,,7,,1,5,8,1,4,,5,39
No.33遺跡,,,,,1,7,,6,2,2,18,3,39
あいあい保育園,10,7,2,2,5,,8,1,,,2,2,39
ゆりの木保育園,16,7,2,1,7,1,1,,1,1,1,1,39
小規模保育園ひまわり保育所,,,,1,3,4,6,4,7,1,5,8,39
小竹向原駅周辺放置禁止区域図,1,3,4,6,1,5,2,1,5,1,3,7,39
上板橋駅,7,6,2,3,8,4,3,1,,1,2,2,39
赤塚図書館,12,4,1,2,9,2,1,2,1,1,,4,39
仲宿保育園,5,5,5,1,7,1,3,2,1,3,4,2,39
板橋三丁目児童遊園,15,14,1,1,4,,1,1,,1,1,,39
No.104遺跡,,1,5,2,17,,1,3,4,1,,4,38
愛和保育園,15,6,2,1,6,4,2,,1,,,1,38
共助会医院,1,8,,,2,6,,5,13,,,3,38
志村一丁目8～11番地先,21,17,,,,,,,,,,,38
成増ケ丘薬局,,4,3,3,3,2,1,4,6,7,5,,38
赤塚七丁目児童遊園,23,11,,1,2,1,,,,,,,38
徳石通り南広場,26,10,1,1,,,,,,,,,38
かないくぼ保育園,13,5,,3,5,1,2,1,2,1,,4,37
加賀橋公園,18,15,,,3,,,1,,,,,37
志村第二小学校,20,13,1,,,,1,,,2,,,37
赤塚保育園,12,5,2,1,8,,4,2,1,,,2,37
大山西町保育園,1,2,,1,6,3,,1,2,4,11,6,37
氷川神社,6,6,7,2,3,2,,1,,10,,,37
おとしより保健福祉センター,11,5,,,7,,6,2,1,1,3,,36
開運堂今井薬局,,6,3,3,4,6,4,,2,5,3,,36
高島平くるみ保育園,1,2,1,3,6,1,,3,1,1,7,10,36
乗蓮寺,6,9,10,1,2,4,4,,,,,,36
赤塚いこいの家,10,4,,1,5,2,,3,1,5,2,3,36
アスク上板橋保育園,,,,1,5,4,3,2,1,2,8,9,35
サンシティ小規模保育園,,,,,2,1,3,3,8,3,5,10,35
ときわ台保育園,5,2,5,1,7,,2,4,2,1,5,1,35
下赤塚児童遊園,21,10,,,3,,,,,,,1,35
加賀一丁目みどりばし緑地,20,11,,,3,,,,,,1,,35
高島平けやき保育園,1,1,1,,6,1,4,2,4,5,6,4,35
斎藤医院,,3,,9,,,2,,8,4,,9,35
志村一丁目小規模保育園,,,2,,4,1,2,1,,6,9,10,35
志村三丁目駅第４自転車駐車場（有料コイン式）,7,4,4,2,1,1,10,2,,2,1,1,35
志村三丁目駅第５自転車駐車場（有料コイン式）,7,2,1,4,1,3,4,4,1,2,2,4,35
前野いこいの家,6,3,3,3,8,1,2,2,,,4,3,35
道路補修工事(3),,,,6,4,3,2,4,12,2,2,,35
平成29年6月14日午前5時頃,5,5,2,,6,1,1,2,1,8,,4,35
薬局トモズ大山店,,2,,1,4,3,3,4,5,9,4,,35
クレア薬局,1,6,4,3,3,3,2,2,4,3,3,,34
上板橋駅西自転車駐車場（有料）,2,4,4,1,,3,1,1,3,8,2,5,34
城北交通公園,8,2,1,3,5,,3,7,1,1,2,1,34
西徳第一公園内集会所,3,,,,5,2,3,3,6,3,4,5,34
ニック向原薬局,,6,3,3,3,3,3,3,3,3,3,,33
加賀福祉園,16,12,,1,4,,,,,,,,33
赤塚小学校,14,6,,1,,,,,2,10,,,33
赤塚六丁目公園,19,10,,,3,,,,,,,1,33
東新いこいの家,5,5,1,2,10,2,3,,,2,,3,33
木下の保育園上板橋小規模保育園,,,1,2,5,2,5,2,1,2,7,6,33
和敬保育園,6,6,1,1,8,,6,,,,2,3,33
ローズ薬局,,3,,,1,3,1,4,13,5,2,,32
高島陸橋交差点E自転車駐車場（有料）,2,1,4,5,3,1,2,3,1,1,4,5,32
松葉保育園,4,4,3,2,6,,3,1,1,2,3,3,32
大和いこいの家,5,2,,2,7,3,2,2,3,3,1,2,32
板橋第九小学校,4,2,18,1,7,,,,,,,,32
クオール薬局中板橋店,,6,3,3,3,4,3,3,3,2,1,,31
加賀西公園,16,10,,,4,,,,,,,1,31
小豆沢公園,14,6,1,1,1,,2,1,,2,2,1,31
中丸児童遊園内集会所,6,3,,,3,3,7,,1,2,,6,31
田幡医院,7,7,,,,6,,,9,,,2,31
東京自由保育園,5,1,,1,11,1,2,2,,1,6,1,31
徳丸ケ原公園,3,6,1,1,1,3,3,7,,2,1,3,31
徳丸ヶ原庭球場,3,5,1,3,3,2,4,2,1,4,2,1,31
徳丸福祉園,13,7,,6,2,1,1,,,1,,,31
板橋駅前公園,12,2,3,2,2,2,6,,1,,,1,31
弥生保育園,2,6,2,1,7,3,,2,4,3,,1,31
ぴっころきっず下赤塚小規模保育園,,,,,5,,1,3,1,2,14,4,30
メディコール小規模保育園富士見台,,,,,2,1,2,2,3,4,7,9,30
加賀保育園,11,2,2,1,6,,1,1,1,1,4,,30
志村さかした保育園,1,3,,,6,1,2,1,2,4,5,5,30
小茂根図書館,1,2,3,2,10,,2,2,3,3,2,,30
西台保育園,1,5,2,,4,3,,1,9,1,1,3,30
赤塚福祉園,14,5,2,,2,,1,4,1,,,1,30
前野保育園,8,1,4,,7,,2,1,1,4,,2,30
板橋保育園,4,6,2,2,5,1,5,1,1,1,2,,30
きららの杜小茂根小規模保育園,,1,,,3,1,3,4,3,5,4,5,29
加賀第二公園,15,11,,,3,,,,,,,,29
宮下公園,15,7,,1,1,1,1,1,,,2,,29
区役所1階北館・3階南館,2,3,2,4,3,2,2,1,3,1,5,1,29
弘瀬医院,,,5,,,5,,,7,12,,,29
高島平図書館,1,1,,,21,,4,,,1,1,,29
志村警察署,19,10,,,,,,,,,,,29
志村坂上駅,14,8,,,3,1,1,,1,,,1,29
成増生涯学習センター,5,2,,5,12,,1,,,,3,1,29
大山保育園,1,4,1,,7,3,5,,,1,2,5,29
保健福祉オンブズマン室,6,2,1,4,,10,,1,2,,2,1,29
緑ヶ丘第二公園内集会所,1,,,,2,3,2,1,4,3,5,8,29
No.105遺跡,,3,1,1,2,2,4,7,,3,,5,28
No.24遺跡,2,4,3,3,,,1,2,9,2,,2,28
はすね駅西口内科,,4,,,,7,8,4,,,,5,28
荒岡商店（アラオカストア）,,,,,28,,,,,,,,28
高島平駅西口自転車駐車場（有料コイン式）,2,3,1,4,4,1,3,,1,,4,5,28
小桜保育園,14,5,,1,6,1,,,,,,1,28
中板橋保育園,4,7,2,1,6,,3,1,2,1,1,,28
日生板橋区役所前保育園ひびき,,1,1,3,3,3,2,1,5,3,,6,28
平成３０年４月３０日（月）１６時５５分頃,,4,2,,6,1,2,2,,7,2,2,28
Baby＆Beans,4,1,,2,5,,2,1,1,4,3,4,27
NPO法人ワーカーズコープ「どんぐりのおうち」,,,,,4,4,3,1,5,2,8,,27
うさぎ薬局,,6,,1,3,2,1,3,2,7,2,,27
このえ蓮根小規模保育園,2,,,1,2,2,,1,4,4,3,8,27
しもじけ児童遊園,15,5,1,1,2,,,,,,,3,27
高島平つくし保育園,1,1,,1,5,1,2,1,2,,3,10,27
成増駅北口第３自転車駐車場（有料）,13,8,3,3,,,,,,,,,27
板橋消防署,9,6,6,1,1,2,,1,,,,1,27
板橋第五中学校,10,5,,,2,,,,1,,1,8,27
No.2遺跡,1,6,1,1,,1,,1,2,3,1,9,26
No.98遺跡,2,,3,3,,,2,6,,5,,5,26
栄町保育園,4,3,2,3,6,,,2,,2,,4,26
旧粕谷家（東の隠居）住宅,3,2,11,10,,,,,,,,,26
高島平一丁目第三公園内集会所,2,,2,2,4,,4,4,1,2,2,3,26
高島陸橋交差点B自転車駐車場（有料）,4,1,2,6,,,2,1,1,3,3,3,26
坂下薬局,,3,1,3,3,2,1,4,3,4,2,,26
出井の泉公園,10,6,8,,,2,,,,,,,26
城北公園,5,3,2,2,4,1,2,2,1,1,3,,26
赤塚二丁目緑地,16,6,1,,2,1,,,,,,,26
大山西町小規模保育園,,1,5,1,2,1,,,2,1,9,4,26
東板橋庭球場,9,4,1,7,1,,,1,1,,,2,26
板橋税務署,6,3,,1,1,3,,,,4,3,5,26
明日葉保育園大山園,1,2,,,6,1,,2,,1,3,10,26
アスクときわ台保育園,,,2,,3,1,,,1,9,4,5,25
ことぶき薬局大山店,,3,,1,3,3,3,3,5,4,,,25
ほっぺるランド大谷口,1,1,2,,3,3,3,3,2,,4,3,25
株式会社アズマ,5,6,6,3,1,2,,,1,,,1,25
紅梅公園,14,5,,,,,2,,,2,,2,25
桜川いこいの家,2,1,1,1,6,1,3,2,4,2,2,,25
舟渡病院,2,3,,2,3,3,,3,1,6,,2,25
新河岸陸上競技場,6,3,2,,1,3,,,3,2,2,3,25
道路補修工事（１）,,,2,3,3,2,2,6,2,2,3,,25
南ときわ台公園内集会所,8,9,6,2,,,,,,,,,25
板橋警察署加賀交番,14,6,,,3,1,,,1,,,,25
文化会館,,3,,1,3,,1,12,1,,2,2,25
蓮根いこいの家,1,5,2,2,5,7,2,,,,,1,25
No.57遺跡,,11,,1,10,,,,,,,2,24
No.9遺跡,,,,5,1,,10,,,,,8,24
キッズタウンむかいはら保育園,,,,,6,,1,2,,2,5,8,24
つばさ薬局,,4,5,2,1,2,1,3,3,2,1,,24
わかたけかなえ保育園,4,1,2,,6,,3,1,2,2,2,1,24
下赤塚小学校,14,6,1,,,,,,,,2,1,24
高島平七丁目公園内集会所,1,,,1,2,1,3,1,3,1,2,9,24
志村第四小学校,14,7,,,1,1,1,,,,,,24
小規模保育園大山西町インフィニティ保育園,,1,,,2,1,4,3,1,2,7,3,24
赤塚三丁目原公園,15,5,,,,,3,,,,1,,24
前野公園,11,1,,1,4,,1,1,1,,1,3,24
中台小規模保育園,,,1,,2,2,1,,1,1,7,9,24
都市計画道路補助87号線整備工事（電線共同溝）,,,2,1,7,1,5,2,3,3,,,24
東板橋公園運動場,9,7,3,,1,,1,1,1,,,1,24
認定こども園板橋向原幼稚園,,,,,6,1,3,1,,1,2,10,24
No.49遺跡,,4,1,1,2,,2,7,,3,2,1,23
花岡医院,8,15,,,,,,,,,,,23
四葉公園,12,7,,,3,1,,,,,,,23
小豆沢野球場Ａ面,15,6,1,,,,,,,1,,,23
常盤台区民事務所・地域集会室,6,7,4,,3,1,1,,,1,,,23
前野町ベビールーム,2,1,2,,3,3,6,1,1,,1,3,23
大谷口児童遊園内集会所,6,8,6,3,,,,,,,,,23
中原公園,13,5,2,,,,,,1,1,,1,23
道路補修工事（21）,,,,,,,5,4,5,3,2,4,23
板橋大山公園,4,,,5,4,1,,,1,3,4,1,23
板橋第一小学校通学区域,,,23,,,,,,,,,,23
平成29年2月25日（土）20時頃,2,5,3,,3,5,,1,1,3,,,23
平成３０年２月２１日（水）午後８時頃,3,6,4,,2,2,1,2,,2,1,,23
遍照寺,,,2,2,3,2,2,4,1,7,,,23
蓮根図書館,1,2,1,,13,2,2,2,,,,,23
ＪＲ埼京線　板橋駅,,,,10,1,,3,2,1,,,5,22
No.109遺跡,,,,1,14,2,1,1,,,2,1,22
No.130遺跡,3,5,2,2,2,4,2,1,,,,1,22
ひまわりキッズガーデン小茂根,1,1,,,6,,2,,2,1,4,5,22
マハヤナ第二保育園,6,2,2,,5,3,,,,3,1,,22
みどり薬局（板橋）,,,1,2,,1,3,3,4,5,3,,22
旭保育園,3,3,1,1,6,3,,1,,2,2,,22
敬隣保育園,8,4,1,,6,,1,1,,,,1,22
向原保育園,2,2,1,1,8,2,1,1,2,,1,1,22
高島平さつき保育園,,2,,1,7,2,,,1,1,2,6,22
志村坂上地域センター志村コミュニティホール,5,7,4,1,2,2,1,,,,,,22
秀クリニック,6,,,3,,4,,3,,,,6,22
小規模保育園大山金井町インフィニティ保育園,2,1,2,1,2,,2,3,,3,4,2,22
笑和生活薬局,,3,3,2,1,2,,,1,5,5,,22
西台いこいの家,,2,4,1,7,1,3,2,1,,,1,22
西台図書館,1,3,1,1,14,,1,,1,,,,22
石川橋公園,15,4,,,,,1,,,,1,1,22
赤塚新町公園,13,7,1,,1,,,,,,,,22
太陽の子保育園,8,4,2,1,5,,2,,,,,,22
道路補修工事（1801）,1,3,5,2,4,3,1,3,,,,,22
徳丸公園,15,5,1,,,,,1,,,,,22
徳丸本町公園,16,5,,,,,,,,,,1,22
徳親公園,15,6,,,1,,,,,,,,22
平成29年7月18日午後２時頃,6,1,1,1,3,,,2,1,3,1,3,22
北野小学校,12,5,,,,,1,,1,,,3,22
陽光保育園,,1,2,,5,,5,,2,3,2,2,22
蓮根第二集会所,5,8,7,2,,,,,,,,,22
No.59遺跡,,,,1,8,4,,3,,,,5,21
グローバルキッズ上板橋園,1,,,,6,,1,4,2,2,3,2,21
さいわい保育園,1,2,,,6,2,4,,3,1,1,1,21
ぴっころきっずときわ台小規模保育園,,,3,,2,2,3,2,1,3,4,1,21
みなみ保育園,3,3,2,1,5,2,,,3,1,,1,21
加賀藩下屋敷跡,2,6,,,6,,4,,,,,3,21
高島平警察署上赤塚交番,14,5,,1,,,,,,1,,,21
志村警察署坂上交番,13,7,,,,,,1,,,,,21
志村消防署赤塚出張所,14,5,1,,,,1,,,,,,21
志村第三公園,15,5,,,,,1,,,,,,21
小豆沢庭球場,14,5,,,,1,1,,,,,,21
小豆沢二丁目31番遊び場,15,6,,,,,,,,,,,21
西光寺,2,1,2,4,,,1,,,7,,4,21
石成公園,14,5,,,,,1,,,,,1,21
赤塚ルート　１１旧粕谷家住宅,5,,5,5,1,,1,1,,,2,1,21
赤塚一丁目そよかぜ公園,15,5,,,,,,,1,,,,21
赤塚第一中学校,15,5,,,,,,,,,,1,21
赤塚二丁目ふれあい公園,15,5,,,,,,,,1,,,21
赤塚六丁目緑地,13,6,,1,,,1,,,,,,21
赤徳公園,15,5,,1,,,,,,,,,21
大谷口地域センター管理事務所,5,8,4,,,3,,,,1,,,21
仲町ふれあいセンター（ふれあい館・区民事務所・地域センター）,4,6,6,1,1,2,,,,1,,,21
同援みどり保育園,3,1,1,,6,,5,,1,2,1,1,21
二塚公園,14,5,,,,,2,,,,,,21
麦の子保育園,6,1,3,,7,1,,2,,1,,,21
板橋四丁目集会所,13,6,,2,,,,,,,,,21
板橋第四小学校,11,5,,1,,1,,,,1,,2,21
板橋第二小学校,11,2,2,1,,2,,,,1,,2,21
武道場（小豆沢）,12,4,,3,,,,,1,,,1,21
緑が丘保育園,1,2,1,1,5,3,2,1,,2,,3,21
No.101遺跡,,2,,2,1,,1,1,2,1,2,8,20
さかうえいこいの家,12,5,,1,1,,1,,,,,,20
はなまるキッズクリニック,7,,,,,6,,,4,,3,,20
旧粕谷家住宅（東京都指定文化財）,,,,4,5,2,2,1,,2,4,,20
公文書館,8,2,1,,4,1,1,1,2,,,,20
高島幼稚園,2,2,,1,7,,,1,2,2,,3,20
昆虫公園,13,2,1,,,1,1,1,,,,1,20
四ツ又公園,8,1,,1,3,1,2,3,,,1,,20
志村第二中学校,12,5,,,1,,,,,2,,,20
小規模保育園ビーフェア板橋西口保育園,1,,,,2,,,4,2,4,2,5,20
新高島平駅南自転車駐車場（有料コイン式）,3,2,2,1,1,,2,2,1,4,2,,20
赤塚新町三丁目児童遊園,14,5,,,1,,,,,,,,20
赤塚六丁目ふれあい公園,13,5,,1,1,,,,,,,,20
前野地域センター管理事務所・エコポリスセンター・前野いこいの家,5,5,3,1,2,2,1,,,1,,,20
前野町一丁目広場,15,4,,,,,1,,,,,,20
太陽の子保育園分園,9,2,2,1,3,1,,2,,,,,20
大原社会教育会館,,3,2,2,5,2,5,,,1,,,20
道路補修工事（1807）,14,4,,2,,,,,,,,,20
道路補修工事（25）,,,,,,,6,6,2,,1,5,20
道路補修工事(4),,,,16,2,,,2,,,,,20
徳丸地域センター管理事務所,4,6,3,2,,2,,,,3,,,20
板橋三丁目おうぎ小広場,11,4,1,1,1,,,2,,,,,20
板橋第八小学校,1,1,2,15,,,,1,,,,,20
北野保育園,7,2,2,,6,1,1,,,1,,,20
本蓮沼駅,9,2,1,,,1,,1,1,2,1,2,20
＆河村,,,,,,,15,4,,,,,19
No.126遺跡,2,,,4,,1,,1,10,,1,,19
あすなろ保育園,4,4,1,,6,,,2,,,1,1,19
グローバルキッズ成増園,,,1,,3,6,1,1,1,2,1,3,19
やの内科・小児科クリニック,,,,19,,,,,,,,,19
わかたけ第二保育園,,1,,4,6,,,,,3,1,4,19
安養院,3,,,2,2,1,1,1,4,,3,2,19
下赤塚駅,13,5,1,,,,,,,,,,19
郷土資料館,6,1,,,5,,2,,2,,2,1,19
四葉二丁目公園,14,5,,,,,,,,,,,19
志村第一中学校,12,4,,1,,,1,,1,,,,19
社会福祉法人紫水会オーネスト成増,,,14,1,,,1,2,1,,,,19
新板橋駅,10,1,1,1,1,,,,2,3,,,19
成増図書館(アートギャラリー),3,,1,1,10,,1,1,,,1,1,19
聖マリア保育園,1,,,3,6,1,2,1,1,,3,1,19
赤塚新町三丁目３１～３２番地先,14,5,,,,,,,,,,,19
相生保育園,3,1,,,5,4,1,1,3,1,,,19
道路補修工事（20）,1,,,,,,,12,4,2,,,19
徳丸ケ丘公園,6,1,1,1,4,1,,4,1,,,,19
徳丸タウンブリッジ緑地,6,1,,,1,2,1,1,3,,2,2,19
白鳩保育園,6,3,1,,4,,2,1,1,,,1,19
板橋区高島平九丁目1番地内　外2箇所,,,,,16,2,,1,,,,,19
平成３０年８月２０日午後１０時１３分頃,,,,,2,3,1,3,5,2,2,1,19
本蓮沼駅前いずみ公園,9,1,,1,3,1,,,,,1,3,19
薬師の泉,12,5,,1,,,,,,,,1,19
理化学研究所　板橋分室,5,5,3,4,1,,,1,,,,,19
蓮根保育園,1,1,,,6,2,1,2,,2,2,2,19
No.159遺跡,1,1,,,4,2,3,1,,2,1,3,18
No.164遺跡,,2,3,3,1,1,2,1,2,1,2,,18
No.36遺跡,2,,2,3,,3,,,4,2,,2,18
NPO法人みんなのセンターおむすび,3,3,1,,4,,3,,2,1,,1,18
おんだ薬局,,1,2,1,3,2,1,3,3,2,,,18
ほけんの窓口　大山ハッピーロード,,2,6,,4,3,1,,,,,2,18
加賀二丁目公園,10,3,2,1,,1,,,,,1,,18
志村警察署小豆沢交番,12,5,,,,,,1,,,,,18
小規模保育園ウィズブック保育園志村坂上,,,1,,5,,1,1,1,2,3,4,18
小豆沢野球場B面,12,4,,,2,,,,,,,,18
上赤塚公園,10,2,,3,2,,,,,,1,,18
上谷津公園,13,5,,,,,,,,,,,18
赤塚二丁目児童遊園,13,5,,,,,,,,,,,18
相撲場（小豆沢）,12,5,,,,1,,,,,,,18
大原町緑の広場,12,5,,,,,,,,,,1,18
東京家政大学「森のサロン」,1,3,,2,4,3,1,,1,,3,,18
東前野公園,12,5,,,1,,,,,,,,18
南板橋公園,9,2,,1,1,1,2,,,2,,,18
板橋第一小学校,5,1,6,,,1,,,3,1,1,,18
平成29年11月29日（水）午後７時頃,2,2,1,,,2,2,2,2,1,2,2,18
平成29年1月12日（木）19時頃,3,2,1,1,3,2,1,3,2,,,,18
平和保育園,5,1,,1,3,3,3,,,,2,,18
望月内科クリニック,7,,,6,,5,,,,,,,18
蓮根福祉園,5,2,2,,2,,2,,,1,,4,18
No.125遺跡,5,2,,,,5,,,5,,,,17
No.131遺跡,,4,1,1,5,1,2,1,,,,2,17
No.145遺跡,3,2,1,,1,2,3,,2,1,1,1,17
No.47遺跡,,,7,,4,,,1,2,,,3,17
YUMEパーク大和町,5,,,4,1,2,,2,1,1,,1,17
エンガ堀緑道,4,4,,6,,,,,,,3,,17
グランダ大山,1,,2,1,5,,1,1,1,2,2,1,17
ひばり薬局,,4,2,,,,,,2,6,3,,17
ほっぺるランド本蓮沼,,,,,6,1,4,1,2,,2,1,17
まなぽーと大原（大原生涯学習センター）,1,,1,,7,1,3,1,2,,1,,17
葵薬局,,3,2,,1,2,,1,3,4,1,,17
加賀庭球場,10,5,,,,,,,,2,,,17
高島平あやめ保育園,1,1,,5,4,1,1,,,,,4,17
高島平駅東口自転車駐車場（有料コイン式）,2,5,1,1,4,,1,1,,,1,1,17
高島平警察署松月院前交番,12,5,,,,,,,,,,,17
志村清水坂緑地,12,4,,,,,1,,,,,,17
小桜児童遊園,12,4,1,,,,,,,,,,17
常盤台小学校,5,3,3,,,1,,3,,1,,1,17
赤塚第三中学校,12,4,,,,,,,,,1,,17
前野町三丁目緑の広場,9,4,,,3,,1,,,,,,17
前野福祉園,10,4,,1,,,1,,,,1,,17
東原公園,12,5,,,,,,,,,,,17
日生あずさわ保育園ひびき,,1,,,8,1,1,,3,1,2,,17
板橋第二公園,10,1,,,3,1,2,,,,,,17
板橋仲町どろんこ保育園,,4,,1,5,2,1,,,2,1,1,17
風の子保育園,1,3,,,8,1,,,,,2,2,17
平成29年7月25日午後4時頃,1,4,2,,3,2,,3,1,1,,,17
茂呂塾保育園,,,1,,6,2,2,1,,3,1,1,17
友和保育園,7,2,,,6,,2,,,,,,17
練馬自動車税事務所,13,4,,,,,,,,,,,17
No.58遺跡,,,3,,3,,2,3,,2,,3,16
No.88遺跡,10,,,2,,,,,,,4,,16
WK2-20-19,14,,,,,,,,,2,,,16
あい薬局,,4,1,2,1,2,1,2,1,2,,,16
きららの杜西台小規模保育園,,1,1,1,2,1,,2,1,1,4,2,16
やまと保育園,3,2,2,,6,2,,,1,,,,16
よりふじ医院,,,6,2,5,3,,,,,,,16
加賀一丁目公園,10,5,,,,,,,,1,,,16
階段擁壁新設工事（１）及び道路補修工事（1810）,6,1,1,4,1,,3,,,,,,16
教育相談所成増分室,5,2,,3,2,,1,,,1,,2,16
公園用地（閉鎖管理）,12,4,,,,,,,,,,,16
高島通り薬局,,1,3,9,,,,,,1,2,,16
高島平ふれあい館,1,3,1,,6,2,1,1,1,,,,16
志村坂公園,11,4,1,,,,,,,,,,16
志村清掃事業所,6,3,,,1,,,,1,2,3,,16
志村第三小学校,9,2,1,,1,,,,1,2,,,16
西高島平駅周辺放置禁止区域図,1,3,,1,,1,1,,,1,4,4,16
石神井川緑道,10,5,,,,,,,,1,,,16
第一保育園,1,,2,2,5,1,,2,,,,3,16
第二たつの子保育園,1,,2,,7,,2,,,1,,3,16
中台ふれあい館,2,1,1,1,6,,3,,1,,1,,16
土のうステーション　板13,,,2,3,,8,2,1,,,,,16
東坂下一丁目児童遊園,11,5,,,,,,,,,,,16
南條薬局,,3,1,3,2,,1,3,1,2,,,16
板橋東いこいの森,10,3,,,,1,,,,1,1,,16
氷川町小規模保育園,,1,1,1,2,,4,2,1,1,2,1,16
不動の滝公園,8,1,3,,,,1,,,1,1,1,16
浮間舟渡駅周辺放置禁止区域図,8,2,,,,,,1,,,2,3,16
保険deあんしん館大山ハッピーロード店,,5,5,,3,3,,,,,,,16
本町公衆トイレ,1,,,,8,1,2,4,,,,,16
B5149_,,,,,,,14,1,,,,,15
Meisei小規模保育園,,,,1,2,1,2,2,,4,2,1,15
MIRATZときわ台保育園,,,1,,4,,2,1,2,,2,3,15
No.172遺跡,2,1,1,,,,2,2,1,1,4,1,15
グリーンカレッジホール,,,,1,9,1,,,2,,2,,15
ときわ台駅,4,1,,3,3,1,,,1,,,2,15
ときわ台徳岡歯科医院,,1,8,,3,,,,1,1,1,,15
はすね鈴薬局,,5,,,1,3,3,2,,,1,,15
みどり薬局,,6,3,1,3,2,,,,,,,15
みどり薬局（小豆沢）,,,1,2,,1,3,3,,3,2,,15
わかたけ保育園,1,3,1,1,6,2,1,,,,,,15
下板橋駅,9,1,2,1,1,,,,1,,,,15
加賀二丁目緑の広場,9,1,2,1,,,,,,,2,,15
向台保育園,1,2,,,5,1,,,4,,,2,15
高島平もみじ保育園,1,1,,2,8,,,,,3,,,15
高島平温水プール,2,2,,,6,,3,,,1,,1,15
坂下一丁目34～坂下二丁目4番地先,,,,15,,,,,,,,,15
坂下三丁目保育園,1,1,1,3,5,1,,,2,,1,,15
志村公園,11,4,,,,,,,,,,,15
志村第一小学校,9,1,1,1,,,,1,,2,,,15
赤塚五丁目森の広場,6,2,2,,,,1,,,1,2,1,15
前野ホール公園,9,5,,,,,1,,,,,,15
前野児童遊園,8,4,,,,,1,,,,,2,15
大原みなみ広場,12,2,,1,,,,,,,,,15
大原第二公園,10,2,,,,1,,1,,,1,,15
大山東町児童遊園,6,2,2,,2,,1,,,1,1,,15
大谷口保育園,1,1,,1,6,,1,,,2,3,,15
都立赤塚公園,8,1,,1,1,1,,,,,2,1,15
板橋第七小学校,6,,2,,,1,1,,,1,,4,15
板橋都税事務所,4,3,2,,1,,,1,3,1,,,15
板橋土木事務所,4,1,2,,4,,1,,,,,3,15
板橋二丁目フレンドパーク,9,1,,1,1,1,1,,1,,,,15
浮間舟渡フットサルパーク,5,1,1,4,,1,,,,,1,2,15
本町児童遊園,10,1,,1,1,,1,,,1,,,15
蓮沼公園,11,4,,,,,,,,,,,15
和弓場,6,3,,4,,,,,1,,,1,15
No.127遺跡,1,2,,4,,2,,,3,2,,,14
No.161遺跡,,3,,,4,2,2,,1,,,2,14
さんさん薬局,,3,,,1,2,,1,5,2,,,14
つつじ保育園,,,1,1,8,1,,,1,,,2,14
